"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",56,8,"2022-04-11 09:37:00",40.085,42,0.16,0.17,"09:53","11-Apr"
"2",64,8,"2022-04-11 09:43:00",40.205,42,0.18,0.19,"09:58","11-Apr"
"3",72,8,"2022-04-11 09:48:00",40.135,42,0.19,0.2,"10:03","11-Apr"
"4",80,8,"2022-04-11 09:53:00",40.215,42,0.19,0.2,"10:09","11-Apr"
"5",88,8,"2022-04-11 09:59:00",40.28,42,0.2,0.21,"10:14","11-Apr"
"6",96,8,"2022-04-11 10:03:00",40.345,42,0.2,0.21,"10:19","11-Apr"
"7",104,8,"2022-04-11 10:09:00",40.27,42,0.19,0.2,"10:25","11-Apr"
"8",112,8,"2022-04-11 10:15:00",40.215,42,0.2,0.21,"10:30","11-Apr"
"9",120,8,"2022-04-11 10:20:00",40.115,42,0.21,0.22,"10:35","11-Apr"
"10",128,8,"2022-04-11 10:25:00",40.085,42,0.19,0.2,"10:40","11-Apr"
"11",136,8,"2022-04-11 10:30:00",40.11,42,0.16,0.18,"10:46","11-Apr"
"12",144,8,"2022-04-11 10:35:00",40.085,42,0.15,0.16,"10:51","11-Apr"
"13",152,8,"2022-04-11 10:41:00",40.075,42,0.13,0.14,"10:56","11-Apr"
