"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",2,2,"2022-04-11 15:57:00",49.33,47.5,0,0,"09:26","12-Apr"
"2",10,2,"2022-04-11 15:57:00",49.3,47.5,0,0,"09:32","12-Apr"
"3",18,2,"2022-04-11 15:57:00",49.42,47.5,0,0,"09:37","12-Apr"
"4",25,1,"2022-04-11 15:57:00",49.771,47.5,0,0,"09:42","12-Apr"
"5",34,2,"2022-04-11 15:57:00",49.2998,47.5,0,0,"09:47","12-Apr"
"6",42,2,"2022-04-11 15:57:00",49.31,47.5,2.01,2.59,"09:53","12-Apr"
"7",50,2,"2022-04-12 09:42:00",49.402,47.5,2.64,2.73,"09:58","12-Apr"
"8",58,2,"2022-04-12 09:42:00",49.185,47.5,2.27,2.55,"10:03","12-Apr"
"9",66,2,"2022-04-12 09:42:00",49.2,47.5,2.23,2.43,"10:09","12-Apr"
"10",74,2,"2022-04-12 09:42:00",49.115,47.5,2.31,2.41,"10:14","12-Apr"
"11",82,2,"2022-04-12 10:01:00",49.1765,47.5,2.19,2.32,"10:19","12-Apr"
"12",90,2,"2022-04-12 10:01:00",49.185,47.5,2.17,2.26,"10:24","12-Apr"
"13",98,2,"2022-04-12 10:09:00",49.1501,47.5,2.14,2.2,"10:30","12-Apr"
"14",106,2,"2022-04-12 10:09:00",49.12,47.5,2.1,2.17,"10:35","12-Apr"
"15",114,2,"2022-04-12 10:09:00",49.21,47.5,2.13,2.2,"10:40","12-Apr"
"16",122,2,"2022-04-12 10:09:00",49.065,47.5,2.06,2.16,"10:46","12-Apr"
"17",130,2,"2022-04-12 10:09:00",49.14,47.5,2.09,2.15,"10:51","12-Apr"
"18",138,2,"2022-04-12 10:09:00",49.0701,47.5,2.07,2.12,"10:56","12-Apr"
"19",146,2,"2022-04-12 10:45:00",49.0572,47.5,2.04,2.11,"11:01","12-Apr"
"20",154,2,"2022-04-12 10:45:00",49.0575,47.5,2.06,2.17,"11:07","12-Apr"
"21",162,2,"2022-04-12 10:45:00",48.95,47.5,2.07,2.14,"11:12","12-Apr"
"22",171,3,"2022-04-12 11:01:00",48.93,47.5,2.02,2.08,"11:17","12-Apr"
"23",179,2,"2022-04-12 11:01:00",49.03,47.5,2.04,2.14,"11:23","12-Apr"
"24",187,2,"2022-04-12 11:01:00",49.05,47.5,2.03,2.09,"11:28","12-Apr"
"25",195,2,"2022-04-12 11:17:00",48.99,47.5,1.99,2.05,"11:33","12-Apr"
"26",203,2,"2022-04-12 11:20:00",48.99,47.5,2.04,2.08,"11:38","12-Apr"
"27",211,2,"2022-04-12 11:20:00",48.96,47.5,2.01,2.07,"11:44","12-Apr"
"28",220,3,"2022-04-12 11:20:00",48.915,47.5,2.02,2.09,"11:49","12-Apr"
"29",229,3,"2022-04-12 11:20:00",48.9,47.5,2,2.06,"11:54","12-Apr"
"30",238,3,"2022-04-12 11:38:00",48.89,47.5,1.96,2.03,"12:00","12-Apr"
"31",247,3,"2022-04-12 11:38:00",48.83,47.5,1.97,1.99,"12:05","12-Apr"
"32",256,3,"2022-04-12 11:38:00",48.695,47.5,1.96,1.99,"12:10","12-Apr"
"33",265,3,"2022-04-12 11:55:00",48.74,47.5,1.88,1.96,"12:16","12-Apr"
"34",274,3,"2022-04-12 11:55:00",48.66,47.5,1.89,1.97,"12:21","12-Apr"
"35",283,3,"2022-04-12 12:10:00",48.535,47.5,1.77,1.8,"12:26","12-Apr"
"36",291,3,"2022-04-12 12:11:00",48.615,47.5,1.79,1.85,"12:31","12-Apr"
"37",300,3,"2022-04-12 12:11:00",48.58,47.5,1.74,1.78,"12:37","12-Apr"
"38",309,3,"2022-04-12 12:11:00",48.575,47.5,1.67,1.72,"12:42","12-Apr"
"39",318,3,"2022-04-12 12:30:00",48.57,47.5,1.71,1.74,"12:47","12-Apr"
"40",326,3,"2022-04-12 12:34:00",48.57,47.5,1.7,1.73,"12:53","12-Apr"
"41",334,3,"2022-04-12 12:41:00",48.57,47.5,1.7,1.72,"12:58","12-Apr"
"42",342,3,"2022-04-12 12:47:00",48.56,47.5,1.69,1.72,"13:03","12-Apr"
"43",350,3,"2022-04-12 12:47:00",48.65,47.5,1.73,1.74,"13:09","12-Apr"
"44",359,3,"2022-04-12 12:47:00",48.7091,47.5,1.69,1.73,"13:14","12-Apr"
"45",368,3,"2022-04-12 13:01:00",48.725,47.5,1.69,1.74,"13:19","12-Apr"
"46",377,3,"2022-04-12 13:08:00",48.775,47.5,1.76,1.79,"13:24","12-Apr"
"47",386,3,"2022-04-12 13:08:00",48.74,47.5,1.77,1.82,"13:30","12-Apr"
"48",395,3,"2022-04-12 13:08:00",48.65,47.5,1.76,1.81,"13:35","12-Apr"
"49",404,3,"2022-04-12 13:08:00",48.675,47.5,1.84,1.88,"13:40","12-Apr"
"50",413,3,"2022-04-12 13:26:00",48.54,47.5,1.86,1.9,"13:46","12-Apr"
"51",421,3,"2022-04-12 13:30:00",48.48,47.5,1.77,1.83,"13:51","12-Apr"
"52",430,4,"2022-04-12 13:30:00",48.36,47.5,1.78,1.83,"13:56","12-Apr"
"53",439,4,"2022-04-12 13:30:00",48.395,47.5,1.67,1.72,"14:02","12-Apr"
"54",447,3,"2022-04-12 13:50:00",48.54,47.5,1.66,1.7,"14:07","12-Apr"
"55",456,4,"2022-04-12 13:50:00",48.405,47.5,1.58,1.62,"14:12","12-Apr"
"56",465,4,"2022-04-12 13:50:00",48.305,47.5,1.61,1.65,"14:17","12-Apr"
"57",474,4,"2022-04-12 14:05:00",48.36,47.5,1.67,1.73,"14:23","12-Apr"
"58",483,4,"2022-04-12 14:05:00",48.365,47.5,1.61,1.63,"14:28","12-Apr"
"59",492,4,"2022-04-12 14:16:00",48.29,47.5,1.53,1.57,"14:33","12-Apr"
"60",501,4,"2022-04-12 14:16:00",48.39,47.5,1.56,1.62,"14:39","12-Apr"
"61",510,4,"2022-04-12 14:28:00",48.37,47.5,1.56,1.6,"14:44","12-Apr"
"62",519,4,"2022-04-12 14:31:00",48.395,47.5,1.52,1.58,"14:49","12-Apr"
"63",528,4,"2022-04-12 14:31:00",48.325,47.5,1.59,1.63,"14:54","12-Apr"
"64",537,4,"2022-04-12 14:31:00",48.3367,47.5,1.59,1.62,"15:00","12-Apr"
"65",546,4,"2022-04-12 14:31:00",48.23,47.5,1.6,1.64,"15:05","12-Apr"
"66",555,4,"2022-04-12 14:31:00",48.07,47.5,1.57,1.62,"15:10","12-Apr"
"67",564,4,"2022-04-12 14:56:00",48.09,47.5,1.59,1.62,"15:16","12-Apr"
"68",573,4,"2022-04-12 14:56:00",48.1758,47.5,1.51,1.54,"15:21","12-Apr"
"69",582,4,"2022-04-12 14:56:00",48.24,47.5,1.42,1.47,"15:26","12-Apr"
"70",591,4,"2022-04-12 14:56:00",48.215,47.5,1.41,1.46,"15:32","12-Apr"
"71",600,4,"2022-04-12 15:16:00",48.285,47.5,1.51,1.55,"15:37","12-Apr"
"72",609,4,"2022-04-12 15:27:00",48.325,47.5,1.54,1.58,"15:42","12-Apr"
"73",617,3,"2022-04-12 15:29:00",48.43,47.5,1.56,1.59,"15:47","12-Apr"
"74",626,4,"2022-04-12 15:29:00",48.37,47.5,1.61,1.64,"15:53","12-Apr"
"75",634,3,"2022-04-12 15:29:00",48.445,47.5,1.64,1.68,"15:58","12-Apr"
"76",643,4,"2022-04-12 15:29:00",48.41,47.5,1.64,1.67,"16:03","12-Apr"
