"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",2,2,"2022-04-13 10:13:00",40.22,39,1.62,1.74,"10:29","13-Apr"
"2",10,2,"2022-04-13 10:17:00",40.25,39,1.93,2.04,"10:34","13-Apr"
"3",18,2,"2022-04-13 10:24:00",40.18,39,1.45,1.64,"10:40","13-Apr"
"4",26,2,"2022-04-13 10:29:00",40.22,39,1.34,1.44,"10:45","13-Apr"
"5",34,2,"2022-04-13 10:30:00",40.165,39,1.35,1.51,"10:50","13-Apr"
"6",42,2,"2022-04-13 10:37:00",40.22,39,1.28,1.44,"10:56","13-Apr"
"7",50,2,"2022-04-13 10:42:00",40.32,39,1.33,1.46,"11:01","13-Apr"
"8",58,2,"2022-04-13 10:50:00",40.345,39,1.29,1.39,"11:07","13-Apr"
"9",66,2,"2022-04-13 10:52:00",40.28,39,1.32,1.49,"11:12","13-Apr"
"10",74,2,"2022-04-13 11:00:00",40.33,39,1.4,1.56,"11:17","13-Apr"
"11",82,2,"2022-04-13 11:06:00",40.1608,39,1.35,1.4,"11:23","13-Apr"
"12",90,2,"2022-04-13 11:06:00",40.245,39,1.27,1.43,"11:28","13-Apr"
"13",98,2,"2022-04-13 11:15:00",40.4499,39,1.4,1.49,"11:33","13-Apr"
"14",106,2,"2022-04-13 11:23:00",40.405,39,1.3,1.4,"11:39","13-Apr"
"15",114,2,"2022-04-13 11:26:00",40.48,39,1.3,1.42,"11:44","13-Apr"
"16",123,2,"2022-04-13 11:32:00",40.4234,39,1.45,1.56,"11:49","13-Apr"
"17",131,2,"2022-04-13 11:32:00",40.2027,39,1.46,1.55,"11:54","13-Apr"
"18",139,2,"2022-04-13 11:40:00",40.2343,39,1.42,1.52,"12:00","13-Apr"
"19",147,2,"2022-04-13 11:46:00",40.32,39,1.51,1.61,"12:05","13-Apr"
"20",155,2,"2022-04-13 11:52:00",40.2663,39,1.26,1.4,"12:10","13-Apr"
"21",163,2,"2022-04-13 11:56:00",40.25,39,1.26,1.39,"12:16","13-Apr"
"22",171,2,"2022-04-13 12:02:00",40.27,39,1.38,1.48,"12:21","13-Apr"
"23",179,2,"2022-04-13 12:02:00",40.24,39,1.32,1.41,"12:26","13-Apr"
"24",187,2,"2022-04-13 12:02:00",40.426,39,1.31,1.42,"12:31","13-Apr"
"25",194,1,"2022-04-13 12:02:00",40.74,39,1.32,1.43,"12:37","13-Apr"
"26",202,1,"2022-04-13 12:25:00",40.9201,39,1.39,1.43,"12:42","13-Apr"
"27",210,1,"2022-04-13 12:30:00",40.83,39,1.47,1.56,"12:47","13-Apr"
"28",218,1,"2022-04-13 12:37:00",40.81,39,1.7,1.81,"12:53","13-Apr"
"29",226,1,"2022-04-13 12:42:00",40.915,39,1.94,2.05,"12:58","13-Apr"
"30",234,1,"2022-04-13 12:45:00",40.88,39,1.85,1.99,"13:03","13-Apr"
"31",242,1,"2022-04-13 12:51:00",40.92,39,1.9,1.99,"13:07","13-Apr"
"32",250,1,"2022-04-13 12:55:00",40.982,39,2,2.07,"13:12","13-Apr"
"33",259,1,"2022-04-13 12:59:00",40.99,39,1.92,2.01,"13:17","13-Apr"
"34",268,1,"2022-04-13 13:06:00",40.9707,39,1.94,1.99,"13:23","13-Apr"
"35",277,1,"2022-04-13 13:09:00",41.035,39,1.97,2.02,"13:28","13-Apr"
"36",286,1,"2022-04-13 13:17:00",40.97,39,2.01,2.1,"13:33","13-Apr"
"37",295,1,"2022-04-13 13:21:00",40.8907,39,2.04,2.09,"13:39","13-Apr"
"38",303,1,"2022-04-13 13:24:00",40.9,39,2.05,2.11,"13:44","13-Apr"
"39",311,1,"2022-04-13 13:32:00",40.89,39,2.02,2.04,"13:49","13-Apr"
"40",319,1,"2022-04-13 13:37:00",40.825,39,1.94,2,"13:54","13-Apr"
"41",327,1,"2022-04-13 13:43:00",40.88,39,1.92,2.01,"14:00","13-Apr"
"42",335,1,"2022-04-13 13:48:00",40.9,39,1.95,2.01,"14:05","13-Apr"
"43",343,1,"2022-04-13 13:48:00",40.97,39,1.87,1.92,"14:10","13-Apr"
"44",352,1,"2022-04-13 13:59:00",40.933,39,1.88,1.98,"14:16","13-Apr"
"45",360,1,"2022-04-13 13:59:00",40.975,39,1.93,1.98,"14:21","13-Apr"
"46",369,1,"2022-04-13 13:59:00",40.9,39,1.97,2.05,"14:26","13-Apr"
"47",377,1,"2022-04-13 14:16:00",40.92,39,1.95,2,"14:32","13-Apr"
"48",385,1,"2022-04-13 14:20:00",40.9,39,1.98,2.04,"14:37","13-Apr"
"49",393,1,"2022-04-13 14:27:00",40.9288,39,1.93,1.97,"14:42","13-Apr"
"50",401,1,"2022-04-13 14:31:00",41.01,39,1.93,2,"14:48","13-Apr"
"51",410,1,"2022-04-13 14:31:00",41.0493,39,1.94,2,"14:53","13-Apr"
"52",427,1,"2022-04-13 14:45:00",41.0177,39,2.05,2.12,"15:04","13-Apr"
"53",436,1,"2022-04-13 14:49:00",41.045,39,2.06,2.12,"15:09","13-Apr"
