"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",1,1,"2022-04-13 09:56:00",48.11,46,2.32,2.5,"10:29","13-Apr"
"2",10,1,"2022-04-13 09:56:00",48.055,46,2.35,2.47,"10:34","13-Apr"
"3",19,1,"2022-04-13 09:56:00",47.95,46,2.34,2.41,"10:40","13-Apr"
"4",28,1,"2022-04-13 09:56:00",48.055,46,2.42,2.49,"10:45","13-Apr"
"5",37,1,"2022-04-13 09:56:00",48.135,46,2.3,2.53,"10:51","13-Apr"
"6",46,1,"2022-04-13 09:56:00",48.175,46,2.28,2.38,"10:56","13-Apr"
"7",55,1,"2022-04-13 09:56:00",48.08,46,2.36,2.42,"11:01","13-Apr"
"8",64,1,"2022-04-13 09:56:00",48.245,46,2.41,2.52,"11:07","13-Apr"
"9",73,1,"2022-04-13 09:56:00",48.155,46,2.43,2.52,"11:12","13-Apr"
"10",82,1,"2022-04-13 09:56:00",48.165,46,2.36,2.45,"11:18","13-Apr"
"11",91,1,"2022-04-13 09:56:00",48.22,46,2.4,2.5,"11:23","13-Apr"
"12",100,1,"2022-04-13 09:56:00",48.362,46,2.38,2.44,"11:28","13-Apr"
"13",109,1,"2022-04-13 09:56:00",48.38,46,2.39,2.45,"11:33","13-Apr"
"14",118,1,"2022-04-13 11:20:00",48.295,46,2.42,2.5,"11:39","13-Apr"
"15",127,1,"2022-04-13 11:20:00",48.295,46,2.54,2.61,"11:44","13-Apr"
"16",136,1,"2022-04-13 11:20:00",48.3179,46,2.54,2.62,"11:49","13-Apr"
"17",145,1,"2022-04-13 11:20:00",48.225,46,2.52,2.62,"11:55","13-Apr"
"18",154,1,"2022-04-13 11:20:00",48.205,46,2.48,2.56,"12:00","13-Apr"
"19",163,1,"2022-04-13 11:20:00",48.33,46,2.03,2.56,"12:05","13-Apr"
"20",172,1,"2022-04-13 11:20:00",48.295,46,2.08,2.59,"12:10","13-Apr"
"21",181,1,"2022-04-13 11:20:00",48.3145,46,2.22,2.51,"12:16","13-Apr"
"22",190,1,"2022-04-13 11:20:00",48.38,46,2.28,2.59,"12:21","13-Apr"
"23",199,1,"2022-04-13 11:20:00",48.285,46,2.36,2.59,"12:26","13-Apr"
"24",208,1,"2022-04-13 11:20:00",48.28,46,2.51,2.57,"12:32","13-Apr"
"25",217,1,"2022-04-13 11:20:00",48.33,46,2.54,2.64,"12:37","13-Apr"
"26",226,1,"2022-04-13 11:20:00",48.32,46,2.54,2.62,"12:42","13-Apr"
"27",235,1,"2022-04-13 11:20:00",48.36,46,2.47,2.59,"12:47","13-Apr"
"28",244,1,"2022-04-13 11:20:00",48.3739,46,2.54,2.6,"12:53","13-Apr"
"29",253,1,"2022-04-13 12:38:00",48.3408,46,2.5,2.59,"12:58","13-Apr"
"30",294,1,"2022-04-13 12:38:00",48.405,46,2.65,2.77,"13:28","13-Apr"
"31",303,1,"2022-04-13 12:38:00",48.385,46,2.63,2.73,"13:33","13-Apr"
"32",312,1,"2022-04-13 12:38:00",48.305,46,2.62,2.69,"13:39","13-Apr"
"33",337,1,"2022-04-13 12:38:00",48.4062,46,2.51,2.58,"13:55","13-Apr"
"34",418,1,"2022-04-13 13:46:00",48.375,46,2.65,2.71,"14:48","13-Apr"
"35",427,1,"2022-04-13 13:46:00",48.33,46,2.64,2.71,"14:53","13-Apr"
"36",436,1,"2022-04-13 13:46:00",48.365,46,2.61,2.67,"14:59","13-Apr"
"37",445,1,"2022-04-13 13:46:00",48.3451,46,2.52,2.62,"15:04","13-Apr"
