"","time","open","high","low","close","volume"
"1",2015-08-03 17:23:00,15,15,15,15,1
"2",2015-08-03 17:28:00,14.94,14.94,14.94,14.94,1
"3",2015-08-03 18:18:00,15.01,15.01,15.01,15.01,1
"4",2015-08-04 17:41:00,14.98,14.98,14.98,14.98,1
"5",2015-08-21 22:46:00,13.9,13.9,13.9,13.9,1
"6",2015-08-24 16:54:00,13.01,13.01,13.01,13.01,4
"7",2015-08-24 17:25:00,13.42,13.42,13.42,13.42,1
"8",2015-08-24 17:28:00,13.46,13.46,13.46,13.46,1
"9",2015-08-26 17:51:00,13.09,13.09,12.97,12.97,3260
"10",2015-08-26 18:15:00,12.95,12.95,12.94,12.94,1630
"11",2015-08-26 22:47:00,13.23,13.23,13.23,13.23,330
"12",2015-09-02 17:38:00,13.71,13.71,13.71,13.71,20
"13",2015-09-08 15:27:00,13.78,13.78,13.78,13.78,2
"14",2015-09-09 10:29:00,13.91,13.91,13.91,13.91,1
"15",2015-09-10 17:39:00,13.52,13.52,13.52,13.52,1
"16",2015-09-18 17:25:00,14.4,14.4,14.4,14.4,1
"17",2015-09-18 17:26:00,14.41,14.41,14.41,14.41,1
"18",2015-09-18 17:35:00,14.42,14.42,14.42,14.42,1
"19",2015-09-18 17:37:00,14.4,14.4,14.4,14.4,1
"20",2015-09-18 18:21:00,14.43,14.43,14.43,14.43,2
"21",2015-09-21 11:30:00,14.36,14.36,14.36,14.36,11
"22",2015-09-21 19:56:00,14.29,14.29,14.29,14.29,1
"23",2015-09-21 20:02:00,14.3,14.3,14.3,14.3,1
"24",2015-09-21 20:50:00,14.29,14.29,14.29,14.29,1
"25",2015-09-21 22:05:00,14.34,14.34,14.34,14.34,1
"26",2015-09-21 22:55:00,14.3,14.3,14.3,14.3,1
"27",2015-09-23 20:31:00,13.61,13.61,13.61,13.61,1
"28",2015-09-24 17:05:00,13.44,13.44,13.44,13.44,1
"29",2015-09-24 17:36:00,13.38,13.38,13.38,13.38,1
"30",2015-09-24 17:38:00,13.37,13.37,13.37,13.37,1
"31",2015-09-24 19:35:00,13.53,13.53,13.53,13.53,1
"32",2015-10-07 16:31:00,14.51,14.51,14.51,14.51,3
