"","time","open","high","low","close","volume"
"1",2016-08-03 16:41:00,13.54,13.54,13.54,13.54,30
"2",2016-08-03 17:29:00,13.53,13.53,13.53,13.53,33
"3",2016-08-03 17:31:00,13.51,13.51,13.51,13.51,17
"4",2016-08-04 16:35:00,13.75,13.75,13.75,13.75,33
"5",2016-08-05 12:49:00,14.09,14.09,14.09,14.09,200
"6",2016-08-05 12:50:00,14.09,14.09,14.09,14.09,100
"7",2016-08-05 13:52:00,14.12,14.12,14.12,14.12,1
"8",2016-08-05 15:31:00,14.11,14.11,14.09,14.09,22
"9",2016-08-05 15:50:00,14.12,14.12,14.12,14.12,1
"10",2016-08-05 18:05:00,14.75,14.75,14.75,14.75,200
"11",2016-08-05 21:27:00,14.49,14.49,14.49,14.49,272
"12",2016-08-05 21:28:00,14.49,14.49,14.49,14.49,136
"13",2016-08-09 20:05:00,14.5,14.5,14.5,14.5,20
"14",2016-08-09 22:07:00,14.47,14.47,14.47,14.47,140
"15",2016-08-10 13:35:00,14.54,14.54,14.54,14.54,5
"16",2016-08-10 21:37:00,14.18,14.18,14.18,14.18,2
"17",2016-08-11 11:27:00,14.24,14.24,14.24,14.24,33
"18",2016-08-11 19:07:00,14.25,14.25,14.25,14.25,23
"19",2016-08-12 17:57:00,14.83,14.84,14.83,14.83,2120
"20",2016-08-12 17:58:00,14.83,14.83,14.83,14.83,50
"21",2016-08-15 17:52:00,15.53,15.53,15.53,15.53,50
"22",2016-08-15 18:54:00,15.51,15.51,15.51,15.51,3
"23",2016-08-17 10:46:00,15.39,15.39,15.39,15.39,155
"24",2016-08-17 10:47:00,15.39,15.39,15.39,15.39,52
"25",2016-08-17 11:05:00,15.4,15.4,15.4,15.4,51
"26",2016-08-17 18:42:00,15.72,15.72,15.72,15.72,1
"27",2016-08-17 19:18:00,15.65,15.65,15.65,15.65,1
"28",2016-08-23 22:13:00,16.2,16.2,16.2,16.2,25
"29",2016-08-24 16:33:00,16.2,16.2,16.2,16.2,5
"30",2016-08-25 11:40:00,15.63,15.63,15.63,15.63,1
"31",2016-08-25 11:42:00,15.63,15.63,15.63,15.63,2
"32",2016-08-29 19:37:00,16.98,16.98,16.98,16.98,60
"33",2016-08-30 18:44:00,16.55,16.55,16.55,16.55,2
"34",2016-08-30 18:47:00,16.56,16.56,16.56,16.56,1
"35",2016-08-31 17:40:00,16.33,16.33,16.33,16.33,272
"36",2016-09-02 20:39:00,16.66,16.66,16.66,16.66,1
"37",2016-09-06 16:24:00,16.84,16.84,16.84,16.84,1
"38",2016-09-06 22:12:00,17,17,17,17,115
"39",2016-09-06 22:32:00,17.02,17.02,17.02,17.02,1
"40",2016-09-06 22:48:00,17.04,17.04,17.04,17.04,15
"41",2016-09-07 22:34:00,17.15,17.15,17.15,17.15,12
"42",2016-09-08 11:01:00,17.48,17.48,17.48,17.48,1
"43",2016-09-08 11:02:00,17.48,17.48,17.48,17.48,1
"44",2016-09-08 17:21:00,16.98,16.98,16.98,16.98,1
"45",2016-09-08 18:06:00,17.44,17.44,17.44,17.44,370
"46",2016-09-08 18:07:00,17.44,17.44,17.44,17.44,757
"47",2016-09-08 19:10:00,17.49,17.49,17.49,17.49,3100
"48",2016-09-08 19:12:00,17.49,17.49,17.49,17.49,23
"49",2016-09-08 19:30:00,17.45,17.45,17.45,17.45,67
"50",2016-09-09 22:38:00,16.9,16.9,16.9,16.9,115
"51",2016-09-12 10:43:00,16.6,16.6,16.6,16.6,63
"52",2016-09-12 14:33:00,16.53,16.53,16.53,16.53,50
"53",2016-09-12 14:49:00,16.5,16.5,16.5,16.5,2
"54",2016-09-12 17:04:00,16.74,16.74,16.74,16.74,1
"55",2016-09-13 22:51:00,16.7,16.7,16.7,16.7,27
"56",2016-09-15 13:14:00,16.94,16.94,16.94,16.94,5
"57",2016-09-16 16:23:00,18,18,18,18,78
"58",2016-09-16 18:06:00,17.64,17.64,17.64,17.64,1
"59",2016-09-19 10:46:00,17.51,17.51,17.51,17.51,1
"60",2016-09-19 17:40:00,17.38,17.38,17.38,17.38,1
"61",2016-09-20 22:00:00,16.85,16.85,16.85,16.85,160
"62",2016-09-21 11:35:00,17.08,17.08,17.08,17.08,1
"63",2016-09-21 17:10:00,17.61,17.61,17.61,17.61,4
"64",2016-09-23 20:21:00,17.63,17.63,17.63,17.63,27
