"","time","open","high","low","close","volume"
"1",2016-08-01 16:37:00,234.1,234.1,233.88,233.88,200
"2",2016-08-01 17:12:00,232.23,232.23,232.23,232.23,1
"3",2016-08-01 17:19:00,233.6,233.6,233.6,233.6,200
"4",2016-08-01 17:22:00,233.4,233.4,233.4,233.4,200
"5",2016-08-01 18:04:00,234.15,234.15,234.15,234.15,25
"6",2016-08-01 18:17:00,235.61,235.61,235.61,235.61,2
"7",2016-08-01 19:13:00,233.03,233.03,233.03,233.03,80
"8",2016-08-01 19:46:00,233.92,233.92,233.72,233.72,240
"9",2016-08-01 19:47:00,233.36,233.36,233.36,233.36,10
"10",2016-08-01 19:52:00,232.83,232.83,232.83,232.83,80
"11",2016-08-01 22:03:00,230.55,230.55,230.55,230.55,50
"12",2016-08-02 12:03:00,229.78,229.78,229.78,229.78,3
"13",2016-08-02 12:39:00,229.06,229.06,229.06,229.06,3
"14",2016-08-02 15:42:00,230.21,230.21,230.21,230.21,120
"15",2016-08-02 15:56:00,230.08,230.08,230.08,230.08,60
"16",2016-08-02 17:43:00,223.3,223.3,223.3,223.3,2
"17",2016-08-02 17:47:00,223,223,223,223,2
"18",2016-08-02 18:00:00,222,222,222,222,5
"19",2016-08-02 18:42:00,223.8,223.8,223.8,223.8,5
"20",2016-08-03 15:17:00,226.4,226.4,226.4,226.4,1
"21",2016-08-03 16:40:00,226,226.68,226,226.68,90
"22",2016-08-03 16:50:00,229.04,229.24,229.04,229.24,200
"23",2016-08-03 16:58:00,228.69,228.69,228.69,228.69,14
"24",2016-08-03 20:56:00,226.06,226.06,226.06,226.06,45
"25",2016-08-04 11:21:00,223.11,223.11,223.11,223.11,2
"26",2016-08-04 11:52:00,223.48,223.48,223.48,223.48,1
"27",2016-08-04 15:21:00,226.03,226.03,226.03,226.03,5
"28",2016-08-04 15:22:00,225.96,225.96,225.92,225.92,120
"29",2016-08-04 15:23:00,226.08,226.08,226.07,226.07,5
"30",2016-08-04 15:45:00,225.57,225.57,225.4,225.4,120
"31",2016-08-04 16:28:00,225.45,225.45,225.45,225.45,1
"32",2016-08-04 16:30:00,225.4,225.4,225.4,225.4,3
"33",2016-08-04 16:33:00,225.4,225.4,225.4,225.4,17
"34",2016-08-04 17:12:00,225.12,225.12,225.12,225.12,80
"35",2016-08-04 17:14:00,224.5,224.5,224.5,224.5,1
"36",2016-08-04 17:18:00,224.39,224.39,224.39,224.39,78
"37",2016-08-04 17:27:00,224.65,224.65,224.65,224.65,1
"38",2016-08-04 17:28:00,224.87,224.87,224.87,224.87,2
"39",2016-08-04 18:14:00,225.45,225.45,225.45,225.45,1
"40",2016-08-04 18:34:00,224.88,224.88,224.88,224.88,3
"41",2016-08-04 19:14:00,225.5,225.5,225.5,225.5,5
"42",2016-08-04 20:26:00,226.77,226.77,226.77,226.77,2
"43",2016-08-05 10:42:00,230.44,230.44,230.44,230.44,2
"44",2016-08-05 16:20:00,229.6,229.6,229.6,229.6,1
"45",2016-08-05 16:25:00,229.42,229.42,229.42,229.42,1
"46",2016-08-05 16:44:00,230.67,230.67,230.67,230.67,4
"47",2016-08-05 20:07:00,229.76,229.76,229.76,229.76,1
"48",2016-08-05 21:42:00,229.48,229.48,229.48,229.48,2
"49",2016-08-05 21:43:00,229.49,229.49,229.49,229.49,66
"50",2016-08-05 21:44:00,229.49,229.49,229.49,229.49,134
"51",2016-08-05 22:17:00,229.69,229.69,229.69,229.69,200
"52",2016-08-08 10:42:00,226.63,226.63,226.63,226.63,15
"53",2016-08-08 14:05:00,227.22,227.22,227.22,227.22,1
"54",2016-08-08 14:06:00,227.81,227.81,227.81,227.81,1
"55",2016-08-08 14:09:00,227.18,227.18,227.18,227.18,1
"56",2016-08-08 14:13:00,227.43,227.43,227.43,227.43,2
"57",2016-08-08 18:32:00,227.8,228,227.8,228,400
"58",2016-08-08 20:34:00,228.43,228.43,228.43,228.43,3
"59",2016-08-09 16:51:00,230.7,230.7,230.7,230.7,199
"60",2016-08-09 16:56:00,230.58,230.58,230.58,230.58,5
"61",2016-08-09 17:00:00,230.53,230.53,230.53,230.53,2
"62",2016-08-09 22:03:00,228.88,228.88,228.88,228.88,10
"63",2016-08-10 19:07:00,225.4,225.4,225.4,225.4,5
"64",2016-08-10 19:36:00,225.17,225.17,225.17,225.17,2
"65",2016-08-10 21:42:00,224.86,224.86,224.86,224.86,3
"66",2016-08-11 14:49:00,225.88,225.88,225.88,225.88,1
"67",2016-08-11 14:50:00,225.95,225.95,225.95,225.95,1
"68",2016-08-11 15:16:00,226.51,226.51,226.51,226.51,1
"69",2016-08-11 16:47:00,225.65,225.65,225.65,225.65,1
"70",2016-08-11 16:54:00,226.25,226.25,226.25,226.25,2
"71",2016-08-11 18:12:00,223.96,223.96,223.96,223.96,2
"72",2016-08-12 18:03:00,226.48,226.48,226.48,226.48,2
"73",2016-08-12 18:38:00,226.18,226.18,226.18,226.18,5
"74",2016-08-15 12:39:00,225.45,225.45,225.45,225.45,1
"75",2016-08-15 12:44:00,225.45,225.45,225.45,225.45,1
"76",2016-08-15 16:40:00,227.73,227.73,227.73,227.73,4
"77",2016-08-15 16:53:00,227.94,227.94,227.94,227.94,2
"78",2016-08-15 17:09:00,228.38,228.38,228.38,228.38,30
"79",2016-08-15 17:10:00,228.34,228.34,228.34,228.34,30
"80",2016-08-15 17:48:00,228.37,228.37,228.37,228.37,2
"81",2016-08-15 18:51:00,227.71,227.71,227.71,227.71,2
"82",2016-08-15 19:15:00,227.71,227.71,227.71,227.71,20
"83",2016-08-15 20:13:00,226.85,226.85,226.85,226.85,2
"84",2016-08-15 20:21:00,226.83,226.83,226.81,226.81,100
"85",2016-08-15 20:22:00,226.83,226.83,226.82,226.83,200
"86",2016-08-15 22:11:00,226.03,226.03,226.03,226.03,2
"87",2016-08-16 12:14:00,224.47,224.47,224.47,224.47,13
"88",2016-08-16 12:15:00,224.47,224.47,224.47,224.47,7
"89",2016-08-16 17:12:00,225.98,225.98,225.98,225.98,165
"90",2016-08-16 18:22:00,225,225,225,225,5
"91",2016-08-16 18:39:00,224.89,224.89,224.89,224.89,1
"92",2016-08-16 20:57:00,224.7,224.7,224.5,224.7,450
"93",2016-08-16 20:58:00,224.45,224.45,224.45,224.45,50
"94",2016-08-16 21:18:00,223.96,223.96,223.96,223.96,5
"95",2016-08-16 22:52:00,224.08,224.08,224.08,224.08,1
"96",2016-08-17 16:34:00,223.51,223.51,223.51,223.51,25
"97",2016-08-17 16:58:00,223.5,223.5,223.5,223.5,5
"98",2016-08-17 17:44:00,223,223,223,223,1
"99",2016-08-17 18:14:00,222.85,222.85,222.85,222.85,1
"100",2016-08-18 12:42:00,222.91,222.91,222.91,222.91,1
"101",2016-08-18 16:49:00,222.6,222.6,222.6,222.6,1
"102",2016-08-18 18:26:00,225.01,225.01,225.01,225.01,25
"103",2016-08-18 19:53:00,224.01,224.01,224.01,224.01,30
"104",2016-08-18 21:34:00,223.36,223.36,223.36,223.36,25
"105",2016-08-19 10:15:00,223.5,223.5,223.5,223.5,2
"106",2016-08-19 11:20:00,223,223,223,223,2
"107",2016-08-19 18:01:00,223.8,223.8,223.8,223.8,4
"108",2016-08-19 19:24:00,223.36,223.36,223.36,223.36,1
"109",2016-08-19 20:13:00,223.04,223.04,223.04,223.04,15
"110",2016-08-19 20:21:00,222.8,222.8,222.8,222.8,30
"111",2016-08-19 21:28:00,223.89,223.89,223.89,223.89,45
"112",2016-08-19 22:25:00,224.83,224.83,224.83,224.83,4
"113",2016-08-19 22:51:00,225,225,225,225,30
"114",2016-08-22 16:28:00,224.48,224.48,224.48,224.48,25
"115",2016-08-22 17:09:00,224.56,224.56,224.56,224.56,1
"116",2016-08-22 17:10:00,224.64,224.64,224.64,224.64,1
"117",2016-08-22 18:11:00,224.01,224.01,224.01,224.01,35
"118",2016-08-22 19:03:00,223.17,223.17,223.17,223.17,50
"119",2016-08-22 19:59:00,223.75,223.75,223.75,223.75,1
"120",2016-08-22 22:06:00,223.35,223.35,223.35,223.35,1
"121",2016-08-22 22:57:00,223,223,223,223,20
"122",2016-08-23 14:31:00,224.07,224.07,224.07,224.07,2
"123",2016-08-23 18:24:00,224.19,224.19,224.19,224.19,20
"124",2016-08-23 18:26:00,225.77,225.77,225.77,225.77,60
"125",2016-08-23 18:27:00,225.52,225.52,225.52,225.52,30
"126",2016-08-23 18:29:00,226.06,226.29,226.06,226.29,15
"127",2016-08-23 18:38:00,226.01,226.01,226.01,226.01,10
"128",2016-08-23 18:43:00,226.6,226.6,226.6,226.6,60
"129",2016-08-23 19:01:00,226.93,226.93,226.93,226.93,2
"130",2016-08-23 19:34:00,226.67,226.67,226.67,226.67,4
"131",2016-08-23 21:43:00,227.66,227.66,227.66,227.66,25
"132",2016-08-23 22:54:00,224.78,224.78,224.78,224.78,30
"133",2016-08-24 10:14:00,225.79,225.79,225.78,225.78,71
"134",2016-08-24 10:16:00,225.83,225.83,225.83,225.83,6
"135",2016-08-24 16:35:00,225.83,225.83,225.83,225.83,1
"136",2016-08-24 16:40:00,226.77,226.77,226.77,226.77,30
"137",2016-08-24 16:47:00,225.6,225.6,225.6,225.6,5
"138",2016-08-24 17:23:00,224.51,224.51,224.51,224.51,64
"139",2016-08-24 17:35:00,224.66,224.66,224.66,224.66,64
"140",2016-08-24 18:10:00,224.96,224.96,224.96,224.96,2
"141",2016-08-24 18:21:00,224.02,224.02,224.02,224.02,40
"142",2016-08-24 21:23:00,223.5,223.5,223.5,223.5,1
"143",2016-08-24 22:10:00,223.1,223.1,223.1,223.1,40
"144",2016-08-24 22:49:00,222.39,222.39,222.39,222.39,20
"145",2016-08-25 11:37:00,222.59,222.59,222.59,222.59,1
"146",2016-08-25 11:58:00,222.28,222.28,222.28,222.28,15
"147",2016-08-25 14:47:00,223.22,223.22,223.22,223.22,4
"148",2016-08-25 14:48:00,223.23,223.23,223.23,223.23,1
"149",2016-08-25 14:49:00,223.25,223.25,223.25,223.25,1
"150",2016-08-25 14:57:00,223.26,223.26,223.26,223.26,3
"151",2016-08-25 17:08:00,222.8,222.8,222.8,222.8,47
"152",2016-08-25 17:23:00,222.83,222.83,222.83,222.83,47
"153",2016-08-25 18:27:00,223.3,223.3,223.3,223.3,1
"154",2016-08-25 20:43:00,222,222,222,222,5
"155",2016-08-25 22:53:00,221.02,221.02,221.02,221.02,20
"156",2016-08-26 14:59:00,221.47,221.47,221.47,221.47,2
"157",2016-08-26 19:01:00,220.01,220.01,220.01,220.01,25
"158",2016-08-26 20:21:00,220.31,220.31,220.31,220.31,5
"159",2016-08-26 21:00:00,219.55,219.55,219.55,219.55,13
"160",2016-08-26 22:16:00,219.55,219.55,219.55,219.55,3
"161",2016-08-26 22:33:00,220.1,220.1,220.1,220.1,1
"162",2016-08-29 10:37:00,219.25,219.25,219.25,219.25,3
"163",2016-08-29 16:59:00,215.58,215.58,215.58,215.58,2
"164",2016-08-29 17:48:00,216.24,216.24,216.24,216.24,25
"165",2016-08-29 20:26:00,216.88,216.88,216.88,216.88,5
"166",2016-08-29 21:26:00,216.24,216.24,216.24,216.24,5
"167",2016-08-29 21:40:00,215.5,215.5,215.5,215.5,2
"168",2016-08-30 16:42:00,213.82,213.82,213.82,213.82,1
