"","time","open","high","low","close","volume"
"1",2017-08-01 00:56:00,14.72,14.72,14.72,14.72,500
"2",2017-08-01 00:58:00,14.76,14.76,14.76,14.76,100
"3",2017-08-01 01:08:00,14.79,14.79,14.79,14.79,65
"4",2017-08-01 01:25:00,14.72,14.72,14.72,14.72,165
"5",2017-08-01 02:19:00,14.75,14.75,14.75,14.75,5
"6",2017-08-01 02:29:00,14.74,14.75,14.74,14.75,700
"7",2017-08-01 02:37:00,14.75,14.75,14.75,14.75,800
"8",2017-08-01 12:15:00,14.68,14.68,14.68,14.68,1000
"9",2017-08-01 14:57:00,14.67,14.67,14.67,14.67,130
"10",2017-08-01 15:20:00,14.67,14.68,14.67,14.68,1289
"11",2017-08-01 16:31:00,14.62,14.63,14.6,14.6,12652
"12",2017-08-01 16:32:00,14.6,14.61,14.59,14.61,17900
"13",2017-08-01 16:33:00,14.61,14.66,14.61,14.65,10793
"14",2017-08-01 16:34:00,14.65,14.66,14.64,14.64,33666
"15",2017-08-01 16:35:00,14.62,14.69,14.62,14.67,4470
"16",2017-08-01 16:36:00,14.67,14.67,14.63,14.64,11418
"17",2017-08-01 16:37:00,14.64,14.66,14.62,14.63,25139
"18",2017-08-01 16:38:00,14.62,14.63,14.6,14.63,16829
"19",2017-08-01 16:39:00,14.65,14.66,14.61,14.62,11502
"20",2017-08-01 16:40:00,14.62,14.62,14.56,14.58,15941
"21",2017-08-01 16:41:00,14.59,14.59,14.57,14.58,5196
"22",2017-08-01 16:42:00,14.58,14.59,14.58,14.59,2200
"23",2017-08-01 16:43:00,14.59,14.59,14.56,14.56,1700
"24",2017-08-01 16:44:00,14.56,14.56,14.54,14.56,4110
"25",2017-08-01 16:45:00,14.56,14.56,14.55,14.56,1449
"26",2017-08-01 16:46:00,14.56,14.56,14.55,14.56,5700
"27",2017-08-01 16:47:00,14.56,14.58,14.56,14.56,13550
"28",2017-08-01 16:48:00,14.56,14.56,14.54,14.54,9900
"29",2017-08-01 16:49:00,14.54,14.54,14.52,14.53,15959
"30",2017-08-01 16:50:00,14.52,14.52,14.48,14.48,10593
"31",2017-08-01 16:51:00,14.48,14.49,14.48,14.48,9297
"32",2017-08-01 16:52:00,14.48,14.5,14.48,14.49,1400
"33",2017-08-01 16:53:00,14.49,14.5,14.49,14.5,6382
"34",2017-08-01 16:54:00,14.49,14.5,14.49,14.5,1687
"35",2017-08-01 16:55:00,14.49,14.49,14.45,14.45,5563
"36",2017-08-01 16:56:00,14.44,14.46,14.44,14.46,1403
"37",2017-08-01 16:57:00,14.46,14.46,14.44,14.44,1700
"38",2017-08-01 16:58:00,14.44,14.46,14.44,14.46,3313
"39",2017-08-01 16:59:00,14.46,14.49,14.46,14.49,1700
"40",2017-08-01 17:00:00,14.48,14.48,14.45,14.47,6955
"41",2017-08-01 17:01:00,14.47,14.48,14.45,14.46,5694
"42",2017-08-01 17:02:00,14.47,14.51,14.46,14.5,4284
"43",2017-08-01 17:03:00,14.5,14.5,14.49,14.49,2926
"44",2017-08-01 17:04:00,14.49,14.5,14.48,14.49,5909
"45",2017-08-01 17:05:00,14.5,14.5,14.5,14.5,19344
"46",2017-08-01 17:06:00,14.5,14.5,14.49,14.5,38244
"47",2017-08-01 17:07:00,14.5,14.51,14.5,14.5,24335
"48",2017-08-01 17:08:00,14.5,14.5,14.5,14.5,16878
"49",2017-08-01 17:09:00,14.5,14.5,14.5,14.5,15094
"50",2017-08-01 17:10:00,14.5,14.5,14.5,14.5,4120
"51",2017-08-01 17:11:00,14.49,14.49,14.48,14.48,2308
"52",2017-08-01 17:12:00,14.5,14.51,14.5,14.51,1800
"53",2017-08-01 17:13:00,14.52,14.53,14.52,14.52,8764
"54",2017-08-01 17:14:00,14.52,14.54,14.52,14.54,2300
"55",2017-08-01 17:15:00,14.53,14.54,14.53,14.54,1215
