"","time","open","high","low","close","volume"
"1",2017-08-01 09:31:00,54.2,54.28,54.2,54.24,6800
"2",2017-08-01 09:32:00,54.25,54.26,54.13,54.13,5600
"3",2017-08-01 09:33:00,54.18,54.21,54.16,54.18,3900
"4",2017-08-01 09:34:00,54.2,54.24,54.16,54.23,11027
"5",2017-08-01 09:35:00,54.24,54.25,54.23,54.24,4838
"6",2017-08-01 09:36:00,54.24,54.25,54.19,54.22,13262
"7",2017-08-01 09:37:00,54.22,54.22,54.15,54.15,13122
"8",2017-08-01 09:38:00,54.15,54.18,54.13,54.17,3726
"9",2017-08-01 09:39:00,54.16,54.16,54.12,54.15,2400
"10",2017-08-01 09:40:00,54.16,54.18,54.14,54.17,1841
"11",2017-08-01 09:41:00,54.19,54.21,54.17,54.18,4568
"12",2017-08-01 09:42:00,54.18,54.26,54.18,54.24,3100
"13",2017-08-01 09:43:00,54.23,54.28,54.225,54.28,6443
"14",2017-08-01 09:44:00,54.28,54.29,54.28,54.29,1693
"15",2017-08-01 09:45:00,54.28,54.3,54.28,54.29,3075
"16",2017-08-01 09:46:00,54.32,54.34,54.31,54.31,6245
"17",2017-08-01 09:47:00,54.3,54.38,54.3,54.38,2490
"18",2017-08-01 09:48:00,54.38,54.38,54.36,54.38,3389
"19",2017-08-01 09:49:00,54.37,54.37,54.32,54.33,4100
"20",2017-08-01 09:50:00,54.36,54.385,54.33,54.33,6558
"21",2017-08-01 09:51:00,54.33,54.33,54.28,54.28,4480
"22",2017-08-01 09:52:00,54.28,54.29,54.27,54.29,2600
"23",2017-08-01 09:53:00,54.28,54.3,54.28,54.28,2411
"24",2017-08-01 09:54:00,54.24,54.26,54.24,54.26,1700
"25",2017-08-01 09:55:00,54.26,54.26,54.22,54.22,2465
"26",2017-08-01 09:56:00,54.21,54.23,54.17,54.22,6836
"27",2017-08-01 09:57:00,54.22,54.22,54.16,54.16,2729
"28",2017-08-01 09:58:00,54.16,54.18,54.16,54.18,1004
"29",2017-08-01 09:59:00,54.19,54.19,54.15,54.15,6612
"30",2017-08-01 10:00:00,54.195,54.215,54.16,54.16,6144
"31",2017-08-01 10:01:00,54.17,54.22,54.17,54.22,4715
"32",2017-08-01 10:02:00,54.2,54.23,54.19,54.22,1600
"33",2017-08-01 10:03:00,54.19,54.21,54.17,54.17,3000
"34",2017-08-01 10:04:00,54.2,54.2,54.2,54.2,200
"35",2017-08-01 10:05:00,54.18,54.2,54.17,54.17,1800
"36",2017-08-01 10:06:00,54.2,54.2,54.18,54.18,600
"37",2017-08-01 10:07:00,54.2,54.2,54.19,54.19,500
"38",2017-08-01 10:08:00,54.2,54.22,54.195,54.195,800
"39",2017-08-01 10:09:00,54.21,54.21,54.2,54.21,500
"40",2017-08-01 10:10:00,54.23,54.24,54.21,54.22,1600
"41",2017-08-01 10:11:00,54.19,54.2,54.19,54.2,200
"42",2017-08-01 10:12:00,54.195,54.21,54.195,54.21,400
"43",2017-08-01 10:13:00,54.215,54.26,54.215,54.26,5300
"44",2017-08-01 10:14:00,54.27,54.29,54.27,54.29,2500
"45",2017-08-01 10:15:00,54.29,54.3,54.28,54.29,5308
"46",2017-08-01 10:16:00,54.29,54.29,54.26,54.26,1500
"47",2017-08-01 10:17:00,54.27,54.27,54.23,54.24,1600
"48",2017-08-01 10:18:00,54.235,54.25,54.18,54.18,1560
"49",2017-08-01 10:19:00,54.18,54.19,54.18,54.19,1400
"50",2017-08-01 10:20:00,54.19,54.2,54.19,54.2,993
"51",2017-08-01 10:21:00,54.18,54.18,54.14,54.14,3300
"52",2017-08-01 10:22:00,54.14,54.15,54.14,54.15,700
"53",2017-08-01 10:23:00,54.16,54.16,54.15,54.15,200
"54",2017-08-01 10:24:00,54.15,54.17,54.14,54.17,1300
"55",2017-08-01 10:25:00,54.16,54.16,54.09,54.1,3700
"56",2017-08-01 10:26:00,54.07,54.08,54.06,54.08,900
"57",2017-08-01 10:27:00,54.04,54.06,54.04,54.05,1100
"58",2017-08-01 10:28:00,54.04,54.07,54.04,54.05,9612
"59",2017-08-01 10:29:00,54.05,54.05,54.04,54.05,600
"60",2017-08-01 10:30:00,54.04,54.04,54.02,54.03,1243
"61",2017-08-01 10:31:00,54.03,54.06,54.03,54.05,600
"62",2017-08-01 10:32:00,54.045,54.05,54.035,54.035,2600
"63",2017-08-01 10:33:00,54.05,54.06,54.04,54.06,4288
"64",2017-08-01 10:34:00,54.095,54.12,54.095,54.12,2300
"65",2017-08-01 10:35:00,54.12,54.12,54.09,54.1,1960
"66",2017-08-01 10:36:00,54.1,54.1,54.09,54.09,9300
"67",2017-08-01 10:37:00,54.08,54.08,54.07,54.07,700
"68",2017-08-01 10:38:00,54.07,54.07,54.06,54.07,1000
"69",2017-08-01 10:39:00,54.06,54.06,54.06,54.06,200
"70",2017-08-01 10:40:00,54.05,54.07,54.05,54.06,5667
"71",2017-08-01 10:41:00,54.05,54.07,54.05,54.07,3919
"72",2017-08-01 10:42:00,54.06,54.06,54.045,54.045,1400
"73",2017-08-01 10:43:00,54.04,54.1,54.04,54.075,6938
"74",2017-08-01 10:44:00,54.07,54.07,54.06,54.07,900
"75",2017-08-01 10:45:00,54.06,54.065,54.06,54.065,500
"76",2017-08-01 10:46:00,54.065,54.08,54.065,54.08,2000
"77",2017-08-01 10:47:00,54.075,54.075,54.05,54.07,11119
"78",2017-08-01 10:48:00,54.08,54.09,54.05,54.05,4200
"79",2017-08-01 10:49:00,54.06,54.08,54.06,54.075,1700
"80",2017-08-01 10:50:00,54.08,54.08,54.04,54.07,6115
"81",2017-08-01 10:51:00,54.05,54.065,54,54,4380
"82",2017-08-01 10:52:00,54,54.01,53.99,54.005,3300
"83",2017-08-01 10:53:00,54.01,54.04,54.01,54.02,1600
"84",2017-08-01 10:54:00,54.02,54.03,54.02,54.02,1700
"85",2017-08-01 10:55:00,54.03,54.03,54.03,54.03,600
"86",2017-08-01 10:56:00,54.02,54.03,54.01,54.03,1080
"87",2017-08-01 10:57:00,54.04,54.08,54.04,54.07,2695
"88",2017-08-01 10:58:00,54.07,54.09,54.07,54.09,1181
"89",2017-08-01 10:59:00,54.1,54.12,54.1,54.11,1135
"90",2017-08-01 11:00:00,54.11,54.12,54.1,54.1,800
"91",2017-08-01 11:01:00,54.1,54.14,54.1,54.14,700
"92",2017-08-01 11:02:00,54.15,54.15,54.13,54.13,2700
"93",2017-08-01 11:03:00,54.14,54.16,54.14,54.16,1500
"94",2017-08-01 11:04:00,54.17,54.18,54.16,54.17,900
"95",2017-08-01 11:05:00,54.18,54.18,54.15,54.15,700
"96",2017-08-01 11:06:00,54.16,54.16,54.16,54.16,900
"97",2017-08-01 11:07:00,54.16,54.16,54.15,54.15,1565
"98",2017-08-01 11:08:00,54.13,54.13,54.11,54.11,1800
"99",2017-08-01 11:09:00,54.11,54.11,54.095,54.1,2300
"100",2017-08-01 11:10:00,54.09,54.1,54.08,54.08,2005
"101",2017-08-01 11:11:00,54.08,54.085,54.08,54.085,200
"102",2017-08-01 11:12:00,54.09,54.1,54.09,54.095,5800
"103",2017-08-01 11:13:00,54.09,54.1,54.09,54.1,1000
"104",2017-08-01 11:14:00,54.115,54.115,54.09,54.09,412
"105",2017-08-01 11:15:00,54.095,54.095,54.09,54.09,300
"106",2017-08-01 11:16:00,54.08,54.08,54.07,54.075,19567
"107",2017-08-01 11:17:00,54.07,54.07,54.05,54.05,1700
"108",2017-08-01 11:18:00,54.05,54.05,54.05,54.05,1325
"109",2017-08-01 11:19:00,54.05,54.05,54.02,54.02,4000
"110",2017-08-01 11:20:00,54.015,54.02,54.015,54.02,701
"111",2017-08-01 11:21:00,54.01,54.01,54,54,10432
"112",2017-08-01 11:22:00,54.01,54.03,54.01,54.03,2800
"113",2017-08-01 11:23:00,54.02,54.02,54.01,54.01,900
"114",2017-08-01 11:24:00,54.015,54.06,54.015,54.06,1089
"115",2017-08-01 11:25:00,54.06,54.06,54.05,54.05,400
"116",2017-08-01 11:26:00,54.04,54.04,54.03,54.03,1200
"117",2017-08-01 11:27:00,54.03,54.03,54.01,54.03,5200
"118",2017-08-01 11:28:00,54.02,54.03,54.02,54.03,600
"119",2017-08-01 11:29:00,54.035,54.04,54.035,54.04,1600
"120",2017-08-01 11:30:00,54.04,54.04,54.005,54.005,2600
"121",2017-08-01 11:31:00,54.01,54.05,54.01,54.05,1700
"122",2017-08-01 11:32:00,54.04,54.04,54.04,54.04,700
"123",2017-08-01 11:33:00,54.05,54.08,54.05,54.08,900
"124",2017-08-01 11:34:00,54.05,54.05,54.05,54.05,600
"125",2017-08-01 11:35:00,54.05,54.06,54.05,54.06,1100
"126",2017-08-01 11:36:00,54.07,54.07,54.07,54.07,600
"127",2017-08-01 11:37:00,54.06,54.06,54.05,54.05,1453
"128",2017-08-01 11:38:00,54.04,54.05,54.04,54.05,1600
"129",2017-08-01 11:39:00,54.05,54.06,54.05,54.06,1800
"130",2017-08-01 11:40:00,54.07,54.08,54.07,54.07,1785
"131",2017-08-01 11:41:00,54.06,54.07,54.05,54.06,1800
"132",2017-08-01 11:42:00,54.05,54.05,54.05,54.05,1500
"133",2017-08-01 11:43:00,54.05,54.08,54.05,54.07,5825
"134",2017-08-01 11:44:00,54.07,54.075,54.07,54.075,510
"135",2017-08-01 11:45:00,54.07,54.07,54.06,54.07,2207
"136",2017-08-01 11:46:00,54.07,54.07,54.06,54.06,400
"137",2017-08-01 11:47:00,54.07,54.11,54.07,54.09,6907
"138",2017-08-01 11:48:00,54.09,54.09,54.09,54.09,500
"139",2017-08-01 11:49:00,54.1,54.12,54.1,54.11,1300
"140",2017-08-01 11:50:00,54.11,54.13,54.11,54.13,2343
"141",2017-08-01 11:51:00,54.14,54.14,54.13,54.13,1200
"142",2017-08-01 11:52:00,54.13,54.14,54.11,54.11,1100
"143",2017-08-01 11:53:00,54.1,54.1,54.06,54.06,1206
"144",2017-08-01 11:54:00,54.05,54.05,54.02,54.02,4300
"145",2017-08-01 11:55:00,54.01,54.02,54,54.02,1400
"146",2017-08-01 11:56:00,54.01,54.02,54.01,54.02,500
"147",2017-08-01 11:57:00,54.03,54.04,54.03,54.04,300
"148",2017-08-01 11:58:00,54.03,54.03,54.02,54.02,1200
"149",2017-08-01 11:59:00,54.03,54.03,54.02,54.03,3415
"150",2017-08-01 12:00:00,54.03,54.06,54.03,54.06,3071
"151",2017-08-01 12:01:00,54.07,54.07,54.04,54.05,5800
"152",2017-08-01 12:02:00,54.05,54.06,54.05,54.055,9262
"153",2017-08-01 12:03:00,54.0531,54.06,54.05,54.05,9867
"154",2017-08-01 12:04:00,54.05,54.05,54.04,54.04,3703
"155",2017-08-01 12:05:00,54.04,54.05,54.04,54.05,4893
"156",2017-08-01 12:06:00,54.06,54.11,54.06,54.1,4800
"157",2017-08-01 12:07:00,54.1,54.12,54.1,54.12,500
"158",2017-08-01 12:08:00,54.125,54.125,54.1,54.1,600
"159",2017-08-01 12:09:00,54.11,54.11,54.09,54.09,800
"160",2017-08-01 12:10:00,54.085,54.09,54.085,54.09,1400
"161",2017-08-01 12:11:00,54.09,54.09,54.08,54.08,300
"162",2017-08-01 12:12:00,54.09,54.1,54.09,54.09,1900
