"","time","open","high","low","close","volume"
"1",2017-08-01 09:31:00,80.12,80.12,80.12,80.12,300
"2",2017-08-01 09:32:00,80.14,80.2,80.12,80.13,2919
"3",2017-08-01 09:33:00,80.08,80.1,80.08,80.08,1400
"4",2017-08-01 09:34:00,80.05,80.05,80,80.01,3000
"5",2017-08-01 09:35:00,80.01,80.02,79.97,80,5100
"6",2017-08-01 09:36:00,79.98,80,79.98,79.99,2500
"7",2017-08-01 09:37:00,80,80,79.98,79.99,3100
"8",2017-08-01 09:38:00,79.99,80,79.99,80,2200
"9",2017-08-01 09:39:00,80.02,80.02,80.01,80.01,400
"10",2017-08-01 09:40:00,80.03,80.05,80.03,80.05,1000
"11",2017-08-01 09:41:00,80.05,80.11,80.02,80.06,4900
"12",2017-08-01 09:42:00,80.07,80.12,80.07,80.12,2500
"13",2017-08-01 09:43:00,80.12,80.12,80.06,80.09,1000
"14",2017-08-01 09:44:00,80.1,80.1,80.08,80.09,400
"15",2017-08-01 09:45:00,80.05,80.06,80.02,80.03,2270
"16",2017-08-01 09:46:00,80.03,80.07,80.03,80.07,2370
"17",2017-08-01 09:47:00,80.07,80.12,80.06,80.12,3300
"18",2017-08-01 09:48:00,80.12,80.13,80.12,80.13,400
"19",2017-08-01 09:49:00,80.13,80.14,80.13,80.13,1000
"20",2017-08-01 09:50:00,80.13,80.23,80.13,80.215,2069
"21",2017-08-01 09:51:00,80.2,80.24,80.19,80.24,2000
"22",2017-08-01 09:52:00,80.24,80.29,80.24,80.29,1000
"23",2017-08-01 09:53:00,80.28,80.36,80.28,80.36,1600
"24",2017-08-01 09:54:00,80.34,80.37,80.32,80.37,1500
"25",2017-08-01 09:55:00,80.37,80.37,80.29,80.29,1500
"26",2017-08-01 09:56:00,80.3,80.31,80.27,80.27,1200
"27",2017-08-01 09:57:00,80.28,80.33,80.28,80.33,1000
"28",2017-08-01 09:58:00,80.32,80.33,80.32,80.33,600
"29",2017-08-01 09:59:00,80.33,80.33,80.27,80.27,400
"30",2017-08-01 10:00:00,80.27,80.29,80.25,80.29,2369
"31",2017-08-01 10:01:00,80.34,80.38,80.34,80.35,3125
"32",2017-08-01 10:02:00,80.39,80.39,80.36,80.36,900
"33",2017-08-01 10:03:00,80.35,80.39,80.34,80.39,1319
"34",2017-08-01 10:04:00,80.39,80.39,80.36,80.38,1952
"35",2017-08-01 10:05:00,80.39,80.4,80.39,80.4,1500
"36",2017-08-01 10:06:00,80.39,80.41,80.39,80.39,2200
"37",2017-08-01 10:07:00,80.395,80.42,80.395,80.42,600
"38",2017-08-01 10:08:00,80.43,80.44,80.42,80.43,1900
"39",2017-08-01 10:09:00,80.43,80.43,80.42,80.42,300
"40",2017-08-01 10:10:00,80.42,80.45,80.42,80.45,1300
"41",2017-08-01 10:11:00,80.46,80.48,80.44,80.48,3471
"42",2017-08-01 10:12:00,80.48,80.53,80.475,80.515,4595
"43",2017-08-01 10:13:00,80.515,80.53,80.515,80.52,1000
"44",2017-08-01 10:14:00,80.5,80.5,80.5,80.5,900
"45",2017-08-01 10:15:00,80.5,80.52,80.5,80.52,1500
"46",2017-08-01 10:16:00,80.52,80.53,80.5,80.5,1700
"47",2017-08-01 10:17:00,80.51,80.51,80.5,80.51,2100
"48",2017-08-01 10:18:00,80.51,80.53,80.51,80.53,1100
"49",2017-08-01 10:19:00,80.53,80.53,80.5,80.51,2495
"50",2017-08-01 10:20:00,80.52,80.54,80.52,80.54,1501
"51",2017-08-01 10:21:00,80.53,80.53,80.5,80.52,2401
"52",2017-08-01 10:22:00,80.53,80.53,80.52,80.52,600
"53",2017-08-01 10:23:00,80.52,80.52,80.52,80.52,1300
"54",2017-08-01 10:24:00,80.53,80.53,80.5,80.5,1900
"55",2017-08-01 10:25:00,80.49,80.5,80.49,80.49,1100
"56",2017-08-01 10:26:00,80.49,80.5,80.47,80.47,2622
"57",2017-08-01 10:27:00,80.46,80.46,80.42,80.44,754
"58",2017-08-01 10:28:00,80.46,80.46,80.46,80.46,200
"59",2017-08-01 10:29:00,80.47,80.48,80.47,80.48,200
"60",2017-08-01 10:30:00,80.46,80.46,80.45,80.46,1100
"61",2017-08-01 10:31:00,80.46,80.53,80.46,80.53,3595
"62",2017-08-01 10:32:00,80.52,80.52,80.5,80.51,1400
"63",2017-08-01 10:33:00,80.5,80.5,80.5,80.5,700
"64",2017-08-01 10:34:00,80.48,80.48,80.46,80.47,1835
"65",2017-08-01 10:35:00,80.47,80.49,80.455,80.49,1200
"66",2017-08-01 10:36:00,80.48,80.49,80.48,80.49,800
"67",2017-08-01 10:37:00,80.5,80.52,80.5,80.52,1300
"68",2017-08-01 10:38:00,80.51,80.51,80.49,80.49,800
"69",2017-08-01 10:39:00,80.46,80.46,80.45,80.45,300
"70",2017-08-01 10:40:00,80.44,80.44,80.41,80.41,1000
"71",2017-08-01 10:41:00,80.39,80.39,80.37,80.37,700
"72",2017-08-01 10:42:00,80.37,80.39,80.37,80.39,1900
"73",2017-08-01 10:43:00,80.38,80.38,80.37,80.38,1100
"74",2017-08-01 10:44:00,80.39,80.41,80.39,80.41,1324
"75",2017-08-01 10:45:00,80.42,80.42,80.41,80.42,1600
"76",2017-08-01 10:46:00,80.42,80.43,80.41,80.41,2090
"77",2017-08-01 10:47:00,80.39,80.39,80.37,80.37,500
"78",2017-08-01 10:48:00,80.36,80.36,80.36,80.36,200
"79",2017-08-01 10:49:00,80.365,80.37,80.36,80.36,601
"80",2017-08-01 10:50:00,80.36,80.43,80.36,80.43,2200
"81",2017-08-01 10:51:00,80.42,80.42,80.39,80.39,500
"82",2017-08-01 10:52:00,80.38,80.39,80.37,80.37,1300
"83",2017-08-01 10:53:00,80.38,80.4,80.38,80.4,500
"84",2017-08-01 10:54:00,80.42,80.43,80.4,80.43,900
"85",2017-08-01 10:55:00,80.4,80.4,80.4,80.4,100
"86",2017-08-01 10:56:00,80.41,80.41,80.41,80.41,836
"87",2017-08-01 10:57:00,80.42,80.43,80.415,80.43,1300
"88",2017-08-01 10:58:00,80.44,80.45,80.43,80.44,1800
"89",2017-08-01 10:59:00,80.46,80.46,80.44,80.44,700
"90",2017-08-01 11:00:00,80.42,80.44,80.42,80.44,1200
"91",2017-08-01 11:01:00,80.43,80.44,80.43,80.44,800
"92",2017-08-01 11:02:00,80.45,80.49,80.45,80.49,1036
"93",2017-08-01 11:03:00,80.485,80.49,80.46,80.46,1022
"94",2017-08-01 11:04:00,80.46,80.48,80.46,80.48,861
"95",2017-08-01 11:05:00,80.48,80.48,80.48,80.48,400
"96",2017-08-01 11:06:00,80.49,80.5,80.48,80.48,800
"97",2017-08-01 11:07:00,80.47,80.47,80.415,80.42,2300
"98",2017-08-01 11:08:00,80.41,80.41,80.38,80.38,799
"99",2017-08-01 11:09:00,80.37,80.37,80.36,80.36,1100
"100",2017-08-01 11:10:00,80.37,80.37,80.35,80.37,996
"101",2017-08-01 11:11:00,80.34,80.34,80.29,80.33,2070
"102",2017-08-01 11:12:00,80.34,80.36,80.34,80.36,1000
"103",2017-08-01 11:13:00,80.335,80.34,80.335,80.34,200
"104",2017-08-01 11:14:00,80.34,80.35,80.34,80.34,600
"105",2017-08-01 11:15:00,80.305,80.305,80.27,80.27,1100
"106",2017-08-01 11:16:00,80.29,80.29,80.2,80.22,1550
"107",2017-08-01 11:17:00,80.2,80.2,80.19,80.19,700
"108",2017-08-01 11:18:00,80.19,80.19,80.16,80.17,1200
"109",2017-08-01 11:19:00,80.15,80.17,80.135,80.17,800
"110",2017-08-01 11:20:00,80.16,80.17,80.13,80.17,2900
"111",2017-08-01 11:21:00,80.15,80.15,80.12,80.13,1400
"112",2017-08-01 11:22:00,80.13,80.14,80.12,80.14,1700
"113",2017-08-01 11:23:00,80.15,80.18,80.15,80.16,1400
"114",2017-08-01 11:24:00,80.15,80.18,80.14,80.16,1420
"115",2017-08-01 11:25:00,80.16,80.16,80.15,80.15,200
"116",2017-08-01 11:26:00,80.14,80.15,80.14,80.15,600
"117",2017-08-01 11:27:00,80.15,80.15,80.09,80.1,3600
"118",2017-08-01 11:28:00,80.11,80.15,80.11,80.15,5968
"119",2017-08-01 11:29:00,80.14,80.15,80.12,80.14,2400
"120",2017-08-01 11:30:00,80.12,80.15,80.12,80.15,3360
"121",2017-08-01 11:31:00,80.16,80.16,80.13,80.14,1800
"122",2017-08-01 11:32:00,80.13,80.16,80.13,80.15,1800
"123",2017-08-01 11:33:00,80.15,80.15,80.14,80.15,1500
"124",2017-08-01 11:34:00,80.15,80.15,80.11,80.11,900
"125",2017-08-01 11:35:00,80.1,80.1,80.09,80.09,700
"126",2017-08-01 11:36:00,80.09,80.09,80.05,80.08,1600
"127",2017-08-01 11:37:00,80.075,80.1,80.075,80.1,800
"128",2017-08-01 11:38:00,80.1,80.1,80.08,80.08,200
"129",2017-08-01 11:39:00,80.07,80.09,80.07,80.08,600
"130",2017-08-01 11:40:00,80.08,80.09,80.05,80.05,2000
"131",2017-08-01 11:41:00,80.07,80.07,80.05,80.055,1100
"132",2017-08-01 11:42:00,80.06,80.08,80.05,80.08,1500
"133",2017-08-01 11:43:00,80.09,80.11,80.08,80.11,1600
"134",2017-08-01 11:44:00,80.11,80.11,80.08,80.08,900
"135",2017-08-01 11:45:00,80.08,80.08,80.07,80.07,300
"136",2017-08-01 11:46:00,80.05,80.06,80.05,80.06,500
"137",2017-08-01 11:47:00,80.08,80.08,80.07,80.07,600
"138",2017-08-01 11:48:00,80.1,80.1,80.1,80.1,200
"139",2017-08-01 11:49:00,80.11,80.15,80.11,80.15,1200
"140",2017-08-01 11:50:00,80.14,80.15,80.14,80.14,1036
"141",2017-08-01 11:51:00,80.14,80.15,80.14,80.14,1400
"142",2017-08-01 11:52:00,80.14,80.14,80.13,80.13,300
"143",2017-08-01 11:53:00,80.14,80.17,80.14,80.17,1300
"144",2017-08-01 11:54:00,80.18,80.23,80.18,80.23,2197
"145",2017-08-01 11:55:00,80.245,80.245,80.23,80.24,1500
"146",2017-08-01 11:56:00,80.25,80.26,80.25,80.26,200
"147",2017-08-01 11:57:00,80.26,80.26,80.24,80.24,500
"148",2017-08-01 11:58:00,80.23,80.27,80.23,80.27,699
"149",2017-08-01 11:59:00,80.275,80.275,80.265,80.27,800
"150",2017-08-01 12:00:00,80.27,80.27,80.25,80.25,400
"151",2017-08-01 12:01:00,80.25,80.26,80.25,80.26,300
"152",2017-08-01 12:02:00,80.27,80.27,80.27,80.27,600
"153",2017-08-01 12:03:00,80.28,80.28,80.25,80.255,1300
"154",2017-08-01 12:04:00,80.26,80.26,80.235,80.235,12612
"155",2017-08-01 12:05:00,80.23,80.24,80.22,80.24,1796
"156",2017-08-01 12:06:00,80.25,80.27,80.25,80.27,1820
"157",2017-08-01 12:07:00,80.27,80.27,80.26,80.26,1000
"158",2017-08-01 12:08:00,80.26,80.26,80.26,80.26,600
"159",2017-08-01 12:09:00,80.26,80.29,80.26,80.29,900
"160",2017-08-01 12:10:00,80.3,80.3,80.29,80.29,1400
"161",2017-08-01 12:11:00,80.31,80.32,80.31,80.32,500
"162",2017-08-01 12:12:00,80.32,80.32,80.32,80.32,200
"163",2017-08-01 12:13:00,80.33,80.33,80.33,80.33,500
"164",2017-08-01 12:14:00,80.35,80.36,80.35,80.36,1200
"165",2017-08-01 12:15:00,80.37,80.37,80.37,80.37,300
"166",2017-08-01 12:16:00,80.36,80.38,80.36,80.38,600
"167",2017-08-01 12:17:00,80.39,80.39,80.39,80.39,1300
"168",2017-08-01 12:18:00,80.38,80.39,80.38,80.39,2200
"169",2017-08-01 12:19:00,80.39,80.39,80.39,80.39,300
"170",2017-08-01 12:20:00,80.38,80.38,80.38,80.38,100
"171",2017-08-01 12:21:00,80.37,80.37,80.35,80.37,2000
"172",2017-08-01 12:22:00,80.38,80.38,80.35,80.35,1000
"173",2017-08-01 12:23:00,80.36,80.37,80.36,80.37,675
"174",2017-08-01 12:24:00,80.38,80.38,80.36,80.36,1100
"175",2017-08-01 12:25:00,80.38,80.38,80.38,80.38,500
"176",2017-08-01 12:26:00,80.38,80.38,80.37,80.37,510
"177",2017-08-01 12:27:00,80.37,80.38,80.37,80.38,600
"178",2017-08-01 12:28:00,80.38,80.39,80.375,80.38,5265
"179",2017-08-01 12:29:00,80.39,80.39,80.38,80.38,1559
"180",2017-08-01 12:30:00,80.36,80.36,80.36,80.36,300
"181",2017-08-01 12:31:00,80.35,80.35,80.34,80.34,500
"182",2017-08-01 12:32:00,80.33,80.33,80.33,80.33,500
"183",2017-08-01 12:33:00,80.32,80.32,80.32,80.32,200
"184",2017-08-01 12:34:00,80.33,80.33,80.33,80.33,100
"185",2017-08-01 12:35:00,80.34,80.34,80.34,80.34,400
"186",2017-08-01 12:36:00,80.34,80.34,80.34,80.34,500
"187",2017-08-01 12:37:00,80.34,80.34,80.32,80.32,6248
"188",2017-08-01 12:38:00,80.31,80.31,80.29,80.29,700
"189",2017-08-01 12:39:00,80.3,80.3,80.28,80.28,2111
"190",2017-08-01 12:40:00,80.28,80.29,80.28,80.28,1100
"191",2017-08-01 12:41:00,80.29,80.3,80.29,80.29,3100
"192",2017-08-01 12:42:00,80.29,80.3,80.29,80.3,3695
"193",2017-08-01 12:43:00,80.3,80.3,80.29,80.29,700
"194",2017-08-01 12:44:00,80.29,80.29,80.29,80.29,200
"195",2017-08-01 12:45:00,80.3,80.3,80.3,80.3,669
"196",2017-08-01 12:46:00,80.29,80.29,80.27,80.27,901
"197",2017-08-01 12:47:00,80.27,80.27,80.27,80.27,400
"198",2017-08-01 12:48:00,80.25,80.25,80.24,80.24,300
"199",2017-08-01 12:49:00,80.235,80.24,80.23,80.235,1600
"200",2017-08-01 12:50:00,80.23,80.23,80.19,80.2,900
"201",2017-08-01 12:51:00,80.2,80.2,80.2,80.2,200
"202",2017-08-01 12:52:00,80.18,80.18,80.18,80.18,100
"203",2017-08-01 12:53:00,80.18,80.2,80.17,80.2,800
"204",2017-08-01 12:54:00,80.21,80.22,80.21,80.21,800
"205",2017-08-01 12:55:00,80.21,80.21,80.19,80.19,1200
"206",2017-08-01 12:56:00,80.2,80.2,80.19,80.19,2200
"207",2017-08-01 12:57:00,80.185,80.185,80.185,80.185,100
"208",2017-08-01 12:58:00,80.19,80.19,80.175,80.19,2400
"209",2017-08-01 12:59:00,80.2,80.2,80.18,80.18,2200
"210",2017-08-01 13:00:00,80.18,80.18,80.17,80.17,1200
"211",2017-08-01 13:01:00,80.17,80.19,80.17,80.18,2300
"212",2017-08-01 13:02:00,80.18,80.2,80.18,80.2,700
"213",2017-08-01 13:03:00,80.2,80.2,80.16,80.16,6600
"214",2017-08-01 13:04:00,80.15,80.15,80.13,80.15,5348
"215",2017-08-01 13:05:00,80.16,80.25,80.16,80.25,2900
"216",2017-08-01 13:06:00,80.24,80.24,80.24,80.24,499
"217",2017-08-01 13:07:00,80.25,80.25,80.22,80.22,1550
"218",2017-08-01 13:08:00,80.23,80.25,80.18,80.19,15598
"219",2017-08-01 13:09:00,80.19,80.19,80.18,80.18,1700
"220",2017-08-01 13:10:00,80.16,80.16,80.16,80.16,500
"221",2017-08-01 13:11:00,80.16,80.17,80.16,80.17,800
"222",2017-08-01 13:12:00,80.1668,80.17,80.16,80.1654,3106
