"","time","open","high","low","close","volume"
"1",2018-08-01 09:31:00,199.12,199.26,198.21,198.23,19220
"2",2018-08-01 09:32:00,198.24,198.48,197.83,197.94,29215
"3",2018-08-01 09:33:00,197.94,197.94,197.35,197.5,48528
"4",2018-08-01 09:34:00,197.48,198.44,197.48,198.35,42267
"5",2018-08-01 09:35:00,198.39,198.62,198.18,198.45,30605
"6",2018-08-01 09:36:00,198.46,198.7,198.4,198.5,26012
"7",2018-08-01 09:37:00,198.5,198.66,198.08,198.46,27331
"8",2018-08-01 09:38:00,198.48,198.85,198.37,198.81,26622
"9",2018-08-01 09:39:00,198.78,199.02,198.32,198.39,52323
"10",2018-08-01 09:40:00,198.45,198.63,198.31,198.63,21428
"11",2018-08-01 09:41:00,198.6,198.6,197.9,197.92,21945
"12",2018-08-01 09:42:00,197.97,198.3,197.96,198.29,23709
"13",2018-08-01 09:43:00,198.26,198.39,197.98,197.98,19560
"14",2018-08-01 09:44:00,198.03,198.03,197.55,197.77,15885
"15",2018-08-01 09:45:00,197.82,198.01,197.64,198,19550
"16",2018-08-01 09:46:00,198.04,198.14,197.77,198.09,18714
"17",2018-08-01 09:47:00,198.1,198.18,197.92,197.95,28743
"18",2018-08-01 09:48:00,198,198.22,197.93,197.97,20385
"19",2018-08-01 09:49:00,197.94,198.13,197.88,197.94,19223
"20",2018-08-01 09:50:00,197.96,198.16,197.79,197.97,28315
"21",2018-08-01 09:51:00,197.99,198.08,197.75,198.07,28048
"22",2018-08-01 09:52:00,198.1,198.34,197.98,198.08,36456
"23",2018-08-01 09:53:00,198.08,198.18,197.9,197.98,17576
"24",2018-08-01 09:54:00,198,198.5,198,198.35,33101
"25",2018-08-01 09:55:00,198.36,198.5,198.36,198.37,21273
"26",2018-08-01 09:56:00,198.37,198.43,198.22,198.31,14564
"27",2018-08-01 09:57:00,198.31,198.49,198.22,198.38,20072
"28",2018-08-01 09:58:00,198.4,198.84,198.37,198.83,36596
"29",2018-08-01 09:59:00,198.85,198.93,198.8,198.82,32950
"30",2018-08-01 10:00:00,198.82,198.92,198.64,198.75,19816
"31",2018-08-01 10:01:00,198.7,198.99,198.66,198.96,19241
"32",2018-08-01 10:02:00,198.95,198.99,198.78,198.89,18248
"33",2018-08-01 10:03:00,198.87,199.05,198.74,198.77,31523
"34",2018-08-01 10:04:00,198.79,198.88,198.63,198.64,13234
"35",2018-08-01 10:05:00,198.64,198.71,198.43,198.67,15829
"36",2018-08-01 10:06:00,198.71,198.81,198.65,198.7,11727
"37",2018-08-01 10:07:00,198.68,198.68,198.22,198.33,39277
"38",2018-08-01 10:08:00,198.27,198.27,198.09,198.15,47664
"39",2018-08-01 10:09:00,198.14,198.24,197.92,198.14,40776
"40",2018-08-01 10:10:00,198.12,198.385,198.07,198.35,36188
"41",2018-08-01 10:11:00,198.35,198.37,198.085,198.27,17206
"42",2018-08-01 10:12:00,198.3,198.4,198.13,198.17,15339
"43",2018-08-01 10:13:00,198.16,198.33,198.16,198.22,9367
"44",2018-08-01 10:14:00,198.21,198.23,198.09,198.16,10220
"45",2018-08-01 10:15:00,198.16,198.67,198.16,198.67,30780
"46",2018-08-01 10:16:00,198.69,198.84,198.64,198.75,20517
"47",2018-08-01 10:17:00,198.73,198.92,198.72,198.86,12919
"48",2018-08-01 10:18:00,198.86,198.88,198.72,198.76,12699
"49",2018-08-01 10:19:00,198.81,199.24,198.79,199.11,46963
"50",2018-08-01 10:20:00,199.07,199.36,199.01,199.26,23253
"51",2018-08-01 10:21:00,199.29,199.47,199.21,199.28,17168
"52",2018-08-01 10:22:00,199.31,199.54,199.31,199.53,32543
"53",2018-08-01 10:23:00,199.53,199.74,199.53,199.73,29464
"54",2018-08-01 10:24:00,199.68,199.73,199.57,199.71,13325
"55",2018-08-01 10:25:00,199.75,199.78,199.69,199.75,10778
"56",2018-08-01 10:26:00,199.77,199.78,199.54,199.63,13820
"57",2018-08-01 10:27:00,199.67,199.76,199.67,199.75,9561
"58",2018-08-01 10:28:00,199.72,199.79,199.58,199.7,10207
"59",2018-08-01 10:29:00,199.7,199.78,199.7,199.76,7552
"60",2018-08-01 10:30:00,199.75,199.77,199.59,199.61,20401
"61",2018-08-01 10:31:00,199.61,199.87,199.61,199.78,20324
"62",2018-08-01 10:32:00,199.78,199.89,199.78,199.89,19713
"63",2018-08-01 10:33:00,199.875,199.925,199.81,199.9,21495
"64",2018-08-01 10:34:00,199.9,199.94,199.76,199.77,18676
"65",2018-08-01 10:35:00,199.8,199.97,199.8,199.95,22340
"66",2018-08-01 10:36:00,199.93,199.96,199.87,199.91,19605
"67",2018-08-01 10:37:00,199.92,199.94,199.79,199.8,22646
"68",2018-08-01 10:38:00,199.82,200,199.8,199.95,41695
"69",2018-08-01 10:39:00,199.95,199.98,199.88,199.91,24949
"70",2018-08-01 10:40:00,199.92,200,199.85,199.97,15654
"71",2018-08-01 10:41:00,199.99,200,199.85,199.86,71990
"72",2018-08-01 10:42:00,199.88,199.92,199.82,199.92,21992
"73",2018-08-01 10:43:00,199.91,199.95,199.88,199.94,11378
"74",2018-08-01 10:44:00,199.96,200.25,199.93,200.22,65445
"75",2018-08-01 10:45:00,200.22,200.48,200.19,200.47,31687
"76",2018-08-01 10:46:00,200.46,200.49,200.33,200.41,12729
"77",2018-08-01 10:47:00,200.43,200.77,200.4,200.73,14745
"78",2018-08-01 10:48:00,200.74,200.8,200.66,200.68,8817
"79",2018-08-01 10:49:00,200.67,200.84,200.67,200.84,17263
"80",2018-08-01 10:50:00,200.79,201.07,200.79,201.03,34196
"81",2018-08-01 10:51:00,201.01,201.31,200.91,201.11,29867
"82",2018-08-01 10:52:00,201.09,201.18,200.83,200.83,5199
"83",2018-08-01 10:53:00,200.835,200.85,200.59,200.62,8971
"84",2018-08-01 10:54:00,200.59,200.62,200.36,200.37,16700
"85",2018-08-01 10:55:00,200.37,200.61,200.35,200.52,8408
"86",2018-08-01 10:56:00,200.52,200.55,200.18,200.38,10533
"87",2018-08-01 10:57:00,200.28,200.5,200.28,200.44,5217
"88",2018-08-01 10:58:00,200.42,200.76,200.41,200.74,14853
"89",2018-08-01 10:59:00,200.74,200.785,200.54,200.58,8445
"90",2018-08-01 11:00:00,200.57,200.6,200.31,200.4,8873
"91",2018-08-01 11:01:00,200.44,200.56,200.4,200.41,8187
"92",2018-08-01 11:02:00,200.4,200.46,200.31,200.43,10408
"93",2018-08-01 11:03:00,200.47,200.55,200.41,200.54,6246
"94",2018-08-01 11:04:00,200.52,200.65,200.49,200.59,8557
"95",2018-08-01 11:05:00,200.63,200.89,200.63,200.89,21703
"96",2018-08-01 11:06:00,200.87,200.87,200.52,200.58,10238
"97",2018-08-01 11:07:00,200.56,200.56,200.13,200.13,21648
"98",2018-08-01 11:08:00,200.16,200.16,200,200.08,12906
"99",2018-08-01 11:09:00,200.09,200.25,200.09,200.16,6671
"100",2018-08-01 11:10:00,200.15,200.23,200.07,200.19,7813
"101",2018-08-01 11:11:00,200.2,200.35,200.2,200.35,7498
"102",2018-08-01 11:12:00,200.345,200.43,200.34,200.35,10835
"103",2018-08-01 11:13:00,200.34,200.37,200.18,200.21,28242
"104",2018-08-01 11:14:00,200.24,200.31,200.15,200.28,11617
"105",2018-08-01 11:15:00,200.3,200.45,200.3,200.45,8670
"106",2018-08-01 11:16:00,200.46,200.46,200.31,200.32,6560
"107",2018-08-01 11:17:00,200.32,200.39,200.25,200.39,14813
