"","time","open","high","low","close","volume"
"1",2018-08-01 16:13:00,58.75,58.75,58.75,58.75,500
"2",2018-08-01 16:14:00,58.7,58.7,58.7,58.7,600
"3",2018-08-01 16:31:00,58.88,58.89,58.77,58.85,2907
"4",2018-08-01 16:32:00,58.85,59.14,58.84,59.14,2220
"5",2018-08-01 16:33:00,59.19,59.33,59.18,59.2,8576
"6",2018-08-01 16:34:00,59.19,59.2,59.07,59.11,3423
"7",2018-08-01 16:35:00,59.11,59.21,59.1,59.2,5129
"8",2018-08-01 16:36:00,59.18,59.19,59.02,59.02,2561
"9",2018-08-01 16:37:00,59,59.05,59,59.05,1710
"10",2018-08-01 16:38:00,59.04,59.05,59.03,59.03,1839
"11",2018-08-01 16:39:00,59,59,58.96,58.99,5510
"12",2018-08-01 16:40:00,58.99,58.99,58.94,58.94,1640
"13",2018-08-01 16:41:00,58.9,58.91,58.86,58.86,1153
"14",2018-08-01 16:42:00,58.85,58.94,58.85,58.9,6507
"15",2018-08-01 16:43:00,58.9,58.91,58.85,58.85,4034
"16",2018-08-01 16:44:00,58.86,58.92,58.86,58.9,3946
"17",2018-08-01 16:45:00,58.89,58.9,58.86,58.87,2490
"18",2018-08-01 16:46:00,58.86,58.89,58.85,58.89,1590
"19",2018-08-01 16:47:00,58.89,58.89,58.81,58.86,5132
"20",2018-08-01 16:48:00,58.86,58.86,58.81,58.82,1220
"21",2018-08-01 16:49:00,58.82,58.82,58.79,58.8,900
"22",2018-08-01 16:50:00,58.8,58.8,58.79,58.79,829
"23",2018-08-01 16:51:00,58.82,58.84,58.81,58.84,1700
"24",2018-08-01 16:52:00,58.85,58.97,58.85,58.97,1216
"25",2018-08-01 16:53:00,58.96,59,58.96,58.99,2914
"26",2018-08-01 16:54:00,59.01,59.06,59.01,59.03,4089
"27",2018-08-01 16:55:00,59.05,59.05,59,59.03,3399
"28",2018-08-01 16:56:00,59.03,59.08,59.02,59.08,1120
"29",2018-08-01 16:57:00,59.08,59.1,59.08,59.09,3459
"30",2018-08-01 16:58:00,59.08,59.08,59.02,59.04,2992
