"","time","open","high","low","close","volume"
"1",2018-08-01 13:31:00,42,42,42,42,105
"2",2018-08-01 14:44:00,42,42,42,42,651
"3",2018-08-01 14:48:00,42,42,42,42,17
"4",2018-08-01 16:27:00,42.14,42.14,42.14,42.14,200
"5",2018-08-01 16:31:00,41.85,42,41.74,41.74,5835
"6",2018-08-01 16:32:00,41.76,41.84,41.74,41.82,2030
"7",2018-08-01 16:33:00,41.84,41.85,41.76,41.77,1865
"8",2018-08-01 16:34:00,41.73,41.74,41.68,41.69,3195
"9",2018-08-01 16:35:00,41.69,41.7,41.61,41.62,2923
"10",2018-08-01 16:36:00,41.58,41.59,41.43,41.45,8752
"11",2018-08-01 16:37:00,41.46,41.5,41.45,41.49,3140
"12",2018-08-01 16:38:00,41.52,41.52,41.43,41.45,5825
"13",2018-08-01 16:39:00,41.46,41.48,41.42,41.47,5720
"14",2018-08-01 16:40:00,41.48,41.53,41.46,41.46,4201
"15",2018-08-01 16:41:00,41.46,41.46,41.4,41.41,8541
"16",2018-08-01 16:42:00,41.43,41.49,41.41,41.48,4786
"17",2018-08-01 16:43:00,41.47,41.51,41.45,41.45,2842
"18",2018-08-01 16:44:00,41.45,41.46,41.42,41.45,2215
"19",2018-08-01 16:45:00,41.45,41.55,41.45,41.54,2309
"20",2018-08-01 16:46:00,41.56,41.56,41.46,41.46,5073
"21",2018-08-01 16:47:00,41.46,41.56,41.46,41.56,1901
"22",2018-08-01 16:48:00,41.57,41.57,41.54,41.54,1600
"23",2018-08-01 16:49:00,41.53,41.62,41.53,41.62,6692
"24",2018-08-01 16:50:00,41.62,41.67,41.61,41.66,3901
"25",2018-08-01 16:51:00,41.68,41.69,41.65,41.67,2701
"26",2018-08-01 16:52:00,41.68,41.74,41.68,41.73,2300
"27",2018-08-01 16:53:00,41.72,41.77,41.72,41.76,2650
"28",2018-08-01 16:54:00,41.75,41.77,41.74,41.74,2866
"29",2018-08-01 16:55:00,41.74,41.79,41.74,41.76,1801
"30",2018-08-01 16:56:00,41.76,41.8,41.75,41.8,3801
"31",2018-08-01 16:57:00,41.81,41.86,41.81,41.86,12493
