"","time","open","high","low","close","volume"
"1",2018-08-01 00:31:00,64.15,64.15,64.15,64.15,200
"2",2018-08-01 00:41:00,64.15,64.15,64.15,64.15,1
"3",2018-08-01 00:51:00,64.24,64.24,64.24,64.24,82
"4",2018-08-01 00:55:00,64.24,64.35,64.24,64.35,200
"5",2018-08-01 00:59:00,64.2,64.2,64.2,64.2,7
"6",2018-08-01 01:05:00,64.35,64.35,64.35,64.35,17
"7",2018-08-01 01:56:00,63.9,63.9,63.8,63.8,1057
"8",2018-08-01 01:57:00,63.61,63.61,63.61,63.61,89
"9",2018-08-01 02:03:00,63.61,63.61,63.61,63.61,111
"10",2018-08-01 14:27:00,63.7,63.7,63.7,63.7,50
"11",2018-08-01 14:42:00,63.8,63.8,63.74,63.74,110
"12",2018-08-01 14:52:00,63.77,63.77,63.75,63.75,10
"13",2018-08-01 14:59:00,63.75,63.76,63.75,63.75,300
"14",2018-08-01 15:02:00,63.76,63.76,63.76,63.76,511
"15",2018-08-01 15:09:00,64.09,64.09,64.09,64.09,1
"16",2018-08-01 15:29:00,63.89,63.89,63.89,63.89,100
"17",2018-08-01 15:32:00,63.76,63.76,63.42,63.42,4807
"18",2018-08-01 15:34:00,63.32,63.32,63.32,63.32,50
"19",2018-08-01 15:35:00,63.49,63.49,63.49,63.49,53
"20",2018-08-01 15:36:00,63.48,63.5,63.48,63.5,200
"21",2018-08-01 15:37:00,63.3,63.5,63.3,63.5,148
"22",2018-08-01 15:44:00,63.49,63.5,63.49,63.5,5293
"23",2018-08-01 15:47:00,63.5,63.5,63.42,63.5,701
"24",2018-08-01 15:48:00,63.5,63.5,63.5,63.5,586
"25",2018-08-01 15:54:00,63.49,63.5,63.49,63.5,629
"26",2018-08-01 15:59:00,63.5,63.5,63.5,63.5,125
"27",2018-08-01 16:02:00,63.5,63.51,63.5,63.5,1100
"28",2018-08-01 16:03:00,63.5,63.5,63.5,63.5,700
"29",2018-08-01 16:04:00,63.5,63.5,63.5,63.5,800
"30",2018-08-01 16:05:00,63.5,63.5,63.5,63.5,2200
"31",2018-08-01 16:07:00,63.5,63.5,63.5,63.5,300
"32",2018-08-01 16:11:00,63.5,63.5,63.5,63.5,100
"33",2018-08-01 16:14:00,63.48,63.5,63.48,63.5,301
"34",2018-08-01 16:15:00,63.5,63.5,63.5,63.5,200
"35",2018-08-01 16:17:00,63.49,63.5,63.49,63.5,5300
"36",2018-08-01 16:19:00,63.5,63.5,63.5,63.5,900
"37",2018-08-01 16:20:00,63.49,63.5,63.49,63.5,400
"38",2018-08-01 16:21:00,63.5,63.5,63.5,63.5,300
"39",2018-08-01 16:22:00,63.5,63.5,63.5,63.5,1500
"40",2018-08-01 16:23:00,63.5,63.5,63.5,63.5,11700
"41",2018-08-01 16:27:00,63.51,63.51,63.5,63.51,365
"42",2018-08-01 16:30:00,63.88,63.92,63.63,63.63,1551
"43",2018-08-01 16:31:00,63.6,63.98,63.6,63.88,221783
"44",2018-08-01 16:32:00,63.89,63.89,63.77,63.84,14488
"45",2018-08-01 16:33:00,63.85,63.89,63.69,63.69,18560
"46",2018-08-01 16:34:00,63.7,63.96,63.7,63.95,3791
"47",2018-08-01 16:35:00,63.95,64.07,63.9,64.07,23488
"48",2018-08-01 16:36:00,64.08,64.14,64.08,64.11,15137
"49",2018-08-01 16:37:00,64.12,64.17,64.07,64.07,4666
"50",2018-08-01 16:38:00,64.06,64.09,64.04,64.04,2196
"51",2018-08-01 16:39:00,64.04,64.07,63.98,64.01,4118
"52",2018-08-01 16:40:00,64.03,64.04,63.99,63.99,2167
"53",2018-08-01 16:41:00,64,64.13,64,64.1,10775
"54",2018-08-01 16:42:00,64.11,64.19,64.11,64.19,3939
"55",2018-08-01 16:43:00,64.2,64.33,64.2,64.3,15374
"56",2018-08-01 16:44:00,64.3,64.3,64.15,64.15,7609
"57",2018-08-01 16:45:00,64.19,64.22,64.16,64.18,2890
"58",2018-08-01 16:46:00,64.17,64.2,64.1,64.15,12079
"59",2018-08-01 16:47:00,64.16,64.22,64.16,64.19,7122
"60",2018-08-01 16:48:00,64.2,64.26,64.2,64.2,4656
"61",2018-08-01 16:49:00,64.18,64.24,64.15,64.24,8198
"62",2018-08-01 16:50:00,64.25,64.31,64.18,64.2,13878
"63",2018-08-01 16:51:00,64.2,64.23,64.13,64.23,12574
"64",2018-08-01 16:52:00,64.24,64.28,64.24,64.26,8527
"65",2018-08-01 16:53:00,64.27,64.31,64.25,64.3,8444
"66",2018-08-01 16:54:00,64.3,64.34,64.29,64.29,11623
"67",2018-08-01 16:55:00,64.31,64.32,64.26,64.29,7794
"68",2018-08-01 16:56:00,64.29,64.34,64.29,64.33,9742
"69",2018-08-01 16:57:00,64.34,64.35,64.28,64.31,12058
"70",2018-08-01 16:58:00,64.3,64.34,64.28,64.33,6463
"71",2018-08-01 16:59:00,64.33,64.36,64.33,64.35,7187
"72",2018-08-01 17:00:00,64.35,64.35,64.31,64.34,13140
"73",2018-08-01 17:01:00,64.34,64.45,64.34,64.41,20057
"74",2018-08-01 17:02:00,64.41,64.45,64.4,64.45,12148
"75",2018-08-01 17:03:00,64.45,64.46,64.39,64.46,18496
"76",2018-08-01 17:04:00,64.47,64.64,64.45,64.55,52269
"77",2018-08-01 17:05:00,64.55,64.68,64.52,64.68,18400
"78",2018-08-01 17:06:00,64.68,64.79,64.68,64.78,34673
"79",2018-08-01 17:07:00,64.77,64.81,64.72,64.74,13416
"80",2018-08-01 17:08:00,64.73,64.8,64.68,64.78,14854
"81",2018-08-01 17:09:00,64.78,64.87,64.77,64.82,18384
"82",2018-08-01 17:10:00,64.82,64.84,64.77,64.83,8139
"83",2018-08-01 17:11:00,64.83,64.86,64.82,64.84,11029
"84",2018-08-01 17:12:00,64.83,64.85,64.79,64.81,14577
"85",2018-08-01 17:13:00,64.8,64.8,64.72,64.72,4591
"86",2018-08-01 17:14:00,64.72,64.73,64.71,64.72,1715
"87",2018-08-01 17:15:00,64.72,64.8,64.72,64.77,7354
"88",2018-08-01 17:16:00,64.79,64.79,64.77,64.77,4604
"89",2018-08-01 17:17:00,64.76,64.76,64.56,64.59,14451
"90",2018-08-01 17:18:00,64.59,64.63,64.57,64.59,6450
"91",2018-08-01 17:19:00,64.6,64.68,64.6,64.63,4233
"92",2018-08-01 17:20:00,64.64,64.73,64.64,64.68,14377
"93",2018-08-01 17:21:00,64.68,64.7,64.52,64.56,18855
"94",2018-08-01 17:22:00,64.56,64.57,64.4,64.48,21988
"95",2018-08-01 17:23:00,64.5,64.55,64.44,64.54,11385
"96",2018-08-01 17:24:00,64.55,64.64,64.55,64.61,11041
"97",2018-08-01 17:25:00,64.61,64.66,64.57,64.61,11207
"98",2018-08-01 17:26:00,64.6,64.6,64.54,64.56,8162
"99",2018-08-01 17:27:00,64.56,64.58,64.54,64.54,5566
"100",2018-08-01 17:28:00,64.55,64.65,64.55,64.64,9811
"101",2018-08-01 17:29:00,64.64,64.65,64.6,64.65,13851
