"","time","open","high","low","close","volume"
"1",2019-08-01 10:11:00,24.24,24.24,24.24,24.24,1
"2",2019-08-01 10:29:00,24.26,24.26,24.25,24.25,2
"3",2019-08-01 11:09:00,24.43,24.43,24.43,24.43,1
"4",2019-08-01 12:48:00,24.25,24.25,24.25,24.25,1
"5",2019-08-01 14:32:00,24.4,24.4,24.4,24.4,4
"6",2019-08-01 14:50:00,24.44,24.44,24.44,24.44,1
"7",2019-08-01 15:40:00,24.35,24.35,24.35,24.35,1
"8",2019-08-01 15:56:00,24.36,24.36,24.36,24.36,10
"9",2019-08-01 16:02:00,24.24,24.24,24,24,14
"10",2019-08-01 16:07:00,24.56,24.57,24.56,24.57,12
"11",2019-08-01 16:14:00,24.33,24.33,24,24,6
"12",2019-08-01 16:25:00,23.81,23.81,23.81,23.81,100
"13",2019-08-01 16:28:00,24.33,24.33,23.75,23.75,12
"14",2019-08-01 16:30:00,23.7,23.7,23.7,23.7,100
"15",2019-08-01 16:31:00,23.08,23.11,22.9,22.93,390
"16",2019-08-01 16:32:00,22.95,22.95,22.95,22.95,50
"17",2019-08-01 16:33:00,22.95,22.95,22.95,22.95,87
"18",2019-08-01 16:35:00,23.03,23.03,23.03,23.03,100
"19",2019-08-01 16:36:00,22.81,23.04,22.81,22.95,505
"20",2019-08-01 16:37:00,23,23,23,23,8
"21",2019-08-01 16:38:00,22.95,23.15,22.95,23.15,542
"22",2019-08-01 16:39:00,23.15,23.15,22.95,23.07,13224
"23",2019-08-01 16:40:00,23.06,23.1,22.99,23.05,10672
"24",2019-08-01 16:41:00,23.04,23.06,22.94,22.99,7347
"25",2019-08-01 16:42:00,22.99,23.12,22.99,23.07,5543
"26",2019-08-01 16:43:00,23.1,23.22,23.1,23.15,11226
"27",2019-08-01 16:44:00,23.13,23.13,22.91,22.91,5347
"28",2019-08-01 16:45:00,22.9,22.96,22.87,22.96,4180
"29",2019-08-01 16:46:00,22.99,23.06,22.99,23.05,4927
"30",2019-08-01 16:47:00,23.03,23.29,23.02,23.24,3198
"31",2019-08-01 16:48:00,23.21,23.37,23.21,23.34,5112
"32",2019-08-01 16:49:00,23.39,23.48,23.37,23.45,3188
"33",2019-08-01 16:50:00,23.46,23.57,23.46,23.57,1701
"34",2019-08-01 16:51:00,23.6,23.69,23.59,23.68,2189
"35",2019-08-01 16:52:00,23.68,23.7,23.63,23.7,2766
"36",2019-08-01 16:53:00,23.7,23.71,23.62,23.67,3094
"37",2019-08-01 16:54:00,23.65,23.65,23.52,23.52,4560
"38",2019-08-01 16:55:00,23.53,23.66,23.53,23.57,13704
"39",2019-08-01 16:56:00,23.57,23.72,23.57,23.72,2180
"40",2019-08-01 16:57:00,23.72,23.72,23.65,23.67,2588
"41",2019-08-01 16:58:00,23.68,23.91,23.68,23.9,2445
"42",2019-08-01 16:59:00,23.94,24.01,23.85,23.93,2749
"43",2019-08-01 17:00:00,23.92,23.95,23.91,23.95,704
"44",2019-08-01 17:01:00,24,24.07,24,24.07,229
"45",2019-08-01 17:02:00,24.05,24.05,23.98,24,5118
"46",2019-08-01 17:03:00,24,24.07,24,24.05,2995
"47",2019-08-01 17:04:00,24.1,24.15,24.09,24.12,1032
"48",2019-08-01 17:05:00,24.09,24.13,24.08,24.09,1799
"49",2019-08-01 17:06:00,24.1,24.14,24.09,24.11,2145
"50",2019-08-01 17:07:00,24.12,24.14,24.08,24.08,2073
"51",2019-08-01 17:08:00,24.08,24.19,24.08,24.16,3666
"52",2019-08-01 17:09:00,24.17,24.22,24.17,24.22,3796
"53",2019-08-01 17:10:00,24.2,24.3,24.2,24.26,2460
"54",2019-08-01 17:11:00,24.26,24.27,24.24,24.24,213
"55",2019-08-01 17:12:00,24.27,24.27,24.16,24.17,2147
"56",2019-08-01 17:13:00,24.19,24.19,24.1,24.11,1407
"57",2019-08-01 17:14:00,24.08,24.08,24.07,24.07,303
"58",2019-08-01 17:15:00,24.06,24.06,23.86,23.86,6825
"59",2019-08-01 17:16:00,23.84,23.84,23.61,23.67,13680
"60",2019-08-01 17:17:00,23.65,23.67,23.53,23.54,6754
"61",2019-08-01 17:18:00,23.52,23.53,23.49,23.49,1775
"62",2019-08-01 17:19:00,23.48,23.48,23.37,23.41,3673
"63",2019-08-01 17:20:00,23.39,23.48,23.37,23.42,5162
"64",2019-08-01 17:21:00,23.44,23.51,23.44,23.51,1000
"65",2019-08-01 17:22:00,23.56,23.57,23.52,23.53,2958
"66",2019-08-01 17:23:00,23.55,23.62,23.55,23.62,1206
"67",2019-08-01 17:24:00,23.62,23.64,23.61,23.61,491
"68",2019-08-01 17:25:00,23.62,23.62,23.55,23.55,5399
"69",2019-08-01 17:26:00,23.56,23.6,23.56,23.58,2504
"70",2019-08-01 17:27:00,23.56,23.65,23.56,23.64,803
