"","time","open","high","low","close","volume"
"1",2019-08-01 09:31:00,70.71,70.74,70.51,70.54,11546
"2",2019-08-01 09:32:00,70.54,70.66,70.31,70.51,16989
"3",2019-08-01 09:33:00,70.47,70.48,70.37,70.4,9292
"4",2019-08-01 09:34:00,70.41,70.46,70.35,70.42,8158
"5",2019-08-01 09:35:00,70.43,70.47,70.38,70.4,11860
"6",2019-08-01 09:36:00,70.35,70.41,70.27,70.41,5860
"7",2019-08-01 09:37:00,70.41,70.45,70.39,70.45,9757
"8",2019-08-01 09:38:00,70.45,70.49,70.44,70.49,4093
"9",2019-08-01 09:39:00,70.59,70.68,70.59,70.67,3747
"10",2019-08-01 09:40:00,70.67,70.73,70.62,70.62,6100
"11",2019-08-01 09:41:00,70.7,70.81,70.68,70.81,3400
"12",2019-08-01 09:42:00,70.84,70.86,70.795,70.8,4104
"13",2019-08-01 09:43:00,70.805,70.88,70.805,70.88,4568
"14",2019-08-01 09:44:00,70.92,70.92,70.81,70.89,3588
"15",2019-08-01 09:45:00,70.86,70.92,70.845,70.845,4167
"16",2019-08-01 09:46:00,70.85,70.96,70.85,70.96,3419
"17",2019-08-01 09:47:00,70.97,71.05,70.97,71.01,2900
"18",2019-08-01 09:48:00,71,71.08,70.99,71.045,2000
"19",2019-08-01 09:49:00,71.02,71.02,70.99,71.02,600
"20",2019-08-01 09:50:00,71.02,71.02,70.98,71,2298
"21",2019-08-01 09:51:00,71.02,71.05,70.99,70.99,6912
"22",2019-08-01 09:52:00,71.01,71.01,70.95,70.99,2000
"23",2019-08-01 09:53:00,70.98,71.03,70.98,71,3096
"24",2019-08-01 09:54:00,70.97,70.99,70.93,70.93,3197
"25",2019-08-01 09:55:00,70.93,70.95,70.92,70.92,2000
"26",2019-08-01 09:56:00,70.92,71,70.92,70.94,1890
"27",2019-08-01 09:57:00,70.99,71,70.99,71,500
"28",2019-08-01 09:58:00,71.05,71.05,71.03,71.03,200
"29",2019-08-01 09:59:00,71,71.02,71,71.02,200
"30",2019-08-01 10:00:00,71.025,71.03,70.99,71.01,2957
"31",2019-08-01 10:01:00,71.01,71.01,70.85,70.85,5772
"32",2019-08-01 10:02:00,70.85,70.85,70.77,70.77,2600
"33",2019-08-01 10:03:00,70.8,70.8,70.77,70.78,1333
"34",2019-08-01 10:04:00,70.77,70.81,70.75,70.75,1700
"35",2019-08-01 10:05:00,70.72,70.75,70.68,70.68,2600
"36",2019-08-01 10:06:00,70.66,70.74,70.65,70.74,2200
"37",2019-08-01 10:07:00,70.71,70.77,70.71,70.75,1100
"38",2019-08-01 10:08:00,70.79,70.88,70.79,70.875,2000
"39",2019-08-01 10:09:00,70.86,70.88,70.84,70.84,3500
"40",2019-08-01 10:10:00,70.84,70.85,70.84,70.85,1500
"41",2019-08-01 10:11:00,70.83,70.85,70.83,70.84,700
"42",2019-08-01 10:12:00,70.85,70.85,70.8,70.8,1858
"43",2019-08-01 10:13:00,70.79,70.85,70.79,70.85,2000
"44",2019-08-01 10:14:00,70.86,70.87,70.855,70.855,1000
"45",2019-08-01 10:15:00,70.85,70.85,70.8,70.83,1642
"46",2019-08-01 10:16:00,70.83,70.84,70.81,70.82,1900
"47",2019-08-01 10:17:00,70.79,70.79,70.77,70.77,800
"48",2019-08-01 10:18:00,70.78,70.78,70.745,70.745,600
"49",2019-08-01 10:19:00,70.75,70.75,70.715,70.74,4738
"50",2019-08-01 10:20:00,70.74,70.74,70.69,70.69,400
"51",2019-08-01 10:21:00,70.72,70.72,70.69,70.69,411
"52",2019-08-01 10:22:00,70.67,70.67,70.67,70.67,300
"53",2019-08-01 10:23:00,70.68,70.68,70.64,70.64,1470
"54",2019-08-01 10:24:00,70.63,70.63,70.62,70.63,2100
"55",2019-08-01 10:25:00,70.6,70.6,70.6,70.6,400
"56",2019-08-01 10:26:00,70.59,70.64,70.59,70.64,1901
"57",2019-08-01 10:27:00,70.64,70.66,70.64,70.66,400
"58",2019-08-01 10:28:00,70.7,70.71,70.7,70.7,1100
"59",2019-08-01 10:29:00,70.71,70.71,70.68,70.69,1500
"60",2019-08-01 10:30:00,70.69,70.7,70.69,70.7,966
"61",2019-08-01 10:31:00,70.67,70.67,70.59,70.59,2700
"62",2019-08-01 10:32:00,70.6,70.61,70.58,70.6,2232
"63",2019-08-01 10:33:00,70.6,70.62,70.57,70.62,2600
"64",2019-08-01 10:34:00,70.62,70.76,70.62,70.76,4710
"65",2019-08-01 10:35:00,70.75,70.75,70.7,70.71,9958
"66",2019-08-01 10:36:00,70.69,70.7,70.69,70.69,1004
"67",2019-08-01 10:37:00,70.68,70.68,70.61,70.64,4600
"68",2019-08-01 10:38:00,70.64,70.64,70.6,70.6,1467
"69",2019-08-01 10:39:00,70.6,70.6,70.6,70.6,400
"70",2019-08-01 10:40:00,70.6,70.61,70.58,70.58,1410
"71",2019-08-01 10:41:00,70.57,70.57,70.54,70.55,1465
"72",2019-08-01 10:42:00,70.55,70.56,70.54,70.54,1800
"73",2019-08-01 10:43:00,70.55,70.55,70.52,70.535,2305
"74",2019-08-01 10:44:00,70.53,70.53,70.47,70.47,2475
"75",2019-08-01 10:45:00,70.47,70.51,70.47,70.51,4165
