"","time","open","high","low","close","volume"
"1",2019-08-01 11:35:00,26.71,26.71,26.7,26.7,12
"2",2019-08-01 12:23:00,26.73,26.73,26.73,26.73,1
"3",2019-08-01 12:54:00,26.7,26.7,26.7,26.7,4
"4",2019-08-01 15:48:00,26.93,26.93,26.93,26.93,750
"5",2019-08-01 15:49:00,26.73,26.73,26.73,26.73,650
"6",2019-08-01 16:07:00,26.93,26.93,26.93,26.93,100
"7",2019-08-01 16:31:00,26.44,26.44,26.17,26.17,7503
"8",2019-08-01 16:32:00,26.17,26.21,26.09,26.11,15710
"9",2019-08-01 16:33:00,26.13,26.25,26.09,26.2,20449
"10",2019-08-01 16:34:00,26.19,26.19,26.06,26.08,8771
"11",2019-08-01 16:35:00,26.12,26.22,26.08,26.17,10276
"12",2019-08-01 16:36:00,26.14,26.16,26.06,26.15,8164
"13",2019-08-01 16:37:00,26.14,26.16,26.09,26.12,5392
"14",2019-08-01 16:38:00,26.11,26.11,26.02,26.04,5028
"15",2019-08-01 16:39:00,26.02,26.06,26.01,26.02,4982
"16",2019-08-01 16:40:00,26.01,26.03,25.97,25.97,4017
"17",2019-08-01 16:41:00,25.96,25.96,25.84,25.86,3406
"18",2019-08-01 16:42:00,25.88,25.97,25.87,25.97,3264
"19",2019-08-01 16:43:00,25.98,26.04,25.97,26.02,4793
"20",2019-08-01 16:44:00,26.01,26.01,25.88,25.88,1839
"21",2019-08-01 16:45:00,25.85,25.86,25.8,25.85,4023
"22",2019-08-01 16:46:00,25.85,25.97,25.85,25.97,3435
"23",2019-08-01 16:47:00,25.96,25.97,25.93,25.96,2100
"24",2019-08-01 16:48:00,25.93,26,25.93,25.99,3622
"25",2019-08-01 16:49:00,25.97,26,25.96,25.97,2336
"26",2019-08-01 16:50:00,25.98,25.99,25.93,25.96,1930
"27",2019-08-01 16:51:00,25.96,26.02,25.96,25.99,4069
"28",2019-08-01 16:52:00,25.99,26,25.96,25.98,2086
"29",2019-08-01 16:53:00,25.97,25.97,25.9,25.9,3978
"30",2019-08-01 16:54:00,25.87,25.87,25.85,25.85,1102
"31",2019-08-01 16:55:00,25.81,25.9,25.81,25.87,4212
"32",2019-08-01 16:56:00,25.88,25.91,25.88,25.9,631
"33",2019-08-01 16:57:00,25.88,25.89,25.87,25.89,1760
"34",2019-08-01 16:58:00,25.91,26.02,25.91,26.02,2165
"35",2019-08-01 16:59:00,26.03,26.03,25.99,26,2182
"36",2019-08-01 17:00:00,25.99,25.99,25.95,25.98,2695
"37",2019-08-01 17:01:00,25.98,26.04,25.97,26.04,2174
"38",2019-08-01 17:02:00,26.05,26.05,25.99,26.01,1221
"39",2019-08-01 17:03:00,26,26.07,25.99,26.05,8291
"40",2019-08-01 17:04:00,26.07,26.11,26.05,26.08,7860
"41",2019-08-01 17:05:00,26.06,26.07,26.04,26.05,6115
"42",2019-08-01 17:06:00,26.04,26.07,26.03,26.03,6785
"43",2019-08-01 17:07:00,26.04,26.06,25.99,25.99,19452
"44",2019-08-01 17:08:00,26.01,26.03,26,26.02,13591
"45",2019-08-01 17:09:00,26.03,26.05,26,26,1374
"46",2019-08-01 17:10:00,26.01,26.04,26,26.03,1881
"47",2019-08-01 17:11:00,26.03,26.06,26.03,26.03,2405
"48",2019-08-01 17:12:00,26.04,26.04,26.02,26.02,1778
"49",2019-08-01 17:13:00,26.02,26.04,26.01,26.02,1943
"50",2019-08-01 17:14:00,26.02,26.02,25.95,25.96,2209
"51",2019-08-01 17:15:00,25.97,25.97,25.92,25.92,4107
"52",2019-08-01 17:16:00,25.91,25.91,25.86,25.88,2012
"53",2019-08-01 17:17:00,25.87,25.87,25.83,25.83,2213
"54",2019-08-01 17:18:00,25.82,25.87,25.82,25.87,3227
"55",2019-08-01 17:19:00,25.87,25.92,25.85,25.92,2716
"56",2019-08-01 17:20:00,25.92,25.92,25.9,25.92,2558
"57",2019-08-01 17:21:00,25.93,25.95,25.9,25.94,2676
"58",2019-08-01 17:22:00,25.95,25.95,25.94,25.94,1095
"59",2019-08-01 17:23:00,25.95,25.95,25.94,25.94,400
"60",2019-08-01 17:24:00,25.92,25.92,25.9,25.9,982
"61",2019-08-01 17:25:00,25.91,25.93,25.91,25.92,1700
"62",2019-08-01 17:26:00,25.94,25.94,25.92,25.92,412
"63",2019-08-01 17:27:00,25.93,25.98,25.93,25.98,1268
"64",2019-08-01 17:28:00,26,26,25.98,25.98,1706
"65",2019-08-01 17:29:00,26,26,26,26,248
"66",2019-08-01 17:30:00,26,26,26,26,801
"67",2019-08-01 17:31:00,26,26.02,26,26.02,1456
"68",2019-08-01 17:32:00,26.01,26.01,25.97,25.97,2036
"69",2019-08-01 17:33:00,25.97,25.97,25.93,25.93,3612
"70",2019-08-01 17:34:00,25.93,25.97,25.93,25.94,1087
"71",2019-08-01 17:35:00,25.94,25.94,25.91,25.91,2456
"72",2019-08-01 17:36:00,25.91,25.92,25.89,25.89,2623
"73",2019-08-01 17:37:00,25.89,25.9,25.89,25.89,900
"74",2019-08-01 17:38:00,25.88,25.88,25.85,25.85,2660
"75",2019-08-01 17:39:00,25.84,25.84,25.81,25.82,1963
"76",2019-08-01 17:40:00,25.82,25.82,25.78,25.78,3300
"77",2019-08-01 17:41:00,25.78,25.8,25.77,25.8,2968
"78",2019-08-01 17:42:00,25.8,25.82,25.79,25.81,6372
"79",2019-08-01 17:43:00,25.81,25.81,25.78,25.78,1138
"80",2019-08-01 17:44:00,25.79,25.8,25.78,25.78,3323
"81",2019-08-01 17:45:00,25.76,25.78,25.76,25.76,6852
"82",2019-08-01 17:46:00,25.76,25.76,25.72,25.72,3530
"83",2019-08-01 17:47:00,25.72,25.72,25.71,25.71,1017
"84",2019-08-01 17:48:00,25.7,25.7,25.68,25.68,3127
"85",2019-08-01 17:49:00,25.67,25.67,25.64,25.65,6144
"86",2019-08-01 17:50:00,25.65,25.68,25.65,25.67,6103
"87",2019-08-01 17:51:00,25.68,25.68,25.67,25.67,1605
"88",2019-08-01 17:52:00,25.65,25.67,25.64,25.66,3168
"89",2019-08-01 17:53:00,25.67,25.68,25.66,25.66,1317
"90",2019-08-01 17:54:00,25.66,25.66,25.64,25.65,2850
"91",2019-08-01 17:55:00,25.65,25.68,25.64,25.64,5383
"92",2019-08-01 17:56:00,25.65,25.65,25.63,25.63,6498
"93",2019-08-01 17:57:00,25.62,25.62,25.6,25.6,1909
"94",2019-08-01 17:58:00,25.6,25.61,25.6,25.6,1337
"95",2019-08-01 17:59:00,25.6,25.61,25.58,25.61,5408
"96",2019-08-01 18:00:00,25.6,25.62,25.6,25.6,7589
"97",2019-08-01 18:01:00,25.6,25.66,25.6,25.66,4311
"98",2019-08-01 18:02:00,25.68,25.7,25.68,25.7,3354
"99",2019-08-01 18:03:00,25.71,25.71,25.68,25.7,2401
"100",2019-08-01 18:04:00,25.7,25.71,25.64,25.64,3129
"101",2019-08-01 18:05:00,25.63,25.63,25.61,25.62,2183
"102",2019-08-01 18:06:00,25.62,25.62,25.58,25.58,1401
"103",2019-08-01 18:07:00,25.59,25.6,25.57,25.57,1530
"104",2019-08-01 18:08:00,25.56,25.56,25.54,25.56,4794
"105",2019-08-01 18:09:00,25.56,25.58,25.56,25.58,1200
"106",2019-08-01 18:10:00,25.59,25.61,25.59,25.61,1667
"107",2019-08-01 18:11:00,25.62,25.62,25.58,25.58,1315
"108",2019-08-01 18:12:00,25.57,25.58,25.57,25.57,534
"109",2019-08-01 18:13:00,25.57,25.57,25.55,25.55,698
"110",2019-08-01 18:14:00,25.55,25.56,25.55,25.55,1355
"111",2019-08-01 18:15:00,25.57,25.59,25.57,25.59,2202
"112",2019-08-01 18:16:00,25.59,25.61,25.58,25.6,4471
"113",2019-08-01 18:17:00,25.61,25.61,25.58,25.58,1817
"114",2019-08-01 18:18:00,25.57,25.57,25.54,25.54,2556
"115",2019-08-01 18:19:00,25.54,25.54,25.5,25.5,1787
"116",2019-08-01 18:20:00,25.48,25.51,25.48,25.51,2190
"117",2019-08-01 18:21:00,25.5,25.5,25.47,25.47,2041
"118",2019-08-01 18:22:00,25.48,25.49,25.48,25.49,2006
"119",2019-08-01 18:23:00,25.5,25.51,25.47,25.48,1844
"120",2019-08-01 18:24:00,25.48,25.52,25.48,25.52,1514
"121",2019-08-01 18:25:00,25.53,25.54,25.52,25.52,1969
"122",2019-08-01 18:26:00,25.52,25.52,25.51,25.51,402
"123",2019-08-01 18:27:00,25.5,25.52,25.5,25.52,1487
"124",2019-08-01 18:28:00,25.53,25.56,25.53,25.56,2676
"125",2019-08-01 18:29:00,25.56,25.59,25.56,25.59,2676
"126",2019-08-01 18:30:00,25.61,25.62,25.61,25.61,1919
"127",2019-08-01 18:31:00,25.61,25.62,25.61,25.61,1461
"128",2019-08-01 18:32:00,25.62,25.65,25.62,25.64,5725
"129",2019-08-01 18:33:00,25.64,25.66,25.62,25.65,6817
"130",2019-08-01 18:34:00,25.65,25.65,25.58,25.58,4071
"131",2019-08-01 18:35:00,25.58,25.59,25.57,25.58,3573
"132",2019-08-01 18:36:00,25.59,25.64,25.59,25.64,1217
"133",2019-08-01 18:37:00,25.63,25.64,25.63,25.64,2628
"134",2019-08-01 18:38:00,25.64,25.65,25.64,25.65,1232
"135",2019-08-01 18:39:00,25.66,25.66,25.63,25.63,1438
"136",2019-08-01 18:40:00,25.63,25.64,25.62,25.64,3334
"137",2019-08-01 18:41:00,25.64,25.67,25.64,25.67,3200
"138",2019-08-01 18:42:00,25.67,25.74,25.67,25.74,2560
"139",2019-08-01 18:43:00,25.74,25.76,25.73,25.76,5368
"140",2019-08-01 18:44:00,25.76,25.78,25.76,25.78,1484
