"","time","open","high","low","close","volume"
"1",2019-08-01 00:05:00,65.95,65.95,65.95,65.95,4
"2",2019-08-01 00:29:00,66,66,66,66,2
"3",2019-08-01 10:14:00,65.41,65.41,65.41,65.41,1
"4",2019-08-01 10:22:00,65.8,65.8,65.8,65.8,4
"5",2019-08-01 10:32:00,65.64,65.64,65.64,65.64,8
"6",2019-08-01 11:04:00,65.4,65.4,65.4,65.4,1
"7",2019-08-01 11:42:00,65.69,65.69,65.69,65.69,1
"8",2019-08-01 11:43:00,65.7,65.7,65.7,65.7,20
"9",2019-08-01 11:53:00,65.69,65.69,65.69,65.69,49
"10",2019-08-01 11:58:00,65.69,65.69,65.69,65.69,2
"11",2019-08-01 13:16:00,65.6,65.6,65.6,65.6,6
"12",2019-08-01 13:25:00,65.6,65.6,65.6,65.6,24
"13",2019-08-01 13:49:00,65.85,65.85,65.85,65.85,55
"14",2019-08-01 14:55:00,65.9,65.9,65.9,65.9,1
"15",2019-08-01 15:20:00,65.98,65.98,65.98,65.98,25
"16",2019-08-01 15:42:00,65.49,65.49,65.49,65.49,8
"17",2019-08-01 15:44:00,65.49,65.51,65.49,65.49,400
"18",2019-08-01 15:50:00,65.52,65.52,65.52,65.52,100
"19",2019-08-01 16:06:00,65.75,65.75,65.75,65.75,1
"20",2019-08-01 16:09:00,65.75,65.75,65.75,65.75,1
"21",2019-08-01 16:30:00,65.64,65.67,65.61,65.67,1928
"22",2019-08-01 16:31:00,65.66,66,65.52,65.96,97544
"23",2019-08-01 16:32:00,65.97,65.98,65.89,65.92,3988
"24",2019-08-01 16:33:00,65.93,65.95,65.74,65.74,4313
"25",2019-08-01 16:34:00,65.74,65.78,65.61,65.77,4327
"26",2019-08-01 16:35:00,65.78,65.86,65.75,65.86,8981
"27",2019-08-01 16:36:00,65.87,65.89,65.76,65.76,4520
"28",2019-08-01 16:37:00,65.75,65.75,65.51,65.53,7800
"29",2019-08-01 16:38:00,65.54,65.58,65.48,65.48,5251
"30",2019-08-01 16:39:00,65.48,65.53,65.45,65.52,4113
"31",2019-08-01 16:40:00,65.54,65.64,65.54,65.64,9024
"32",2019-08-01 16:41:00,65.63,65.64,65.58,65.61,9984
"33",2019-08-01 16:42:00,65.6,65.65,65.58,65.65,2411
"34",2019-08-01 16:43:00,65.66,65.66,65.52,65.53,5784
"35",2019-08-01 16:44:00,65.53,65.68,65.5,65.68,3987
"36",2019-08-01 16:45:00,65.68,65.84,65.68,65.84,2946
"37",2019-08-01 16:46:00,65.86,65.94,65.78,65.94,4651
"38",2019-08-01 16:47:00,65.93,66,65.93,66,13321
"39",2019-08-01 16:48:00,66,66.08,65.99,66.03,11013
"40",2019-08-01 16:49:00,66.02,66.08,66,66.05,4031
"41",2019-08-01 16:50:00,66.04,66.18,66.04,66.17,3764
"42",2019-08-01 16:51:00,66.17,66.24,66.17,66.18,3548
"43",2019-08-01 16:52:00,66.17,66.26,66.13,66.26,7560
"44",2019-08-01 16:53:00,66.26,66.26,66.23,66.23,2599
"45",2019-08-01 16:54:00,66.24,66.24,66.1,66.1,2609
"46",2019-08-01 16:55:00,66.09,66.09,66,66.01,3890
"47",2019-08-01 16:56:00,66.02,66.04,66,66,2828
"48",2019-08-01 16:57:00,66,66.06,65.95,66.06,3210
"49",2019-08-01 16:58:00,66.12,66.21,66.12,66.16,2546
"50",2019-08-01 16:59:00,66.16,66.17,66.11,66.11,3122
"51",2019-08-01 17:00:00,66.09,66.26,66.07,66.26,2549
"52",2019-08-01 17:01:00,66.26,66.26,66.18,66.2,4363
"53",2019-08-01 17:02:00,66.2,66.34,66.2,66.34,7887
"54",2019-08-01 17:03:00,66.32,66.34,66.26,66.26,3685
"55",2019-08-01 17:04:00,66.25,66.25,66.2,66.23,2521
"56",2019-08-01 17:05:00,66.24,66.28,66.22,66.28,4400
"57",2019-08-01 17:06:00,66.3,66.42,66.29,66.39,5807
"58",2019-08-01 17:07:00,66.38,66.39,66.36,66.37,2527
"59",2019-08-01 17:08:00,66.38,66.38,66.26,66.26,3696
"60",2019-08-01 17:09:00,66.26,66.26,66.17,66.24,6460
"61",2019-08-01 17:10:00,66.25,66.26,66.2,66.23,6680
"62",2019-08-01 17:11:00,66.24,66.26,66.14,66.16,3383
"63",2019-08-01 17:12:00,66.18,66.18,66.11,66.11,1731
"64",2019-08-01 17:13:00,66.11,66.24,66.1,66.24,3903
"65",2019-08-01 17:14:00,66.24,66.27,66.18,66.2,1938
"66",2019-08-01 17:15:00,66.21,66.29,66.21,66.24,3748
"67",2019-08-01 17:16:00,66.23,66.23,66.18,66.22,1705
"68",2019-08-01 17:17:00,66.22,66.26,66.22,66.26,3094
"69",2019-08-01 17:18:00,66.26,66.33,66.26,66.33,2567
"70",2019-08-01 17:19:00,66.33,66.43,66.33,66.4,4318
"71",2019-08-01 17:20:00,66.4,66.46,66.4,66.42,2360
"72",2019-08-01 17:21:00,66.41,66.48,66.4,66.48,3898
"73",2019-08-01 17:22:00,66.48,66.49,66.44,66.46,1886
"74",2019-08-01 17:23:00,66.48,66.49,66.44,66.44,2497
