"","time","open","high","low","close","volume"
"1",2019-08-01 00:02:00,40.41,40.41,40.41,40.41,2
"2",2019-08-01 01:05:00,40.1,40.1,40.1,40.1,100
"3",2019-08-01 10:06:00,40.3,40.31,40.3,40.31,18
"4",2019-08-01 10:45:00,40.38,40.41,40.38,40.41,21
"5",2019-08-01 10:53:00,40.4,40.4,40.4,40.4,1
"6",2019-08-01 11:49:00,40.23,40.23,40.19,40.19,6
"7",2019-08-01 12:32:00,40.28,40.28,40.28,40.28,1
"8",2019-08-01 12:34:00,40.35,40.35,40.35,40.35,1
"9",2019-08-01 12:35:00,40.39,40.39,40.38,40.38,2
"10",2019-08-01 13:08:00,40.4,40.4,40.4,40.4,1
"11",2019-08-01 14:10:00,40.3,40.3,40.3,40.3,1
"12",2019-08-01 14:11:00,40.3,40.3,40.3,40.3,100
"13",2019-08-01 14:12:00,40.29,40.29,40.29,40.29,1
"14",2019-08-01 14:19:00,40.28,40.28,40.28,40.28,80
"15",2019-08-01 14:23:00,40.15,40.15,40.14,40.14,3
"16",2019-08-01 15:01:00,40.4,41.25,40.28,41.25,817
"17",2019-08-01 15:02:00,41.26,41.59,41.26,41.4,1536
"18",2019-08-01 15:03:00,41.25,41.55,40.77,40.77,2118
"19",2019-08-01 15:04:00,41,41,40.89,40.89,10743
"20",2019-08-01 15:05:00,40.89,40.9,40.6,40.88,856
"21",2019-08-01 15:06:00,41.01,41.01,40.91,40.96,593
"22",2019-08-01 15:07:00,41,41.26,41,41.25,1901
"23",2019-08-01 15:08:00,41.22,41.22,41.15,41.18,1350
"24",2019-08-01 15:09:00,41.25,41.59,41.18,41.54,4567
"25",2019-08-01 15:10:00,41.5,41.65,41.5,41.65,8358
"26",2019-08-01 15:11:00,41.65,41.75,41.55,41.55,3560
"27",2019-08-01 15:12:00,41.64,41.64,41.52,41.52,485
"28",2019-08-01 15:13:00,41.57,41.66,41.5,41.52,4313
"29",2019-08-01 15:14:00,41.52,41.52,41.52,41.52,2099
"30",2019-08-01 15:15:00,41.54,41.66,41.5,41.6,12936
"31",2019-08-01 15:16:00,41.54,41.62,41.2,41.49,14411
"32",2019-08-01 15:17:00,41.52,41.55,41.5,41.54,976
"33",2019-08-01 15:18:00,41.54,41.54,41.5,41.5,16990
"34",2019-08-01 15:19:00,41.5,41.5,41.4,41.45,1620
"35",2019-08-01 15:20:00,41.35,41.5,41.33,41.4,8294
"36",2019-08-01 15:21:00,41.47,41.55,41.46,41.55,2021
"37",2019-08-01 15:22:00,41.55,41.6,41.5,41.5,914
"38",2019-08-01 15:23:00,41.5,41.52,41.5,41.5,3860
"39",2019-08-01 15:24:00,41.5,41.6,41.5,41.51,1650
"40",2019-08-01 15:26:00,41.52,41.65,41.44,41.61,23423
"41",2019-08-01 15:27:00,41.63,41.63,41.47,41.47,3206
"42",2019-08-01 15:28:00,41.47,41.47,41.39,41.41,1800
"43",2019-08-01 15:29:00,41.41,41.43,41.41,41.43,4410
"44",2019-08-01 15:30:00,41.45,41.5,41.44,41.48,7250
"45",2019-08-01 15:31:00,41.5,41.5,41.48,41.5,4550
"46",2019-08-01 15:32:00,41.51,41.51,41.51,41.51,348
"47",2019-08-01 15:33:00,41.52,41.65,41.52,41.65,1905
"48",2019-08-01 15:34:00,41.61,41.61,41.61,41.61,315
"49",2019-08-01 15:35:00,41.66,41.68,41.61,41.61,230
"50",2019-08-01 15:38:00,41.51,41.52,41.4,41.4,5431
"51",2019-08-01 15:39:00,41.47,41.51,41.46,41.51,3650
"52",2019-08-01 15:40:00,41.51,41.52,41.51,41.51,830
"53",2019-08-01 15:41:00,41.51,41.51,41.42,41.42,4020
"54",2019-08-01 15:42:00,41.42,41.42,41.42,41.42,300
"55",2019-08-01 15:43:00,41.44,41.45,41.44,41.45,1850
"56",2019-08-01 15:44:00,41.47,41.63,41.47,41.63,1550
"57",2019-08-01 15:48:00,41.47,41.49,41.4,41.4,700
"58",2019-08-01 15:49:00,41.4,41.4,41.4,41.4,110
"59",2019-08-01 15:50:00,41.36,41.37,41.25,41.25,500
"60",2019-08-01 15:51:00,41.31,41.31,41.26,41.26,550
"61",2019-08-01 15:52:00,41.35,41.35,41.34,41.34,200
"62",2019-08-01 15:53:00,41.38,41.42,41.38,41.42,751
"63",2019-08-01 15:54:00,41.43,41.46,41.43,41.46,1245
"64",2019-08-01 15:55:00,41.47,41.5,41.46,41.5,1390
"65",2019-08-01 15:56:00,41.5,41.53,41.5,41.53,1755
"66",2019-08-01 15:57:00,41.54,41.63,41.53,41.63,1860
"67",2019-08-01 15:58:00,41.62,41.71,41.54,41.7,2375
"68",2019-08-01 15:59:00,41.71,41.75,41.62,41.71,2019
"69",2019-08-01 16:00:00,41.71,41.71,41.7,41.7,2346
"70",2019-08-01 16:01:00,41.73,41.73,41.7,41.71,2671
"71",2019-08-01 16:02:00,41.74,41.74,41.69,41.69,360
"72",2019-08-01 16:03:00,41.69,41.74,41.69,41.74,2384
"73",2019-08-01 16:04:00,41.7,41.72,41.7,41.7,1350
"74",2019-08-01 16:05:00,41.72,41.84,41.72,41.84,1664
"75",2019-08-01 16:06:00,41.83,41.87,41.83,41.87,1110
"76",2019-08-01 16:07:00,41.77,41.77,41.76,41.76,700
"77",2019-08-01 16:08:00,41.7,41.7,41.65,41.65,6
"78",2019-08-01 16:09:00,41.63,41.63,41.63,41.63,100
"79",2019-08-01 16:10:00,41.63,41.63,41.57,41.63,900
"80",2019-08-01 16:12:00,41.61,41.61,41.61,41.61,800
"81",2019-08-01 16:13:00,41.56,41.58,41.56,41.56,2407
"82",2019-08-01 16:14:00,41.56,41.56,41.5,41.5,2605
