"","time","open","high","low","close","volume"
"1",2019-08-01 00:09:00,13.97,13.97,13.97,13.97,4
"2",2019-08-01 10:01:00,14.05,14.05,14.05,14.05,1
"3",2019-08-01 10:45:00,14.02,14.02,14.02,14.02,3
"4",2019-08-01 16:15:00,13.93,13.93,13.92,13.92,4
"5",2019-08-01 16:27:00,13.86,13.86,13.86,13.86,200
"6",2019-08-01 16:29:00,13.84,13.84,13.84,13.84,600
"7",2019-08-01 16:30:00,13.84,13.84,13.84,13.84,1350
"8",2019-08-01 16:31:00,13.81,13.84,13.67,13.68,16533
"9",2019-08-01 16:32:00,13.68,13.72,13.65,13.68,25623
"10",2019-08-01 16:33:00,13.69,13.8,13.69,13.79,37837
"11",2019-08-01 16:34:00,13.78,13.81,13.74,13.74,18038
"12",2019-08-01 16:35:00,13.74,13.82,13.74,13.81,17003
"13",2019-08-01 16:36:00,13.8,13.82,13.76,13.82,11310
"14",2019-08-01 16:37:00,13.83,13.84,13.81,13.84,8745
"15",2019-08-01 16:38:00,13.85,13.85,13.82,13.84,9204
"16",2019-08-01 16:39:00,13.84,13.86,13.82,13.86,9690
"17",2019-08-01 16:40:00,13.86,13.86,13.82,13.85,5572
"18",2019-08-01 16:41:00,13.84,13.84,13.73,13.74,13697
"19",2019-08-01 16:42:00,13.74,13.79,13.74,13.79,3988
"20",2019-08-01 16:43:00,13.8,13.86,13.8,13.86,4013
"21",2019-08-01 16:44:00,13.85,13.85,13.77,13.77,7209
"22",2019-08-01 16:45:00,13.76,13.76,13.74,13.76,7994
"23",2019-08-01 16:46:00,13.78,13.8,13.78,13.79,6603
"24",2019-08-01 16:47:00,13.79,13.8,13.78,13.78,4098
"25",2019-08-01 16:48:00,13.77,13.82,13.77,13.81,2602
"26",2019-08-01 16:49:00,13.81,13.81,13.8,13.8,6500
"27",2019-08-01 16:50:00,13.8,13.81,13.77,13.78,8383
"28",2019-08-01 16:51:00,13.79,13.81,13.79,13.8,3005
"29",2019-08-01 16:52:00,13.79,13.79,13.78,13.78,3215
