"","time","open","high","low","close","volume"
"1",2020-08-03 09:31:00,156.62,156.7,155.45,155.61,4462
"2",2020-08-03 09:32:00,155.51,155.9,155.32,155.46,1721
"3",2020-08-03 09:33:00,155.65,155.65,155.03,155.28,2000
"4",2020-08-03 09:34:00,155.41,155.41,154.71,155.21,4443
"5",2020-08-03 09:35:00,154.87,155.39,154.81,155,2100
"6",2020-08-03 09:36:00,154.57,155.34,154.57,155.28,1800
"7",2020-08-03 09:37:00,155.51,155.69,155.41,155.69,1747
"8",2020-08-03 09:38:00,155.67,155.84,155.22,155.22,2344
"9",2020-08-03 09:39:00,155.1,155.12,154.91,155.02,5797
"10",2020-08-03 09:40:00,154.96,155.04,154.4,154.64,2300
"11",2020-08-03 09:41:00,154.71,154.83,154.23,154.41,1624
"12",2020-08-03 09:42:00,154.6,154.9,154.48,154.84,2100
"13",2020-08-03 09:43:00,154.65,154.75,154.51,154.7,1055
"14",2020-08-03 09:44:00,154.32,154.32,154.19,154.28,600
"15",2020-08-03 09:45:00,154.1,154.35,153.9,154.16,3545
"16",2020-08-03 09:46:00,154.21,154.21,153.91,153.96,2715
"17",2020-08-03 09:47:00,154.02,154.08,153.61,153.67,3480
"18",2020-08-03 09:48:00,153.6,153.84,153.5,153.67,1376
"19",2020-08-03 09:49:00,153.74,154.26,153.74,154.24,1200
"20",2020-08-03 09:50:00,154.07,154.55,154.04,154.55,2425
"21",2020-08-03 09:51:00,154.54,154.98,154.52,154.97,1600
"22",2020-08-03 09:52:00,154.73,155,154.59,155,900
"23",2020-08-03 09:53:00,154.97,154.97,154.8,154.8,700
"24",2020-08-03 09:54:00,154.88,155.25,154.84,155.12,2346
"25",2020-08-03 09:55:00,154.91,155.04,154.8,155.04,1383
"26",2020-08-03 09:56:00,154.87,155,154.86,154.98,1100
"27",2020-08-03 09:57:00,154.81,154.94,154,154.19,7074
"28",2020-08-03 09:58:00,154.4,154.4,154.2,154.23,900
"29",2020-08-03 09:59:00,154.29,154.61,154.24,154.24,1091
"30",2020-08-03 10:00:00,154.32,154.35,154.23,154.33,3325
"31",2020-08-03 10:01:00,154.33,154.87,154.33,154.87,900
"32",2020-08-03 10:02:00,154.82,155.29,154.82,155.29,3252
"33",2020-08-03 10:03:00,155.12,155.4,154.96,155.28,1300
"34",2020-08-03 10:04:00,155.19,155.48,155.19,155.48,1300
"35",2020-08-03 10:05:00,155.41,155.57,155.11,155.57,4212
"36",2020-08-03 10:06:00,155.57,155.67,155.45,155.57,4689
"37",2020-08-03 10:07:00,155.53,155.53,155.31,155.39,920
"38",2020-08-03 10:08:00,155.35,155.42,155.2,155.28,2518
"39",2020-08-03 10:09:00,155.33,155.46,155.11,155.11,3700
"40",2020-08-03 10:10:00,155.04,155.14,154.92,155.13,2342
"41",2020-08-03 10:11:00,155.32,155.35,155.1,155.25,1400
"42",2020-08-03 10:12:00,155.24,155.24,155.09,155.09,1100
"43",2020-08-03 10:13:00,155.34,155.56,155.34,155.45,2200
"44",2020-08-03 10:14:00,155.39,155.75,155.39,155.52,1422
"45",2020-08-03 10:15:00,155.55,155.55,155.43,155.43,1424
"46",2020-08-03 10:16:00,155.35,155.4,155.2,155.22,1158
"47",2020-08-03 10:17:00,155.19,155.19,154.62,154.77,7592
"48",2020-08-03 10:18:00,154.7,154.96,154.6,154.96,611
"49",2020-08-03 10:19:00,154.84,155.08,154.67,154.67,2635
"50",2020-08-03 10:20:00,154.63,154.92,154.63,154.78,1825
"51",2020-08-03 10:21:00,154.83,155,154.67,154.69,1300
"52",2020-08-03 10:22:00,154.67,154.72,154.61,154.61,600
"53",2020-08-03 10:23:00,154.51,154.67,154.06,154.38,3800
"54",2020-08-03 10:24:00,154.3,154.53,154.26,154.53,2357
"55",2020-08-03 10:25:00,154.47,154.72,154.47,154.68,1100
"56",2020-08-03 10:26:00,154.77,154.77,154.5,154.5,1331
"57",2020-08-03 10:27:00,154.72,154.84,154.72,154.84,400
"58",2020-08-03 10:28:00,154.88,155.05,154.85,154.85,1300
"59",2020-08-03 10:29:00,154.9,154.99,154.88,154.98,900
"60",2020-08-03 10:30:00,154.83,155.03,154.83,154.85,913
"61",2020-08-03 10:31:00,154.87,155.24,154.87,155.24,1400
"62",2020-08-03 10:32:00,155.44,155.57,155.34,155.41,1513
"63",2020-08-03 10:33:00,155.3,155.3,154.98,155.08,2193
"64",2020-08-03 10:34:00,155.04,155.2,154.99,155,1100
"65",2020-08-03 10:35:00,154.98,155.08,154.98,155.03,600
"66",2020-08-03 10:36:00,154.99,155.18,154.99,155.17,2200
"67",2020-08-03 10:37:00,155.15,155.29,155.12,155.25,1765
"68",2020-08-03 10:38:00,155.39,155.7,155.39,155.54,6290
"69",2020-08-03 10:39:00,155.5,155.84,155.5,155.64,3200
"70",2020-08-03 10:40:00,155.64,155.93,155.6,155.93,2950
"71",2020-08-03 10:41:00,155.89,156.32,155.86,156.24,2850
"72",2020-08-03 10:42:00,156.28,156.58,156.28,156.39,1747
"73",2020-08-03 10:43:00,156.34,156.35,156.03,156.09,3400
"74",2020-08-03 10:44:00,156.16,156.19,156.14,156.14,800
"75",2020-08-03 10:45:00,156.23,156.67,156.21,156.45,3400
"76",2020-08-03 10:46:00,156.44,156.44,156.22,156.22,958
"77",2020-08-03 10:47:00,156.13,156.14,155.91,156.09,1100
"78",2020-08-03 10:48:00,156.06,156.23,155.99,155.99,950
"79",2020-08-03 10:49:00,156.1,156.1,155.98,155.98,1100
"80",2020-08-03 10:50:00,156.05,156.05,155.81,155.81,1300
"81",2020-08-03 10:51:00,155.63,156,155.63,155.97,300
"82",2020-08-03 10:52:00,156.04,156.25,156.04,156.24,4195
"83",2020-08-03 10:53:00,156.23,156.34,156.15,156.23,3763
"84",2020-08-03 10:54:00,156.11,156.42,156.11,156.42,1400
"85",2020-08-03 10:55:00,156.48,156.84,156.48,156.8,3781
"86",2020-08-03 10:56:00,156.91,157.17,156.91,156.93,3850
"87",2020-08-03 10:57:00,156.95,156.95,156.7,156.8,2114
"88",2020-08-03 10:58:00,156.65,156.71,156.51,156.7,1350
"89",2020-08-03 10:59:00,156.87,156.97,156.78,156.78,800
"90",2020-08-03 11:00:00,156.8,156.88,156.65,156.88,1700
"91",2020-08-03 11:01:00,156.87,157.4,156.87,157.37,2465
"92",2020-08-03 11:02:00,157.22,157.27,157,157,1481
"93",2020-08-03 11:03:00,157.02,157.33,157.02,157.33,1610
"94",2020-08-03 11:04:00,157.35,157.77,157.35,157.77,2788
"95",2020-08-03 11:05:00,157.72,157.82,157.6,157.8,3507
"96",2020-08-03 11:06:00,157.67,158,157.6,157.96,3755
"97",2020-08-03 11:07:00,157.99,158.17,157.82,157.84,5020
"98",2020-08-03 11:08:00,157.74,157.94,157.74,157.74,1300
"99",2020-08-03 11:09:00,157.69,157.72,157.45,157.56,1500
"100",2020-08-03 11:10:00,157.52,157.76,157.45,157.76,700
"101",2020-08-03 11:11:00,157.72,157.98,157.71,157.77,1600
"102",2020-08-03 11:12:00,157.87,157.87,157.62,157.65,3533
"103",2020-08-03 11:13:00,157.73,158.01,157.73,157.99,815
"104",2020-08-03 11:14:00,158.1,158.7,158.08,158.68,10956
"105",2020-08-03 11:15:00,158.65,158.93,158.62,158.8,3016
"106",2020-08-03 11:16:00,158.79,159.15,158.71,159.12,4701
"107",2020-08-03 11:17:00,159.53,159.65,159.25,159.33,3050
"108",2020-08-03 11:18:00,159.2,159.37,159.07,159.07,1500
"109",2020-08-03 11:19:00,158.99,159.34,158.99,159.34,812
"110",2020-08-03 11:20:00,159.4,159.65,159.4,159.59,2828
"111",2020-08-03 11:21:00,159.56,160.33,159.56,160.33,4330
"112",2020-08-03 11:22:00,160.39,160.67,160.28,160.28,7669
"113",2020-08-03 11:23:00,160.27,160.41,160.1,160.36,3650
"114",2020-08-03 11:24:00,160.4,160.54,160.09,160.36,6727
"115",2020-08-03 11:25:00,160.36,160.5,160.12,160.5,5283
"116",2020-08-03 11:26:00,160.59,161.04,160.59,160.84,8626
"117",2020-08-03 11:27:00,160.93,161,160.64,160.81,3600
"118",2020-08-03 11:28:00,160.69,160.73,160.49,160.49,1800
"119",2020-08-03 11:29:00,160.43,160.45,160.2,160.34,3360
"120",2020-08-03 11:30:00,160.35,160.5,160.2,160.5,1750
"121",2020-08-03 11:31:00,160.4,160.4,159.92,160.19,2979
"122",2020-08-03 11:32:00,160.13,160.13,160,160.07,1700
"123",2020-08-03 11:33:00,160.15,160.26,160.08,160.08,600
"124",2020-08-03 11:34:00,160.01,160.06,159.87,160.06,800
"125",2020-08-03 11:35:00,160.03,160.03,159.83,159.92,1021
"126",2020-08-03 11:36:00,160,160.38,160,160.38,2100
"127",2020-08-03 11:37:00,160.4,160.53,160.32,160.32,1100
"128",2020-08-03 11:38:00,160.36,160.36,160.18,160.3,1100
"129",2020-08-03 11:39:00,160.26,160.52,160.22,160.48,1438
"130",2020-08-03 11:40:00,160.55,161.3,160.55,161.28,4518
"131",2020-08-03 11:41:00,161.29,161.5,161.05,161.16,2300
"132",2020-08-03 11:42:00,161,161,160.81,161,3033
"133",2020-08-03 11:43:00,161.03,161.23,160.78,161.13,3728
"134",2020-08-03 11:44:00,161.06,161.06,160.75,160.75,1500
"135",2020-08-03 11:45:00,160.83,161.07,160.81,161.07,2639
"136",2020-08-03 11:46:00,161.15,161.37,161.07,161.37,4100
"137",2020-08-03 11:47:00,161.3,161.81,161.1,161.73,6295
"138",2020-08-03 11:48:00,161.63,161.74,161.45,161.63,2707
"139",2020-08-03 11:49:00,161.66,161.66,161.2,161.44,2080
"140",2020-08-03 11:50:00,161.34,161.79,161.34,161.71,1000
"141",2020-08-03 11:51:00,161.65,161.65,161.43,161.45,1309
"142",2020-08-03 11:52:00,161.49,161.49,161.05,161.25,1610
"143",2020-08-03 11:53:00,161.24,161.4,161.18,161.22,1600
"144",2020-08-03 11:54:00,161.3,161.36,161.16,161.36,1200
"145",2020-08-03 11:55:00,161.18,161.625,161.18,161.59,1200
"146",2020-08-03 11:56:00,161.71,161.98,161.62,161.73,6264
"147",2020-08-03 11:57:00,161.72,161.72,161.25,161.25,2000
"148",2020-08-03 11:58:00,161.18,161.19,160.91,161,8742
"149",2020-08-03 11:59:00,160.91,161.06,160.84,160.97,1830
"150",2020-08-03 12:00:00,160.86,160.86,160.68,160.78,1020
"151",2020-08-03 12:01:00,160.8,161.01,160.8,160.87,1730
"152",2020-08-03 12:02:00,160.87,161.03,160.84,160.96,2100
"153",2020-08-03 12:03:00,160.94,160.98,160.93,160.93,400
"154",2020-08-03 12:04:00,160.86,161.21,160.86,161.15,3308
"155",2020-08-03 12:05:00,161,161.05,160.91,160.95,3300
"156",2020-08-03 12:06:00,161,161,160.85,161,587
"157",2020-08-03 12:07:00,160.85,161.38,160.8,161.38,1809
"158",2020-08-03 12:08:00,161.37,161.38,161.28,161.28,502
"159",2020-08-03 12:09:00,161.44,161.6,161.44,161.56,5389
"160",2020-08-03 12:10:00,161.61,161.63,161.53,161.63,2805
"161",2020-08-03 12:11:00,161.59,161.6,161.38,161.5,1900
"162",2020-08-03 12:12:00,161.49,161.86,161.49,161.86,5751
"163",2020-08-03 12:13:00,161.81,162.14,161.7,162.03,4685
"164",2020-08-03 12:14:00,162.05,162.205,161.99,162,3030
"165",2020-08-03 12:15:00,162.06,162.18,161.86,161.86,2328
"166",2020-08-03 12:16:00,161.99,162.13,161.69,161.77,3326
"167",2020-08-03 12:17:00,161.88,162.09,161.76,161.94,2700
"168",2020-08-03 12:18:00,161.94,161.99,161.73,161.82,3460
"169",2020-08-03 12:19:00,161.74,162,161.74,161.83,2000
"170",2020-08-03 12:20:00,161.88,161.88,161.7,161.7,1502
"171",2020-08-03 12:21:00,161.74,161.96,161.74,161.88,1533
"172",2020-08-03 12:22:00,161.85,161.85,161.75,161.78,1523
"173",2020-08-03 12:23:00,161.85,161.95,161.76,161.88,1103
"174",2020-08-03 12:24:00,161.97,161.97,161.72,161.72,1200
"175",2020-08-03 12:25:00,161.76,161.76,161.27,161.33,3400
"176",2020-08-03 12:26:00,161.43,161.43,161.19,161.26,1600
"177",2020-08-03 12:27:00,161.2,161.2,161.02,161.1,1300
"178",2020-08-03 12:28:00,161.09,161.25,161.01,161.14,800
"179",2020-08-03 12:29:00,161,161.11,160.88,161.11,3058
"180",2020-08-03 12:30:00,161.2,161.21,161.11,161.11,2105
"181",2020-08-03 12:31:00,161.03,161.18,161.03,161.18,300
"182",2020-08-03 12:32:00,161.3,161.37,161.29,161.29,569
"183",2020-08-03 12:33:00,161.36,161.39,161.21,161.25,1260
"184",2020-08-03 12:34:00,161.31,161.41,161.31,161.36,800
"185",2020-08-03 12:35:00,161.4,161.4,161.32,161.32,200
"186",2020-08-03 12:36:00,161.25,161.28,161.15,161.25,2302
