"","time","open","high","low","close","volume"
"1",2020-08-03 09:31:00,25.06,25.06,24.92,24.96,26389
"2",2020-08-03 09:32:00,24.96,24.98,24.865,24.87,16845
"3",2020-08-03 09:33:00,24.87,24.88,24.765,24.78,27912
"4",2020-08-03 09:34:00,24.79,24.81,24.72,24.72,22600
"5",2020-08-03 09:35:00,24.7,24.75,24.7,24.74,5754
"6",2020-08-03 09:36:00,24.76,24.845,24.76,24.81,24791
"7",2020-08-03 09:37:00,24.82,24.83,24.78,24.78,8992
"8",2020-08-03 09:38:00,24.78,24.81,24.77,24.8,9002
"9",2020-08-03 09:39:00,24.78,24.83,24.78,24.81,10163
"10",2020-08-03 09:40:00,24.82,24.825,24.8,24.82,6500
"11",2020-08-03 09:41:00,24.83,24.83,24.77,24.785,11698
"12",2020-08-03 09:42:00,24.8,24.825,24.8,24.82,11334
"13",2020-08-03 09:43:00,24.81,24.83,24.8,24.81,9650
"14",2020-08-03 09:44:00,24.82,24.83,24.81,24.825,11097
"15",2020-08-03 09:45:00,24.83,24.86,24.83,24.86,26418
"16",2020-08-03 09:46:00,24.86,24.92,24.86,24.92,19557
"17",2020-08-03 09:47:00,24.915,24.97,24.915,24.93,10063
"18",2020-08-03 09:48:00,24.93,24.96,24.93,24.95,10688
"19",2020-08-03 09:49:00,24.96,25.01,24.96,25.01,4283
"20",2020-08-03 09:50:00,25,25.01,24.97,25,9100
"21",2020-08-03 09:51:00,25.01,25.045,25,25.04,14614
"22",2020-08-03 09:52:00,25.03,25.03,25.005,25.01,5685
"23",2020-08-03 09:53:00,25,25.03,24.99,24.99,13935
"24",2020-08-03 09:54:00,25,25.04,25,25.02,14600
"25",2020-08-03 09:55:00,25.025,25.035,25,25.035,8849
"26",2020-08-03 09:56:00,25.03,25.03,24.99,25.005,11609
"27",2020-08-03 09:57:00,25.005,25.015,25,25.015,5500
"28",2020-08-03 09:58:00,25.01,25.01,24.995,24.995,7737
"29",2020-08-03 09:59:00,25,25.025,25,25,10977
"30",2020-08-03 10:00:00,25,25.01,25,25.01,5977
"31",2020-08-03 10:01:00,25.01,25.075,25,25.07,59216
"32",2020-08-03 10:02:00,25.07,25.145,25.07,25.145,15011
"33",2020-08-03 10:03:00,25.15,25.195,25.145,25.16,16767
"34",2020-08-03 10:04:00,25.155,25.22,25.15,25.18,40879
"35",2020-08-03 10:05:00,25.185,25.19,25.14,25.19,58085
"36",2020-08-03 10:06:00,25.2,25.23,25.19,25.19,16563
"37",2020-08-03 10:07:00,25.2,25.24,25.2,25.225,23579
"38",2020-08-03 10:08:00,25.235,25.27,25.235,25.27,37529
"39",2020-08-03 10:09:00,25.275,25.305,25.275,25.295,39301
"40",2020-08-03 10:10:00,25.29,25.29,25.23,25.245,30448
"41",2020-08-03 10:11:00,25.255,25.28,25.25,25.25,15528
"42",2020-08-03 10:12:00,25.25,25.255,25.23,25.24,13865
"43",2020-08-03 10:13:00,25.255,25.275,25.255,25.26,4400
"44",2020-08-03 10:14:00,25.26,25.28,25.26,25.27,9384
"45",2020-08-03 10:15:00,25.26,25.275,25.25,25.27,13080
"46",2020-08-03 10:16:00,25.265,25.29,25.255,25.285,3707
"47",2020-08-03 10:17:00,25.275,25.275,25.26,25.26,7869
"48",2020-08-03 10:18:00,25.27,25.305,25.27,25.305,6241
"49",2020-08-03 10:19:00,25.3,25.3,25.275,25.28,11381
"50",2020-08-03 10:20:00,25.275,25.28,25.24,25.245,13600
"51",2020-08-03 10:21:00,25.25,25.255,25.22,25.225,9861
"52",2020-08-03 10:22:00,25.225,25.245,25.225,25.24,11334
"53",2020-08-03 10:23:00,25.24,25.25,25.24,25.245,7093
"54",2020-08-03 10:24:00,25.24,25.27,25.24,25.265,9356
"55",2020-08-03 10:25:00,25.26,25.26,25.24,25.24,2800
"56",2020-08-03 10:26:00,25.25,25.26,25.25,25.25,3042
"57",2020-08-03 10:27:00,25.24,25.24,25.195,25.195,7941
"58",2020-08-03 10:28:00,25.19,25.19,25.15,25.15,16262
"59",2020-08-03 10:29:00,25.14,25.14,25.12,25.12,14074
"60",2020-08-03 10:30:00,25.12,25.13,25.12,25.12,16773
"61",2020-08-03 10:31:00,25.13,25.14,25.13,25.14,3214
"62",2020-08-03 10:32:00,25.14,25.17,25.14,25.17,9274
"63",2020-08-03 10:33:00,25.16,25.16,25.15,25.155,4452
"64",2020-08-03 10:34:00,25.15,25.17,25.15,25.16,8584
"65",2020-08-03 10:35:00,25.16,25.16,25.155,25.16,5983
"66",2020-08-03 10:36:00,25.17,25.185,25.15,25.15,14664
"67",2020-08-03 10:37:00,25.13,25.15,25.125,25.14,10023
"68",2020-08-03 10:38:00,25.145,25.15,25.12,25.12,9610
"69",2020-08-03 10:39:00,25.125,25.13,25.11,25.11,4302
"70",2020-08-03 10:40:00,25.11,25.11,25.08,25.095,11655
"71",2020-08-03 10:41:00,25.09,25.11,25.09,25.11,16835
"72",2020-08-03 10:42:00,25.11,25.12,25.11,25.11,12023
"73",2020-08-03 10:43:00,25.1,25.1,25.05,25.05,17179
"74",2020-08-03 10:44:00,25.05,25.05,25.02,25.03,18537
"75",2020-08-03 10:45:00,25.03,25.03,25.005,25.01,9172
"76",2020-08-03 10:46:00,25.01,25.02,25,25.005,17946
"77",2020-08-03 10:47:00,25.01,25.035,25.01,25.01,21900
"78",2020-08-03 10:48:00,25.015,25.03,24.995,25,21230
"79",2020-08-03 10:49:00,24.995,25.01,24.99,25.01,19645
"80",2020-08-03 10:50:00,25,25,24.98,24.995,6352
"81",2020-08-03 10:51:00,25,25.01,25,25.01,11536
"82",2020-08-03 10:52:00,25,25.01,24.99,24.99,8156
"83",2020-08-03 10:53:00,24.98,24.995,24.98,24.99,10300
"84",2020-08-03 10:54:00,24.99,24.99,24.99,24.99,1200
"85",2020-08-03 10:55:00,25,25.005,24.995,25.005,2833
"86",2020-08-03 10:56:00,25.01,25.01,25,25,3048
"87",2020-08-03 10:57:00,25,25,24.99,24.99,596
"88",2020-08-03 10:58:00,24.98,24.995,24.98,24.995,2320
"89",2020-08-03 10:59:00,25,25.005,24.99,25.005,8463
"90",2020-08-03 11:00:00,25,25.03,25,25.03,7006
"91",2020-08-03 11:01:00,25.03,25.04,25.03,25.035,3611
"92",2020-08-03 11:02:00,25.04,25.04,25,25,6695
"93",2020-08-03 11:03:00,24.99,25.005,24.98,24.99,10253
"94",2020-08-03 11:04:00,24.99,24.995,24.975,24.975,10788
"95",2020-08-03 11:05:00,24.97,24.99,24.97,24.99,6967
"96",2020-08-03 11:06:00,24.99,25.01,24.99,25.005,8066
"97",2020-08-03 11:07:00,25.01,25.01,24.98,24.98,10615
"98",2020-08-03 11:08:00,24.98,25,24.975,24.975,14000
"99",2020-08-03 11:09:00,24.97,24.97,24.955,24.96,5700
"100",2020-08-03 11:10:00,24.97,24.97,24.955,24.96,7593
"101",2020-08-03 11:11:00,24.95,24.95,24.94,24.95,10019
"102",2020-08-03 11:12:00,24.96,24.985,24.96,24.985,4377
"103",2020-08-03 11:13:00,24.99,25,24.99,25,12556
"104",2020-08-03 11:14:00,24.995,24.995,24.985,24.985,8600
"105",2020-08-03 11:15:00,24.985,25.01,24.985,25.01,7900
"106",2020-08-03 11:16:00,25,25.01,24.995,25.01,7512
"107",2020-08-03 11:17:00,25.01,25.01,25,25.01,6500
"108",2020-08-03 11:18:00,25.01,25.01,24.99,24.99,4800
"109",2020-08-03 11:19:00,24.99,24.995,24.985,24.99,21987
"110",2020-08-03 11:20:00,24.98,24.99,24.98,24.99,1858
"111",2020-08-03 11:21:00,25,25.035,25,25.03,5627
"112",2020-08-03 11:22:00,25.03,25.03,25.02,25.02,2175
"113",2020-08-03 11:23:00,24.99,25.02,24.99,25.02,8571
"114",2020-08-03 11:24:00,25.015,25.02,25.015,25.02,1302
"115",2020-08-03 11:25:00,25.015,25.02,25.015,25.02,1523
"116",2020-08-03 11:26:00,25.02,25.065,25.02,25.055,47039
"117",2020-08-03 11:27:00,25.06,25.07,25.055,25.065,6156
"118",2020-08-03 11:28:00,25.065,25.065,25.05,25.06,3700
"119",2020-08-03 11:29:00,25.06,25.06,25.04,25.04,6135
"120",2020-08-03 11:30:00,25.03,25.05,25.025,25.05,4900
"121",2020-08-03 11:31:00,25.05,25.05,25.04,25.04,5449
"122",2020-08-03 11:32:00,25.05,25.055,25.05,25.05,5168
"123",2020-08-03 11:33:00,25.055,25.065,25.055,25.06,9629
"124",2020-08-03 11:34:00,25.055,25.06,25.055,25.06,1800
"125",2020-08-03 11:35:00,25.05,25.065,25.045,25.05,6835
"126",2020-08-03 11:36:00,25.05,25.07,25.05,25.07,10749
"127",2020-08-03 11:37:00,25.07,25.08,25.07,25.08,17400
"128",2020-08-03 11:38:00,25.075,25.08,25.075,25.08,3400
"129",2020-08-03 11:39:00,25.09,25.09,25.09,25.09,1400
"130",2020-08-03 11:40:00,25.09,25.09,25.09,25.09,894
"131",2020-08-03 11:41:00,25.1,25.11,25.1,25.11,2043
"132",2020-08-03 11:42:00,25.12,25.12,25.12,25.12,3500
"133",2020-08-03 11:43:00,25.13,25.135,25.115,25.135,4684
"134",2020-08-03 11:44:00,25.135,25.16,25.135,25.15,12775
"135",2020-08-03 11:45:00,25.15,25.155,25.14,25.14,1400
"136",2020-08-03 11:46:00,25.14,25.14,25.12,25.12,3399
"137",2020-08-03 11:47:00,25.11,25.11,25.105,25.11,2900
"138",2020-08-03 11:48:00,25.1,25.1,25.09,25.09,1600
"139",2020-08-03 11:49:00,25.08,25.08,25.065,25.065,4292
"140",2020-08-03 11:50:00,25.06,25.065,25.055,25.065,700
"141",2020-08-03 11:51:00,25.06,25.06,25.05,25.05,6399
"142",2020-08-03 11:52:00,25.05,25.05,25.04,25.04,7054
"143",2020-08-03 11:53:00,25.04,25.05,25.04,25.05,6600
"144",2020-08-03 11:54:00,25.05,25.05,25.05,25.05,1800
"145",2020-08-03 11:55:00,25.04,25.05,25.04,25.05,4077
"146",2020-08-03 11:56:00,25.05,25.05,25.05,25.05,1400
"147",2020-08-03 11:57:00,25.06,25.07,25.06,25.06,2389
"148",2020-08-03 11:58:00,25.06,25.06,25.06,25.06,2300
"149",2020-08-03 11:59:00,25.06,25.07,25.06,25.07,2805
