"","time","open","high","low","close","volume"
"1",2020-08-01 00:01:00,424.24,424.24,424.24,424.24,2
"2",2020-08-01 00:03:00,424.26,424.26,424.26,424.26,131
"3",2020-08-01 00:13:00,424.29,424.29,424.29,424.29,90
"4",2020-08-01 00:16:00,424.25,424.25,424.25,424.25,501
"5",2020-08-01 00:20:00,424.02,424.02,424.02,424.02,29
"6",2020-08-01 00:22:00,424.1,424.1,424.1,424.1,3
"7",2020-08-01 00:34:00,424.5,424.5,424.5,424.5,2
"8",2020-08-01 00:45:00,424.4,424.4,424.1,424.1,4
"9",2020-08-01 01:03:00,424.39,424.39,424.39,424.39,1
"10",2020-08-01 01:17:00,424.4,424.4,424.4,424.4,1
"11",2020-08-01 01:25:00,424.1,424.1,424.1,424.1,51
"12",2020-08-01 01:27:00,424.1,424.1,424.1,424.1,30
"13",2020-08-01 01:28:00,424,424,424,424,4
"14",2020-08-01 01:31:00,424,424.1,424,424.1,8
"15",2020-08-01 01:34:00,424.1,424.1,424.1,424.1,2
"16",2020-08-01 01:35:00,424.1,424.1,424.1,424.1,2
"17",2020-08-01 01:37:00,423.88,423.88,423.88,423.88,5
"18",2020-08-01 01:40:00,424,424.1,424,424.1,4
"19",2020-08-03 10:01:00,426.44,428.71,426.44,427.98,15
"20",2020-08-03 10:02:00,428,428,427.01,427.05,12
"21",2020-08-03 10:03:00,427.06,428,427.06,428,35
"22",2020-08-03 10:04:00,427.5,428.22,427.5,428,25
"23",2020-08-03 10:05:00,428,428.43,428,428.43,4
"24",2020-08-03 10:06:00,427.9,428.43,427.15,427.17,14
"25",2020-08-03 10:07:00,428.43,428.43,428.43,428.43,1
"26",2020-08-03 10:08:00,428,428,428,428,1
"27",2020-08-03 10:09:00,428.43,428.43,428,428,3
"28",2020-08-03 10:10:00,427.26,427.26,427.2,427.21,34
"29",2020-08-03 10:11:00,427.2,428,427.2,428,12
"30",2020-08-03 10:12:00,428,428.43,428,428.43,6
"31",2020-08-03 10:13:00,428.41,428.41,428.41,428.41,1
"32",2020-08-03 10:14:00,428.43,428.43,428.43,428.43,3
"33",2020-08-03 10:15:00,428.43,428.43,428.41,428.41,2
"34",2020-08-03 10:16:00,428.41,428.41,428.41,428.41,6
"35",2020-08-03 10:17:00,428.41,428.41,428.41,428.41,1
"36",2020-08-03 10:18:00,428.1,428.43,428.1,428.43,3
"37",2020-08-03 10:19:00,428.43,428.44,428,428.44,9
"38",2020-08-03 10:20:00,428.5,428.5,428,428.49,58
"39",2020-08-03 10:21:00,428.9,428.97,428.49,428.97,8
"40",2020-08-03 10:22:00,428.97,428.97,428.89,428.89,11
"41",2020-08-03 10:23:00,428.89,428.89,428.89,428.89,2
"42",2020-08-03 10:25:00,428.89,428.97,428.89,428.97,4
"43",2020-08-03 10:26:00,428.97,428.97,428.97,428.97,1
