"","time","open","high","low","close","volume"
"1",2020-08-03 09:31:00,38.58,38.64,38.55,38.6,17767
"2",2020-08-03 09:32:00,38.58,38.59,38.44,38.48,8780
"3",2020-08-03 09:33:00,38.5,38.54,38.42,38.42,3700
"4",2020-08-03 09:34:00,38.4,38.51,38.28,38.51,13239
"5",2020-08-03 09:35:00,38.46,38.46,38.37,38.42,3400
"6",2020-08-03 09:36:00,38.41,38.43,38.38,38.4,4110
"7",2020-08-03 09:37:00,38.425,38.425,38.29,38.29,4100
"8",2020-08-03 09:38:00,38.31,38.35,38.28,38.31,4800
"9",2020-08-03 09:39:00,38.29,38.365,38.29,38.365,7867
"10",2020-08-03 09:40:00,38.36,38.38,38.33,38.33,5840
"11",2020-08-03 09:41:00,38.3,38.33,38.28,38.31,6450
"12",2020-08-03 09:42:00,38.32,38.33,38.29,38.32,5265
"13",2020-08-03 09:43:00,38.32,38.33,38.31,38.31,1723
"14",2020-08-03 09:44:00,38.3,38.3,38.27,38.28,3391
"15",2020-08-03 09:45:00,38.28,38.295,38.27,38.295,2900
"16",2020-08-03 09:46:00,38.285,38.295,38.27,38.29,10006
"17",2020-08-03 09:47:00,38.28,38.33,38.28,38.29,3126
"18",2020-08-03 09:48:00,38.275,38.29,38.25,38.28,2549
"19",2020-08-03 09:49:00,38.295,38.31,38.29,38.3,1800
"20",2020-08-03 09:50:00,38.26,38.29,38.25,38.28,1400
"21",2020-08-03 09:51:00,38.27,38.27,38.24,38.27,2935
"22",2020-08-03 09:52:00,38.28,38.29,38.26,38.265,826
"23",2020-08-03 09:53:00,38.27,38.33,38.27,38.33,1500
"24",2020-08-03 09:54:00,38.34,38.34,38.33,38.33,200
"25",2020-08-03 09:55:00,38.31,38.32,38.31,38.31,1000
"26",2020-08-03 09:56:00,38.32,38.33,38.29,38.33,3400
"27",2020-08-03 09:57:00,38.31,38.34,38.31,38.34,1500
"28",2020-08-03 09:58:00,38.33,38.355,38.33,38.355,300
"29",2020-08-03 09:59:00,38.36,38.42,38.36,38.41,1906
"30",2020-08-03 10:00:00,38.43,38.43,38.43,38.43,300
"31",2020-08-03 10:01:00,38.42,38.49,38.42,38.48,2917
"32",2020-08-03 10:02:00,38.49,38.54,38.49,38.53,6634
"33",2020-08-03 10:03:00,38.53,38.54,38.51,38.53,3975
"34",2020-08-03 10:04:00,38.53,38.53,38.51,38.51,900
"35",2020-08-03 10:05:00,38.52,38.53,38.52,38.52,1188
"36",2020-08-03 10:06:00,38.5,38.52,38.48,38.52,1586
"37",2020-08-03 10:07:00,38.52,38.53,38.47,38.48,3199
"38",2020-08-03 10:08:00,38.48,38.51,38.48,38.51,2164
"39",2020-08-03 10:09:00,38.51,38.54,38.51,38.525,4408
"40",2020-08-03 10:10:00,38.52,38.525,38.51,38.525,4656
"41",2020-08-03 10:11:00,38.525,38.55,38.525,38.55,2201
"42",2020-08-03 10:12:00,38.555,38.57,38.52,38.52,2300
"43",2020-08-03 10:13:00,38.515,38.545,38.51,38.53,1518
"44",2020-08-03 10:14:00,38.52,38.545,38.52,38.54,1400
"45",2020-08-03 10:15:00,38.53,38.56,38.52,38.56,1600
"46",2020-08-03 10:16:00,38.545,38.55,38.53,38.54,1000
"47",2020-08-03 10:17:00,38.55,38.61,38.55,38.605,3300
"48",2020-08-03 10:18:00,38.61,38.62,38.58,38.58,2400
"49",2020-08-03 10:19:00,38.58,38.58,38.555,38.58,4378
"50",2020-08-03 10:20:00,38.57,38.61,38.57,38.61,1270
"51",2020-08-03 10:21:00,38.62,38.62,38.56,38.56,1400
"52",2020-08-03 10:22:00,38.565,38.565,38.54,38.54,1700
"53",2020-08-03 10:23:00,38.54,38.54,38.505,38.51,1600
"54",2020-08-03 10:24:00,38.505,38.51,38.475,38.48,3760
"55",2020-08-03 10:25:00,38.475,38.5,38.475,38.48,5799
"56",2020-08-03 10:26:00,38.48,38.49,38.46,38.46,3100
"57",2020-08-03 10:27:00,38.46,38.46,38.44,38.46,1475
"58",2020-08-03 10:28:00,38.45,38.45,38.415,38.42,1560
"59",2020-08-03 10:29:00,38.42,38.44,38.42,38.44,2100
"60",2020-08-03 10:30:00,38.47,38.51,38.47,38.51,1900
"61",2020-08-03 10:31:00,38.54,38.55,38.52,38.52,1000
"62",2020-08-03 10:32:00,38.51,38.54,38.49,38.52,2072
"63",2020-08-03 10:33:00,38.51,38.52,38.5,38.51,3399
"64",2020-08-03 10:34:00,38.51,38.54,38.51,38.54,2201
"65",2020-08-03 10:35:00,38.54,38.55,38.53,38.53,2200
"66",2020-08-03 10:36:00,38.52,38.53,38.48,38.48,1600
"67",2020-08-03 10:37:00,38.47,38.51,38.47,38.51,1072
"68",2020-08-03 10:38:00,38.52,38.52,38.52,38.52,900
"69",2020-08-03 10:39:00,38.525,38.525,38.52,38.52,1000
"70",2020-08-03 10:40:00,38.52,38.53,38.505,38.505,5221
"71",2020-08-03 10:41:00,38.5,38.52,38.5,38.52,2300
"72",2020-08-03 10:42:00,38.53,38.53,38.495,38.495,1900
"73",2020-08-03 10:43:00,38.49,38.49,38.445,38.445,2600
"74",2020-08-03 10:44:00,38.445,38.46,38.44,38.44,1400
"75",2020-08-03 10:45:00,38.44,38.46,38.43,38.46,855
"76",2020-08-03 10:46:00,38.45,38.455,38.45,38.455,350
"77",2020-08-03 10:47:00,38.45,38.45,38.42,38.43,1700
"78",2020-08-03 10:48:00,38.42,38.42,38.38,38.38,2408
"79",2020-08-03 10:49:00,38.37,38.42,38.365,38.42,3100
"80",2020-08-03 10:50:00,38.43,38.43,38.43,38.43,738
"81",2020-08-03 10:51:00,38.43,38.43,38.42,38.42,700
"82",2020-08-03 10:52:00,38.41,38.41,38.37,38.37,4607
"83",2020-08-03 10:53:00,38.37,38.4,38.37,38.39,963
"84",2020-08-03 10:54:00,38.39,38.41,38.39,38.41,1635
"85",2020-08-03 10:55:00,38.41,38.41,38.4,38.4,500
"86",2020-08-03 10:56:00,38.4,38.41,38.4,38.41,200
"87",2020-08-03 10:57:00,38.4,38.4,38.39,38.39,700
"88",2020-08-03 10:58:00,38.365,38.38,38.365,38.38,1300
"89",2020-08-03 10:59:00,38.37,38.38,38.37,38.38,700
"90",2020-08-03 11:00:00,38.36,38.38,38.36,38.38,2506
"91",2020-08-03 11:01:00,38.38,38.41,38.38,38.41,1700
"92",2020-08-03 11:02:00,38.37,38.37,38.37,38.37,200
"93",2020-08-03 11:03:00,38.355,38.38,38.34,38.35,8676
"94",2020-08-03 11:04:00,38.36,38.37,38.36,38.37,762
"95",2020-08-03 11:05:00,38.37,38.37,38.35,38.37,2826
"96",2020-08-03 11:06:00,38.36,38.38,38.36,38.36,600
"97",2020-08-03 11:07:00,38.355,38.355,38.33,38.33,400
"98",2020-08-03 11:08:00,38.315,38.33,38.315,38.33,1300
"99",2020-08-03 11:09:00,38.325,38.34,38.325,38.33,1500
"100",2020-08-03 11:10:00,38.32,38.32,38.31,38.31,1545
"101",2020-08-03 11:11:00,38.305,38.31,38.305,38.31,2518
"102",2020-08-03 11:12:00,38.315,38.33,38.315,38.33,2105
"103",2020-08-03 11:13:00,38.34,38.36,38.34,38.36,3003
"104",2020-08-03 11:14:00,38.36,38.36,38.35,38.35,500
"105",2020-08-03 11:15:00,38.36,38.36,38.345,38.345,400
"106",2020-08-03 11:16:00,38.35,38.36,38.34,38.35,3400
"107",2020-08-03 11:17:00,38.35,38.35,38.335,38.34,1002
"108",2020-08-03 11:18:00,38.34,38.345,38.305,38.305,3915
"109",2020-08-03 11:19:00,38.31,38.32,38.305,38.32,1690
"110",2020-08-03 11:20:00,38.315,38.32,38.315,38.32,2532
"111",2020-08-03 11:21:00,38.31,38.32,38.31,38.32,1788
"112",2020-08-03 11:22:00,38.32,38.32,38.28,38.29,5476
"113",2020-08-03 11:23:00,38.3,38.32,38.3,38.32,1361
"114",2020-08-03 11:24:00,38.34,38.34,38.31,38.31,500
"115",2020-08-03 11:25:00,38.31,38.31,38.3,38.3,1137
"116",2020-08-03 11:26:00,38.3,38.3,38.3,38.3,200
"117",2020-08-03 11:27:00,38.31,38.34,38.31,38.34,2800
"118",2020-08-03 11:28:00,38.34,38.35,38.34,38.35,500
"119",2020-08-03 11:29:00,38.35,38.35,38.33,38.35,1240
"120",2020-08-03 11:30:00,38.35,38.355,38.35,38.35,1100
"121",2020-08-03 11:31:00,38.36,38.37,38.36,38.365,1100
"122",2020-08-03 11:32:00,38.37,38.37,38.37,38.37,500
"123",2020-08-03 11:33:00,38.37,38.375,38.37,38.375,600
"124",2020-08-03 11:34:00,38.37,38.38,38.37,38.38,5006
"125",2020-08-03 11:35:00,38.395,38.395,38.38,38.38,700
"126",2020-08-03 11:36:00,38.35,38.36,38.35,38.36,916
"127",2020-08-03 11:37:00,38.34,38.34,38.34,38.34,1374
"128",2020-08-03 11:38:00,38.33,38.33,38.33,38.33,500
"129",2020-08-03 11:39:00,38.32,38.33,38.31,38.33,2900
"130",2020-08-03 11:40:00,38.35,38.35,38.35,38.35,195
"131",2020-08-03 11:41:00,38.36,38.36,38.36,38.36,100
"132",2020-08-03 11:43:00,38.37,38.37,38.345,38.345,600
"133",2020-08-03 11:44:00,38.35,38.38,38.35,38.38,2199
"134",2020-08-03 11:45:00,38.38,38.38,38.38,38.38,500
"135",2020-08-03 11:46:00,38.37,38.37,38.36,38.36,1350
"136",2020-08-03 11:47:00,38.35,38.35,38.335,38.335,750
"137",2020-08-03 11:48:00,38.34,38.34,38.34,38.34,100
"138",2020-08-03 11:49:00,38.34,38.34,38.34,38.34,400
"139",2020-08-03 11:52:00,38.34,38.34,38.34,38.34,1796
"140",2020-08-03 11:53:00,38.335,38.34,38.335,38.34,500
"141",2020-08-03 11:54:00,38.34,38.36,38.34,38.36,1300
"142",2020-08-03 11:55:00,38.36,38.36,38.36,38.36,900
"143",2020-08-03 11:56:00,38.36,38.36,38.35,38.35,500
"144",2020-08-03 11:57:00,38.34,38.34,38.34,38.34,800
"145",2020-08-03 11:58:00,38.35,38.36,38.35,38.36,5100
"146",2020-08-03 11:59:00,38.36,38.36,38.335,38.34,3607
"147",2020-08-03 12:00:00,38.35,38.35,38.335,38.335,1100
"148",2020-08-03 12:01:00,38.33,38.33,38.33,38.33,700
"149",2020-08-03 12:02:00,38.33,38.33,38.33,38.33,700
"150",2020-08-03 12:03:00,38.33,38.33,38.33,38.33,1725
"151",2020-08-03 12:04:00,38.33,38.33,38.33,38.33,300
"152",2020-08-03 12:05:00,38.33,38.33,38.305,38.31,1409
"153",2020-08-03 12:06:00,38.32,38.32,38.31,38.31,3720
"154",2020-08-03 12:08:00,38.3,38.3,38.3,38.3,100
"155",2020-08-03 12:09:00,38.31,38.31,38.31,38.31,900
"156",2020-08-03 12:11:00,38.3,38.3,38.27,38.27,3200
"157",2020-08-03 12:12:00,38.27,38.27,38.27,38.27,1700
"158",2020-08-03 12:13:00,38.27,38.27,38.26,38.27,800
"159",2020-08-03 12:14:00,38.275,38.3,38.275,38.3,800
"160",2020-08-03 12:15:00,38.29,38.3,38.29,38.3,1783
"161",2020-08-03 12:16:00,38.31,38.32,38.31,38.32,2025
"162",2020-08-03 12:17:00,38.32,38.32,38.32,38.32,500
"163",2020-08-03 12:18:00,38.32,38.32,38.32,38.32,100
"164",2020-08-03 12:19:00,38.31,38.31,38.31,38.31,200
"165",2020-08-03 12:20:00,38.3,38.3,38.3,38.3,200
"166",2020-08-03 12:21:00,38.3,38.3,38.3,38.3,400
"167",2020-08-03 12:22:00,38.3,38.3,38.29,38.29,900
"168",2020-08-03 12:23:00,38.295,38.32,38.295,38.295,6601
"169",2020-08-03 12:25:00,38.29,38.29,38.29,38.29,1600
"170",2020-08-03 12:26:00,38.29,38.29,38.27,38.27,996
"171",2020-08-03 12:27:00,38.27,38.27,38.265,38.265,200
"172",2020-08-03 12:28:00,38.27,38.27,38.24,38.24,9980
"173",2020-08-03 12:29:00,38.23,38.25,38.22,38.25,3200
"174",2020-08-03 12:30:00,38.25,38.25,38.25,38.25,400
"175",2020-08-03 12:31:00,38.24,38.25,38.24,38.25,1000
"176",2020-08-03 12:32:00,38.26,38.265,38.26,38.26,1500
"177",2020-08-03 12:33:00,38.275,38.275,38.27,38.27,1300
"178",2020-08-03 12:34:00,38.27,38.27,38.27,38.27,800
"179",2020-08-03 12:35:00,38.27,38.27,38.25,38.25,700
"180",2020-08-03 12:36:00,38.23,38.24,38.23,38.24,2420
"181",2020-08-03 12:37:00,38.25,38.25,38.25,38.25,100
"182",2020-08-03 12:38:00,38.26,38.27,38.26,38.27,1900
"183",2020-08-03 12:39:00,38.265,38.27,38.265,38.27,200
"184",2020-08-03 12:40:00,38.3,38.31,38.3,38.31,701
"185",2020-08-03 12:41:00,38.3,38.3,38.28,38.28,1487
"186",2020-08-03 12:42:00,38.27,38.27,38.27,38.27,200
"187",2020-08-03 12:43:00,38.26,38.27,38.26,38.27,1600
"188",2020-08-03 12:44:00,38.27,38.275,38.27,38.27,3007
"189",2020-08-03 12:45:00,38.27,38.27,38.27,38.27,700
"190",2020-08-03 12:46:00,38.27,38.28,38.27,38.28,416
"191",2020-08-03 12:47:00,38.3,38.3,38.3,38.3,500
"192",2020-08-03 12:49:00,38.31,38.32,38.31,38.31,6000
"193",2020-08-03 12:50:00,38.32,38.33,38.32,38.33,400
"194",2020-08-03 12:51:00,38.33,38.33,38.32,38.32,400
"195",2020-08-03 12:52:00,38.31,38.31,38.31,38.31,997
"196",2020-08-03 12:54:00,38.32,38.32,38.32,38.32,800
"197",2020-08-03 12:55:00,38.31,38.32,38.31,38.32,1000
"198",2020-08-03 12:56:00,38.32,38.32,38.32,38.32,100
"199",2020-08-03 12:58:00,38.31,38.31,38.31,38.31,800
"200",2020-08-03 12:59:00,38.31,38.31,38.31,38.31,500
"201",2020-08-03 13:00:00,38.31,38.31,38.31,38.31,1600
"202",2020-08-03 13:01:00,38.31,38.31,38.31,38.31,100
"203",2020-08-03 13:03:00,38.315,38.315,38.315,38.315,300
"204",2020-08-03 13:04:00,38.325,38.325,38.325,38.325,100
"205",2020-08-03 13:05:00,38.34,38.34,38.34,38.34,1000
"206",2020-08-03 13:06:00,38.35,38.35,38.35,38.35,400
"207",2020-08-03 13:07:00,38.355,38.355,38.355,38.355,100
"208",2020-08-03 13:08:00,38.35,38.35,38.35,38.35,300
"209",2020-08-03 13:09:00,38.355,38.355,38.355,38.355,100
"210",2020-08-03 13:10:00,38.35,38.35,38.35,38.35,700
"211",2020-08-03 13:11:00,38.35,38.36,38.35,38.36,1500
"212",2020-08-03 13:12:00,38.37,38.37,38.37,38.37,400
"213",2020-08-03 13:13:00,38.37,38.37,38.36,38.36,200
"214",2020-08-03 13:14:00,38.37,38.37,38.37,38.37,171
"215",2020-08-03 13:15:00,38.37,38.37,38.37,38.37,300
"216",2020-08-03 13:16:00,38.375,38.38,38.375,38.38,831
"217",2020-08-03 13:17:00,38.395,38.395,38.395,38.395,200
"218",2020-08-03 13:18:00,38.4,38.4,38.4,38.4,200
"219",2020-08-03 13:19:00,38.4,38.4,38.4,38.4,600
"220",2020-08-03 13:20:00,38.39,38.39,38.38,38.38,300
"221",2020-08-03 13:21:00,38.39,38.39,38.39,38.39,500
"222",2020-08-03 13:22:00,38.39,38.4,38.39,38.4,300
"223",2020-08-03 13:23:00,38.41,38.41,38.39,38.39,1341
"224",2020-08-03 13:24:00,38.4,38.4,38.4,38.4,300
"225",2020-08-03 13:25:00,38.405,38.41,38.405,38.405,900
"226",2020-08-03 13:26:00,38.4,38.4,38.39,38.39,700
"227",2020-08-03 13:27:00,38.39,38.39,38.37,38.38,2276
"228",2020-08-03 13:28:00,38.385,38.385,38.385,38.385,100
"229",2020-08-03 13:29:00,38.39,38.395,38.39,38.395,300
"230",2020-08-03 13:30:00,38.39,38.39,38.39,38.39,700
"231",2020-08-03 13:32:00,38.39,38.4,38.38,38.4,1600
"232",2020-08-03 13:33:00,38.4,38.4,38.4,38.4,200
"233",2020-08-03 13:34:00,38.39,38.39,38.39,38.39,400
"234",2020-08-03 13:35:00,38.385,38.39,38.385,38.39,200
"235",2020-08-03 13:36:00,38.39,38.39,38.38,38.38,700
"236",2020-08-03 13:37:00,38.37,38.37,38.355,38.36,1592
"237",2020-08-03 13:38:00,38.35,38.35,38.35,38.35,1795
"238",2020-08-03 13:39:00,38.35,38.35,38.35,38.35,1000
"239",2020-08-03 13:40:00,38.35,38.35,38.345,38.35,835
"240",2020-08-03 13:41:00,38.36,38.365,38.36,38.365,300
"241",2020-08-03 13:42:00,38.36,38.37,38.36,38.37,500
"242",2020-08-03 13:43:00,38.36,38.36,38.36,38.36,100
"243",2020-08-03 13:44:00,38.35,38.36,38.35,38.36,700
"244",2020-08-03 13:45:00,38.37,38.37,38.36,38.36,1200
"245",2020-08-03 13:46:00,38.36,38.36,38.35,38.35,1570
"246",2020-08-03 13:47:00,38.36,38.36,38.35,38.35,700
"247",2020-08-03 13:48:00,38.35,38.35,38.34,38.34,1800
"248",2020-08-03 13:49:00,38.335,38.34,38.325,38.34,1290
