"","time","open","high","low","close","volume"
"1",2020-08-03 11:05:00,19.24,19.24,19.24,19.24,1
"2",2020-08-03 11:17:00,19.08,19.08,19.07,19.07,3
"3",2020-08-03 11:20:00,19.07,19.07,19.07,19.07,1
"4",2020-08-03 11:52:00,19.09,19.09,19.09,19.09,2
"5",2020-08-03 11:54:00,19.09,19.09,19.09,19.09,1
"6",2020-08-03 12:06:00,19.11,19.11,19.11,19.11,2
"7",2020-08-03 12:53:00,19.12,19.12,19.12,19.12,5
"8",2020-08-03 13:34:00,19.11,19.11,19.11,19.11,8
"9",2020-08-03 14:00:00,19.13,19.13,19.13,19.13,2
"10",2020-08-03 14:21:00,19.2,19.2,19.2,19.2,1
"11",2020-08-03 14:24:00,19.13,19.13,19.12,19.12,2
"12",2020-08-03 16:30:00,19.28,19.28,19.28,19.28,45
"13",2020-08-03 16:31:00,19.17,19.18,19.12,19.17,3367
"14",2020-08-03 16:32:00,19.19,19.23,19.19,19.22,1243
"15",2020-08-03 16:33:00,19.22,19.22,19.17,19.18,2387
"16",2020-08-03 16:34:00,19.16,19.16,19.08,19.08,5309
"17",2020-08-03 16:35:00,19.03,19.08,19.03,19.08,5219
"18",2020-08-03 16:36:00,19.06,19.11,19.05,19.09,7027
"19",2020-08-03 16:37:00,19.1,19.14,19.1,19.1,4230
"20",2020-08-03 16:38:00,19.1,19.11,19.08,19.1,4577
"21",2020-08-03 16:39:00,19.07,19.08,19.05,19.05,2231
"22",2020-08-03 16:40:00,19.06,19.08,19.05,19.06,4161
"23",2020-08-03 16:41:00,19.07,19.09,19.05,19.05,4381
"24",2020-08-03 16:42:00,19.05,19.05,19.02,19.04,4199
"25",2020-08-03 16:43:00,19.05,19.05,19.01,19.01,4319
"26",2020-08-03 16:44:00,19,19.03,19,19.03,2232
"27",2020-08-03 16:45:00,19.04,19.07,19.03,19.06,3526
"28",2020-08-03 16:46:00,19.07,19.07,19.04,19.05,3358
"29",2020-08-03 16:47:00,19.05,19.07,19.05,19.06,3483
"30",2020-08-03 16:48:00,19.07,19.1,19.07,19.1,1427
"31",2020-08-03 16:49:00,19.11,19.14,19.11,19.14,2846
"32",2020-08-03 16:50:00,19.14,19.16,19.13,19.16,1540
"33",2020-08-03 16:51:00,19.16,19.19,19.16,19.17,1954
"34",2020-08-03 16:52:00,19.17,19.17,19.15,19.17,2035
"35",2020-08-03 16:53:00,19.17,19.17,19.14,19.14,1256
"36",2020-08-03 16:54:00,19.14,19.15,19.14,19.15,960
"37",2020-08-03 16:55:00,19.16,19.17,19.16,19.16,2433
"38",2020-08-03 16:56:00,19.16,19.17,19.16,19.17,1820
"39",2020-08-03 16:57:00,19.15,19.15,19.14,19.14,816
"40",2020-08-03 16:58:00,19.14,19.18,19.14,19.18,795
"41",2020-08-03 16:59:00,19.2,19.24,19.2,19.24,1331
"42",2020-08-03 17:00:00,19.24,19.3,19.23,19.3,9864
"43",2020-08-03 17:01:00,19.32,19.37,19.31,19.37,8583
"44",2020-08-03 17:02:00,19.36,19.39,19.34,19.34,2893
