"","time","open","high","low","close","volume"
"1",2015-08-21 16:50:00,14.72,14.72,14.72,14.72,55
"2",2015-08-21 16:53:00,14.81,14.81,14.81,14.81,80
"3",2015-08-21 17:08:00,15.03,15.03,15.03,15.03,80
"4",2015-08-21 22:16:00,14.7,14.7,14.7,14.7,135
"5",2015-08-26 17:21:00,14.41,14.41,14.41,14.41,35
"6",2015-08-26 17:22:00,14.58,14.58,14.58,14.58,35
"7",2015-08-26 17:37:00,14.41,14.41,14.41,14.41,35
"8",2015-08-26 17:38:00,14.38,14.58,14.38,14.43,1055
"9",2015-08-26 17:39:00,14.43,14.43,14.43,14.43,315
"10",2015-08-26 18:30:00,14.45,14.45,14.44,14.44,700
"11",2015-08-26 20:30:00,14.48,14.48,14.48,14.48,75
"12",2015-08-26 22:42:00,14.33,14.33,14.33,14.33,280
"13",2015-08-27 21:16:00,15.7,15.7,15.7,15.7,300
"14",2015-08-27 22:40:00,15.54,15.54,15.54,15.54,280
"15",2015-09-01 19:38:00,16.02,16.02,16.02,16.02,75
"16",2015-09-01 22:34:00,15.92,15.92,15.92,15.92,75
"17",2015-09-04 17:55:00,16.68,16.68,16.68,16.68,70
"18",2015-09-10 22:05:00,17.25,17.25,17.25,17.25,70
"19",2015-09-11 18:34:00,16.92,16.92,16.92,16.92,55
"20",2015-09-11 18:40:00,16.95,16.95,16.95,16.95,80
"21",2015-09-11 20:23:00,16.86,16.86,16.86,16.86,135
"22",2015-09-15 20:18:00,16.53,16.53,16.53,16.53,75
"23",2015-09-29 14:13:00,14.48,14.48,14.48,14.48,1
"24",2015-10-02 10:52:00,15.69,15.69,15.69,15.69,40
"25",2015-10-02 10:53:00,15.69,15.69,15.69,15.69,10
"26",2015-10-02 15:16:00,15.44,15.44,15.44,15.44,21
"27",2015-10-02 15:26:00,15.49,15.49,15.43,15.43,100
"28",2015-10-02 16:39:00,15.51,15.51,15.51,15.51,121
"29",2015-10-02 21:36:00,15.39,15.39,15.39,15.39,121
"30",2015-10-05 12:57:00,16.22,16.22,16.22,16.22,27
"31",2015-10-05 13:02:00,16.25,16.25,16.25,16.25,46
"32",2015-10-05 13:12:00,16.05,16.05,16.05,16.05,473
"33",2015-10-05 13:13:00,16.23,16.23,16.23,16.23,400
"34",2015-10-05 16:53:00,16.97,16.97,16.97,16.97,36
"35",2015-10-05 16:54:00,16.96,16.96,16.96,16.96,25
"36",2015-10-05 17:03:00,16.82,16.82,16.82,16.82,112
"37",2015-10-05 17:24:00,17.24,17.24,17.24,17.24,100
"38",2015-10-05 17:28:00,17.34,17.34,17.34,17.34,100
"39",2015-10-05 17:30:00,17.4,17.4,17.4,17.4,100
"40",2015-10-05 22:36:00,17.49,17.49,17.49,17.49,227
"41",2015-10-06 16:39:00,17.93,17.93,17.93,17.93,41
"42",2015-10-06 18:22:00,17.71,17.71,17.71,17.71,5
"43",2015-10-07 18:51:00,18.51,18.51,18.51,18.51,20
"44",2015-10-07 18:52:00,18.53,18.53,18.53,18.53,30
