"","time","open","high","low","close","volume"
"1",2017-08-01 16:34:00,542.59,542.61,542.59,542.61,200
"2",2017-08-01 16:35:00,543.05,543.05,543.05,543.05,14
"3",2017-08-01 16:36:00,542.67,542.67,541.91,541.91,74
"4",2017-08-01 16:37:00,539.97,542.59,539.97,541.74,622
"5",2017-08-01 16:38:00,542.78,542.79,542.78,542.79,118
"6",2017-08-01 16:39:00,543.1,543.1,543.1,543.1,65
"7",2017-08-01 16:40:00,543.48,543.55,543.14,543.55,212
"8",2017-08-01 16:41:00,543.55,543.55,542.05,542.05,561
"9",2017-08-01 16:42:00,541.5,541.5,541.5,541.5,1
"10",2017-08-01 16:44:00,541.52,541.63,541.45,541.57,270
"11",2017-08-01 16:47:00,541.53,541.53,540.25,540.25,1137
"12",2017-08-01 16:48:00,539.92,539.92,539.35,539.35,250
"13",2017-08-01 16:49:00,539.09,540.17,538.46,540.17,700
"14",2017-08-01 16:50:00,540.55,542.03,540.55,541.91,716
"15",2017-08-01 16:51:00,541.89,542.83,541.89,542.83,700
"16",2017-08-01 16:52:00,542.01,542.2,541.85,542.2,408
"17",2017-08-01 16:54:00,541.57,541.57,541.57,541.57,12
"18",2017-08-01 16:55:00,541.15,541.34,540.68,540.68,421
"19",2017-08-01 16:56:00,541.23,541.81,541.23,541.81,405
"20",2017-08-01 16:58:00,540.64,541.02,540.07,541.02,2033
"21",2017-08-01 16:59:00,540.23,540.23,540.23,540.23,5
"22",2017-08-01 17:00:00,541.35,541.38,540.72,541.38,5
"23",2017-08-01 17:01:00,541.22,541.76,540.83,541.75,1462
"24",2017-08-01 17:02:00,541.77,542.04,541.3,541.3,955
"25",2017-08-01 17:03:00,541.22,541.22,541.22,541.22,153
"26",2017-08-01 17:07:00,540.85,540.95,540.85,540.95,1002
"27",2017-08-01 17:08:00,540.77,540.77,540.59,540.74,1510
"28",2017-08-01 17:10:00,540.61,540.61,540.42,540.59,611
"29",2017-08-01 17:11:00,540.23,540.31,540.23,540.31,307
"30",2017-08-01 17:14:00,539.55,540.74,539.55,540.74,311
"31",2017-08-01 17:15:00,540.74,541.91,540.74,541.04,215
"32",2017-08-01 17:16:00,540.9,540.9,540.57,540.57,604
"33",2017-08-01 17:17:00,540.91,541.2,540.91,540.94,192
"34",2017-08-01 17:20:00,541.48,542.21,541.48,542.21,360
"35",2017-08-01 17:21:00,542.21,542.49,542.21,542.45,605
"36",2017-08-01 17:23:00,542.28,542.32,541.97,541.97,457
"37",2017-08-01 17:24:00,542.27,542.59,542.27,542.54,177
"38",2017-08-01 17:26:00,542.21,542.4,542.21,542.4,116
"39",2017-08-01 17:27:00,542.99,542.99,542.69,542.69,653
"40",2017-08-01 17:29:00,543,543,542.13,542.74,211
"41",2017-08-01 17:31:00,542.18,542.93,542.18,542.93,420
"42",2017-08-01 17:32:00,542.96,543.24,542.73,542.84,129
"43",2017-08-01 17:33:00,543.07,543.79,542.85,543.11,566
"44",2017-08-01 17:34:00,543.39,543.39,543.39,543.39,100
"45",2017-08-01 17:36:00,542.7,542.7,542.7,542.7,400
"46",2017-08-01 17:37:00,542.49,542.49,542.49,542.49,4
"47",2017-08-01 17:38:00,542.53,543.01,542.53,543.01,403
"48",2017-08-01 17:39:00,543.92,544,543.77,544,720
"49",2017-08-01 17:40:00,544.24,544.24,544.13,544.13,149
"50",2017-08-01 17:41:00,543.88,543.88,543.88,543.88,60
"51",2017-08-01 17:43:00,542.83,542.83,542.72,542.72,203
"52",2017-08-01 17:45:00,542.6,542.96,542.6,542.96,300
"53",2017-08-01 17:47:00,542.63,543.07,542.61,542.64,12
"54",2017-08-01 17:48:00,542.7,543.4,542.7,543.4,727
"55",2017-08-01 17:49:00,543.09,543.7,542.91,543.7,1307
"56",2017-08-01 17:50:00,543.69,544.07,543.69,543.76,159
"57",2017-08-01 17:51:00,544.01,544.49,543.62,544.49,455
"58",2017-08-01 17:52:00,543.85,544.09,543.85,544.09,215
"59",2017-08-01 17:53:00,543.5,543.5,543.4,543.4,339
"60",2017-08-01 17:54:00,543.35,544.4,543.35,544.4,136
"61",2017-08-01 17:55:00,544.4,545,544.4,545,112
"62",2017-08-01 17:57:00,545.3,545.3,545.3,545.3,10
"63",2017-08-01 17:58:00,544.46,544.46,543.74,543.74,775
"64",2017-08-01 17:59:00,543.18,543.18,543.18,543.18,100
"65",2017-08-01 18:01:00,543.21,544.03,543.21,544.03,1618
"66",2017-08-01 18:02:00,544.05,544.58,543.98,544.58,402
"67",2017-08-01 18:03:00,544.54,544.61,544.54,544.61,206
"68",2017-08-01 18:06:00,544.61,544.66,544.55,544.55,206
"69",2017-08-01 18:07:00,544.62,544.62,544.1,544.1,683
"70",2017-08-01 18:08:00,544.1,544.49,544.09,544.49,369
"71",2017-08-01 18:09:00,544.35,544.35,543.83,543.99,992
"72",2017-08-01 18:10:00,544.03,544.03,543.7,543.7,105
"73",2017-08-01 18:11:00,543.17,543.17,543.17,543.17,1
"74",2017-08-01 18:12:00,544.07,544.08,544.07,544.08,6
"75",2017-08-01 18:13:00,544.15,544.21,544.15,544.21,3
"76",2017-08-01 18:15:00,544.49,544.49,544.49,544.49,100
"77",2017-08-01 18:16:00,544.1,544.1,544.1,544.1,1
"78",2017-08-01 18:17:00,544.32,544.32,544.29,544.29,508
"79",2017-08-01 18:18:00,544.24,544.67,544.24,544.64,201
"80",2017-08-01 18:19:00,544.65,544.99,544.65,544.99,525
"81",2017-08-01 18:20:00,544.97,544.97,544.97,544.97,3
"82",2017-08-01 18:21:00,544.63,544.63,544.1,544.5,607
"83",2017-08-01 18:22:00,544.5,544.5,544.5,544.5,10
"84",2017-08-01 18:23:00,544.33,544.94,544.11,544.94,1644
"85",2017-08-01 18:24:00,544.95,545,544.89,545,612
"86",2017-08-01 18:25:00,544.58,544.58,544.55,544.55,400
"87",2017-08-01 18:26:00,544.51,544.51,544.51,544.51,2
"88",2017-08-01 18:27:00,544.34,544.63,544.34,544.63,303
"89",2017-08-01 18:28:00,544.22,544.22,544.22,544.22,1
"90",2017-08-01 18:30:00,544.19,544.35,543.94,544.31,298
"91",2017-08-01 18:31:00,544.24,544.33,544.24,544.33,75
"92",2017-08-01 18:32:00,544.29,544.39,544.29,544.33,732
"93",2017-08-01 18:36:00,544.6,544.6,544.6,544.6,1
"94",2017-08-01 18:39:00,543.96,544.15,543.81,543.81,653
"95",2017-08-01 18:40:00,544.03,544.11,544.03,544.11,201
"96",2017-08-01 18:44:00,543.82,544.07,543.7,543.7,305
"97",2017-08-01 18:45:00,544.03,544.03,544.03,544.03,8
"98",2017-08-01 18:46:00,543.48,543.59,543.33,543.59,18
"99",2017-08-01 18:47:00,543.25,543.25,543.25,543.25,42
"100",2017-08-01 18:48:00,543.25,543.25,543.21,543.21,54
"101",2017-08-01 18:49:00,543.01,543.01,542.96,542.96,553
"102",2017-08-01 18:50:00,542.87,543.17,542.87,543.17,705
"103",2017-08-01 18:53:00,542.8,542.8,542.65,542.65,533
"104",2017-08-01 18:55:00,542.94,542.94,542.94,542.94,100
"105",2017-08-01 18:56:00,542.68,542.99,542.48,542.99,2084
"106",2017-08-01 18:57:00,543.33,544.05,543.1,543.89,1335
"107",2017-08-01 18:58:00,543.9,543.93,543.55,543.55,402
"108",2017-08-01 18:59:00,543.38,543.38,543.38,543.38,2
"109",2017-08-01 19:00:00,543.34,543.81,543.34,543.81,611
"110",2017-08-01 19:01:00,543.62,544.4,543.56,544.01,1850
"111",2017-08-01 19:02:00,544.28,544.53,544.28,544.53,401
"112",2017-08-01 19:03:00,544.92,545,544.92,545,5
"113",2017-08-01 19:05:00,544.85,544.85,544.85,544.85,56
"114",2017-08-01 19:06:00,544.95,545.15,544.95,544.95,597
"115",2017-08-01 19:08:00,545.03,545.33,545.03,545.22,605
"116",2017-08-01 19:10:00,545.17,545.17,544.69,544.69,646
"117",2017-08-01 19:11:00,544.47,544.47,544.36,544.36,58
"118",2017-08-01 19:12:00,544.2,544.34,543.9,544.34,691
"119",2017-08-01 19:15:00,544.36,544.36,544.35,544.35,475
"120",2017-08-01 19:16:00,544.16,544.31,544.16,544.31,102
"121",2017-08-01 19:17:00,544.27,544.41,544.27,544.41,390
"122",2017-08-01 19:20:00,544.15,544.63,544.15,544.63,25
"123",2017-08-01 19:21:00,544.21,544.21,544.21,544.21,100
"124",2017-08-01 19:22:00,544.75,544.8,544.75,544.8,245
"125",2017-08-01 19:23:00,545,545,545,545,99
"126",2017-08-01 19:25:00,545.17,545.17,545.17,545.17,1
"127",2017-08-01 19:26:00,545.19,545.72,545.19,545.46,901
"128",2017-08-01 19:27:00,545.56,545.56,545.56,545.56,101
"129",2017-08-01 19:29:00,544.98,545.16,544.93,545.16,733
"130",2017-08-01 19:31:00,545.02,545.07,545.02,545.07,302
"131",2017-08-01 19:34:00,545.31,545.31,545.04,545.04,379
"132",2017-08-01 19:36:00,545.21,545.23,545.21,545.23,4
"133",2017-08-01 19:37:00,544.83,544.83,544.83,544.83,1
"134",2017-08-01 19:38:00,544.66,544.88,544.62,544.85,701
"135",2017-08-01 19:39:00,544.85,546.01,544.85,546.01,1534
