"","time","open","high","low","close","volume"
"1",2017-08-01 00:02:00,24.59,24.59,24.59,24.59,5
"2",2017-08-01 00:31:00,24.5,24.5,24.4,24.4,100
"3",2017-08-01 15:47:00,25,25,25,25,1000
"4",2017-08-01 16:31:00,24.75,24.84,24.72,24.76,67110
"5",2017-08-01 16:32:00,24.74,24.76,24.74,24.74,2097
"6",2017-08-01 16:33:00,24.75,24.75,24.69,24.73,6516
"7",2017-08-01 16:34:00,24.74,24.94,24.74,24.8,30809
"8",2017-08-01 16:35:00,24.8,24.8,24.69,24.71,3431
"9",2017-08-01 16:36:00,24.67,24.71,24.65,24.71,16344
"10",2017-08-01 16:37:00,24.7,24.78,24.69,24.76,15753
"11",2017-08-01 16:38:00,24.76,24.82,24.76,24.76,5525
"12",2017-08-01 16:39:00,24.76,24.84,24.75,24.81,8270
"13",2017-08-01 16:40:00,24.79,24.86,24.79,24.81,19834
"14",2017-08-01 16:41:00,24.82,24.85,24.81,24.82,11570
"15",2017-08-01 16:42:00,24.82,24.83,24.79,24.81,6052
"16",2017-08-01 16:43:00,24.81,24.81,24.73,24.73,13286
"17",2017-08-01 16:44:00,24.74,24.74,24.69,24.69,5475
"18",2017-08-01 16:45:00,24.7,24.7,24.65,24.68,9180
"19",2017-08-01 16:46:00,24.67,24.69,24.6,24.61,19847
"20",2017-08-01 16:47:00,24.61,24.61,24.55,24.57,12954
"21",2017-08-01 16:48:00,24.57,24.57,24.48,24.53,12084
"22",2017-08-01 16:49:00,24.53,24.54,24.5,24.52,7102
"23",2017-08-01 16:50:00,24.52,24.52,24.51,24.51,3500
"24",2017-08-01 16:51:00,24.5,24.51,24.44,24.44,6706
"25",2017-08-01 16:52:00,24.43,24.53,24.41,24.53,8767
"26",2017-08-01 16:53:00,24.53,24.56,24.52,24.56,6590
"27",2017-08-01 16:54:00,24.56,24.56,24.53,24.54,4462
"28",2017-08-01 16:55:00,24.55,24.55,24.53,24.53,4200
"29",2017-08-01 16:56:00,24.53,24.53,24.43,24.43,4067
"30",2017-08-01 16:57:00,24.43,24.46,24.42,24.45,8742
"31",2017-08-01 16:58:00,24.45,24.45,24.43,24.44,6503
"32",2017-08-01 16:59:00,24.44,24.44,24.41,24.42,4048
"33",2017-08-01 17:00:00,24.42,24.42,24.38,24.4,3018
"34",2017-08-01 17:01:00,24.4,24.4,24.28,24.3,34700
"35",2017-08-01 17:02:00,24.3,24.31,24.28,24.28,7755
"36",2017-08-01 17:03:00,24.28,24.29,24.28,24.28,6242
"37",2017-08-01 17:04:00,24.28,24.3,24.28,24.3,14720
