"","time","open","high","low","close","volume"
"1",2017-08-01 14:59:00,117.89,117.94,117.89,117.94,4
"2",2017-08-01 15:21:00,117.91,117.97,117.91,117.97,100
"3",2017-08-01 15:55:00,117.02,117.02,117.02,117.02,6
"4",2017-08-01 16:06:00,117.88,117.88,117.88,117.88,2
"5",2017-08-01 16:30:00,117.56,117.57,117.48,117.48,772
"6",2017-08-01 16:31:00,117.12,117.57,117.12,117.42,23993
"7",2017-08-01 16:32:00,117.43,117.43,117,117,1450
"8",2017-08-01 16:33:00,117.12,117.18,117.09,117.09,710
"9",2017-08-01 16:34:00,117.01,117.01,116.45,116.57,3774
"10",2017-08-01 16:35:00,116.6,117,116.6,116.98,2446
"11",2017-08-01 16:36:00,116.95,117.08,116.91,117.08,1303
"12",2017-08-01 16:37:00,117.11,117.16,116.97,116.97,605
"13",2017-08-01 16:38:00,116.97,117,116.96,117,645
"14",2017-08-01 16:39:00,116.97,117.04,116.95,117.04,971
"15",2017-08-01 16:40:00,117.02,117.27,116.97,117.13,4051
"16",2017-08-01 16:41:00,117.13,117.21,117.02,117.15,3873
"17",2017-08-01 16:42:00,117.2,117.34,117.13,117.22,1979
"18",2017-08-01 16:43:00,117.17,117.44,117.11,117.42,3234
"19",2017-08-01 16:44:00,117.39,117.39,117.31,117.31,889
"20",2017-08-01 16:45:00,117.29,117.29,117.21,117.26,532
"21",2017-08-01 16:46:00,117.22,117.24,117.21,117.23,484
"22",2017-08-01 16:47:00,117.17,117.34,117.1,117.34,3611
"23",2017-08-01 16:48:00,117.21,117.21,117.17,117.17,200
"24",2017-08-01 16:49:00,117.14,117.14,116.99,116.99,1607
"25",2017-08-01 16:50:00,116.97,117.07,116.94,117.07,2951
"26",2017-08-01 16:51:00,117.08,117.09,116.89,117.04,3415
"27",2017-08-01 16:52:00,117.08,117.25,117.08,117.25,2081
"28",2017-08-01 16:53:00,117.3,117.41,117.27,117.32,1071
"29",2017-08-01 16:54:00,117.32,117.38,117.24,117.24,1601
"30",2017-08-01 16:55:00,117.24,117.25,117.18,117.18,700
"31",2017-08-01 16:56:00,117.18,117.38,117.18,117.37,2367
"32",2017-08-01 16:57:00,117.34,117.39,117.22,117.29,4056
"33",2017-08-01 16:58:00,117.33,117.38,117.18,117.21,2902
"34",2017-08-01 16:59:00,117.2,117.22,117.2,117.22,827
