"","time","open","high","low","close","volume"
"1",2017-08-01 16:33:00,119.38,119.38,118.85,118.86,406
"2",2017-08-01 16:34:00,118.77,118.77,118.2,118.2,400
"3",2017-08-01 16:35:00,118.28,118.36,118.26,118.33,930
"4",2017-08-01 16:36:00,118.36,118.36,118.36,118.36,100
"5",2017-08-01 16:38:00,118.22,118.22,118.22,118.22,100
"6",2017-08-01 16:39:00,118.15,118.15,117.94,117.94,812
"7",2017-08-01 16:40:00,118,118.02,117.8,118.02,621
"8",2017-08-01 16:41:00,118.24,118.24,117.85,117.85,1387
"9",2017-08-01 16:43:00,117.92,117.93,117.89,117.93,617
"10",2017-08-01 16:44:00,118.12,118.16,118,118.06,812
"11",2017-08-01 16:45:00,118.07,118.07,118.07,118.07,179
"12",2017-08-01 16:46:00,118.02,118.02,117.95,117.98,400
"13",2017-08-01 16:48:00,118.02,118.07,118.02,118.07,302
"14",2017-08-01 16:49:00,117.94,117.94,117.89,117.89,300
"15",2017-08-01 16:50:00,117.93,117.97,117.67,117.67,2424
"16",2017-08-01 16:51:00,117.79,117.85,117.79,117.85,328
"17",2017-08-01 16:52:00,117.86,117.87,117.84,117.87,300
"18",2017-08-01 16:53:00,117.87,117.87,117.87,117.87,178
"19",2017-08-01 16:54:00,117.73,117.83,117.65,117.83,600
"20",2017-08-01 16:55:00,117.77,117.77,117.69,117.69,104
"21",2017-08-01 16:56:00,117.65,117.72,117.65,117.72,201
"22",2017-08-01 16:58:00,117.68,117.68,117.68,117.68,100
"23",2017-08-01 16:59:00,117.69,117.69,117.69,117.69,100
"24",2017-08-01 17:00:00,117.58,117.58,117.35,117.35,284
"25",2017-08-01 17:01:00,117.53,117.69,117.4,117.69,1335
"26",2017-08-01 17:02:00,117.66,117.66,117.66,117.66,200
"27",2017-08-01 17:03:00,117.53,117.53,117.44,117.44,427
"28",2017-08-01 17:04:00,117.37,117.51,117.37,117.51,150
"29",2017-08-01 17:05:00,117.64,117.67,117.64,117.67,150
"30",2017-08-01 17:06:00,117.72,117.76,117.72,117.76,104
"31",2017-08-01 17:08:00,117.78,117.83,117.78,117.83,200
"32",2017-08-01 17:11:00,117.78,117.78,117.77,117.77,204
"33",2017-08-01 17:12:00,117.7,117.91,117.7,117.91,314
"34",2017-08-01 17:14:00,117.74,117.74,117.71,117.71,204
"35",2017-08-01 17:16:00,117.71,117.71,117.66,117.66,403
"36",2017-08-01 17:17:00,117.66,117.72,117.66,117.69,900
"37",2017-08-01 17:19:00,117.61,117.61,117.61,117.61,4
"38",2017-08-01 17:20:00,117.72,117.76,117.61,117.76,379
"39",2017-08-01 17:21:00,117.71,117.74,117.64,117.64,767
"40",2017-08-01 17:23:00,117.69,117.69,117.69,117.69,100
"41",2017-08-01 17:24:00,117.62,117.62,117.62,117.62,111
"42",2017-08-01 17:25:00,117.59,117.59,117.57,117.57,115
"43",2017-08-01 17:27:00,117.48,117.5,117.48,117.5,204
"44",2017-08-01 17:28:00,117.53,117.54,117.53,117.54,200
"45",2017-08-01 17:30:00,117.71,117.71,117.71,117.71,100
"46",2017-08-01 17:31:00,117.73,117.78,117.73,117.78,450
"47",2017-08-01 17:34:00,117.87,117.9,117.87,117.9,119
"48",2017-08-01 17:35:00,117.87,117.87,117.83,117.83,104
"49",2017-08-01 17:36:00,117.8,117.8,117.8,117.8,100
"50",2017-08-01 17:39:00,117.74,117.74,117.74,117.74,550
"51",2017-08-01 17:40:00,117.68,117.68,117.67,117.67,20
"52",2017-08-01 17:41:00,117.68,117.68,117.68,117.68,100
"53",2017-08-01 17:42:00,117.63,117.7,117.63,117.7,728
"54",2017-08-01 17:43:00,117.72,117.77,117.72,117.77,504
"55",2017-08-01 17:44:00,117.7,117.7,117.7,117.7,100
"56",2017-08-01 17:45:00,117.75,117.77,117.71,117.71,510
"57",2017-08-01 17:48:00,117.77,117.77,117.68,117.68,104
"58",2017-08-01 17:50:00,117.77,117.82,117.77,117.82,400
"59",2017-08-01 17:51:00,117.95,117.95,117.95,117.95,20
"60",2017-08-01 17:52:00,117.96,117.98,117.96,117.98,300
"61",2017-08-01 17:53:00,118.01,118.01,118.01,118.01,100
"62",2017-08-01 17:57:00,117.96,117.97,117.94,117.97,404
"63",2017-08-01 17:58:00,117.87,117.89,117.82,117.89,590
"64",2017-08-01 17:59:00,117.99,117.99,117.97,117.97,404
"65",2017-08-01 18:01:00,118.03,118.12,118.03,118.12,268
"66",2017-08-01 18:03:00,118.09,118.09,118.08,118.08,45
"67",2017-08-01 18:04:00,118.14,118.14,118.14,118.14,100
"68",2017-08-01 18:05:00,118.1,118.13,118.06,118.06,2101
"69",2017-08-01 18:06:00,118.07,118.11,118.07,118.11,200
"70",2017-08-01 18:07:00,118.14,118.21,118.14,118.21,304
"71",2017-08-01 18:08:00,118.27,118.28,118.18,118.18,453
"72",2017-08-01 18:09:00,118.13,118.13,118.04,118.04,308
"73",2017-08-01 18:10:00,118.07,118.07,118.07,118.07,100
"74",2017-08-01 18:11:00,118.04,118.04,117.99,118.02,308
"75",2017-08-01 18:12:00,117.98,118.01,117.98,118.01,200
"76",2017-08-01 18:13:00,118.07,118.07,118.07,118.07,100
"77",2017-08-01 18:14:00,118.07,118.07,118.07,118.07,100
"78",2017-08-01 18:15:00,118.01,118.02,118.01,118.02,603
"79",2017-08-01 18:16:00,118,118,117.93,117.93,177
"80",2017-08-01 18:17:00,117.83,117.83,117.8,117.8,203
"81",2017-08-01 18:18:00,117.75,117.87,117.75,117.86,750
"82",2017-08-01 18:19:00,117.88,117.88,117.82,117.82,300
"83",2017-08-01 18:20:00,117.82,117.82,117.81,117.81,103
"84",2017-08-01 18:21:00,117.78,117.78,117.78,117.78,100
"85",2017-08-01 18:22:00,117.71,117.71,117.65,117.65,112
"86",2017-08-01 18:24:00,117.66,117.66,117.66,117.66,300
"87",2017-08-01 18:25:00,117.61,117.61,117.6,117.6,17
"88",2017-08-01 18:26:00,117.55,117.55,117.51,117.55,650
"89",2017-08-01 18:27:00,117.51,117.51,117.38,117.38,236
"90",2017-08-01 18:28:00,117.43,117.44,117.43,117.44,400
"91",2017-08-01 18:29:00,117.44,117.44,117.44,117.44,15
"92",2017-08-01 18:30:00,117.44,117.44,117.4,117.4,26
"93",2017-08-01 18:31:00,117.4,117.42,117.29,117.29,968
"94",2017-08-01 18:32:00,117.35,117.35,117.28,117.35,721
"95",2017-08-01 18:33:00,117.28,117.42,117.26,117.42,767
"96",2017-08-01 18:34:00,117.4,117.4,117.39,117.39,420
"97",2017-08-01 18:35:00,117.36,117.36,117.34,117.34,254
"98",2017-08-01 18:36:00,117.4,117.41,117.4,117.41,300
"99",2017-08-01 18:37:00,117.41,117.43,117.38,117.43,697
"100",2017-08-01 18:38:00,117.43,117.43,117.37,117.43,1333
"101",2017-08-01 18:39:00,117.43,117.43,117.39,117.39,1605
"102",2017-08-01 18:40:00,117.43,117.43,117.43,117.43,8
"103",2017-08-01 18:41:00,117.43,117.43,117.39,117.39,997
"104",2017-08-01 18:42:00,117.43,117.43,117.4,117.43,4108
"105",2017-08-01 18:43:00,117.43,117.43,117.39,117.39,809
"106",2017-08-01 18:44:00,117.37,117.4,117.35,117.4,500
"107",2017-08-01 18:45:00,117.41,117.46,117.41,117.46,400
"108",2017-08-01 18:46:00,117.49,117.56,117.49,117.56,550
"109",2017-08-01 18:47:00,117.58,117.71,117.58,117.71,806
"110",2017-08-01 18:48:00,117.7,117.7,117.65,117.65,404
"111",2017-08-01 18:49:00,117.72,117.72,117.72,117.72,146
"112",2017-08-01 18:54:00,117.63,117.63,117.56,117.6,554
"113",2017-08-01 18:55:00,117.61,117.68,117.61,117.68,509
"114",2017-08-01 18:56:00,117.7,117.7,117.7,117.7,11
"115",2017-08-01 18:57:00,117.77,117.77,117.77,117.77,1
"116",2017-08-01 19:00:00,117.74,117.74,117.64,117.7,929
"117",2017-08-01 19:01:00,117.75,117.75,117.72,117.72,569
"118",2017-08-01 19:02:00,117.71,117.71,117.71,117.71,5
"119",2017-08-01 19:03:00,117.74,117.74,117.74,117.74,8
"120",2017-08-01 19:04:00,117.79,117.79,117.73,117.73,111
"121",2017-08-01 19:05:00,117.71,117.71,117.68,117.68,503
"122",2017-08-01 19:07:00,117.6,117.6,117.6,117.6,100
"123",2017-08-01 19:08:00,117.62,117.62,117.58,117.59,406
"124",2017-08-01 19:09:00,117.59,117.59,117.39,117.39,557
"125",2017-08-01 19:10:00,117.39,117.4,117.31,117.31,201
"126",2017-08-01 19:17:00,117.39,117.39,117.39,117.39,101
"127",2017-08-01 19:18:00,117.39,117.51,117.39,117.51,650
"128",2017-08-01 19:19:00,117.47,117.47,117.43,117.43,231
"129",2017-08-01 19:20:00,117.35,117.35,117.35,117.35,100
"130",2017-08-01 19:21:00,117.35,117.4,117.35,117.4,146
"131",2017-08-01 19:22:00,117.33,117.33,117.32,117.32,145
"132",2017-08-01 19:23:00,117.32,117.32,117.32,117.32,3
"133",2017-08-01 19:24:00,117.32,117.32,117.32,117.32,100
"134",2017-08-01 19:25:00,117.29,117.29,117.24,117.24,414
"135",2017-08-01 19:26:00,117.29,117.34,117.29,117.34,500
"136",2017-08-01 19:27:00,117.32,117.32,117.27,117.27,577
"137",2017-08-01 19:28:00,117.32,117.32,117.32,117.32,100
"138",2017-08-01 19:29:00,117.26,117.26,117.14,117.17,1831
"139",2017-08-01 19:30:00,117.19,117.2,117.19,117.2,200
"140",2017-08-01 19:31:00,117.23,117.24,117.2,117.2,300
"141",2017-08-01 19:32:00,117.23,117.23,117.23,117.23,1
"142",2017-08-01 19:33:00,117.21,117.21,117.2,117.2,204
"143",2017-08-01 19:34:00,117.2,117.21,117.2,117.2,300
"144",2017-08-01 19:38:00,117.23,117.23,117.23,117.23,4
"145",2017-08-01 19:39:00,117.15,117.15,117.13,117.13,317
"146",2017-08-01 19:40:00,117.12,117.12,117.07,117.11,320
"147",2017-08-01 19:41:00,117.15,117.15,117.15,117.15,100
"148",2017-08-01 19:45:00,117.1,117.14,117.1,117.14,304
"149",2017-08-01 19:46:00,117.13,117.15,117.12,117.15,250
"150",2017-08-01 19:47:00,117.16,117.19,117.16,117.16,304
"151",2017-08-01 19:48:00,117.16,117.16,117.14,117.14,200
"152",2017-08-01 19:49:00,117.13,117.13,117.13,117.13,5
"153",2017-08-01 19:51:00,117.13,117.18,117.13,117.18,205
"154",2017-08-01 19:53:00,117.25,117.25,117.13,117.13,582
"155",2017-08-01 19:55:00,117.17,117.17,117.17,117.17,110
"156",2017-08-01 19:56:00,117.2,117.2,117.2,117.2,100
"157",2017-08-01 19:58:00,117.25,117.25,117.25,117.25,200
"158",2017-08-01 19:59:00,117.22,117.22,117.18,117.18,516
"159",2017-08-01 20:01:00,117.12,117.12,117.12,117.12,1
"160",2017-08-01 20:02:00,117.16,117.24,117.14,117.21,1152
"161",2017-08-01 20:03:00,117.22,117.23,117.19,117.19,406
"162",2017-08-01 20:04:00,117.15,117.22,117.15,117.2,469
"163",2017-08-01 20:05:00,117.17,117.21,117.17,117.21,504
"164",2017-08-01 20:06:00,117.21,117.21,117.13,117.13,427
"165",2017-08-01 20:07:00,117.13,117.16,117.13,117.16,204
"166",2017-08-01 20:08:00,117.17,117.17,117.17,117.17,410
"167",2017-08-01 20:09:00,117.13,117.13,117.07,117.11,913
"168",2017-08-01 20:10:00,117.14,117.17,117.14,117.17,305
"169",2017-08-01 20:11:00,117.17,117.17,117.16,117.16,155
"170",2017-08-01 20:12:00,117.15,117.15,117.15,117.15,204
"171",2017-08-01 20:14:00,117.14,117.14,117.14,117.14,300
"172",2017-08-01 20:15:00,117.13,117.13,117.13,117.13,300
"173",2017-08-01 20:16:00,117.15,117.15,117.11,117.11,785
"174",2017-08-01 20:17:00,117.14,117.15,117.14,117.15,400
"175",2017-08-01 20:18:00,117.1,117.12,117.07,117.12,444
"176",2017-08-01 20:19:00,117.12,117.12,117.12,117.12,101
"177",2017-08-01 20:20:00,117.12,117.12,117.09,117.09,109
"178",2017-08-01 20:21:00,117.15,117.15,117.15,117.15,306
"179",2017-08-01 20:22:00,117.07,117.1,117.07,117.1,607
"180",2017-08-01 20:23:00,117.1,117.15,117.1,117.1,798
"181",2017-08-01 20:24:00,117.07,117.07,117.07,117.07,200
"182",2017-08-01 20:25:00,117.06,117.06,117.06,117.06,5
"183",2017-08-01 20:26:00,117.06,117.06,117.05,117.05,78
"184",2017-08-01 20:27:00,117.03,117.05,117.03,117.05,140
"185",2017-08-01 20:28:00,117.03,117.03,116.96,116.96,583
"186",2017-08-01 20:29:00,116.95,116.95,116.95,116.95,105
"187",2017-08-01 20:30:00,117,117,117,117,144
"188",2017-08-01 20:32:00,117.02,117.05,117,117.05,1118
"189",2017-08-01 20:33:00,117.05,117.06,117.05,117.06,189
"190",2017-08-01 20:34:00,117.06,117.07,117.02,117.02,1500
"191",2017-08-01 20:35:00,117,117,117,117,129
"192",2017-08-01 20:36:00,116.99,117.04,116.98,117.04,1022
"193",2017-08-01 20:37:00,117.09,117.09,117.09,117.09,100
"194",2017-08-01 20:38:00,117.05,117.08,117.05,117.05,700
"195",2017-08-01 20:39:00,117.08,117.08,117.04,117.04,464
"196",2017-08-01 20:40:00,117,117,116.96,117,544
"197",2017-08-01 20:41:00,117.07,117.08,117.06,117.06,300
"198",2017-08-01 20:43:00,117.1,117.1,117.06,117.06,373
"199",2017-08-01 20:45:00,117.11,117.11,117.04,117.04,410
"200",2017-08-01 20:46:00,117,117,117,117,10
"201",2017-08-01 20:48:00,117.03,117.03,116.98,116.98,730
"202",2017-08-01 20:49:00,116.97,116.99,116.94,116.94,140
"203",2017-08-01 20:50:00,116.94,116.97,116.94,116.97,517
"204",2017-08-01 20:51:00,117,117,116.97,116.99,343
"205",2017-08-01 20:52:00,116.96,116.96,116.96,116.96,175
"206",2017-08-01 20:53:00,116.96,116.99,116.96,116.98,629
