"","time","open","high","low","close","volume"
"1",2018-08-01 16:26:00,434,434,434,434,99
"2",2018-08-01 16:28:00,434,434,434,434,1
"3",2018-08-01 16:30:00,433.55,433.55,433.55,433.55,30
"4",2018-08-01 16:31:00,434.75,435.4,433.9,433.9,1500
"5",2018-08-01 16:32:00,433.67,433.67,432.25,433.47,402
"6",2018-08-01 16:35:00,433.12,433.12,432.14,432.14,400
"7",2018-08-01 16:36:00,433.4,433.5,433.31,433.31,229
"8",2018-08-01 16:37:00,431.79,431.79,429.02,429.02,381
"9",2018-08-01 16:38:00,430.01,430.01,429.54,430.01,205
"10",2018-08-01 16:40:00,432,432.6,432,432.6,46
"11",2018-08-01 16:41:00,433.5,433.5,432.32,432.9,1525
"12",2018-08-01 16:42:00,432.99,432.99,432.99,432.99,100
"13",2018-08-01 16:44:00,433.32,433.63,433.32,433.63,250
"14",2018-08-01 16:45:00,433.57,433.57,432.97,432.97,819
"15",2018-08-01 16:46:00,434,434.01,434,434,212
"16",2018-08-01 16:47:00,435.38,435.38,435.38,435.38,100
"17",2018-08-01 16:48:00,435.09,436.37,435.09,436.37,783
"18",2018-08-01 16:49:00,436.28,436.7,436.21,436.21,327
"19",2018-08-01 16:50:00,436.9,436.9,436.05,436.49,754
"20",2018-08-01 16:51:00,436.89,436.9,436.89,436.9,200
"21",2018-08-01 16:52:00,437.11,437.11,436.95,436.95,130
"22",2018-08-01 16:53:00,436.99,437.13,436.39,436.39,341
"23",2018-08-01 16:54:00,436.47,436.47,436.32,436.32,300
"24",2018-08-01 16:55:00,436.01,436.01,436,436,160
"25",2018-08-01 16:56:00,436.23,436.25,436.23,436.25,480
"26",2018-08-01 16:57:00,435.74,435.84,435.07,435.45,745
"27",2018-08-01 16:58:00,435.54,435.84,435.54,435.84,330
"28",2018-08-01 17:00:00,435.93,435.93,435.7,435.85,600
"29",2018-08-01 17:01:00,435.41,435.41,434.5,435.05,861
"30",2018-08-01 17:02:00,435.07,435.07,434.6,434.6,208
"31",2018-08-01 17:04:00,434.34,434.34,433.96,433.96,228
