"","time","open","high","low","close","volume"
"1",2019-08-01 00:16:00,156.16,156.16,156.16,156.16,2
"2",2019-08-01 16:13:00,156.81,156.81,156.81,156.81,2
"3",2019-08-01 16:30:00,156.1,156.13,156.03,156.13,138
"4",2019-08-01 16:31:00,156.55,157.1,156,157.1,18522
"5",2019-08-01 16:33:00,157.12,157.28,157.12,157.28,43
"6",2019-08-01 16:34:00,157.28,157.49,157.28,157.38,1528
"7",2019-08-01 16:35:00,157.6,157.6,157.46,157.6,3474
"8",2019-08-01 16:36:00,157.68,157.7,157.43,157.59,6914
"9",2019-08-01 16:37:00,157.75,158.25,157.75,158.25,4768
"10",2019-08-01 16:38:00,158.2,158.46,158.19,158.46,1615
"11",2019-08-01 16:39:00,158.52,158.73,158.41,158.72,2012
"12",2019-08-01 16:40:00,158.74,158.83,158.71,158.71,5772
"13",2019-08-01 16:41:00,158.71,158.71,158.23,158.23,8643
"14",2019-08-01 16:42:00,158.16,158.27,157.43,157.43,3697
"15",2019-08-01 16:43:00,157.48,157.53,157.26,157.28,1531
"16",2019-08-01 16:44:00,157.28,157.42,156.89,157,3893
"17",2019-08-01 16:45:00,156.92,157.23,156.92,157.08,809
"18",2019-08-01 16:46:00,157.13,157.36,157.02,157.36,691
"19",2019-08-01 16:47:00,157.22,157.22,157.02,157.02,2396
"20",2019-08-01 16:48:00,157.19,157.28,157.19,157.28,597
"21",2019-08-01 16:49:00,157.35,157.43,157.35,157.43,35
"22",2019-08-01 16:50:00,157.57,157.67,157.42,157.67,3533
"23",2019-08-01 16:51:00,157.68,157.8,157.6,157.72,1474
"24",2019-08-01 16:52:00,157.79,157.82,157.36,157.36,2962
"25",2019-08-01 16:53:00,157.46,157.69,157.46,157.64,1094
"26",2019-08-01 16:54:00,157.48,157.48,157.18,157.31,1513
"27",2019-08-01 16:55:00,157.22,157.22,157.17,157.17,77
"28",2019-08-01 16:56:00,157.14,157.14,157.14,157.14,100
"29",2019-08-01 16:58:00,157.13,157.18,157.13,157.14,112
"30",2019-08-01 16:59:00,157.25,157.25,156.94,157.16,923
"31",2019-08-01 17:00:00,157.18,157.24,156.84,156.84,870
"32",2019-08-01 17:01:00,156.93,157.16,156.83,156.84,4102
"33",2019-08-01 17:02:00,156.83,156.95,156.69,156.72,4746
"34",2019-08-01 17:03:00,156.84,156.88,156.77,156.77,921
"35",2019-08-01 17:04:00,156.84,156.85,156.58,156.58,1112
"36",2019-08-01 17:06:00,156.58,156.64,156.51,156.64,992
"37",2019-08-01 17:07:00,156.51,156.6,156.44,156.44,530
"38",2019-08-01 17:08:00,156.55,156.89,156.51,156.89,1515
"39",2019-08-01 17:09:00,156.85,156.88,156.84,156.84,1555
"40",2019-08-01 17:10:00,156.85,156.98,156.85,156.86,2140
"41",2019-08-01 17:11:00,156.81,156.81,156.51,156.51,1416
"42",2019-08-01 17:12:00,156.58,156.58,156.5,156.5,629
"43",2019-08-01 17:13:00,156.51,156.59,156.49,156.49,530
"44",2019-08-01 17:14:00,156.54,156.54,156.45,156.45,552
"45",2019-08-01 17:15:00,156.57,156.76,156.57,156.65,1504
"46",2019-08-01 17:16:00,156.66,156.66,156.32,156.41,429
"47",2019-08-01 17:17:00,156.41,156.44,156.38,156.42,708
"48",2019-08-01 17:18:00,156.4,156.48,156.4,156.4,764
"49",2019-08-01 17:19:00,156.46,156.53,156.45,156.48,426
"50",2019-08-01 17:20:00,156.68,156.8,156.68,156.8,450
"51",2019-08-01 17:21:00,156.74,156.74,156.67,156.74,1439
"52",2019-08-01 17:22:00,156.68,156.84,156.67,156.72,1501
"53",2019-08-01 17:23:00,156.76,156.76,156.76,156.76,18
"54",2019-08-01 17:24:00,156.82,156.96,156.76,156.96,2156
"55",2019-08-01 17:25:00,156.95,156.98,156.85,156.85,1418
"56",2019-08-01 17:26:00,156.96,157.02,156.9,157.02,386
"57",2019-08-01 17:27:00,156.88,156.89,156.87,156.89,529
"58",2019-08-01 17:28:00,156.92,157.03,156.92,157.03,1682
"59",2019-08-01 17:29:00,157.08,157.19,157.08,157.19,347
"60",2019-08-01 17:30:00,157.13,157.21,157.09,157.21,2115
"61",2019-08-01 17:31:00,157.26,157.31,157.2,157.2,1986
"62",2019-08-01 17:32:00,157.25,157.32,157.24,157.24,601
"63",2019-08-01 17:33:00,157.33,157.33,157.25,157.25,73
"64",2019-08-01 17:34:00,157.34,157.45,157.31,157.4,1697
"65",2019-08-01 17:35:00,157.43,157.59,157.43,157.49,2650
"66",2019-08-01 17:36:00,157.53,157.6,157.49,157.54,867
"67",2019-08-01 17:37:00,157.51,157.51,157.38,157.44,1191
"68",2019-08-01 17:38:00,157.46,157.68,157.46,157.59,3044
"69",2019-08-01 17:39:00,157.6,157.68,157.59,157.68,1174
"70",2019-08-01 17:40:00,157.68,157.69,157.56,157.58,1003
"71",2019-08-01 17:41:00,157.62,157.62,157.47,157.47,917
"72",2019-08-01 17:42:00,157.45,157.45,157.38,157.38,635
"73",2019-08-01 17:43:00,157.37,157.58,157.36,157.58,2051
"74",2019-08-01 17:44:00,157.64,157.64,157.55,157.55,309
"75",2019-08-01 17:45:00,157.52,157.58,157.49,157.57,142
"76",2019-08-01 17:46:00,157.54,157.54,157.39,157.41,1672
"77",2019-08-01 17:47:00,157.45,157.54,157.45,157.54,340
"78",2019-08-01 17:48:00,157.47,157.5,157.42,157.42,825
"79",2019-08-01 17:49:00,157.46,157.49,157.42,157.44,669
"80",2019-08-01 17:50:00,157.42,157.5,157.38,157.41,1554
"81",2019-08-01 17:51:00,157.41,157.65,157.4,157.56,1903
"82",2019-08-01 17:52:00,157.59,157.68,157.59,157.68,20
"83",2019-08-01 17:53:00,157.76,157.98,157.75,157.98,1406
"84",2019-08-01 17:54:00,158,158.01,157.9,157.96,1080
"85",2019-08-01 17:55:00,158.01,158.14,158.01,158.14,2340
"86",2019-08-01 17:56:00,158.13,158.13,158.01,158.03,821
"87",2019-08-01 17:57:00,158.08,158.1,158,158.06,463
"88",2019-08-01 17:58:00,157.99,157.99,157.88,157.95,2620
"89",2019-08-01 17:59:00,157.9,157.9,157.84,157.84,561
"90",2019-08-01 18:00:00,157.88,157.88,157.72,157.76,589
"91",2019-08-01 18:01:00,157.75,157.77,157.64,157.64,2209
"92",2019-08-01 18:02:00,157.63,157.66,157.47,157.52,1706
"93",2019-08-01 18:03:00,157.53,157.81,157.51,157.74,4560
"94",2019-08-01 18:04:00,157.71,157.97,157.64,157.97,2326
"95",2019-08-01 18:05:00,157.92,158,157.9,158,1836
"96",2019-08-01 18:06:00,158.04,158.13,158.02,158.08,2230
"97",2019-08-01 18:07:00,158.08,158.1,157.96,157.96,1698
"98",2019-08-01 18:08:00,157.91,157.92,157.81,157.81,1103
"99",2019-08-01 18:09:00,157.84,157.94,157.84,157.89,730
"100",2019-08-01 18:10:00,157.92,157.98,157.92,157.95,576
"101",2019-08-01 18:11:00,158.01,158.01,157.89,157.89,2287
"102",2019-08-01 18:12:00,157.91,157.95,157.91,157.95,261
"103",2019-08-01 18:13:00,157.99,158.04,157.97,157.97,332
"104",2019-08-01 18:14:00,158.07,158.15,158.06,158.1,379
"105",2019-08-01 18:15:00,158.16,158.17,158.05,158.08,1910
"106",2019-08-01 18:16:00,158.1,158.13,158.09,158.09,5061
"107",2019-08-01 18:17:00,158.08,158.16,158,158,7413
"108",2019-08-01 18:18:00,157.95,157.95,157.78,157.78,2327
"109",2019-08-01 18:19:00,157.76,157.78,157.65,157.72,2602
"110",2019-08-01 18:20:00,157.72,157.78,157.72,157.78,611
"111",2019-08-01 18:21:00,157.79,157.86,157.78,157.86,716
"112",2019-08-01 18:22:00,157.89,158.1,157.89,158.1,455
"113",2019-08-01 18:23:00,158.13,158.24,158.13,158.15,2065
"114",2019-08-01 18:24:00,158.14,158.24,158.14,158.23,1260
"115",2019-08-01 18:25:00,158.28,158.35,158.21,158.35,1552
"116",2019-08-01 18:26:00,158.29,158.36,158.29,158.3,902
"117",2019-08-01 18:27:00,158.34,158.36,158.3,158.34,324
"118",2019-08-01 18:28:00,158.32,158.32,158.27,158.29,323
"119",2019-08-01 18:29:00,158.31,158.36,158.3,158.32,1364
"120",2019-08-01 18:30:00,158.3,158.47,158.3,158.47,2589
"121",2019-08-01 18:31:00,158.5,158.52,158.42,158.48,2301
"122",2019-08-01 18:32:00,158.49,158.49,158.48,158.48,423
"123",2019-08-01 18:33:00,158.46,158.46,158.46,158.46,100
"124",2019-08-01 18:34:00,158.51,158.51,158.38,158.48,2387
"125",2019-08-01 18:35:00,158.53,158.55,158.49,158.51,1005
"126",2019-08-01 18:36:00,158.48,158.48,158.37,158.41,1395
"127",2019-08-01 18:37:00,158.48,158.5,158.47,158.5,211
"128",2019-08-01 18:38:00,158.46,158.53,158.46,158.53,1436
"129",2019-08-01 18:39:00,158.54,158.56,158.54,158.56,146
