"","time","open","high","low","close","volume"
"1",2019-08-01 16:31:00,59.97,59.97,59.97,59.97,100
"2",2019-08-01 16:34:00,60.14,60.24,60.14,60.24,500
"3",2019-08-01 16:35:00,60.25,60.4,60.25,60.33,506
"4",2019-08-01 16:36:00,60.39,60.39,60.04,60.04,1244
"5",2019-08-01 16:38:00,59.96,59.96,59.89,59.91,807
"6",2019-08-01 16:39:00,59.88,59.88,59.88,59.88,100
"7",2019-08-01 16:40:00,59.88,59.89,59.85,59.85,952
"8",2019-08-01 16:41:00,59.84,59.94,59.84,59.94,503
"9",2019-08-01 16:42:00,60.07,60.07,60.07,60.07,120
"10",2019-08-01 16:43:00,60.04,60.14,59.91,60.08,2161
"11",2019-08-01 16:44:00,60.1,60.19,60.1,60.17,305
"12",2019-08-01 16:45:00,60.2,60.2,60.17,60.2,153
"13",2019-08-01 16:46:00,60.17,60.21,60,60,1012
"14",2019-08-01 16:47:00,60,60.1,60,60.1,404
"15",2019-08-01 16:48:00,60.2,60.21,60.2,60.21,107
"16",2019-08-01 16:49:00,60.3,60.38,60.26,60.32,1196
"17",2019-08-01 16:50:00,60.22,60.38,60.21,60.38,1160
"18",2019-08-01 16:51:00,60.34,60.35,60.33,60.35,500
"19",2019-08-01 16:52:00,60.24,60.34,60.22,60.26,1908
"20",2019-08-01 16:54:00,60.15,60.36,60.06,60.08,3849
"21",2019-08-01 16:55:00,60.08,60.08,60.07,60.08,410
"22",2019-08-01 16:56:00,60.11,60.11,60.03,60.06,691
"23",2019-08-01 16:57:00,60.11,60.14,60.11,60.14,130
"24",2019-08-01 16:58:00,60.17,60.17,60.11,60.15,501
"25",2019-08-01 16:59:00,60.15,60.17,60.13,60.13,976
"26",2019-08-01 17:00:00,60.13,60.2,60.13,60.18,974
"27",2019-08-01 17:01:00,60.17,60.24,60.14,60.23,629
"28",2019-08-01 17:02:00,60.17,60.17,60.08,60.14,745
"29",2019-08-01 17:03:00,60.16,60.16,60.16,60.16,400
"30",2019-08-01 17:04:00,60.16,60.18,60.16,60.18,124
"31",2019-08-01 17:05:00,60.14,60.21,60.14,60.19,529
"32",2019-08-01 17:06:00,60.18,60.22,60.17,60.19,735
"33",2019-08-01 17:07:00,60.22,60.25,60.22,60.25,410
"34",2019-08-01 17:08:00,60.33,60.33,60.31,60.31,310
"35",2019-08-01 17:10:00,60.33,60.34,60.25,60.25,1255
"36",2019-08-01 17:11:00,60.25,60.25,60.17,60.17,918
"37",2019-08-01 17:12:00,60.17,60.2,60.15,60.15,326
"38",2019-08-01 17:13:00,60.14,60.2,60.13,60.2,1048
