"","time","open","high","low","close","volume"
"1",2020-08-01 00:14:00,38.35,38.35,38.35,38.35,1
"2",2020-08-01 00:58:00,38.8,38.8,38.8,38.8,4
"3",2020-08-01 01:33:00,38.8,38.8,38.8,38.8,1
"4",2020-08-03 10:02:00,38.83,38.83,38.83,38.83,1
"5",2020-08-03 10:12:00,38.7,38.7,38.7,38.7,1
"6",2020-08-03 10:13:00,38.7,38.7,38.7,38.7,1
"7",2020-08-03 10:17:00,38.33,38.33,38.33,38.33,6
"8",2020-08-03 10:19:00,38.32,38.32,38.32,38.32,1
"9",2020-08-03 10:21:00,38.21,38.21,38.21,38.21,1
"10",2020-08-03 10:23:00,38.21,38.21,38.21,38.21,4
"11",2020-08-03 10:24:00,38.2,38.2,38.2,38.2,2
"12",2020-08-03 10:27:00,38.15,38.15,38.15,38.15,1
"13",2020-08-03 10:29:00,38.15,38.15,38.15,38.15,2
"14",2020-08-03 10:31:00,38.19,38.19,38.19,38.19,3
"15",2020-08-03 10:32:00,38.15,38.15,38.15,38.15,5
"16",2020-08-03 10:34:00,38.21,38.33,38.21,38.33,10
"17",2020-08-03 10:36:00,38.69,38.7,38.69,38.7,10
"18",2020-08-03 10:38:00,38.6,38.6,38.6,38.6,1
"19",2020-08-03 10:42:00,38.6,38.6,38.6,38.6,7
"20",2020-08-03 10:52:00,38.69,38.7,38.69,38.7,2
"21",2020-08-03 10:53:00,38.6,38.6,38.6,38.6,2
"22",2020-08-03 10:56:00,38.6,38.6,38.6,38.6,1
"23",2020-08-03 11:01:00,38.6,38.6,38.6,38.6,1
"24",2020-08-03 11:04:00,38.27,38.27,38.27,38.27,1
"25",2020-08-03 11:06:00,38.5,38.5,38.5,38.5,3
"26",2020-08-03 11:07:00,38.59,38.59,38.59,38.59,1
"27",2020-08-03 11:08:00,38.26,38.26,38.26,38.26,1
"28",2020-08-03 11:23:00,38.28,38.28,38.28,38.28,4
"29",2020-08-03 11:34:00,38.28,38.28,38.22,38.22,20
"30",2020-08-03 11:39:00,38.55,38.58,38.55,38.58,2
"31",2020-08-03 11:50:00,38.57,38.59,38.57,38.59,7
"32",2020-08-03 11:51:00,38.59,38.59,38.59,38.59,1
"33",2020-08-03 11:58:00,38.27,38.27,38.25,38.25,2
"34",2020-08-03 12:12:00,38.58,38.6,38.58,38.6,5
"35",2020-08-03 12:20:00,38.27,38.27,38.18,38.18,7
"36",2020-08-03 12:28:00,38.22,38.57,38.22,38.57,3
"37",2020-08-03 12:29:00,38.22,38.22,38.22,38.22,2
"38",2020-08-03 12:32:00,38.57,38.6,38.57,38.6,5
"39",2020-08-03 12:38:00,38.56,38.56,38.56,38.56,1
"40",2020-08-03 12:46:00,38.56,38.56,38.56,38.56,3
"41",2020-08-03 12:48:00,38.23,38.23,38.23,38.23,2
"42",2020-08-03 12:50:00,38.23,38.23,38.23,38.23,1
"43",2020-08-03 12:52:00,38.22,38.22,38.19,38.19,2
"44",2020-08-03 12:53:00,38.23,38.23,38.23,38.23,5
"45",2020-08-03 13:03:00,38.2,38.2,38.2,38.2,1
"46",2020-08-03 13:04:00,38.23,38.23,38.23,38.23,1
"47",2020-08-03 13:08:00,38.22,38.22,38.22,38.22,7
"48",2020-08-03 13:21:00,38.58,38.58,38.58,38.58,1
"49",2020-08-03 13:40:00,38.57,38.57,38.57,38.57,1
"50",2020-08-03 13:49:00,38.35,38.35,38.35,38.35,1
