"","time","open","high","low","close","volume"
"1",2020-08-01 01:04:00,78.78,78.78,78.78,78.78,1
"2",2020-08-01 01:15:00,78.41,78.41,78.41,78.41,40
"3",2020-08-03 10:02:00,78.78,78.78,78.78,78.78,1
"4",2020-08-03 10:10:00,78.02,78.02,78.02,78.02,3
"5",2020-08-03 10:12:00,77.93,77.93,77.93,77.93,2
"6",2020-08-03 10:14:00,77.89,77.89,77.89,77.89,7
"7",2020-08-03 10:17:00,77.94,77.94,77.94,77.94,10
"8",2020-08-03 10:18:00,77.91,77.91,77.91,77.91,16
"9",2020-08-03 10:20:00,77.91,77.91,77.91,77.91,1
"10",2020-08-03 10:28:00,77.91,77.91,77.91,77.91,1
"11",2020-08-03 10:30:00,77.91,77.91,77.91,77.91,1
"12",2020-08-03 10:32:00,77.91,77.91,77.91,77.91,6
"13",2020-08-03 10:39:00,78.04,78.04,78.04,78.04,1
"14",2020-08-03 10:46:00,78.04,78.04,78.04,78.04,1
"15",2020-08-03 10:51:00,78.04,78.04,78.04,78.04,1
"16",2020-08-03 10:58:00,77.98,78,77.98,78,4
"17",2020-08-03 11:08:00,78.95,78.95,77.94,77.94,4
"18",2020-08-03 11:20:00,78.03,78.03,78.03,78.03,3
"19",2020-08-03 11:30:00,78.48,78.48,78.48,78.48,3
"20",2020-08-03 11:31:00,78.49,78.49,78.48,78.48,100
"21",2020-08-03 11:36:00,78.04,78.04,78.04,78.04,1
"22",2020-08-03 11:46:00,78.04,78.04,78.04,78.04,2
"23",2020-08-03 12:08:00,77.94,77.94,77.94,77.94,1
"24",2020-08-03 12:10:00,78.29,78.3,78.29,78.3,2
"25",2020-08-03 12:33:00,77.93,77.93,77.93,77.93,1
"26",2020-08-03 12:36:00,77.91,77.91,77.91,77.91,4
"27",2020-08-03 12:38:00,77.61,77.61,77.61,77.61,2
"28",2020-08-03 12:44:00,77.61,77.61,77.61,77.61,1
"29",2020-08-03 12:47:00,77.94,77.94,77.94,77.94,4
"30",2020-08-03 12:49:00,77.94,77.94,77.94,77.94,5
"31",2020-08-03 13:20:00,77.79,77.79,77.79,77.79,3
"32",2020-08-03 13:37:00,77.79,77.8,77.79,77.8,3
"33",2020-08-03 13:40:00,77.95,77.95,77.95,77.95,2
"34",2020-08-03 13:57:00,78.3,78.3,78.3,78.3,1
"35",2020-08-03 14:14:00,78.02,78.02,78.02,78.02,1
"36",2020-08-03 14:33:00,78.29,78.3,78.29,78.3,4
"37",2020-08-03 14:34:00,78.36,78.36,78.36,78.36,1
"38",2020-08-03 14:40:00,78.95,78.95,78.95,78.95,1
"39",2020-08-03 15:00:00,78.94,78.94,78.94,78.94,2
"40",2020-08-03 15:04:00,78.94,78.94,78.94,78.94,2
"41",2020-08-03 15:09:00,78.93,78.93,78.93,78.93,1
"42",2020-08-03 15:31:00,78.53,78.53,78.53,78.53,1
"43",2020-08-03 15:57:00,78.6,78.6,78.6,78.6,1
"44",2020-08-03 15:58:00,78.62,78.62,78.62,78.62,1
"45",2020-08-03 16:02:00,78.41,78.41,78.41,78.41,12
"46",2020-08-03 16:08:00,78.58,78.58,78.56,78.56,41
"47",2020-08-03 16:25:00,78.5,78.5,78.5,78.5,1
"48",2020-08-03 16:30:00,78.53,78.53,78.43,78.44,1142
"49",2020-08-03 16:31:00,78.55,78.71,78.53,78.65,1556
"50",2020-08-03 16:32:00,78.69,78.85,78.69,78.69,1315
"51",2020-08-03 16:33:00,78.82,78.82,78.82,78.82,26
"52",2020-08-03 16:34:00,78.81,78.86,78.72,78.76,726
"53",2020-08-03 16:35:00,78.7,78.7,78.62,78.62,200
"54",2020-08-03 16:36:00,78.41,78.51,78.39,78.39,967
"55",2020-08-03 16:37:00,78.41,78.43,78.28,78.43,1520
"56",2020-08-03 16:38:00,78.38,78.4,78.38,78.4,1008
"57",2020-08-03 16:39:00,78.36,78.38,78.31,78.38,1013
"58",2020-08-03 16:40:00,78.4,78.47,78.4,78.47,123
"59",2020-08-03 16:41:00,78.44,78.44,78.35,78.35,128
"60",2020-08-03 16:42:00,78.31,78.39,78.31,78.39,624
"61",2020-08-03 16:43:00,78.32,78.33,78.32,78.33,333
"62",2020-08-03 16:44:00,78.3,78.3,78.26,78.26,300
"63",2020-08-03 16:45:00,78.21,78.22,78.21,78.22,196
"64",2020-08-03 16:46:00,78.16,78.27,78.14,78.27,200
"65",2020-08-03 16:47:00,78.21,78.25,78.14,78.18,1649
"66",2020-08-03 16:48:00,78.19,78.25,78.15,78.21,1106
"67",2020-08-03 16:49:00,78.22,78.27,78.22,78.27,579
"68",2020-08-03 16:50:00,78.29,78.29,78.29,78.29,10
"69",2020-08-03 16:51:00,78.32,78.38,78.27,78.33,846
"70",2020-08-03 16:52:00,78.29,78.31,78.17,78.23,653
"71",2020-08-03 16:53:00,78.22,78.27,78.2,78.27,1612
"72",2020-08-03 16:54:00,78.23,78.23,78.18,78.19,500
"73",2020-08-03 16:55:00,78.17,78.2,78.11,78.11,1028
"74",2020-08-03 16:56:00,78.15,78.28,78.15,78.28,954
"75",2020-08-03 16:57:00,78.28,78.28,78.27,78.27,281
"76",2020-08-03 16:58:00,78.24,78.27,78.23,78.27,954
"77",2020-08-03 16:59:00,78.34,78.38,78.33,78.38,217
"78",2020-08-03 17:00:00,78.45,78.45,78.45,78.45,37
"79",2020-08-03 17:01:00,78.4,78.42,78.33,78.42,640
"80",2020-08-03 17:02:00,78.46,78.46,78.44,78.44,300
"81",2020-08-03 17:03:00,78.44,78.5,78.41,78.47,1537
"82",2020-08-03 17:04:00,78.51,78.53,78.43,78.43,800
"83",2020-08-03 17:05:00,78.44,78.44,78.4,78.42,1008
"84",2020-08-03 17:06:00,78.39,78.39,78.29,78.29,694
"85",2020-08-03 17:07:00,78.27,78.34,78.23,78.27,1010
"86",2020-08-03 17:08:00,78.22,78.26,78.22,78.25,1000
"87",2020-08-03 17:09:00,78.26,78.28,78.22,78.23,1052
"88",2020-08-03 17:10:00,78.24,78.29,78.24,78.29,601
"89",2020-08-03 17:11:00,78.31,78.37,78.31,78.37,722
"90",2020-08-03 17:12:00,78.37,78.37,78.33,78.33,554
"91",2020-08-03 17:13:00,78.33,78.35,78.29,78.31,1563
"92",2020-08-03 17:14:00,78.3,78.3,78.3,78.3,100
"93",2020-08-03 17:15:00,78.31,78.32,78.3,78.32,448
"94",2020-08-03 17:16:00,78.29,78.29,78.29,78.29,12
"95",2020-08-03 17:17:00,78.32,78.39,78.32,78.39,778
"96",2020-08-03 17:19:00,78.51,78.57,78.51,78.57,145
"97",2020-08-03 17:20:00,78.57,78.62,78.57,78.61,501
"98",2020-08-03 17:21:00,78.61,78.61,78.58,78.61,442
"99",2020-08-03 17:23:00,78.58,78.58,78.49,78.49,1015
"100",2020-08-03 17:24:00,78.51,78.55,78.5,78.5,400
"101",2020-08-03 17:25:00,78.48,78.48,78.42,78.46,863
"102",2020-08-03 17:26:00,78.52,78.53,78.44,78.44,881
"103",2020-08-03 17:27:00,78.4,78.4,78.39,78.39,240
"104",2020-08-03 17:28:00,78.38,78.4,78.34,78.34,850
"105",2020-08-03 17:29:00,78.34,78.37,78.32,78.32,500
"106",2020-08-03 17:30:00,78.29,78.29,78.28,78.28,82
"107",2020-08-03 17:31:00,78.33,78.42,78.32,78.34,2153
"108",2020-08-03 17:32:00,78.3,78.3,78.27,78.27,522
"109",2020-08-03 17:33:00,78.27,78.28,78.24,78.24,561
"110",2020-08-03 17:34:00,78.25,78.3,78.25,78.3,1138
"111",2020-08-03 17:35:00,78.31,78.36,78.31,78.36,312
"112",2020-08-03 17:36:00,78.3,78.3,78.24,78.25,598
"113",2020-08-03 17:37:00,78.23,78.26,78.22,78.26,613
"114",2020-08-03 17:38:00,78.24,78.28,78.24,78.28,912
"115",2020-08-03 17:39:00,78.28,78.29,78.27,78.27,324
"116",2020-08-03 17:40:00,78.28,78.28,78.28,78.28,100
"117",2020-08-03 17:41:00,78.29,78.33,78.28,78.33,1109
"118",2020-08-03 17:42:00,78.33,78.38,78.32,78.32,49
"119",2020-08-03 17:43:00,78.32,78.33,78.28,78.28,414
"120",2020-08-03 17:44:00,78.26,78.35,78.26,78.34,1029
"121",2020-08-03 17:45:00,78.34,78.38,78.32,78.32,1103
"122",2020-08-03 17:46:00,78.32,78.32,78.31,78.31,102
"123",2020-08-03 17:47:00,78.34,78.34,78.29,78.29,300
"124",2020-08-03 17:48:00,78.32,78.33,78.25,78.25,585
"125",2020-08-03 17:49:00,78.28,78.28,78.26,78.26,602
"126",2020-08-03 17:50:00,78.25,78.27,78.23,78.27,549
"127",2020-08-03 17:51:00,78.23,78.32,78.23,78.3,756
"128",2020-08-03 17:52:00,78.3,78.32,78.28,78.29,172
"129",2020-08-03 17:53:00,78.28,78.34,78.28,78.32,332
"130",2020-08-03 17:54:00,78.32,78.32,78.28,78.28,322
"131",2020-08-03 17:55:00,78.35,78.35,78.35,78.35,20
"132",2020-08-03 17:56:00,78.34,78.36,78.3,78.36,831
"133",2020-08-03 17:57:00,78.34,78.34,78.25,78.25,402
"134",2020-08-03 17:58:00,78.22,78.22,78.22,78.22,1
"135",2020-08-03 17:59:00,78.26,78.27,78.21,78.24,791
"136",2020-08-03 18:00:00,78.25,78.25,78.21,78.21,307
"137",2020-08-03 18:01:00,78.26,78.26,78.24,78.24,307
"138",2020-08-03 18:02:00,78.24,78.24,78.16,78.16,244
"139",2020-08-03 18:03:00,78.13,78.27,78.13,78.25,5118
"140",2020-08-03 18:04:00,78.29,78.29,78.25,78.28,1226
"141",2020-08-03 18:05:00,78.29,78.31,78.29,78.31,321
"142",2020-08-03 18:06:00,78.3,78.33,78.28,78.28,1129
"143",2020-08-03 18:07:00,78.27,78.27,78.25,78.25,208
"144",2020-08-03 18:08:00,78.24,78.24,78.19,78.19,315
"145",2020-08-03 18:09:00,78.19,78.19,78.16,78.18,624
"146",2020-08-03 18:10:00,78.16,78.18,78.15,78.15,511
"147",2020-08-03 18:11:00,78.13,78.13,78.08,78.1,415
"148",2020-08-03 18:12:00,78.1,78.1,78.1,78.1,1
"149",2020-08-03 18:13:00,78.08,78.08,78.04,78.07,1384
"150",2020-08-03 18:14:00,78.05,78.08,78.05,78.06,488
"151",2020-08-03 18:15:00,78.05,78.09,78.05,78.05,289
"152",2020-08-03 18:16:00,78.09,78.11,78.08,78.11,402
"153",2020-08-03 18:17:00,78.14,78.14,78.1,78.13,112
"154",2020-08-03 18:18:00,78.13,78.13,78.05,78.05,447
"155",2020-08-03 18:19:00,78.02,78.07,78.02,78.07,313
"156",2020-08-03 18:20:00,78.05,78.05,78.04,78.04,242
"157",2020-08-03 18:21:00,78.07,78.11,78.05,78.07,1480
"158",2020-08-03 18:22:00,78.07,78.08,78.04,78.08,570
"159",2020-08-03 18:23:00,78.08,78.11,78.07,78.11,136
"160",2020-08-03 18:24:00,78.13,78.13,78.09,78.09,403
"161",2020-08-03 18:26:00,78.12,78.13,78.07,78.07,359
"162",2020-08-03 18:27:00,78.07,78.13,78.07,78.13,880
"163",2020-08-03 18:28:00,78.13,78.13,78.11,78.11,302
"164",2020-08-03 18:29:00,78.16,78.16,78.15,78.15,519
"165",2020-08-03 18:30:00,78.13,78.14,78.09,78.09,615
"166",2020-08-03 18:31:00,78.12,78.14,78.12,78.14,109
"167",2020-08-03 18:32:00,78.12,78.12,78.11,78.11,203
"168",2020-08-03 18:33:00,78.13,78.2,78.13,78.2,384
"169",2020-08-03 18:34:00,78.21,78.26,78.21,78.26,337
