"","X.2","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date","Prices"
"3",3,77,10,"2022-04-08 15:58:00",83.81,87.5,0,0,"09:37","11-Apr",0.0925089993472206
"4",4,99,10,"2022-04-08 15:58:00",84.19,87.5,0,0,"09:42","11-Apr",0.12673750579474
"5",5,121,9,"2022-04-11 09:32:00",84.52,87.5,0.29,0.69,"09:48","11-Apr",0.164027892913419
"6",6,142,9,"2022-04-11 09:35:00",85,87.5,0.52,0.59,"09:53","11-Apr",0.234958135784021
"7",7,164,9,"2022-04-11 09:38:00",85.01,87.5,0.63,0.68,"09:58","11-Apr",0.235248812611662
"8",8,187,9,"2022-04-11 09:47:00",85.21,87.5,0.76,0.8,"10:04","11-Apr",0.270066798419652
"9",9,209,9,"2022-04-11 09:49:00",85.21,87.5,0.87,0.92,"10:09","11-Apr",0.268515156574537
"10",10,231,8,"2022-04-11 09:55:00",85.36,87.5,0.87,0.94,"10:14","11-Apr",0.297002600441466
"11",11,253,8,"2022-04-11 09:58:00",85.3915,87.5,0.91,0.99,"10:19","11-Apr",0.301976164187632
"12",12,275,8,"2022-04-11 09:58:00",85.41,87.5,0.91,0.97,"10:25","11-Apr",0.303913973677137
"13",13,298,9,"2022-04-11 09:58:00",85.09,87.5,0.95,1.02,"10:30","11-Apr",0.239910269237955
"14",14,321,9,"2022-04-11 09:58:00",84.942,87.5,0.92,0.99,"10:35","11-Apr",0.213306379583106
"15",15,344,9,"2022-04-11 10:23:00",84.78,87.5,0.95,1.07,"10:40","11-Apr",0.186943919505492
"16",16,367,9,"2022-04-11 10:23:00",84.635,87.5,0.86,0.93,"10:46","11-Apr",0.16516749841422
"17",17,389,9,"2022-04-11 10:32:00",84.655,87.5,0.82,0.89,"10:51","11-Apr",0.166602409471608
"18",18,410,9,"2022-04-11 10:32:00",84.6,87.5,0.77,0.81,"10:56","11-Apr",0.15814639810208
"19",19,432,9,"2022-04-11 10:41:00",84.43,87.5,0.72,0.75,"11:02","11-Apr",0.136097782951285
"20",20,454,9,"2022-04-11 10:47:00",84.3897,87.5,0.7,0.75,"11:07","11-Apr",0.130462828134824
"21",21,476,9,"2022-04-11 10:47:00",84.26,87.5,0.69,0.74,"11:12","11-Apr",0.115720622025513
"22",22,498,9,"2022-04-11 10:47:00",84.53,87.5,0.64,0.7,"11:17","11-Apr",0.144428449886515
"23",23,519,9,"2022-04-11 10:47:00",84.6042,87.5,0.62,0.7,"11:23","11-Apr",0.152159199943826
"24",24,541,9,"2022-04-11 10:47:00",84.71,87.5,0.58,0.63,"11:28","11-Apr",0.164714491668489
"25",25,563,9,"2022-04-11 10:47:00",84.99,87.5,0.63,0.69,"11:33","11-Apr",0.204595908800885
"26",26,586,9,"2022-04-11 11:22:00",84.95,87.5,0.69,0.75,"11:39","11-Apr",0.196570956973575
"27",27,609,9,"2022-04-11 11:26:00",84.815,87.5,0.71,0.75,"11:44","11-Apr",0.175099768291412
"28",28,632,9,"2022-04-11 11:31:00",84.81,87.5,0.73,0.8,"11:49","11-Apr",0.173065695746292
"29",29,655,9,"2022-04-11 11:31:00",84.81,87.5,0.75,0.82,"11:54","11-Apr",0.171742379235241
"30",30,678,9,"2022-04-11 11:31:00",84.85,87.5,0.72,0.77,"12:00","11-Apr",0.175824160663083
"31",31,701,9,"2022-04-11 11:47:00",84.755,87.5,0.72,0.78,"12:05","11-Apr",0.161311666905435
"32",32,723,9,"2022-04-11 11:50:00",84.76,87.5,0.72,0.77,"12:10","11-Apr",0.160693350768195
"33",33,745,9,"2022-04-11 11:57:00",84.725,87.5,0.72,0.77,"12:15","11-Apr",0.154785628397173
"34",34,766,9,"2022-04-11 11:57:00",84.72,87.5,0.71,0.74,"12:21","11-Apr",0.152617385495123
"35",35,788,9,"2022-04-11 11:57:00",84.6,87.5,0.69,0.74,"12:26","11-Apr",0.136545076495041
"36",36,810,9,"2022-04-11 11:57:00",84.59,87.5,0.67,0.72,"12:31","11-Apr",0.134183041609717
"37",37,831,9,"2022-04-11 12:21:00",84.515,87.5,0.68,0.71,"12:36","11-Apr",0.124510130445261
"38",38,853,9,"2022-04-11 12:26:00",84.44,87.5,0.64,0.66,"12:42","11-Apr",0.115158680664969
"39",39,875,9,"2022-04-11 12:28:00",84.3,87.5,0.64,0.68,"12:47","11-Apr",0.10037556586153
"40",40,897,9,"2022-04-11 12:28:00",84.435,87.5,0.63,0.66,"12:52","11-Apr",0.112473612856718
"41",41,919,9,"2022-04-11 12:28:00",84.32,87.5,0.6,0.66,"12:58","11-Apr",0.100013956623854
"42",42,941,9,"2022-04-11 12:28:00",84.5,87.5,0.57,0.61,"13:03","11-Apr",0.116806637435568
"43",43,962,9,"2022-04-11 12:28:00",84.575,87.5,0.62,0.65,"13:08","11-Apr",0.123797050549795
"44",44,983,9,"2022-04-11 12:52:00",84.5,87.5,0.56,0.62,"13:13","11-Apr",0.114575044334597
"45",45,1004,9,"2022-04-11 12:52:00",84.42,87.5,0.6,0.66,"13:19","11-Apr",0.105183933031366
"46",46,1025,9,"2022-04-11 12:52:00",84.34,87.5,0.62,0.65,"13:24","11-Apr",0.0965924290950619
"47",47,1046,9,"2022-04-11 12:52:00",84.34,87.5,0.61,0.65,"13:29","11-Apr",0.0955811553948962
"48",48,1068,9,"2022-04-11 12:52:00",84.46,87.5,0.6,0.63,"13:34","11-Apr",0.10589806348314
"49",49,1089,9,"2022-04-11 12:52:00",84.5,87.5,0.6,0.65,"13:40","11-Apr",0.108586599819473
"50",50,1110,9,"2022-04-11 12:52:00",84.54,87.5,0.58,0.64,"13:45","11-Apr",0.11156683684853
"51",51,1131,9,"2022-04-11 13:29:00",84.3292,87.5,0.6,0.64,"13:50","11-Apr",0.0904113487814566
"52",52,1153,9,"2022-04-11 13:29:00",84.41,87.5,0.6,0.65,"13:56","11-Apr",0.0964497102362554
"53",53,1175,9,"2022-04-11 13:29:00",84.46,87.5,0.6,0.67,"14:01","11-Apr",0.10009003593396
"54",54,1197,9,"2022-04-11 13:29:00",84.325,87.5,0.6,0.65,"14:06","11-Apr",0.0868854125902319
"55",55,1218,9,"2022-04-11 13:29:00",84.34,87.5,0.58,0.63,"14:11","11-Apr",0.087178342083793
"56",56,1240,10,"2022-04-11 13:29:00",84.16,87.5,0.6,0.67,"14:17","11-Apr",0.071815170514208
"57",57,1262,10,"2022-04-11 13:29:00",84.195,87.5,0.57,0.64,"14:22","11-Apr",0.0735089179508641
"58",58,1284,9,"2022-04-11 13:29:00",84.2398,87.5,0.57,0.63,"14:27","11-Apr",0.0759915425905913
"59",59,1306,9,"2022-04-11 13:29:00",84.24,87.5,0.56,0.61,"14:33","11-Apr",0.0749042847399339
"60",60,1328,9,"2022-04-11 13:29:00",84.36,87.5,0.54,0.6,"14:38","11-Apr",0.0835272382473331
"61",61,1350,9,"2022-04-11 13:29:00",84.365,87.5,0.54,0.62,"14:43","11-Apr",0.0829557615447882
"62",62,1372,9,"2022-04-11 13:29:00",84.5,87.5,0.54,0.61,"14:48","11-Apr",0.0937742733637199
"63",63,1393,9,"2022-04-11 13:29:00",84.465,87.5,0.54,0.63,"14:54","11-Apr",0.0893276546954693
"64",64,1414,9,"2022-04-11 13:29:00",84.49,87.5,0.57,0.64,"14:59","11-Apr",0.0905134318619334
"65",65,1435,9,"2022-04-11 13:29:00",84.4318,87.5,0.6,0.68,"15:04","11-Apr",0.0843672856999822
"66",66,1456,9,"2022-04-11 13:29:00",84.55,87.5,0.61,0.66,"15:09","11-Apr",0.0938631813140871
"67",67,1478,9,"2022-04-11 13:29:00",84.6165,87.5,0.6,0.66,"15:15","11-Apr",0.0988769684355741
"68",68,1500,9,"2022-04-11 15:04:00",84.53,87.5,0.6,0.61,"15:20","11-Apr",0.0896355276074479
"69",69,1522,9,"2022-04-11 15:04:00",84.385,87.5,0.6,0.63,"15:25","11-Apr",0.0763229079113668
"70",70,1545,10,"2022-04-11 15:04:00",84.17,87.5,0.62,0.64,"15:31","11-Apr",0.0597889360340904
"71",71,1568,10,"2022-04-11 15:04:00",84.03,87.5,0.6,0.63,"15:36","11-Apr",0.0505282954205404
"72",72,1590,10,"2022-04-11 15:04:00",84.1211,87.5,0.57,0.6,"15:41","11-Apr",0.0550812952859179
"73",73,1612,10,"2022-04-11 15:04:00",84.03,87.5,0.53,0.56,"15:46","11-Apr",0.0490314066663275
"74",74,1634,10,"2022-04-11 15:04:00",83.895,87.5,0.49,0.52,"15:52","11-Apr",0.0412470068153552
"75",75,1656,10,"2022-04-11 15:04:00",83.8834,87.5,0.54,0.62,"15:57","11-Apr",0.040038953560809
