"","ticker","time","open","high","low","close","volume","datetime"
"1","US1.C","09:31",61.255,61.33,61.12,61.31,9770,2022-01-03 09:31:00
"2","US1.C","09:32",61.23,61.34,61.16,61.34,6830,2022-01-03 09:32:00
"3","US1.C","09:33",61.33,61.42,61.28,61.42,4432,2022-01-03 09:33:00
"4","US1.C","09:34",61.43,61.5,61.41,61.5,3017,2022-01-03 09:34:00
"5","US1.C","09:35",61.47,61.56,61.47,61.55,2622,2022-01-03 09:35:00
"6","US1.C","09:36",61.59,61.66,61.58,61.66,16975,2022-01-03 09:36:00
"7","US1.C","09:37",61.66,61.83,61.65,61.83,15987,2022-01-03 09:37:00
"8","US1.C","09:38",61.82,61.85,61.68,61.68,5500,2022-01-03 09:38:00
"9","US1.C","09:39",61.66,61.76,61.66,61.7,4200,2022-01-03 09:39:00
"10","US1.C","09:40",61.7,61.81,61.66,61.8,11063,2022-01-03 09:40:00
"11","US1.C","09:41",61.78,61.84,61.755,61.8,3700,2022-01-03 09:41:00
"12","US1.C","09:42",61.78,61.83,61.74,61.78,10936,2022-01-03 09:42:00
"13","US1.C","09:43",61.77,61.85,61.77,61.81,6430,2022-01-03 09:43:00
"14","US1.C","09:44",61.81,61.83,61.77,61.775,5942,2022-01-03 09:44:00
"15","US1.C","09:45",61.78,61.84,61.78,61.81,9210,2022-01-03 09:45:00
"16","US1.C","09:46",61.8,61.84,61.73,61.73,6395,2022-01-03 09:46:00
"17","US1.C","09:47",61.73,61.79,61.72,61.72,8714,2022-01-03 09:47:00
"18","US1.C","09:48",61.73,61.77,61.7,61.7,10044,2022-01-03 09:48:00
"19","US1.C","09:49",61.69,61.72,61.6,61.65,5841,2022-01-03 09:49:00
"20","US1.C","09:50",61.66,61.69,61.6,61.65,4833,2022-01-03 09:50:00
"21","US1.C","09:51",61.68,61.69,61.55,61.6,9723,2022-01-03 09:51:00
"22","US1.C","09:52",61.6,61.79,61.6,61.79,9005,2022-01-03 09:52:00
"23","US1.C","09:53",61.79,61.87,61.77,61.77,14223,2022-01-03 09:53:00
"24","US1.C","09:54",61.78,61.79,61.72,61.73,6784,2022-01-03 09:54:00
"25","US1.C","09:55",61.72,61.79,61.72,61.74,14539,2022-01-03 09:55:00
"26","US1.C","09:56",61.73,61.75,61.69,61.73,12052,2022-01-03 09:56:00
