<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,01/03/22,09:31,177.8500000,178.1800000,177.7200000,178.0700000,31597
US1.AAPL,1,01/03/22,09:32,178.0500000,179.0000000,177.9200000,178.8300000,29251
US1.AAPL,1,01/03/22,09:33,178.8400000,179.2900000,178.8400000,178.8800000,24544
US1.AAPL,1,01/03/22,09:34,178.8900000,179.1100000,178.7600000,179.0400000,20398
US1.AAPL,1,01/03/22,09:35,179.0200000,179.2300000,178.9200000,178.9500000,16226
US1.AAPL,1,01/03/22,09:36,178.9700000,179.3400000,178.9400000,179.2500000,27646
US1.AAPL,1,01/03/22,09:37,179.3000000,179.8000000,179.3000000,179.6400000,13701
US1.AAPL,1,01/03/22,09:38,179.6300000,180.3800000,179.6300000,180.2600000,19353
US1.AAPL,1,01/03/22,09:39,180.2800000,180.3300000,179.7800000,180.1700000,20417
US1.AAPL,1,01/03/22,09:40,180.1700000,180.3200000,180.1200000,180.3200000,17586
US1.AAPL,1,01/03/22,09:41,180.3300000,180.4300000,180.2200000,180.2400000,23239
US1.AAPL,1,01/03/22,09:42,180.2200000,180.4100000,180.2200000,180.3400000,25767
US1.AAPL,1,01/03/22,09:43,180.3800000,180.7400000,180.3700000,180.5500000,22898
US1.AAPL,1,01/03/22,09:44,180.5300000,180.8200000,180.4100000,180.7100000,36807
US1.AAPL,1,01/03/22,09:45,180.7000000,180.8400000,180.5200000,180.5300000,14517
US1.AAPL,1,01/03/22,09:46,180.6300000,180.7300000,180.3000000,180.4700000,26564
US1.AAPL,1,01/03/22,09:47,180.5000000,180.5700000,180.3000000,180.3800000,19058
US1.AAPL,1,01/03/22,09:48,180.4000000,180.4000000,179.8500000,179.9000000,49753
US1.AAPL,1,01/03/22,09:49,179.9100000,179.9900000,179.6500000,179.8000000,35184
US1.AAPL,1,01/03/22,09:50,179.7600000,179.9100000,179.4700000,179.9000000,18120
US1.AAPL,1,01/03/22,09:51,179.9600000,179.9800000,179.4200000,179.9800000,34907
US1.AAPL,1,01/03/22,09:52,179.9800000,180.0600000,179.8500000,179.8900000,20181
US1.AAPL,1,01/03/22,09:53,179.9300000,180.1000000,179.5000000,179.5400000,16359
US1.AAPL,1,01/03/22,09:54,179.5300000,179.8900000,179.5000000,179.7500000,15183
US1.AAPL,1,01/03/22,09:55,179.7200000,180.2150000,179.7200000,180.2150000,16955
US1.AAPL,1,01/03/22,09:56,180.2100000,180.3000000,179.9200000,180.2700000,19035
US1.AAPL,1,01/03/22,09:57,180.2500000,180.8800000,180.2300000,180.7700000,26783
US1.AAPL,1,01/03/22,09:58,180.7200000,180.9000000,180.6000000,180.9000000,13068
US1.AAPL,1,01/03/22,09:59,180.8700000,180.9300000,180.5000000,180.5500000,23947
US1.AAPL,1,01/03/22,10:00,180.5400000,180.5400000,180.2700000,180.4600000,16901
US1.AAPL,1,01/03/22,10:01,180.4700000,180.8700000,180.3400000,180.8700000,16645
US1.AAPL,1,01/03/22,10:02,180.8900000,181.1200000,180.7900000,180.9800000,30695
US1.AAPL,1,01/03/22,10:03,180.9100000,181.0000000,180.8400000,180.9500000,17398
US1.AAPL,1,01/03/22,10:04,180.9700000,181.2700000,180.9700000,181.1600000,19863
US1.AAPL,1,01/03/22,10:05,181.2100000,181.3400000,181.0700000,181.0700000,19124
US1.AAPL,1,01/03/22,10:06,181.0500000,181.1500000,180.8400000,181.0800000,23201
US1.AAPL,1,01/03/22,10:07,181.0800000,181.4000000,181.0800000,181.3300000,17332
US1.AAPL,1,01/03/22,10:08,181.3200000,181.3500000,181.1900000,181.3400000,11285
US1.AAPL,1,01/03/22,10:09,181.2900000,181.3100000,181.1000000,181.2300000,11957
US1.AAPL,1,01/03/22,10:10,181.2100000,181.2300000,181.0000000,181.1800000,17742
US1.AAPL,1,01/03/22,10:11,181.2300000,181.4050000,181.2000000,181.3600000,16010
US1.AAPL,1,01/03/22,10:12,181.3550000,181.4300000,180.9600000,181.1000000,16553
US1.AAPL,1,01/03/22,10:13,181.0600000,181.1900000,180.9800000,181.0500000,14416
US1.AAPL,1,01/03/22,10:14,181.0100000,181.2600000,180.9300000,181.0900000,19628
US1.AAPL,1,01/03/22,10:15,181.0700000,181.3700000,181.0400000,181.2300000,16171
US1.AAPL,1,01/03/22,10:16,181.2100000,181.2300000,181.0200000,181.0700000,13312
US1.AAPL,1,01/03/22,10:17,181.1000000,181.1700000,180.9800000,181.0500000,11957
US1.AAPL,1,01/03/22,10:18,180.9900000,181.0300000,180.8700000,180.9400000,11704
US1.AAPL,1,01/03/22,10:19,180.9400000,181.0200000,180.8900000,181.0100000,30557
US1.AAPL,1,01/03/22,10:20,181.0150000,181.0150000,180.7700000,180.8600000,10453
US1.AAPL,1,01/03/22,10:21,180.8000000,180.8000000,180.6000000,180.6400000,23376
US1.AAPL,1,01/03/22,10:22,180.6500000,180.7300000,180.5300000,180.5400000,6886
US1.AAPL,1,01/03/22,10:23,180.5300000,180.6400000,180.5000000,180.6100000,12426
US1.AAPL,1,01/03/22,10:24,180.6400000,180.7200000,180.5600000,180.6400000,17825
US1.AAPL,1,01/03/22,10:25,180.6100000,180.7800000,180.4900000,180.7100000,17762
US1.AAPL,1,01/03/22,10:26,180.6800000,180.9500000,180.5600000,180.9200000,18815
US1.AAPL,1,01/03/22,10:27,180.9100000,180.9300000,180.6900000,180.8200000,11461
US1.AAPL,1,01/03/22,10:28,180.8400000,181.0400000,180.8000000,180.9700000,15013
US1.AAPL,1,01/03/22,10:29,180.9500000,181.0200000,180.9300000,180.9300000,10062
US1.AAPL,1,01/03/22,10:30,180.9600000,181.0000000,180.7500000,180.8200000,14977
