<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.ADBE,1,01/03/22,09:31,566.8400000,566.8400000,566.8400000,566.8400000,100
US1.ADBE,1,01/03/22,09:32,573.3200000,574.1500000,573.3200000,574.1500000,700
US1.ADBE,1,01/03/22,09:34,573.8500000,573.9900000,573.8500000,573.9900000,200
US1.ADBE,1,01/03/22,09:35,573.6300000,573.7000000,572.5100000,572.5100000,600
US1.ADBE,1,01/03/22,09:36,571.9600000,571.9600000,571.3800000,571.3800000,500
US1.ADBE,1,01/03/22,09:39,571.1200000,571.1200000,571.0800000,571.0800000,500
US1.ADBE,1,01/03/22,09:41,566.5700000,567.0100000,566.5700000,567.0100000,200
US1.ADBE,1,01/03/22,09:42,565.1400000,565.1400000,565.1400000,565.1400000,100
US1.ADBE,1,01/03/22,09:43,564.0000000,564.0400000,564.0000000,564.0400000,400
US1.ADBE,1,01/03/22,09:44,564.3100000,564.3100000,564.3100000,564.3100000,100
US1.ADBE,1,01/03/22,09:45,563.9200000,563.9200000,561.5100000,561.5100000,871
US1.ADBE,1,01/03/22,09:46,561.4100000,561.4100000,561.4100000,561.4100000,100
US1.ADBE,1,01/03/22,09:47,562.1200000,562.1200000,562.1200000,562.1200000,100
US1.ADBE,1,01/03/22,09:48,559.7900000,559.7900000,559.6500000,559.6800000,300
US1.ADBE,1,01/03/22,09:49,558.8000000,558.8000000,558.8000000,558.8000000,131
US1.ADBE,1,01/03/22,09:50,558.7200000,558.7200000,558.6300000,558.6300000,416
US1.ADBE,1,01/03/22,09:51,558.2800000,558.2800000,557.0000000,557.5450000,725
US1.ADBE,1,01/03/22,09:52,557.6300000,557.7900000,556.2950000,556.2950000,1521
US1.ADBE,1,01/03/22,09:53,557.5000000,557.5000000,557.4200000,557.4200000,300
US1.ADBE,1,01/03/22,09:55,556.6600000,556.6600000,555.9400000,555.9400000,300
US1.ADBE,1,01/03/22,09:56,554.9100000,554.9100000,554.0800000,554.4400000,2275
US1.ADBE,1,01/03/22,09:57,554.5350000,555.5000000,554.5350000,555.5000000,225
US1.ADBE,1,01/03/22,09:58,555.2900000,555.2900000,554.9700000,554.9700000,200
US1.ADBE,1,01/03/22,09:59,556.1200000,556.1200000,555.2700000,555.2700000,300
US1.ADBE,1,01/03/22,10:00,554.6200000,554.9700000,554.4900000,554.7500000,400
US1.ADBE,1,01/03/22,10:01,554.5400000,555.7100000,554.5000000,555.7100000,708
US1.ADBE,1,01/03/22,10:02,555.8050000,555.8050000,555.8050000,555.8050000,100
US1.ADBE,1,01/03/22,10:03,556.1300000,556.1300000,555.2500000,555.2500000,1100
US1.ADBE,1,01/03/22,10:04,557.0750000,557.0750000,556.8000000,556.8000000,300
US1.ADBE,1,01/03/22,10:05,556.9900000,556.9900000,556.6100000,556.6100000,300
US1.ADBE,1,01/03/22,10:07,555.6500000,555.6500000,555.6500000,555.6500000,100
US1.ADBE,1,01/03/22,10:11,556.1600000,556.1600000,556.1600000,556.1600000,100
US1.ADBE,1,01/03/22,10:12,555.3800000,555.3800000,555.3800000,555.3800000,100
US1.ADBE,1,01/03/22,10:13,555.8200000,555.8300000,555.8000000,555.8000000,300
US1.ADBE,1,01/03/22,10:14,555.8100000,555.8100000,555.8100000,555.8100000,100
US1.ADBE,1,01/03/22,10:16,557.4400000,558.4500000,557.1700000,558.4500000,338
US1.ADBE,1,01/03/22,10:17,559.2300000,559.2300000,559.2300000,559.2300000,100
US1.ADBE,1,01/03/22,10:18,559.0500000,559.0500000,559.0500000,559.0500000,200
US1.ADBE,1,01/03/22,10:23,557.1500000,557.2300000,557.1500000,557.1800000,300
US1.ADBE,1,01/03/22,10:24,557.9100000,557.9100000,557.9100000,557.9100000,100
US1.ADBE,1,01/03/22,10:26,559.3600000,559.3600000,559.3600000,559.3600000,130
US1.ADBE,1,01/03/22,10:27,559.4600000,559.8000000,559.4600000,559.8000000,400
US1.ADBE,1,01/03/22,10:28,559.8000000,560.1900000,559.8000000,560.1900000,600
US1.ADBE,1,01/03/22,10:29,560.1300000,560.1600000,560.1300000,560.1600000,200
US1.ADBE,1,01/03/22,10:31,560.6000000,560.6000000,559.4100000,559.4100000,300
US1.ADBE,1,01/03/22,10:33,559.6800000,559.6800000,559.6800000,559.6800000,100
US1.ADBE,1,01/03/22,10:34,559.8500000,560.0300000,559.8500000,560.0300000,200
US1.ADBE,1,01/03/22,10:35,560.1000000,560.7500000,560.1000000,560.7500000,200
US1.ADBE,1,01/03/22,10:36,560.8500000,560.8500000,560.8500000,560.8500000,100
US1.ADBE,1,01/03/22,10:38,561.4900000,561.8900000,561.4200000,561.8900000,400
US1.ADBE,1,01/03/22,10:39,561.9500000,561.9500000,561.9500000,561.9500000,100
US1.ADBE,1,01/03/22,10:40,561.5900000,561.5900000,561.4800000,561.4800000,200
US1.ADBE,1,01/03/22,10:42,562.2600000,562.2600000,562.2600000,562.2600000,100
US1.ADBE,1,01/03/22,10:43,562.0200000,562.0200000,562.0200000,562.0200000,100
US1.ADBE,1,01/03/22,10:44,561.8700000,561.8700000,561.8700000,561.8700000,100
US1.ADBE,1,01/03/22,10:47,562.5300000,562.7400000,562.5300000,562.7400000,300
US1.ADBE,1,01/03/22,10:48,563.0400000,563.0400000,563.0400000,563.0400000,100
US1.ADBE,1,01/03/22,10:49,562.8500000,562.8500000,562.0900000,562.0900000,300
US1.ADBE,1,01/03/22,10:50,562.3900000,562.3900000,562.3900000,562.3900000,100
US1.ADBE,1,01/03/22,10:53,561.4100000,561.4100000,561.4100000,561.4100000,100
US1.ADBE,1,01/03/22,11:00,561.2900000,561.2900000,561.2900000,561.2900000,100
US1.ADBE,1,01/03/22,11:02,560.9900000,560.9900000,560.9900000,560.9900000,100
US1.ADBE,1,01/03/22,11:03,560.4000000,560.7500000,560.4000000,560.7500000,478
US1.ADBE,1,01/03/22,11:12,560.3700000,560.3700000,560.3700000,560.3700000,735
US1.ADBE,1,01/03/22,11:14,560.3100000,560.3800000,560.3100000,560.3600000,800
US1.ADBE,1,01/03/22,11:18,559.8900000,559.8900000,559.8900000,559.8900000,100
US1.ADBE,1,01/03/22,11:20,559.7100000,559.7100000,559.7100000,559.7100000,100
US1.ADBE,1,01/03/22,11:22,559.1300000,559.1400000,559.0450000,559.0450000,300
US1.ADBE,1,01/03/22,11:23,559.2300000,559.2300000,559.1200000,559.1200000,200
US1.ADBE,1,01/03/22,11:24,558.7500000,558.8500000,558.7500000,558.8500000,213
US1.ADBE,1,01/03/22,11:25,559.1000000,559.1000000,559.1000000,559.1000000,100
US1.ADBE,1,01/03/22,11:26,559.1800000,559.1800000,559.1800000,559.1800000,300
US1.ADBE,1,01/03/22,11:27,559.7100000,559.9300000,559.7100000,559.9300000,200
US1.ADBE,1,01/03/22,11:28,560.8900000,561.0200000,560.8400000,560.8400000,417
US1.ADBE,1,01/03/22,11:29,560.9500000,560.9500000,560.9500000,560.9500000,100
US1.ADBE,1,01/03/22,11:30,560.4950000,560.4950000,560.4950000,560.4950000,125
US1.ADBE,1,01/03/22,11:31,561.2550000,561.4100000,561.1500000,561.4100000,967
US1.ADBE,1,01/03/22,11:32,561.8200000,561.8200000,561.8200000,561.8200000,100
US1.ADBE,1,01/03/22,11:35,563.2650000,563.2650000,563.2650000,563.2650000,100
US1.ADBE,1,01/03/22,11:37,562.7600000,562.7600000,562.7600000,562.7600000,100
US1.ADBE,1,01/03/22,11:38,562.6500000,562.6500000,561.8400000,561.8400000,300
US1.ADBE,1,01/03/22,11:43,561.5700000,561.5700000,561.5700000,561.5700000,114
US1.ADBE,1,01/03/22,11:44,561.3900000,561.3900000,561.3900000,561.3900000,100
US1.ADBE,1,01/03/22,11:46,561.8100000,561.8100000,561.2800000,561.2800000,400
US1.ADBE,1,01/03/22,11:47,562.3300000,562.3300000,562.3300000,562.3300000,200
US1.ADBE,1,01/03/22,11:49,562.7600000,562.7600000,562.7600000,562.7600000,200
US1.ADBE,1,01/03/22,11:51,561.7700000,561.8500000,561.7700000,561.8500000,400
US1.ADBE,1,01/03/22,11:52,561.9200000,561.9500000,561.9200000,561.9500000,300
US1.ADBE,1,01/03/22,11:53,561.5800000,561.5800000,561.5800000,561.5800000,100
US1.ADBE,1,01/03/22,11:56,560.9600000,560.9600000,560.9600000,560.9600000,206
US1.ADBE,1,01/03/22,11:57,560.7500000,560.9800000,560.7500000,560.9800000,200
US1.ADBE,1,01/03/22,11:58,560.1300000,560.1300000,560.1300000,560.1300000,100
US1.ADBE,1,01/03/22,11:59,560.2700000,560.2700000,560.2700000,560.2700000,102
US1.ADBE,1,01/03/22,12:02,559.8000000,559.8400000,559.8000000,559.8400000,200
US1.ADBE,1,01/03/22,12:03,560.0800000,560.0900000,560.0800000,560.0900000,200
US1.ADBE,1,01/03/22,12:07,561.0100000,561.0100000,561.0100000,561.0100000,100
US1.ADBE,1,01/03/22,12:11,561.0300000,561.0300000,560.9800000,560.9800000,200
US1.ADBE,1,01/03/22,12:13,560.9000000,560.9000000,560.9000000,560.9000000,100
US1.ADBE,1,01/03/22,12:17,561.2200000,561.2200000,561.0000000,561.0000000,300
US1.ADBE,1,01/03/22,12:19,560.9800000,560.9800000,560.9800000,560.9800000,138
US1.ADBE,1,01/03/22,12:27,560.7100000,560.7100000,560.7100000,560.7100000,100
US1.ADBE,1,01/03/22,12:32,560.5900000,560.5900000,560.3900000,560.3900000,331
US1.ADBE,1,01/03/22,12:34,560.0500000,560.0500000,560.0500000,560.0500000,100
US1.ADBE,1,01/03/22,12:35,560.3100000,560.3100000,560.3100000,560.3100000,100
US1.ADBE,1,01/03/22,12:36,560.3400000,560.3400000,560.3400000,560.3400000,100
US1.ADBE,1,01/03/22,12:37,560.4000000,560.4000000,560.4000000,560.4000000,108
US1.ADBE,1,01/03/22,12:41,560.4000000,560.4000000,560.4000000,560.4000000,100
US1.ADBE,1,01/03/22,12:44,560.0100000,560.0100000,560.0100000,560.0100000,200
US1.ADBE,1,01/03/22,12:47,561.2900000,561.2900000,561.1800000,561.1800000,200
US1.ADBE,1,01/03/22,12:54,560.5900000,560.5900000,560.5100000,560.5100000,200
US1.ADBE,1,01/03/22,12:55,560.3600000,560.3600000,560.2400000,560.2400000,200
US1.ADBE,1,01/03/22,13:08,560.1700000,560.1700000,560.1700000,560.1700000,100
US1.ADBE,1,01/03/22,13:09,559.9700000,559.9700000,559.9200000,559.9200000,400
US1.ADBE,1,01/03/22,13:10,560.0100000,560.0100000,560.0100000,560.0100000,100
US1.ADBE,1,01/03/22,13:12,560.5350000,560.5350000,560.5350000,560.5350000,200
US1.ADBE,1,01/03/22,13:14,561.2700000,561.3000000,561.2700000,561.3000000,200
US1.ADBE,1,01/03/22,13:16,560.6000000,560.6000000,560.6000000,560.6000000,100
US1.ADBE,1,01/03/22,13:20,560.1600000,560.2400000,560.1600000,560.2400000,400
US1.ADBE,1,01/03/22,13:22,560.5500000,560.5500000,560.5500000,560.5500000,100
US1.ADBE,1,01/03/22,13:23,560.4300000,560.4300000,560.4300000,560.4300000,100
US1.ADBE,1,01/03/22,13:24,560.5900000,560.5900000,560.5900000,560.5900000,150
US1.ADBE,1,01/03/22,13:28,561.0800000,561.0800000,561.0800000,561.0800000,100
US1.ADBE,1,01/03/22,13:31,561.3900000,561.3900000,561.3900000,561.3900000,100
US1.ADBE,1,01/03/22,13:33,561.5900000,561.5900000,561.5600000,561.5600000,223
US1.ADBE,1,01/03/22,13:35,561.5700000,561.5700000,561.5700000,561.5700000,100
US1.ADBE,1,01/03/22,13:36,561.9000000,561.9000000,561.9000000,561.9000000,100
US1.ADBE,1,01/03/22,13:37,561.9200000,561.9200000,561.9200000,561.9200000,100
US1.ADBE,1,01/03/22,13:38,562.1400000,562.1400000,562.1400000,562.1400000,200
US1.ADBE,1,01/03/22,13:43,562.8400000,562.8400000,562.8400000,562.8400000,100
US1.ADBE,1,01/03/22,13:46,562.5050000,562.5050000,562.4750000,562.4750000,300
US1.ADBE,1,01/03/22,13:49,562.7100000,562.7100000,562.7100000,562.7100000,225
US1.ADBE,1,01/03/22,13:53,563.3000000,563.3000000,563.1800000,563.1800000,200
US1.ADBE,1,01/03/22,13:56,563.3900000,563.3900000,563.3900000,563.3900000,100
US1.ADBE,1,01/03/22,13:58,562.9900000,562.9900000,562.9900000,562.9900000,100
US1.ADBE,1,01/03/22,14:00,562.1900000,562.1900000,562.1900000,562.1900000,100
US1.ADBE,1,01/03/22,14:01,562.4700000,562.6800000,562.4700000,562.6800000,200
US1.ADBE,1,01/03/22,14:09,562.1600000,562.2500000,562.1600000,562.2500000,400
US1.ADBE,1,01/03/22,14:11,562.3800000,562.3800000,562.3800000,562.3800000,100
US1.ADBE,1,01/03/22,14:13,562.3200000,562.3200000,562.3000000,562.3000000,200
US1.ADBE,1,01/03/22,14:16,561.7300000,561.7300000,561.7300000,561.7300000,200
US1.ADBE,1,01/03/22,14:19,562.0300000,562.0300000,562.0300000,562.0300000,100
US1.ADBE,1,01/03/22,14:20,561.9100000,561.9100000,561.9100000,561.9100000,200
US1.ADBE,1,01/03/22,14:21,562.2000000,562.2000000,562.2000000,562.2000000,100
US1.ADBE,1,01/03/22,14:25,560.8800000,560.8900000,560.8800000,560.8900000,400
US1.ADBE,1,01/03/22,14:29,561.2400000,561.2400000,561.1600000,561.1600000,300
US1.ADBE,1,01/03/22,14:30,560.9200000,560.9200000,560.9200000,560.9200000,100
US1.ADBE,1,01/03/22,14:31,560.7400000,560.7500000,560.7400000,560.7500000,1825
US1.ADBE,1,01/03/22,14:32,560.9300000,560.9300000,560.7500000,560.7500000,1000
US1.ADBE,1,01/03/22,14:33,560.7500000,560.7500000,560.7500000,560.7500000,200
US1.ADBE,1,01/03/22,14:34,560.7600000,560.7600000,560.7500000,560.7500000,400
