<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.CSCO,1,01/03/22,09:31,62.9500000,63.2500000,62.9500000,63.0600000,10440
US1.CSCO,1,01/03/22,09:32,63.0500000,63.1700000,63.0200000,63.1700000,8011
US1.CSCO,1,01/03/22,09:33,63.1800000,63.2500000,63.1300000,63.2000000,4904
US1.CSCO,1,01/03/22,09:34,63.1700000,63.2200000,63.1700000,63.2100000,2100
US1.CSCO,1,01/03/22,09:35,63.2200000,63.2400000,63.1900000,63.2400000,1300
US1.CSCO,1,01/03/22,09:36,63.3000000,63.3200000,63.2300000,63.3200000,2000
US1.CSCO,1,01/03/22,09:37,63.3100000,63.3300000,63.1500000,63.2400000,11018
US1.CSCO,1,01/03/22,09:38,63.2900000,63.3300000,63.2500000,63.2800000,2352
US1.CSCO,1,01/03/22,09:39,63.2700000,63.2900000,63.2200000,63.2800000,2915
US1.CSCO,1,01/03/22,09:40,63.2400000,63.2500000,63.2200000,63.2200000,2600
US1.CSCO,1,01/03/22,09:41,63.2300000,63.3300000,63.2000000,63.3000000,4954
US1.CSCO,1,01/03/22,09:42,63.2800000,63.3000000,63.2800000,63.3000000,1983
US1.CSCO,1,01/03/22,09:43,63.2800000,63.2900000,63.1500000,63.1500000,3314
US1.CSCO,1,01/03/22,09:44,63.1600000,63.2700000,63.1600000,63.2600000,3300
US1.CSCO,1,01/03/22,09:45,63.2400000,63.2600000,63.2300000,63.2300000,526
US1.CSCO,1,01/03/22,09:46,63.2500000,63.2700000,63.1950000,63.2000000,3400
US1.CSCO,1,01/03/22,09:47,63.2000000,63.2000000,63.0900000,63.1500000,7890
US1.CSCO,1,01/03/22,09:48,63.1100000,63.1300000,62.9700000,62.9700000,4900
US1.CSCO,1,01/03/22,09:49,62.9900000,63.0300000,62.9200000,63.0300000,6817
US1.CSCO,1,01/03/22,09:50,63.0200000,63.0200000,62.9000000,62.9300000,2233
US1.CSCO,1,01/03/22,09:51,62.9200000,62.9200000,62.8500000,62.8900000,3512
US1.CSCO,1,01/03/22,09:52,62.9100000,63.0600000,62.9100000,63.0600000,10920
US1.CSCO,1,01/03/22,09:53,63.0700000,63.1000000,62.9700000,63.0200000,8467
US1.CSCO,1,01/03/22,09:54,63.0200000,63.0200000,62.9200000,62.9200000,4623
US1.CSCO,1,01/03/22,09:55,62.9250000,62.9300000,62.8500000,62.8800000,3457
US1.CSCO,1,01/03/22,09:56,62.8700000,62.9200000,62.8500000,62.9200000,5495
US1.CSCO,1,01/03/22,09:57,62.9100000,62.9600000,62.8800000,62.9600000,5302
US1.CSCO,1,01/03/22,09:58,62.9500000,62.9500000,62.9200000,62.9300000,700
US1.CSCO,1,01/03/22,09:59,62.9400000,62.9400000,62.8800000,62.8900000,1700
US1.CSCO,1,01/03/22,10:00,62.9000000,62.9100000,62.8300000,62.8300000,3998
US1.CSCO,1,01/03/22,10:01,62.8400000,62.8500000,62.7900000,62.8450000,3098
US1.CSCO,1,01/03/22,10:02,62.8700000,62.8700000,62.7800000,62.7800000,3612
US1.CSCO,1,01/03/22,10:03,62.7800000,62.8000000,62.7300000,62.8000000,3157
US1.CSCO,1,01/03/22,10:04,62.8000000,62.8300000,62.8000000,62.8300000,1290
US1.CSCO,1,01/03/22,10:05,62.8000000,62.8300000,62.7600000,62.7600000,2571
US1.CSCO,1,01/03/22,10:06,62.7550000,62.7900000,62.7400000,62.7700000,5382
US1.CSCO,1,01/03/22,10:07,62.8100000,62.8600000,62.8050000,62.8600000,2553
US1.CSCO,1,01/03/22,10:08,62.8500000,62.9100000,62.8500000,62.9100000,1700
US1.CSCO,1,01/03/22,10:09,62.9200000,62.9300000,62.8900000,62.8900000,1217
US1.CSCO,1,01/03/22,10:10,62.8800000,62.8800000,62.8400000,62.8400000,1200
US1.CSCO,1,01/03/22,10:11,62.8600000,62.8700000,62.8600000,62.8700000,310
US1.CSCO,1,01/03/22,10:12,62.9150000,62.9200000,62.8900000,62.9200000,1433
US1.CSCO,1,01/03/22,10:13,62.9300000,62.9400000,62.9100000,62.9100000,1314
US1.CSCO,1,01/03/22,10:14,62.9200000,62.9600000,62.8900000,62.9600000,1300
US1.CSCO,1,01/03/22,10:15,62.9100000,62.9300000,62.9000000,62.9300000,1104
US1.CSCO,1,01/03/22,10:16,62.9200000,62.9200000,62.8800000,62.8800000,1200
US1.CSCO,1,01/03/22,10:17,62.9000000,62.9100000,62.9000000,62.9100000,200
US1.CSCO,1,01/03/22,10:18,62.9200000,62.9200000,62.9200000,62.9200000,200
US1.CSCO,1,01/03/22,10:19,62.8950000,62.9800000,62.8950000,62.9800000,1275
US1.CSCO,1,01/03/22,10:20,63.0000000,63.0200000,63.0000000,63.0200000,2621
US1.CSCO,1,01/03/22,10:21,63.0000000,63.0200000,62.9900000,63.0100000,900
US1.CSCO,1,01/03/22,10:22,63.0250000,63.0250000,62.9700000,62.9700000,700
US1.CSCO,1,01/03/22,10:23,62.9600000,62.9600000,62.9300000,62.9400000,1400
US1.CSCO,1,01/03/22,10:24,62.9500000,62.9500000,62.9000000,62.9100000,1300
US1.CSCO,1,01/03/22,10:25,62.9400000,62.9650000,62.9400000,62.9500000,587
US1.CSCO,1,01/03/22,10:26,62.9100000,62.9800000,62.9100000,62.9700000,1900
US1.CSCO,1,01/03/22,10:27,62.9600000,63.0100000,62.9600000,62.9600000,2100
US1.CSCO,1,01/03/22,10:28,63.0000000,63.0600000,62.9800000,63.0600000,3149
US1.CSCO,1,01/03/22,10:29,63.0550000,63.0900000,63.0550000,63.0600000,1498
US1.CSCO,1,01/03/22,10:30,63.0650000,63.0650000,63.0500000,63.0600000,1836
US1.CSCO,1,01/03/22,10:31,63.0300000,63.0500000,62.9450000,62.9450000,4785
US1.CSCO,1,01/03/22,10:32,62.9200000,62.9200000,62.8700000,62.8800000,3879
US1.CSCO,1,01/03/22,10:33,62.8700000,62.8800000,62.8500000,62.8800000,3622
US1.CSCO,1,01/03/22,10:34,62.8500000,62.8500000,62.8200000,62.8500000,1437
US1.CSCO,1,01/03/22,10:35,62.8500000,62.8700000,62.8000000,62.8600000,3069
