"","time","open","high","low","close","volume"
"1",2017-08-01 00:35:00,154.94,154.94,154.94,154.94,17
"2",2017-08-01 00:45:00,154.81,154.81,154.81,154.81,40
"3",2017-08-01 00:47:00,154.8,154.8,154.8,154.8,20
"4",2017-08-01 00:54:00,154.68,154.68,154.55,154.55,100
"5",2017-08-01 01:00:00,154.53,154.53,154.4,154.4,20
"6",2017-08-01 01:02:00,154.4,154.4,154.4,154.4,50
"7",2017-08-01 01:08:00,154.5,154.5,154.5,154.5,350
"8",2017-08-01 01:10:00,154.5,154.5,154.5,154.5,200
"9",2017-08-01 01:12:00,154.5,154.5,154.5,154.5,287
"10",2017-08-01 01:13:00,154.5,154.5,154.5,154.5,10
"11",2017-08-01 01:15:00,154.5,154.5,154.5,154.5,235
"12",2017-08-01 01:23:00,154.5,154.5,154.5,154.5,35
"13",2017-08-01 01:44:00,154.4,154.4,154.4,154.4,30
"14",2017-08-01 02:04:00,154.42,154.42,154.4,154.4,310
"15",2017-08-01 02:17:00,154.64,154.64,154.64,154.64,20
"16",2017-08-01 02:21:00,154.3,154.3,154.3,154.3,150
"17",2017-08-01 02:38:00,154.5,154.5,154.5,154.5,1
"18",2017-08-01 02:45:00,154.5,154.5,154.5,154.5,4
"19",2017-08-01 02:55:00,154.6,154.6,154.6,154.6,19
"20",2017-08-01 13:45:00,156,156,156,156,50
"21",2017-08-01 13:56:00,155.98,155.98,155.98,155.98,1
"22",2017-08-01 14:00:00,155.98,155.98,155.98,155.98,10
"23",2017-08-01 14:04:00,155.9,155.9,155.9,155.9,100
"24",2017-08-01 14:05:00,155.85,155.85,155.8,155.8,388
"25",2017-08-01 14:08:00,155.8,155.8,155.8,155.8,30
"26",2017-08-01 14:11:00,155.8,155.8,155.8,155.8,200
"27",2017-08-01 14:12:00,155.9,155.9,155.9,155.9,100
"28",2017-08-01 14:13:00,155.87,155.87,155.87,155.87,16
"29",2017-08-01 14:14:00,155.87,155.87,155.87,155.87,8
"30",2017-08-01 14:18:00,155.8,155.8,155.8,155.8,413
"31",2017-08-01 14:19:00,155.8,155.8,155.7,155.7,100
"32",2017-08-01 14:37:00,155.87,155.87,155.87,155.87,92
"33",2017-08-01 14:44:00,155.95,155.95,155.95,155.95,100
"34",2017-08-01 14:45:00,156,156,156,156,20
"35",2017-08-01 14:48:00,156.1,156.1,156.1,156.1,20
"36",2017-08-01 14:51:00,156.19,156.19,156.19,156.19,10
"37",2017-08-01 14:53:00,156.19,156.19,156.19,156.19,1
"38",2017-08-01 14:54:00,156.19,156.19,156.19,156.19,26
"39",2017-08-01 14:56:00,156,156,156,156,100
"40",2017-08-01 14:59:00,155.85,155.85,155.8,155.8,134
"41",2017-08-01 15:02:00,155.8,155.8,155.76,155.76,100
"42",2017-08-01 15:05:00,155.75,155.75,155.75,155.75,40
"43",2017-08-01 15:06:00,155.7,155.7,155.7,155.7,318
"44",2017-08-01 15:08:00,155.8,155.8,155.8,155.8,20
"45",2017-08-01 15:31:00,156.05,156.1,156.05,156.1,178
"46",2017-08-01 15:35:00,156.2,156.22,156.2,156.22,400
"47",2017-08-01 15:36:00,156.3,156.3,156.3,156.3,25
"48",2017-08-01 15:42:00,156.38,156.4,156.38,156.4,608
"49",2017-08-01 15:46:00,156.35,156.35,156.35,156.35,200
"50",2017-08-01 15:47:00,156.35,156.35,156.3,156.3,98
"51",2017-08-01 15:48:00,156.35,156.35,156.35,156.35,300
"52",2017-08-01 15:50:00,156.35,156.35,156.35,156.35,300
"53",2017-08-01 15:51:00,156.35,156.35,156.35,156.35,313
"54",2017-08-01 15:58:00,156.34,156.34,156.34,156.34,401
"55",2017-08-01 16:01:00,156.29,156.34,156.29,156.34,1538
