"","time","open","high","low","close","volume"
"1",2017-08-01 15:41:00,57,57,57,57,50
"2",2017-08-01 16:00:00,57,57,57,57,1
"3",2017-08-01 16:11:00,57.15,57.15,57.15,57.15,166
"4",2017-08-01 16:13:00,57.15,57.15,57.15,57.15,334
"5",2017-08-01 16:21:00,57.14,57.14,57.04,57.06,1400
"6",2017-08-01 16:23:00,57.05,57.05,57.04,57.04,500
"7",2017-08-01 16:24:00,57.03,57.05,57.03,57.05,70
"8",2017-08-01 16:29:00,57.03,57.03,56.95,56.95,1950
"9",2017-08-01 16:31:00,57.1,57.1,56.93,56.94,3802
"10",2017-08-01 16:32:00,56.99,57.1,56.97,57.05,1740
"11",2017-08-01 16:33:00,57.02,57.02,56.94,56.94,762
"12",2017-08-01 16:34:00,56.96,56.99,56.86,56.9,4453
"13",2017-08-01 16:35:00,56.9,56.9,56.71,56.8,4975
"14",2017-08-01 16:36:00,56.81,56.97,56.8,56.92,3175
"15",2017-08-01 16:37:00,56.91,56.92,56.85,56.89,6784
"16",2017-08-01 16:38:00,56.92,56.94,56.92,56.94,500
"17",2017-08-01 16:39:00,56.95,56.99,56.94,56.94,1479
"18",2017-08-01 16:40:00,56.9,56.98,56.9,56.96,1400
"19",2017-08-01 16:41:00,56.94,56.98,56.94,56.98,2000
"20",2017-08-01 16:42:00,56.97,56.99,56.97,56.98,2360
"21",2017-08-01 16:43:00,57,57.01,56.99,56.99,900
"22",2017-08-01 16:44:00,56.99,57.05,56.99,57.05,840
"23",2017-08-01 16:45:00,57.07,57.11,57.04,57.1,2130
"24",2017-08-01 16:46:00,57.11,57.11,56.94,56.94,1700
"25",2017-08-01 16:47:00,56.97,56.98,56.96,56.98,800
"26",2017-08-01 16:48:00,56.99,56.99,56.94,56.94,115
"27",2017-08-01 16:49:00,56.96,57.01,56.96,57.01,1800
"28",2017-08-01 16:50:00,57.05,57.07,57.05,57.07,400
"29",2017-08-01 16:51:00,57.04,57.04,57.03,57.04,400
"30",2017-08-01 16:52:00,57.02,57.02,56.97,56.97,710
"31",2017-08-01 16:53:00,56.98,56.98,56.96,56.98,1120
"32",2017-08-01 16:55:00,56.99,56.99,56.91,56.91,957
"33",2017-08-01 16:56:00,56.91,56.96,56.91,56.95,1000
"34",2017-08-01 16:57:00,56.94,56.94,56.79,56.79,2867
"35",2017-08-01 16:58:00,56.8,56.8,56.77,56.77,1265
"36",2017-08-01 16:59:00,56.74,56.8,56.68,56.79,2540
"37",2017-08-01 17:00:00,56.71,56.74,56.71,56.74,200
"38",2017-08-01 17:01:00,56.78,56.81,56.77,56.77,1102
"39",2017-08-01 17:02:00,56.75,56.8,56.74,56.79,2754
"40",2017-08-01 17:03:00,56.8,56.8,56.76,56.78,2815
"41",2017-08-01 17:04:00,56.8,56.8,56.76,56.76,883
"42",2017-08-01 17:05:00,56.78,56.78,56.72,56.77,1480
"43",2017-08-01 17:06:00,56.76,56.77,56.73,56.73,1420
"44",2017-08-01 17:07:00,56.71,56.72,56.68,56.71,1874
"45",2017-08-01 17:08:00,56.73,56.75,56.73,56.75,742
"46",2017-08-01 17:09:00,56.76,56.76,56.74,56.74,1466
"47",2017-08-01 17:10:00,56.75,56.76,56.73,56.73,2872
"48",2017-08-01 17:11:00,56.75,56.75,56.74,56.74,405
"49",2017-08-01 17:12:00,56.74,56.78,56.74,56.77,3103
"50",2017-08-01 17:13:00,56.78,56.79,56.77,56.79,2221
"51",2017-08-01 17:14:00,56.77,56.81,56.77,56.8,1454
"52",2017-08-01 17:15:00,56.78,56.78,56.78,56.78,805
"53",2017-08-01 17:16:00,56.78,56.79,56.77,56.78,2055
"54",2017-08-01 17:17:00,56.78,56.78,56.77,56.77,709
"55",2017-08-01 17:18:00,56.78,56.78,56.74,56.78,2418
"56",2017-08-01 17:19:00,56.76,56.76,56.73,56.75,2000
"57",2017-08-01 17:20:00,56.74,56.77,56.74,56.76,2604
"58",2017-08-01 17:21:00,56.76,56.77,56.74,56.76,1604
"59",2017-08-01 17:22:00,56.77,56.77,56.75,56.76,1690
"60",2017-08-01 17:23:00,56.75,56.81,56.75,56.8,5105
"61",2017-08-01 17:24:00,56.79,56.79,56.78,56.78,200
"62",2017-08-01 17:25:00,56.79,56.8,56.78,56.78,1222
"63",2017-08-01 17:26:00,56.79,56.8,56.77,56.78,1468
"64",2017-08-01 17:27:00,56.8,56.82,56.8,56.8,3618
"65",2017-08-01 17:28:00,56.79,56.79,56.67,56.68,7161
"66",2017-08-01 17:29:00,56.68,56.69,56.66,56.66,1700
"67",2017-08-01 17:30:00,56.64,56.65,56.43,56.44,20395
"68",2017-08-01 17:31:00,56.44,56.48,56.33,56.33,13957
"69",2017-08-01 17:32:00,56.29,56.31,56.01,56.01,31650
"70",2017-08-01 17:33:00,56.02,56.05,55.81,55.97,34947
"71",2017-08-01 17:34:00,55.96,55.96,55.75,55.84,24552
"72",2017-08-01 17:35:00,55.82,56.06,55.72,56.04,41693
"73",2017-08-01 17:36:00,56.08,56.21,56.08,56.2,17422
"74",2017-08-01 17:37:00,56.2,56.3,56.2,56.23,5594
"75",2017-08-01 17:38:00,56.21,56.23,56.14,56.21,10324
"76",2017-08-01 17:39:00,56.2,56.23,56.07,56.08,3010
"77",2017-08-01 17:40:00,56.08,56.17,56.06,56.13,3351
"78",2017-08-01 17:41:00,56.14,56.14,56.01,56.01,4382
"79",2017-08-01 17:42:00,56.02,56.02,55.91,56,9745
"80",2017-08-01 17:43:00,55.99,55.99,55.78,55.78,23154
"81",2017-08-01 17:44:00,55.77,55.86,55.69,55.86,16625
"82",2017-08-01 17:45:00,55.85,55.99,55.84,55.89,6860
"83",2017-08-01 17:46:00,55.87,55.88,55.86,55.88,1939
"84",2017-08-01 17:47:00,55.89,56.04,55.89,56.02,4058
"85",2017-08-01 17:48:00,56.03,56.03,55.88,55.88,3664
"86",2017-08-01 17:49:00,55.86,55.86,55.77,55.81,6703
"87",2017-08-01 17:50:00,55.81,55.87,55.68,55.87,12085
"88",2017-08-01 17:51:00,55.9,55.95,55.86,55.88,7290
"89",2017-08-01 17:52:00,55.88,55.88,55.78,55.85,5643
"90",2017-08-01 17:53:00,55.86,55.89,55.86,55.87,2876
"91",2017-08-01 17:54:00,55.88,55.92,55.86,55.87,3544
"92",2017-08-01 17:55:00,55.87,55.89,55.84,55.85,7937
"93",2017-08-01 17:56:00,55.83,55.83,55.77,55.8,8401
"94",2017-08-01 17:57:00,55.8,55.84,55.8,55.84,7611
"95",2017-08-01 17:58:00,55.84,55.84,55.8,55.8,5918
"96",2017-08-01 17:59:00,55.8,55.8,55.66,55.72,9913
"97",2017-08-01 18:00:00,55.72,55.77,55.72,55.74,7406
"98",2017-08-01 18:01:00,55.73,55.77,55.73,55.77,5202
"99",2017-08-01 18:02:00,55.77,55.77,55.73,55.73,10778
"100",2017-08-01 18:03:00,55.74,55.93,55.74,55.92,18975
"101",2017-08-01 18:04:00,55.96,55.96,55.88,55.9,7056
"102",2017-08-01 18:05:00,55.9,55.91,55.84,55.84,1627
"103",2017-08-01 18:06:00,55.83,55.83,55.8,55.8,3950
"104",2017-08-01 18:07:00,55.79,55.89,55.78,55.89,3945
"105",2017-08-01 18:08:00,55.9,55.91,55.87,55.91,8523
"106",2017-08-01 18:09:00,55.93,55.99,55.92,55.95,6759
"107",2017-08-01 18:10:00,55.96,56.01,55.96,55.99,3983
"108",2017-08-01 18:11:00,56,56.04,56,56.03,2708
"109",2017-08-01 18:12:00,56.04,56.11,56.04,56.09,5697
"110",2017-08-01 18:13:00,56.1,56.14,56.09,56.13,4033
"111",2017-08-01 18:14:00,56.12,56.17,56.11,56.15,3360
"112",2017-08-01 18:15:00,56.14,56.14,56.11,56.13,1378
"113",2017-08-01 18:16:00,56.16,56.24,56.16,56.22,2700
"114",2017-08-01 18:17:00,56.21,56.25,56.18,56.25,2814
"115",2017-08-01 18:18:00,56.25,56.25,56.19,56.2,7236
"116",2017-08-01 18:19:00,56.2,56.21,56.18,56.21,1082
"117",2017-08-01 18:20:00,56.23,56.23,56.16,56.16,2577
"118",2017-08-01 18:21:00,56.15,56.15,56.11,56.12,2514
"119",2017-08-01 18:22:00,56.16,56.23,56.16,56.21,2250
"120",2017-08-01 18:23:00,56.24,56.27,56.23,56.24,4913
"121",2017-08-01 18:24:00,56.24,56.33,56.24,56.32,3152
"122",2017-08-01 18:25:00,56.33,56.4,56.33,56.35,4816
"123",2017-08-01 18:26:00,56.34,56.35,56.32,56.35,3250
"124",2017-08-01 18:27:00,56.36,56.4,56.36,56.37,2935
"125",2017-08-01 18:28:00,56.37,56.37,56.31,56.33,1453
"126",2017-08-01 18:29:00,56.33,56.33,56.25,56.25,2738
"127",2017-08-01 18:30:00,56.24,56.24,56.15,56.15,4195
"128",2017-08-01 18:31:00,56.17,56.18,56.15,56.15,3707
"129",2017-08-01 18:32:00,56.16,56.26,56.16,56.26,2850
"130",2017-08-01 18:33:00,56.27,56.33,56.27,56.31,2589
"131",2017-08-01 18:34:00,56.32,56.32,56.3,56.3,1200
"132",2017-08-01 18:35:00,56.3,56.3,56.3,56.3,1130
"133",2017-08-01 18:36:00,56.31,56.31,56.26,56.26,984
"134",2017-08-01 18:37:00,56.27,56.35,56.27,56.35,2447
"135",2017-08-01 18:38:00,56.36,56.37,56.36,56.36,1039
"136",2017-08-01 18:39:00,56.35,56.41,56.35,56.41,1201
"137",2017-08-01 18:40:00,56.4,56.41,56.4,56.4,699
"138",2017-08-01 18:41:00,56.4,56.4,56.36,56.36,1051
"139",2017-08-01 18:42:00,56.36,56.36,56.3,56.33,3712
"140",2017-08-01 18:43:00,56.34,56.36,56.34,56.35,1174
"141",2017-08-01 18:44:00,56.34,56.34,56.34,56.34,700
"142",2017-08-01 18:45:00,56.34,56.37,56.34,56.37,11624
