"","time","open","high","low","close","volume"
"1",2017-08-01 00:02:00,169.28,169.28,169.25,169.25,50
"2",2017-08-01 00:06:00,169.25,169.25,169.25,169.25,71
"3",2017-08-01 00:11:00,169.25,169.25,169.25,169.25,100
"4",2017-08-01 00:12:00,169.25,169.25,169.25,169.25,100
"5",2017-08-01 00:21:00,169.2,169.2,169.2,169.2,111
"6",2017-08-01 00:26:00,169.22,169.22,169.22,169.22,1
"7",2017-08-01 00:29:00,169.15,169.15,169.11,169.11,124
"8",2017-08-01 00:36:00,169.12,169.12,169.12,169.12,7
"9",2017-08-01 00:40:00,169.11,169.11,169.11,169.11,106
"10",2017-08-01 00:46:00,169.11,169.11,169.11,169.11,8
"11",2017-08-01 01:24:00,169.05,169.05,169.05,169.05,100
"12",2017-08-01 01:29:00,169,169,169,169,10
"13",2017-08-01 01:35:00,168.95,168.95,168.95,168.95,66
"14",2017-08-01 01:40:00,168.94,168.94,168.94,168.94,78
"15",2017-08-01 01:41:00,168.94,168.94,168.94,168.94,100
"16",2017-08-01 01:42:00,168.94,168.94,168.94,168.94,22
"17",2017-08-01 01:49:00,168.99,168.99,168.99,168.99,100
"18",2017-08-01 02:06:00,168.97,168.97,168.97,168.97,50
"19",2017-08-01 02:07:00,168.97,168.97,168.97,168.97,27
"20",2017-08-01 02:26:00,168.97,168.97,168.97,168.97,23
"21",2017-08-01 02:51:00,168.87,168.87,168.87,168.87,1
"22",2017-08-01 10:01:00,165,166,165,166,24
"23",2017-08-01 10:50:00,170.52,170.52,170.52,170.52,1
"24",2017-08-01 11:29:00,170.18,170.18,170.18,170.18,1
"25",2017-08-01 12:44:00,170.56,170.56,170.56,170.56,3
"26",2017-08-01 13:43:00,170.35,170.35,170.35,170.35,141
"27",2017-08-01 14:04:00,170.29,170.29,170.29,170.29,50
"28",2017-08-01 14:05:00,170.29,170.29,170.15,170.15,43
"29",2017-08-01 14:09:00,170.21,170.21,170.21,170.21,100
"30",2017-08-01 14:10:00,170.15,170.15,170.15,170.15,34
"31",2017-08-01 14:14:00,170.11,170.11,170.11,170.11,209
"32",2017-08-01 14:17:00,170.26,170.26,170.26,170.26,93
"33",2017-08-01 14:18:00,170.26,170.26,170.26,170.26,10
"34",2017-08-01 14:21:00,170.26,170.26,170.26,170.26,135
"35",2017-08-01 14:22:00,170.12,170.12,170.12,170.12,1
"36",2017-08-01 14:24:00,170.12,170.12,170.1,170.1,1602
"37",2017-08-01 14:25:00,170.1,170.1,170.02,170.02,497
"38",2017-08-01 14:27:00,170.03,170.03,169.99,169.99,2385
"39",2017-08-01 14:29:00,169.96,169.96,169.91,169.91,71
"40",2017-08-01 14:31:00,169.96,169.96,169.96,169.96,79
"41",2017-08-01 14:33:00,170.01,170.01,170.01,170.01,100
"42",2017-08-01 14:34:00,170.01,170.01,170.01,170.01,30
"43",2017-08-01 14:43:00,170.1,170.1,170.1,170.1,65
"44",2017-08-01 14:44:00,170.1,170.1,170.1,170.1,388
"45",2017-08-01 14:45:00,170.1,170.1,170.1,170.1,106
"46",2017-08-01 14:47:00,170,170,169.9,169.9,262
"47",2017-08-01 14:48:00,170,170,170,170,12
