"","time","open","high","low","close","volume"
"1",2017-08-01 00:21:00,76.01,76.01,76.01,76.01,165
"2",2017-08-01 00:43:00,76.01,76.01,76.01,76.01,100
"3",2017-08-01 02:13:00,76.05,76.05,76.05,76.05,100
"4",2017-08-01 11:37:00,76.36,76.36,76.36,76.36,70
"5",2017-08-01 14:00:00,76.35,76.35,76.35,76.35,5
"6",2017-08-01 14:18:00,76.35,76.35,76.35,76.35,5
"7",2017-08-01 14:20:00,76.35,76.35,76.35,76.35,20
"8",2017-08-01 14:21:00,76.58,76.58,76.58,76.58,35
"9",2017-08-01 14:24:00,76.35,76.35,76.35,76.35,144
"10",2017-08-01 15:49:00,76.35,76.35,76.35,76.35,1413
"11",2017-08-01 15:54:00,76.35,76.35,76.35,76.35,3000
"12",2017-08-01 16:07:00,76.35,76.35,76.35,76.35,30
"13",2017-08-01 16:24:00,76.35,76.35,76.35,76.35,300
"14",2017-08-01 16:25:00,76.35,76.35,76.35,76.35,365
"15",2017-08-01 16:30:00,76.27,76.35,76.27,76.29,1297
"16",2017-08-01 16:31:00,76.35,76.43,76.07,76.21,134058
"17",2017-08-01 16:32:00,76.25,76.25,76.17,76.17,3922
"18",2017-08-01 16:33:00,76.13,76.17,76.11,76.12,1664
"19",2017-08-01 16:34:00,76.15,76.15,75.93,75.97,15179
"20",2017-08-01 16:35:00,75.97,75.97,75.64,75.69,19732
"21",2017-08-01 16:36:00,75.69,75.79,75.6,75.6,7232
"22",2017-08-01 16:37:00,75.62,75.81,75.62,75.77,6227
"23",2017-08-01 16:38:00,75.78,75.87,75.73,75.8,8668
"24",2017-08-01 16:39:00,75.81,75.81,75.72,75.77,5000
"25",2017-08-01 16:40:00,75.8,75.8,75.76,75.77,5751
"26",2017-08-01 16:41:00,75.78,75.8,75.74,75.77,5571
"27",2017-08-01 16:42:00,75.77,75.8,75.74,75.79,5003
"28",2017-08-01 16:43:00,75.79,75.88,75.79,75.87,4230
"29",2017-08-01 16:44:00,75.86,75.86,75.81,75.81,2391
"30",2017-08-01 16:45:00,75.8,75.86,75.8,75.86,4813
"31",2017-08-01 16:46:00,75.87,75.94,75.87,75.91,3330
"32",2017-08-01 16:47:00,75.91,75.97,75.91,75.92,4675
"33",2017-08-01 16:48:00,75.93,75.94,75.86,75.86,4220
"34",2017-08-01 16:49:00,75.86,75.87,75.83,75.83,3249
"35",2017-08-01 16:50:00,75.83,75.83,75.71,75.74,9656
"36",2017-08-01 16:51:00,75.75,75.75,75.67,75.7,5293
"37",2017-08-01 16:52:00,75.71,75.74,75.68,75.72,4991
"38",2017-08-01 16:53:00,75.73,75.79,75.73,75.79,2643
"39",2017-08-01 16:54:00,75.79,75.8,75.72,75.73,5831
"40",2017-08-01 16:55:00,75.73,75.73,75.66,75.7,8138
"41",2017-08-01 16:56:00,75.71,75.78,75.71,75.74,4579
"42",2017-08-01 16:57:00,75.73,75.75,75.73,75.73,2822
"43",2017-08-01 16:58:00,75.73,75.74,75.61,75.61,6041
"44",2017-08-01 16:59:00,75.6,75.64,75.56,75.61,4106
"45",2017-08-01 17:00:00,75.58,75.62,75.53,75.6,4391
"46",2017-08-01 17:01:00,75.65,75.73,75.65,75.67,3200
"47",2017-08-01 17:02:00,75.69,75.78,75.68,75.71,7807
"48",2017-08-01 17:03:00,75.7,75.71,75.65,75.7,7062
"49",2017-08-01 17:04:00,75.69,75.74,75.63,75.74,4089
"50",2017-08-01 17:05:00,75.73,75.84,75.73,75.8,8629
"51",2017-08-01 17:06:00,75.8,75.88,75.8,75.86,9178
"52",2017-08-01 17:07:00,75.86,75.88,75.85,75.88,3412
"53",2017-08-01 17:08:00,75.88,75.9,75.83,75.85,6194
"54",2017-08-01 17:09:00,75.85,75.85,75.77,75.77,3257
"55",2017-08-01 17:10:00,75.76,75.76,75.69,75.74,4504
"56",2017-08-01 17:11:00,75.73,75.77,75.69,75.72,8887
"57",2017-08-01 17:12:00,75.72,75.77,75.7,75.77,3433
"58",2017-08-01 17:13:00,75.77,75.87,75.77,75.82,6142
"59",2017-08-01 17:14:00,75.83,75.91,75.83,75.87,8274
"60",2017-08-01 17:15:00,75.87,75.93,75.86,75.92,3826
"61",2017-08-01 17:16:00,75.92,75.92,75.82,75.88,5984
"62",2017-08-01 17:17:00,75.88,75.88,75.84,75.85,2471
"63",2017-08-01 17:18:00,75.86,75.91,75.85,75.9,6001
"64",2017-08-01 17:19:00,75.9,75.9,75.84,75.87,6052
"65",2017-08-01 17:20:00,75.88,75.92,75.87,75.87,4700
"66",2017-08-01 17:21:00,75.86,75.86,75.79,75.85,7795
"67",2017-08-01 17:22:00,75.85,75.85,75.76,75.78,6573
"68",2017-08-01 17:23:00,75.79,75.83,75.79,75.83,2650
"69",2017-08-01 17:24:00,75.83,75.84,75.78,75.79,2203
"70",2017-08-01 17:25:00,75.79,75.83,75.79,75.82,5019
"71",2017-08-01 17:26:00,75.83,75.85,75.83,75.83,4932
"72",2017-08-01 17:27:00,75.83,75.88,75.83,75.87,3657
"73",2017-08-01 17:28:00,75.87,75.88,75.85,75.88,1895
"74",2017-08-01 17:29:00,75.89,75.89,75.85,75.85,3772
"75",2017-08-01 17:30:00,75.84,75.85,75.82,75.84,3000
"76",2017-08-01 17:31:00,75.84,75.86,75.84,75.84,3411
"77",2017-08-01 17:32:00,75.85,75.86,75.79,75.79,5441
"78",2017-08-01 17:33:00,75.79,75.82,75.79,75.8,3687
"79",2017-08-01 17:34:00,75.81,75.84,75.81,75.83,2625
"80",2017-08-01 17:35:00,75.83,75.92,75.83,75.91,8328
"81",2017-08-01 17:36:00,75.91,75.97,75.91,75.96,6228
"82",2017-08-01 17:37:00,75.97,75.98,75.97,75.97,3522
"83",2017-08-01 17:38:00,75.96,75.97,75.96,75.96,654
"84",2017-08-01 17:39:00,75.97,75.98,75.97,75.97,1847
"85",2017-08-01 17:40:00,75.96,76.01,75.96,76,5972
"86",2017-08-01 17:41:00,76,76.05,75.99,76.03,11224
"87",2017-08-01 17:42:00,76.03,76.05,76,76.04,5427
"88",2017-08-01 17:43:00,76.04,76.04,75.98,75.98,1401
"89",2017-08-01 17:44:00,75.97,75.97,75.96,75.96,1243
"90",2017-08-01 17:45:00,75.96,76,75.95,75.99,5152
"91",2017-08-01 17:46:00,76,76,75.98,76,2786
"92",2017-08-01 17:47:00,76,76.02,76,76.02,2239
"93",2017-08-01 17:48:00,76.03,76.03,76.02,76.03,3000
"94",2017-08-01 17:49:00,76.03,76.03,75.97,76,2959
"95",2017-08-01 17:50:00,76,76.05,76,76.05,5420
"96",2017-08-01 17:51:00,76.06,76.13,76.06,76.12,8001
"97",2017-08-01 17:52:00,76.13,76.14,76.09,76.09,5733
"98",2017-08-01 17:53:00,76.08,76.12,76.08,76.08,2938
"99",2017-08-01 17:54:00,76.07,76.13,76.07,76.13,3140
"100",2017-08-01 17:55:00,76.13,76.16,76.13,76.16,1653
"101",2017-08-01 17:56:00,76.15,76.16,76.1,76.1,5894
"102",2017-08-01 17:57:00,76.09,76.09,76.02,76.03,3625
"103",2017-08-01 17:58:00,76.03,76.04,76.01,76.02,2535
"104",2017-08-01 17:59:00,76.03,76.07,76.02,76.02,2991
"105",2017-08-01 18:00:00,76.03,76.04,76.03,76.03,2212
"106",2017-08-01 18:01:00,76.03,76.03,76,76.03,2644
"107",2017-08-01 18:02:00,76.04,76.04,75.98,75.98,2525
"108",2017-08-01 18:03:00,75.98,76.01,75.98,76.01,3101
"109",2017-08-01 18:04:00,76,76.02,76,76.02,3101
"110",2017-08-01 18:05:00,76.02,76.02,76,76.01,3100
"111",2017-08-01 18:06:00,76.02,76.06,76.02,76.03,3499
"112",2017-08-01 18:07:00,76.03,76.05,76.03,76.05,1501
"113",2017-08-01 18:08:00,76.05,76.07,76.02,76.02,2426
"114",2017-08-01 18:09:00,76.01,76.01,76,76.01,2877
"115",2017-08-01 18:10:00,76,76,75.97,75.97,1600
"116",2017-08-01 18:11:00,75.98,75.98,75.98,75.98,1802
"117",2017-08-01 18:12:00,75.99,75.99,75.98,75.98,1300
"118",2017-08-01 18:13:00,75.98,75.98,75.92,75.97,7521
"119",2017-08-01 18:14:00,75.97,75.99,75.97,75.99,1737
"120",2017-08-01 18:15:00,75.98,75.98,75.93,75.94,3784
"121",2017-08-01 18:16:00,75.94,75.94,75.92,75.92,1115
"122",2017-08-01 18:17:00,75.91,75.91,75.85,75.87,2642
"123",2017-08-01 18:18:00,75.87,75.95,75.87,75.95,4064
"124",2017-08-01 18:19:00,75.95,75.97,75.95,75.97,1248
"125",2017-08-01 18:20:00,75.96,75.96,75.94,75.94,2224
"126",2017-08-01 18:21:00,75.93,75.93,75.9,75.91,3397
"127",2017-08-01 18:22:00,75.92,75.93,75.92,75.92,1597
"128",2017-08-01 18:23:00,75.91,75.91,75.9,75.9,1112
"129",2017-08-01 18:24:00,75.89,75.9,75.89,75.9,167
"130",2017-08-01 18:25:00,75.9,75.92,75.9,75.92,2562
"131",2017-08-01 18:26:00,75.92,75.92,75.9,75.9,1765
"132",2017-08-01 18:27:00,75.9,75.94,75.9,75.94,4525
"133",2017-08-01 18:28:00,75.94,75.96,75.94,75.96,1600
"134",2017-08-01 18:29:00,75.96,75.97,75.95,75.95,2763
"135",2017-08-01 18:30:00,75.96,75.96,75.96,75.96,2072
"136",2017-08-01 18:31:00,75.95,75.95,75.92,75.95,4688
"137",2017-08-01 18:32:00,75.95,76.01,75.95,76.01,3545
"138",2017-08-01 18:33:00,76.02,76.03,76.01,76.01,1813
"139",2017-08-01 18:34:00,75.99,75.99,75.95,75.95,1061
"140",2017-08-01 18:35:00,75.94,75.96,75.94,75.96,1335
"141",2017-08-01 18:36:00,75.96,75.99,75.96,75.99,1620
"142",2017-08-01 18:37:00,76,76,75.98,75.99,4797
"143",2017-08-01 18:38:00,75.98,75.98,75.95,75.95,1805
"144",2017-08-01 18:39:00,75.94,75.94,75.92,75.92,4037
"145",2017-08-01 18:40:00,75.91,75.91,75.91,75.91,1000
"146",2017-08-01 18:41:00,75.91,75.91,75.86,75.86,891
"147",2017-08-01 18:42:00,75.86,75.86,75.83,75.84,1985
"148",2017-08-01 18:43:00,75.83,75.84,75.81,75.81,3201
"149",2017-08-01 18:44:00,75.8,75.81,75.79,75.8,1478
"150",2017-08-01 18:45:00,75.8,75.8,75.78,75.78,1614
"151",2017-08-01 18:46:00,75.77,75.77,75.76,75.77,3807
"152",2017-08-01 18:47:00,75.77,75.79,75.77,75.79,1650
"153",2017-08-01 18:48:00,75.8,75.88,75.8,75.87,4531
"154",2017-08-01 18:49:00,75.87,75.87,75.86,75.86,2021
"155",2017-08-01 18:50:00,75.86,75.86,75.82,75.82,1351
"156",2017-08-01 18:51:00,75.83,75.89,75.82,75.88,4149
"157",2017-08-01 18:52:00,75.88,75.88,75.86,75.86,702
"158",2017-08-01 18:53:00,75.85,75.85,75.83,75.83,1030
"159",2017-08-01 18:54:00,75.83,75.84,75.83,75.84,1317
"160",2017-08-01 18:55:00,75.85,75.86,75.85,75.86,2228
"161",2017-08-01 18:56:00,75.87,75.91,75.87,75.9,3202
"162",2017-08-01 18:57:00,75.9,75.9,75.84,75.84,1630
"163",2017-08-01 18:58:00,75.83,75.83,75.8,75.83,2219
"164",2017-08-01 18:59:00,75.84,75.84,75.8,75.81,1691
"165",2017-08-01 19:00:00,75.82,75.88,75.82,75.88,2389
"166",2017-08-01 19:01:00,75.87,75.89,75.86,75.88,2468
"167",2017-08-01 19:02:00,75.87,75.87,75.84,75.84,1100
"168",2017-08-01 19:04:00,75.84,75.84,75.81,75.82,4172
"169",2017-08-01 19:05:00,75.81,75.81,75.8,75.8,1102
"170",2017-08-01 19:06:00,75.8,75.84,75.8,75.84,4706
"171",2017-08-01 19:09:00,75.84,75.84,75.84,75.84,909
"172",2017-08-01 19:10:00,75.83,75.84,75.83,75.83,1791
"173",2017-08-01 19:11:00,75.83,75.85,75.83,75.85,2049
"174",2017-08-01 19:12:00,75.86,75.87,75.86,75.87,900
"175",2017-08-01 19:13:00,75.88,75.89,75.88,75.89,689
"176",2017-08-01 19:14:00,75.9,75.93,75.9,75.93,2210
"177",2017-08-01 19:15:00,75.93,75.93,75.92,75.92,1100
"178",2017-08-01 19:16:00,75.92,75.92,75.92,75.92,1202
"179",2017-08-01 19:17:00,75.92,75.92,75.89,75.89,2034
"180",2017-08-01 19:18:00,75.89,75.9,75.89,75.9,1602
"181",2017-08-01 19:19:00,75.91,75.91,75.86,75.86,2225
"182",2017-08-01 19:20:00,75.82,75.82,75.82,75.82,1649
"183",2017-08-01 19:21:00,75.81,75.82,75.81,75.81,1659
"184",2017-08-01 19:22:00,75.8,75.82,75.8,75.81,2325
"185",2017-08-01 19:24:00,75.81,75.81,75.81,75.81,400
"186",2017-08-01 19:25:00,75.81,75.82,75.79,75.79,1749
"187",2017-08-01 19:26:00,75.79,75.8,75.78,75.8,2503
"188",2017-08-01 19:27:00,75.8,75.8,75.78,75.78,901
"189",2017-08-01 19:28:00,75.78,75.84,75.78,75.84,3534
"190",2017-08-01 19:29:00,75.84,75.84,75.8,75.8,3302
"191",2017-08-01 19:30:00,75.81,75.81,75.81,75.81,1000
"192",2017-08-01 19:31:00,75.81,75.82,75.8,75.8,1725
"193",2017-08-01 19:32:00,75.8,75.83,75.8,75.83,2102
"194",2017-08-01 19:33:00,75.83,75.83,75.81,75.81,2161
"195",2017-08-01 19:35:00,75.8,75.82,75.8,75.82,1718
"196",2017-08-01 19:36:00,75.81,75.82,75.81,75.81,2108
"197",2017-08-01 19:37:00,75.81,75.82,75.81,75.82,2284
"198",2017-08-01 19:38:00,75.82,75.82,75.8,75.8,4058
"199",2017-08-01 19:39:00,75.8,75.8,75.76,75.76,3059
"200",2017-08-01 19:40:00,75.75,75.8,75.75,75.8,7400
"201",2017-08-01 19:41:00,75.8,75.84,75.79,75.83,4359
"202",2017-08-01 19:42:00,75.82,75.83,75.82,75.83,1203
"203",2017-08-01 19:43:00,75.82,75.82,75.82,75.82,11
"204",2017-08-01 19:44:00,75.82,75.82,75.82,75.82,5140
"205",2017-08-01 19:45:00,75.82,75.82,75.79,75.8,4874
"206",2017-08-01 19:46:00,75.8,75.8,75.8,75.8,700
