"","time","open","high","low","close","volume"
"1",2017-08-01 16:31:00,62.1,62.1,62.01,62.06,1559
"2",2017-08-01 16:32:00,62.08,62.08,61.98,61.99,1720
"3",2017-08-01 16:33:00,61.96,61.96,61.89,61.89,130
"4",2017-08-01 16:34:00,61.9,61.9,61.86,61.87,405
"5",2017-08-01 16:35:00,61.89,61.89,61.89,61.89,100
"6",2017-08-01 16:36:00,61.73,61.73,61.59,61.59,1274
"7",2017-08-01 16:37:00,61.65,61.74,61.65,61.74,600
"8",2017-08-01 16:38:00,61.8,61.8,61.8,61.8,1
"9",2017-08-01 16:39:00,61.84,61.84,61.84,61.84,377
"10",2017-08-01 16:40:00,61.84,61.85,61.84,61.84,400
"11",2017-08-01 16:41:00,61.84,61.86,61.79,61.8,579
"12",2017-08-01 16:42:00,61.79,61.79,61.77,61.77,101
"13",2017-08-01 16:43:00,61.7,61.72,61.67,61.72,332
"14",2017-08-01 16:44:00,61.73,61.73,61.69,61.69,400
"15",2017-08-01 16:45:00,61.7,61.71,61.7,61.71,200
"16",2017-08-01 16:46:00,61.73,61.73,61.69,61.69,245
"17",2017-08-01 16:47:00,61.7,61.74,61.7,61.74,672
"18",2017-08-01 16:48:00,61.75,61.78,61.75,61.78,689
"19",2017-08-01 16:49:00,61.72,61.72,61.71,61.71,301
"20",2017-08-01 16:50:00,61.71,61.74,61.7,61.72,409
"21",2017-08-01 16:51:00,61.74,61.81,61.74,61.81,906
"22",2017-08-01 16:52:00,61.81,61.81,61.73,61.74,782
"23",2017-08-01 16:53:00,61.73,61.76,61.72,61.76,213
"24",2017-08-01 16:54:00,61.77,61.77,61.77,61.77,200
"25",2017-08-01 16:55:00,61.75,61.75,61.67,61.67,301
"26",2017-08-01 16:56:00,61.67,61.68,61.61,61.63,1271
"27",2017-08-01 16:57:00,61.6,61.6,61.6,61.6,100
"28",2017-08-01 16:58:00,61.63,61.64,61.63,61.64,500
"29",2017-08-01 16:59:00,61.64,61.64,61.6,61.62,1006
"30",2017-08-01 17:00:00,61.63,61.64,61.61,61.64,570
"31",2017-08-01 17:01:00,61.66,61.68,61.63,61.65,987
"32",2017-08-01 17:02:00,61.65,61.65,61.62,61.62,400
"33",2017-08-01 17:03:00,61.63,61.66,61.63,61.66,650
"34",2017-08-01 17:04:00,61.64,61.64,61.6,61.6,1290
"35",2017-08-01 17:05:00,61.6,61.64,61.6,61.63,466
"36",2017-08-01 17:06:00,61.64,61.71,61.64,61.69,691
"37",2017-08-01 17:07:00,61.71,61.74,61.71,61.74,607
"38",2017-08-01 17:08:00,61.76,61.76,61.73,61.75,728
