"","time","open","high","low","close","volume"
"1",2017-08-01 16:24:00,68.62,68.62,68.62,68.62,25
"2",2017-08-01 16:25:00,68.89,68.89,68.89,68.89,55
"3",2017-08-01 16:31:00,68.58,68.85,68.46,68.61,7591
"4",2017-08-01 16:32:00,68.57,68.62,68.38,68.39,4520
"5",2017-08-01 16:33:00,68.42,68.42,68.41,68.41,200
"6",2017-08-01 16:34:00,68.32,68.43,68.28,68.29,4195
"7",2017-08-01 16:35:00,68.32,68.32,68.18,68.2,1427
"8",2017-08-01 16:36:00,68.17,68.17,68.05,68.05,4234
"9",2017-08-01 16:37:00,68.06,68.24,68.06,68.22,5751
"10",2017-08-01 16:38:00,68.22,68.22,68.16,68.22,2100
"11",2017-08-01 16:39:00,68.21,68.31,68.21,68.31,1666
"12",2017-08-01 16:40:00,68.34,68.34,68.24,68.25,4049
"13",2017-08-01 16:41:00,68.28,68.34,68.26,68.28,7622
"14",2017-08-01 16:42:00,68.28,68.32,68.26,68.29,3738
"15",2017-08-01 16:43:00,68.29,68.31,68.21,68.26,2661
"16",2017-08-01 16:44:00,68.26,68.31,68.26,68.31,4417
"17",2017-08-01 16:45:00,68.33,68.4,68.29,68.4,2825
"18",2017-08-01 16:46:00,68.41,68.42,68.32,68.37,2208
"19",2017-08-01 16:47:00,68.32,68.32,68.27,68.3,4039
"20",2017-08-01 16:48:00,68.3,68.31,68.25,68.25,1346
"21",2017-08-01 16:49:00,68.22,68.29,68.21,68.28,2196
"22",2017-08-01 16:50:00,68.28,68.32,68.26,68.28,3664
"23",2017-08-01 16:51:00,68.24,68.36,68.24,68.33,6829
"24",2017-08-01 16:52:00,68.34,68.36,68.31,68.31,2348
"25",2017-08-01 16:53:00,68.3,68.39,68.28,68.37,3315
"26",2017-08-01 16:54:00,68.35,68.46,68.35,68.44,2447
"27",2017-08-01 16:55:00,68.42,68.44,68.34,68.34,2141
"28",2017-08-01 16:56:00,68.33,68.34,68.26,68.33,4938
"29",2017-08-01 16:57:00,68.32,68.32,68.29,68.32,1624
"30",2017-08-01 16:58:00,68.31,68.32,68.3,68.32,1798
"31",2017-08-01 16:59:00,68.31,68.31,68.28,68.3,4318
"32",2017-08-01 17:00:00,68.3,68.3,68.26,68.3,2106
