"","time","open","high","low","close","volume"
"1",2018-08-01 09:31:00,72.55,72.61,72.5,72.61,1728
"2",2018-08-01 09:32:00,72.62,72.76,72.62,72.7,5316
"3",2018-08-01 09:33:00,72.82,72.86,72.78,72.85,5723
"4",2018-08-01 09:34:00,72.88,72.97,72.88,72.97,2800
"5",2018-08-01 09:35:00,72.95,72.98,72.89,72.98,4000
"6",2018-08-01 09:36:00,72.97,72.98,72.93,72.94,3826
"7",2018-08-01 09:37:00,72.94,72.95,72.84,72.87,2900
"8",2018-08-01 09:38:00,72.84,72.86,72.77,72.77,4098
"9",2018-08-01 09:39:00,72.7,72.76,72.7,72.72,2966
"10",2018-08-01 09:40:00,72.72,72.75,72.71,72.72,3822
"11",2018-08-01 09:41:00,72.72,72.79,72.72,72.77,5549
"12",2018-08-01 09:42:00,72.8,72.85,72.76,72.84,10500
"13",2018-08-01 09:43:00,72.81,72.81,72.78,72.78,2410
"14",2018-08-01 09:44:00,72.77,72.81,72.74,72.81,3800
"15",2018-08-01 09:45:00,72.8,72.82,72.79,72.79,3000
"16",2018-08-01 09:46:00,72.78,72.81,72.77,72.77,1744
"17",2018-08-01 09:47:00,72.78,72.83,72.77,72.83,4092
"18",2018-08-01 09:48:00,72.82,72.84,72.82,72.84,3000
"19",2018-08-01 09:49:00,72.84,72.85,72.8,72.82,2000
"20",2018-08-01 09:50:00,72.81,72.83,72.79,72.81,1400
"21",2018-08-01 09:51:00,72.815,72.815,72.715,72.725,8500
"22",2018-08-01 09:52:00,72.71,72.75,72.69,72.75,1800
"23",2018-08-01 09:53:00,72.75,72.82,72.74,72.82,3800
"24",2018-08-01 09:54:00,72.81,72.81,72.79,72.79,1900
"25",2018-08-01 09:55:00,72.78,72.81,72.78,72.8,1700
"26",2018-08-01 09:56:00,72.78,72.8,72.71,72.71,1720
"27",2018-08-01 09:57:00,72.71,72.715,72.66,72.71,5900
"28",2018-08-01 09:58:00,72.7,72.7,72.625,72.65,2850
"29",2018-08-01 09:59:00,72.65,72.65,72.62,72.64,1266
"30",2018-08-01 10:00:00,72.65,72.76,72.65,72.76,1307
"31",2018-08-01 10:01:00,72.74,72.77,72.73,72.75,2200
"32",2018-08-01 10:02:00,72.74,72.75,72.66,72.68,2600
"33",2018-08-01 10:03:00,72.68,72.75,72.68,72.75,3400
"34",2018-08-01 10:04:00,72.77,72.78,72.73,72.73,3000
"35",2018-08-01 10:05:00,72.72,72.8,72.72,72.8,2163
"36",2018-08-01 10:06:00,72.78,72.86,72.76,72.86,3100
"37",2018-08-01 10:07:00,72.86,72.885,72.83,72.84,2798
"38",2018-08-01 10:08:00,72.84,72.84,72.81,72.82,2100
"39",2018-08-01 10:09:00,72.83,72.84,72.81,72.84,1200
"40",2018-08-01 10:10:00,72.78,72.82,72.78,72.82,1400
"41",2018-08-01 10:11:00,72.81,72.81,72.72,72.72,2700
"42",2018-08-01 10:12:00,72.69,72.69,72.63,72.64,1851
"43",2018-08-01 10:13:00,72.63,72.63,72.58,72.6,3700
"44",2018-08-01 10:14:00,72.56,72.6,72.56,72.6,1000
"45",2018-08-01 10:15:00,72.59,72.59,72.53,72.58,3200
"46",2018-08-01 10:16:00,72.58,72.58,72.54,72.54,1550
"47",2018-08-01 10:17:00,72.51,72.56,72.49,72.56,3702
"48",2018-08-01 10:18:00,72.6,72.635,72.6,72.63,2105
"49",2018-08-01 10:19:00,72.64,72.65,72.6,72.62,1200
"50",2018-08-01 10:20:00,72.63,72.63,72.61,72.62,600
"51",2018-08-01 10:21:00,72.63,72.63,72.6,72.62,500
"52",2018-08-01 10:22:00,72.63,72.705,72.63,72.695,2349
"53",2018-08-01 10:23:00,72.71,72.825,72.71,72.82,7911
"54",2018-08-01 10:24:00,72.8,72.81,72.79,72.81,800
"55",2018-08-01 10:25:00,72.79,72.86,72.78,72.83,5100
"56",2018-08-01 10:26:00,72.83,72.86,72.83,72.86,1300
