"","time","open","high","low","close","volume"
"1",2018-08-01 11:01:00,17.72,17.72,17.72,17.72,1
"2",2018-08-01 16:27:00,17.7,17.7,17.7,17.7,500
"3",2018-08-01 16:31:00,17.69,17.7,17.59,17.67,6733
"4",2018-08-01 16:32:00,17.7,17.71,17.67,17.69,2000
"5",2018-08-01 16:33:00,17.69,17.7,17.69,17.7,2700
"6",2018-08-01 16:34:00,17.7,17.7,17.66,17.68,1901
"7",2018-08-01 16:35:00,17.66,17.67,17.64,17.65,5537
"8",2018-08-01 16:36:00,17.64,17.64,17.61,17.61,3147
"9",2018-08-01 16:37:00,17.61,17.61,17.6,17.61,2200
"10",2018-08-01 16:38:00,17.62,17.64,17.62,17.64,1360
"11",2018-08-01 16:39:00,17.64,17.64,17.62,17.62,4100
"12",2018-08-01 16:40:00,17.63,17.63,17.61,17.61,1143
"13",2018-08-01 16:41:00,17.6,17.6,17.56,17.56,2502
"14",2018-08-01 16:42:00,17.57,17.57,17.56,17.56,1562
"15",2018-08-01 16:43:00,17.56,17.56,17.53,17.53,2194
"16",2018-08-01 16:44:00,17.53,17.55,17.53,17.55,6326
"17",2018-08-01 16:45:00,17.54,17.54,17.53,17.53,1108
"18",2018-08-01 16:46:00,17.52,17.52,17.5,17.5,3915
"19",2018-08-01 16:47:00,17.49,17.51,17.49,17.51,1104
"20",2018-08-01 16:48:00,17.52,17.55,17.52,17.54,3678
"21",2018-08-01 16:49:00,17.54,17.54,17.54,17.54,200
"22",2018-08-01 16:50:00,17.55,17.55,17.54,17.54,5500
"23",2018-08-01 16:51:00,17.55,17.56,17.54,17.54,2000
"24",2018-08-01 16:52:00,17.54,17.57,17.54,17.57,3530
"25",2018-08-01 16:53:00,17.57,17.59,17.57,17.58,2701
"26",2018-08-01 16:54:00,17.58,17.58,17.57,17.57,1183
"27",2018-08-01 16:55:00,17.57,17.6,17.57,17.6,2700
"28",2018-08-01 16:56:00,17.6,17.62,17.6,17.61,2300
"29",2018-08-01 16:57:00,17.6,17.61,17.58,17.58,9078
"30",2018-08-01 16:58:00,17.58,17.58,17.58,17.58,1800
"31",2018-08-01 16:59:00,17.58,17.58,17.58,17.58,4916
"32",2018-08-01 17:00:00,17.58,17.58,17.56,17.56,1900
"33",2018-08-01 17:01:00,17.56,17.56,17.53,17.55,4873
"34",2018-08-01 17:02:00,17.56,17.56,17.53,17.53,3290
"35",2018-08-01 17:03:00,17.53,17.53,17.51,17.51,5561
"36",2018-08-01 17:04:00,17.51,17.51,17.51,17.51,1500
"37",2018-08-01 17:05:00,17.52,17.52,17.5,17.5,14171
"38",2018-08-01 17:06:00,17.51,17.53,17.51,17.52,3800
"39",2018-08-01 17:07:00,17.52,17.53,17.51,17.53,820
"40",2018-08-01 17:08:00,17.54,17.55,17.54,17.55,300
"41",2018-08-01 17:09:00,17.55,17.55,17.55,17.55,400
"42",2018-08-01 17:10:00,17.56,17.58,17.56,17.58,2523
"43",2018-08-01 17:11:00,17.58,17.58,17.58,17.58,429
"44",2018-08-01 17:12:00,17.59,17.6,17.59,17.59,2744
"45",2018-08-01 17:13:00,17.58,17.58,17.56,17.56,13307
"46",2018-08-01 17:14:00,17.57,17.58,17.57,17.57,727
"47",2018-08-01 17:15:00,17.58,17.58,17.58,17.58,623
