"","time","open","high","low","close","volume"
"1",2018-08-01 00:32:00,21.06,21.06,21.06,21.06,12
"2",2018-08-01 00:41:00,21.06,21.06,21.06,21.06,83
"3",2018-08-01 00:44:00,21.01,21.01,21.01,21.01,100
"4",2018-08-01 00:48:00,21.06,21.06,21.06,21.06,50
"5",2018-08-01 00:51:00,21.06,21.06,21.06,21.06,350
"6",2018-08-01 02:43:00,21.04,21.04,21.04,21.04,100
"7",2018-08-01 02:49:00,21.06,21.06,21.06,21.06,205
"8",2018-08-01 11:46:00,21.08,21.08,21.08,21.08,66
"9",2018-08-01 12:35:00,20.76,20.76,20.76,20.76,4
"10",2018-08-01 14:23:00,21.05,21.05,21.05,21.05,1
"11",2018-08-01 16:12:00,20.91,20.91,20.91,20.91,514
"12",2018-08-01 16:16:00,20.89,20.89,20.89,20.89,10
"13",2018-08-01 16:30:00,20.81,20.81,20.81,20.81,500
"14",2018-08-01 16:31:00,20.81,20.82,20.71,20.73,4993
"15",2018-08-01 16:32:00,20.7,20.74,20.67,20.68,6107
"16",2018-08-01 16:33:00,20.68,20.68,20.64,20.65,10960
"17",2018-08-01 16:34:00,20.64,20.64,20.61,20.62,844
"18",2018-08-01 16:35:00,20.62,20.63,20.57,20.57,8395
"19",2018-08-01 16:36:00,20.56,20.56,20.47,20.47,6018
"20",2018-08-01 16:37:00,20.48,20.48,20.38,20.43,9144
"21",2018-08-01 16:38:00,20.42,20.49,20.39,20.48,14640
"22",2018-08-01 16:39:00,20.47,20.48,20.45,20.45,3708
"23",2018-08-01 16:40:00,20.46,20.48,20.43,20.44,4605
"24",2018-08-01 16:41:00,20.43,20.43,20.34,20.34,6790
"25",2018-08-01 16:42:00,20.34,20.37,20.33,20.34,7151
"26",2018-08-01 16:43:00,20.34,20.38,20.34,20.36,8600
"27",2018-08-01 16:44:00,20.36,20.36,20.35,20.35,5400
"28",2018-08-01 16:45:00,20.35,20.43,20.35,20.42,5587
"29",2018-08-01 16:46:00,20.41,20.41,20.34,20.35,6393
"30",2018-08-01 16:47:00,20.36,20.38,20.35,20.36,9843
"31",2018-08-01 16:48:00,20.36,20.38,20.36,20.38,12522
"32",2018-08-01 16:49:00,20.39,20.42,20.38,20.42,8105
"33",2018-08-01 16:50:00,20.41,20.41,20.4,20.4,4700
"34",2018-08-01 16:51:00,20.4,20.41,20.39,20.4,4804
"35",2018-08-01 16:52:00,20.4,20.41,20.38,20.38,7933
"36",2018-08-01 16:53:00,20.37,20.4,20.37,20.38,6840
"37",2018-08-01 16:54:00,20.39,20.39,20.36,20.36,2071
"38",2018-08-01 16:55:00,20.36,20.38,20.35,20.38,2584
