"","time","open","high","low","close","volume"
"1",2019-08-01 09:31:00,143.37,143.37,143.3,143.3,305
"2",2019-08-01 09:33:00,143.57,143.89,143.45,143.89,1736
"3",2019-08-01 09:34:00,143.69,143.79,143.64,143.79,900
"4",2019-08-01 09:35:00,143.73,143.86,143.73,143.86,590
"5",2019-08-01 09:36:00,143.93,144.05,143.89,144.05,1400
"6",2019-08-01 09:37:00,144.02,144.02,143.77,143.77,1284
"7",2019-08-01 09:38:00,143.81,143.87,143.81,143.82,800
"8",2019-08-01 09:40:00,143.91,144.18,143.91,144.14,3017
"9",2019-08-01 09:41:00,144.16,144.24,144.12,144.12,5025
"10",2019-08-01 09:42:00,144.07,144.19,144.07,144.16,1457
"11",2019-08-01 09:43:00,144.13,144.24,144.1,144.24,1597
"12",2019-08-01 09:44:00,144.25,144.33,144.15,144.22,3410
"13",2019-08-01 09:45:00,144.28,144.39,144.19,144.39,2900
"14",2019-08-01 09:46:00,144.32,144.36,144.21,144.28,2343
"15",2019-08-01 09:47:00,144.3,144.33,144.12,144.17,2200
"16",2019-08-01 09:48:00,144.21,144.21,144.1,144.1,900
"17",2019-08-01 09:49:00,144.1,144.25,144.1,144.23,1117
"18",2019-08-01 09:50:00,144.21,144.22,144.1,144.1,3168
"19",2019-08-01 09:51:00,144.08,144.18,144.05,144.15,1300
"20",2019-08-01 09:52:00,144.15,144.15,144.14,144.14,500
"21",2019-08-01 09:53:00,144.05,144.05,143.89,143.91,2450
"22",2019-08-01 09:54:00,143.89,143.91,143.855,143.855,700
"23",2019-08-01 09:55:00,143.79,143.86,143.73,143.74,1238
"24",2019-08-01 09:56:00,143.75,143.82,143.65,143.65,2432
"25",2019-08-01 09:57:00,143.63,143.74,143.63,143.7,500
"26",2019-08-01 09:58:00,143.66,143.73,143.66,143.73,563
"27",2019-08-01 09:59:00,143.63,143.69,143.62,143.63,2444
"28",2019-08-01 10:00:00,143.67,143.76,143.67,143.67,2290
"29",2019-08-01 10:01:00,143.67,143.77,143.61,143.77,2958
"30",2019-08-01 10:02:00,143.84,143.87,143.8,143.8,912
