"","time","open","high","low","close","volume"
"1",2019-08-01 00:39:00,9.5,9.5,9.5,9.5,1
"2",2019-08-01 00:44:00,9.5,9.5,9.5,9.5,4
"3",2019-08-01 00:47:00,9.5,9.5,9.5,9.5,1
"4",2019-08-01 00:49:00,9.5,9.5,9.5,9.5,1
"5",2019-08-01 00:50:00,9.5,9.5,9.5,9.5,1
"6",2019-08-01 00:54:00,9.5,9.5,9.5,9.5,1
"7",2019-08-01 00:57:00,9.5,9.5,9.5,9.5,1
"8",2019-08-01 00:58:00,9.5,9.5,9.5,9.5,1
"9",2019-08-01 00:59:00,9.52,9.52,9.52,9.52,1
"10",2019-08-01 01:14:00,9.49,9.49,9.49,9.49,84
"11",2019-08-01 01:22:00,9.49,9.49,9.49,9.49,300
"12",2019-08-01 10:05:00,9.53,9.53,9.53,9.53,5
"13",2019-08-01 10:07:00,9.53,9.53,9.53,9.53,1
"14",2019-08-01 10:10:00,9.53,9.53,9.53,9.53,2
"15",2019-08-01 10:21:00,9.56,9.56,9.56,9.56,3
"16",2019-08-01 10:22:00,9.55,9.55,9.55,9.55,2
"17",2019-08-01 10:26:00,9.53,9.53,9.44,9.44,12
"18",2019-08-01 10:27:00,9.55,9.55,9.55,9.55,2
"19",2019-08-01 10:38:00,9.54,9.54,9.54,9.54,1
"20",2019-08-01 10:40:00,9.54,9.54,9.54,9.54,2
"21",2019-08-01 10:44:00,9.54,9.54,9.54,9.54,13
"22",2019-08-01 10:46:00,9.54,9.54,9.54,9.54,6
"23",2019-08-01 11:00:00,9.47,9.55,9.47,9.55,21
"24",2019-08-01 11:23:00,9.53,9.53,9.53,9.53,1
"25",2019-08-01 11:24:00,9.53,9.53,9.53,9.53,9
"26",2019-08-01 11:29:00,9.52,9.52,9.52,9.52,1
"27",2019-08-01 11:34:00,9.53,9.53,9.53,9.53,2
"28",2019-08-01 11:38:00,9.52,9.52,9.49,9.49,6
"29",2019-08-01 11:41:00,9.53,9.53,9.53,9.53,3
"30",2019-08-01 12:02:00,9.55,9.55,9.55,9.55,1
"31",2019-08-01 12:19:00,9.56,9.56,9.56,9.56,5
"32",2019-08-01 12:34:00,9.56,9.56,9.56,9.56,1
"33",2019-08-01 13:15:00,9.56,9.56,9.56,9.56,1
"34",2019-08-01 13:17:00,9.56,9.56,9.56,9.56,1
"35",2019-08-01 13:26:00,9.56,9.56,9.56,9.56,8
"36",2019-08-01 13:29:00,9.56,9.56,9.56,9.56,3
"37",2019-08-01 13:35:00,9.56,9.56,9.56,9.56,3
"38",2019-08-01 13:38:00,9.56,9.56,9.56,9.56,50
"39",2019-08-01 13:41:00,9.56,9.56,9.56,9.56,4
"40",2019-08-01 13:43:00,9.56,9.56,9.56,9.56,1
"41",2019-08-01 13:44:00,9.56,9.56,9.56,9.56,1
"42",2019-08-01 14:12:00,9.56,9.56,9.56,9.56,11
"43",2019-08-01 14:18:00,9.56,9.56,9.56,9.56,3
"44",2019-08-01 14:22:00,9.56,9.56,9.56,9.56,7
"45",2019-08-01 14:41:00,9.54,9.54,9.54,9.54,6
"46",2019-08-01 14:50:00,9.54,9.54,9.54,9.54,2
"47",2019-08-01 14:51:00,9.54,9.54,9.54,9.54,1
"48",2019-08-01 15:01:00,9.55,9.56,9.55,9.56,673
"49",2019-08-01 15:02:00,9.58,9.59,9.57,9.59,6680
"50",2019-08-01 15:03:00,9.56,9.56,9.54,9.54,500
"51",2019-08-01 15:05:00,9.53,9.53,9.53,9.53,9
"52",2019-08-01 15:07:00,9.53,9.53,9.52,9.52,88
"53",2019-08-01 15:08:00,9.53,9.53,9.53,9.53,100
"54",2019-08-01 15:09:00,9.55,9.55,9.55,9.55,552
"55",2019-08-01 15:10:00,9.55,9.56,9.55,9.56,4400
"56",2019-08-01 15:16:00,9.55,9.55,9.55,9.55,100
"57",2019-08-01 15:19:00,9.55,9.55,9.55,9.55,100
"58",2019-08-01 15:21:00,9.53,9.53,9.53,9.53,100
"59",2019-08-01 15:32:00,9.52,9.52,9.52,9.52,6
"60",2019-08-01 15:39:00,9.52,9.52,9.52,9.52,100
"61",2019-08-01 15:45:00,9.53,9.54,9.53,9.54,10
"62",2019-08-01 15:51:00,9.53,9.53,9.52,9.52,200
"63",2019-08-01 15:54:00,9.52,9.52,9.52,9.52,1300
"64",2019-08-01 15:55:00,9.51,9.52,9.51,9.52,1465
"65",2019-08-01 16:04:00,9.51,9.52,9.51,9.52,500
"66",2019-08-01 16:07:00,9.53,9.53,9.53,9.53,71
"67",2019-08-01 16:08:00,9.53,9.53,9.52,9.52,300
"68",2019-08-01 16:09:00,9.52,9.52,9.52,9.52,100
"69",2019-08-01 16:13:00,9.53,9.53,9.53,9.53,833
"70",2019-08-01 16:14:00,9.53,9.53,9.53,9.53,219
"71",2019-08-01 16:16:00,9.54,9.54,9.54,9.54,4
"72",2019-08-01 16:27:00,9.52,9.52,9.52,9.52,100
"73",2019-08-01 16:30:00,9.52,9.52,9.52,9.52,1000
"74",2019-08-01 16:31:00,9.52,9.54,9.52,9.54,1456
"75",2019-08-01 16:32:00,9.52,9.54,9.52,9.54,8419
"76",2019-08-01 16:33:00,9.53,9.54,9.52,9.54,9228
"77",2019-08-01 16:34:00,9.53,9.54,9.53,9.54,20180
"78",2019-08-01 16:35:00,9.54,9.54,9.52,9.52,8561
"79",2019-08-01 16:36:00,9.51,9.51,9.5,9.5,44485
"80",2019-08-01 16:37:00,9.5,9.51,9.5,9.5,62001
"81",2019-08-01 16:38:00,9.5,9.5,9.48,9.48,26719
"82",2019-08-01 16:39:00,9.49,9.49,9.48,9.49,18306
"83",2019-08-01 16:40:00,9.5,9.52,9.5,9.52,59851
"84",2019-08-01 16:41:00,9.51,9.51,9.51,9.51,10052
"85",2019-08-01 16:42:00,9.52,9.55,9.52,9.54,37532
"86",2019-08-01 16:43:00,9.53,9.55,9.52,9.55,19640
"87",2019-08-01 16:44:00,9.56,9.56,9.56,9.56,15592
"88",2019-08-01 16:45:00,9.56,9.56,9.55,9.56,13216
"89",2019-08-01 16:46:00,9.56,9.56,9.54,9.54,44800
"90",2019-08-01 16:47:00,9.54,9.56,9.54,9.56,12649
"91",2019-08-01 16:48:00,9.56,9.59,9.56,9.58,49318
"92",2019-08-01 16:49:00,9.58,9.58,9.58,9.58,597
"93",2019-08-01 16:50:00,9.58,9.58,9.56,9.58,10452
"94",2019-08-01 16:51:00,9.58,9.58,9.56,9.56,31192
"95",2019-08-01 16:52:00,9.56,9.58,9.56,9.57,11158
"96",2019-08-01 16:53:00,9.57,9.57,9.56,9.56,18392
"97",2019-08-01 16:54:00,9.56,9.56,9.54,9.54,10167
"98",2019-08-01 16:55:00,9.54,9.56,9.54,9.54,31250
"99",2019-08-01 16:56:00,9.55,9.56,9.54,9.56,13001
"100",2019-08-01 16:57:00,9.56,9.56,9.54,9.56,25874
"101",2019-08-01 16:58:00,9.56,9.56,9.56,9.56,12096
"102",2019-08-01 16:59:00,9.56,9.56,9.56,9.56,500
"103",2019-08-01 17:00:00,9.56,9.56,9.56,9.56,12270
"104",2019-08-01 17:01:00,9.55,9.56,9.55,9.55,4400
"105",2019-08-01 17:02:00,9.56,9.56,9.54,9.54,7215
"106",2019-08-01 17:03:00,9.54,9.54,9.54,9.54,29600
"107",2019-08-01 17:05:00,9.54,9.54,9.54,9.54,6000
"108",2019-08-01 17:06:00,9.54,9.54,9.54,9.54,18337
"109",2019-08-01 17:07:00,9.54,9.55,9.54,9.54,7661
"110",2019-08-01 17:08:00,9.55,9.55,9.54,9.54,28341
"111",2019-08-01 17:09:00,9.54,9.54,9.54,9.54,7551
"112",2019-08-01 17:10:00,9.54,9.54,9.54,9.54,22433
"113",2019-08-01 17:11:00,9.54,9.55,9.54,9.54,5101
"114",2019-08-01 17:12:00,9.54,9.54,9.54,9.54,37972
"115",2019-08-01 17:13:00,9.54,9.54,9.54,9.54,4896
"116",2019-08-01 17:14:00,9.54,9.54,9.54,9.54,4800
"117",2019-08-01 17:15:00,9.53,9.53,9.52,9.52,16527
"118",2019-08-01 17:16:00,9.52,9.52,9.52,9.52,1100
"119",2019-08-01 17:17:00,9.52,9.52,9.52,9.52,13697
"120",2019-08-01 17:18:00,9.52,9.52,9.52,9.52,2200
"121",2019-08-01 17:19:00,9.52,9.53,9.52,9.52,6700
"122",2019-08-01 17:20:00,9.52,9.52,9.52,9.52,15082
"123",2019-08-01 17:21:00,9.52,9.52,9.5,9.5,11351
"124",2019-08-01 17:22:00,9.5,9.5,9.5,9.5,5101
"125",2019-08-01 17:23:00,9.5,9.51,9.5,9.5,3602
"126",2019-08-01 17:24:00,9.5,9.52,9.5,9.52,31193
"127",2019-08-01 17:25:00,9.52,9.52,9.51,9.52,4420
"128",2019-08-01 17:26:00,9.52,9.52,9.51,9.51,3200
"129",2019-08-01 17:27:00,9.52,9.52,9.52,9.52,7800
"130",2019-08-01 17:28:00,9.52,9.52,9.52,9.52,17000
"131",2019-08-01 17:29:00,9.52,9.52,9.52,9.52,3200
"132",2019-08-01 17:30:00,9.52,9.53,9.52,9.52,8900
"133",2019-08-01 17:31:00,9.52,9.53,9.52,9.53,16644
"134",2019-08-01 17:32:00,9.52,9.53,9.52,9.52,68448
"135",2019-08-01 17:33:00,9.53,9.54,9.52,9.52,67283
"136",2019-08-01 17:34:00,9.53,9.54,9.52,9.53,27599
"137",2019-08-01 17:35:00,9.54,9.54,9.54,9.54,22642
"138",2019-08-01 17:36:00,9.54,9.54,9.54,9.54,20188
"139",2019-08-01 17:38:00,9.54,9.54,9.52,9.53,17294
"140",2019-08-01 17:39:00,9.52,9.53,9.52,9.52,1020
"141",2019-08-01 17:40:00,9.52,9.52,9.52,9.52,3053
"142",2019-08-01 17:41:00,9.53,9.53,9.52,9.52,700
"143",2019-08-01 17:42:00,9.53,9.53,9.52,9.52,2210
"144",2019-08-01 17:43:00,9.52,9.53,9.52,9.53,3401
"145",2019-08-01 17:44:00,9.52,9.52,9.52,9.52,1400
"146",2019-08-01 17:45:00,9.52,9.52,9.52,9.52,22493
"147",2019-08-01 17:46:00,9.52,9.54,9.52,9.53,81070
"148",2019-08-01 17:47:00,9.54,9.54,9.54,9.54,3395
"149",2019-08-01 17:48:00,9.54,9.54,9.52,9.52,10684
"150",2019-08-01 17:49:00,9.52,9.54,9.52,9.54,23252
"151",2019-08-01 17:50:00,9.54,9.54,9.54,9.54,200
"152",2019-08-01 17:51:00,9.54,9.54,9.54,9.54,1600
"153",2019-08-01 17:52:00,9.53,9.53,9.52,9.52,8025
"154",2019-08-01 17:53:00,9.52,9.53,9.52,9.53,52639
"155",2019-08-01 17:54:00,9.52,9.53,9.52,9.52,1200
"156",2019-08-01 17:55:00,9.53,9.54,9.53,9.54,22711
"157",2019-08-01 17:56:00,9.54,9.54,9.53,9.54,3903
"158",2019-08-01 17:57:00,9.54,9.54,9.54,9.54,4200
"159",2019-08-01 17:58:00,9.54,9.54,9.52,9.52,20279
"160",2019-08-01 17:59:00,9.52,9.54,9.52,9.54,27904
"161",2019-08-01 18:00:00,9.54,9.54,9.54,9.54,6000
"162",2019-08-01 18:01:00,9.54,9.54,9.54,9.54,3300
"163",2019-08-01 18:02:00,9.54,9.54,9.54,9.54,8100
"164",2019-08-01 18:03:00,9.54,9.54,9.53,9.54,5559
"165",2019-08-01 18:04:00,9.54,9.54,9.52,9.52,9640
"166",2019-08-01 18:05:00,9.52,9.53,9.52,9.52,3200
"167",2019-08-01 18:06:00,9.52,9.53,9.52,9.52,1600
"168",2019-08-01 18:07:00,9.53,9.53,9.52,9.52,500
"169",2019-08-01 18:08:00,9.52,9.52,9.52,9.52,200
"170",2019-08-01 18:09:00,9.53,9.54,9.53,9.54,30748
"171",2019-08-01 18:10:00,9.54,9.54,9.54,9.54,26425
"172",2019-08-01 18:11:00,9.54,9.54,9.54,9.54,7000
"173",2019-08-01 18:12:00,9.54,9.54,9.54,9.54,2500
"174",2019-08-01 18:13:00,9.54,9.55,9.54,9.54,6660
"175",2019-08-01 18:14:00,9.54,9.54,9.54,9.54,4747
"176",2019-08-01 18:15:00,9.54,9.54,9.54,9.54,26973
"177",2019-08-01 18:16:00,9.54,9.54,9.54,9.54,2300
"178",2019-08-01 18:17:00,9.54,9.54,9.54,9.54,2900
