"","time","open","high","low","close","volume"
"1",2019-08-01 00:12:00,11.06,11.06,11.06,11.06,3
"2",2019-08-01 01:29:00,11.08,11.08,11.08,11.08,6
"3",2019-08-01 02:22:00,11.05,11.05,11.05,11.05,52
"4",2019-08-01 10:41:00,11.16,11.16,11.16,11.16,1
"5",2019-08-01 11:00:00,11.17,11.17,11.17,11.17,94
"6",2019-08-01 11:24:00,11.13,11.13,11.13,11.13,5
"7",2019-08-01 12:30:00,11.16,11.16,11.16,11.16,1
"8",2019-08-01 12:33:00,11.08,11.08,11.08,11.08,26
"9",2019-08-01 13:21:00,11.07,11.07,11.07,11.07,1
"10",2019-08-01 13:35:00,11.17,11.18,11.17,11.18,7
"11",2019-08-01 14:01:00,11.07,11.07,11.03,11.03,117
"12",2019-08-01 14:10:00,11,11,11,11,2
"13",2019-08-01 14:28:00,11.03,11.03,11.03,11.03,108
"14",2019-08-01 14:32:00,11.06,11.06,11.06,11.06,4
"15",2019-08-01 14:37:00,11,11,11,11,500
"16",2019-08-01 15:00:00,10.98,10.98,10.94,10.94,14
"17",2019-08-01 15:15:00,10.99,10.99,10.99,10.99,500
"18",2019-08-01 15:24:00,10.99,10.99,10.99,10.99,500
"19",2019-08-01 15:26:00,10.99,10.99,10.99,10.99,10
"20",2019-08-01 15:52:00,10.94,10.94,10.93,10.93,20
"21",2019-08-01 16:03:00,10.99,10.99,10.99,10.99,100
"22",2019-08-01 16:07:00,11,11,11,11,5
"23",2019-08-01 16:10:00,10.98,10.98,10.98,10.98,5002
"24",2019-08-01 16:11:00,10.99,10.99,10.99,10.99,100
"25",2019-08-01 16:12:00,10.97,10.97,10.96,10.96,1300
"26",2019-08-01 16:16:00,10.99,10.99,10.99,10.99,100
"27",2019-08-01 16:18:00,10.98,10.98,10.98,10.98,800
"28",2019-08-01 16:23:00,10.99,10.99,10.99,10.99,2
"29",2019-08-01 16:29:00,11,11,11,11,1
"30",2019-08-01 16:31:00,10.93,10.93,10.74,10.83,25912
"31",2019-08-01 16:32:00,10.84,10.88,10.84,10.88,4369
"32",2019-08-01 16:33:00,10.87,10.94,10.87,10.91,19593
"33",2019-08-01 16:34:00,10.91,10.93,10.88,10.89,14379
"34",2019-08-01 16:35:00,10.9,10.94,10.9,10.92,10623
"35",2019-08-01 16:36:00,10.91,10.91,10.9,10.91,8752
"36",2019-08-01 16:37:00,10.9,10.9,10.88,10.89,6178
"37",2019-08-01 16:38:00,10.88,10.88,10.83,10.83,12925
"38",2019-08-01 16:39:00,10.83,10.85,10.83,10.85,4257
"39",2019-08-01 16:40:00,10.85,10.86,10.84,10.85,10542
"40",2019-08-01 16:41:00,10.84,10.86,10.82,10.82,1060
"41",2019-08-01 16:42:00,10.83,10.85,10.83,10.84,2671
"42",2019-08-01 16:43:00,10.86,10.9,10.86,10.9,3569
"43",2019-08-01 16:44:00,10.89,10.89,10.86,10.86,2773
"44",2019-08-01 16:45:00,10.85,10.85,10.84,10.85,710
"45",2019-08-01 16:46:00,10.86,10.89,10.86,10.89,2757
"46",2019-08-01 16:47:00,10.9,10.94,10.9,10.94,18389
"47",2019-08-01 16:48:00,10.94,10.95,10.94,10.95,5944
"48",2019-08-01 16:49:00,10.94,10.95,10.93,10.93,2680
"49",2019-08-01 16:50:00,10.93,10.93,10.9,10.9,5280
"50",2019-08-01 16:51:00,10.89,10.9,10.88,10.89,3244
"51",2019-08-01 16:52:00,10.88,10.9,10.88,10.9,1808
"52",2019-08-01 16:53:00,10.9,10.9,10.89,10.89,3304
"53",2019-08-01 16:54:00,10.88,10.88,10.86,10.86,14390
"54",2019-08-01 16:55:00,10.85,10.85,10.84,10.84,5280
"55",2019-08-01 16:56:00,10.83,10.83,10.8,10.8,10514
"56",2019-08-01 16:57:00,10.8,10.83,10.79,10.83,9191
"57",2019-08-01 16:58:00,10.83,10.85,10.83,10.84,3168
"58",2019-08-01 16:59:00,10.84,10.84,10.83,10.83,2001
"59",2019-08-01 17:00:00,10.82,10.82,10.81,10.81,1100
"60",2019-08-01 17:01:00,10.82,10.86,10.82,10.86,2975
"61",2019-08-01 17:02:00,10.88,10.88,10.85,10.85,2802
"62",2019-08-01 17:03:00,10.86,10.88,10.86,10.86,3934
"63",2019-08-01 17:04:00,10.86,10.88,10.86,10.88,1495
"64",2019-08-01 17:05:00,10.88,10.9,10.87,10.9,5087
"65",2019-08-01 17:06:00,10.9,10.91,10.9,10.91,12047
"66",2019-08-01 17:07:00,10.91,10.92,10.91,10.92,18312
"67",2019-08-01 17:08:00,10.91,10.92,10.9,10.92,6530
"68",2019-08-01 17:09:00,10.92,10.92,10.91,10.91,2850
"69",2019-08-01 17:10:00,10.91,10.92,10.91,10.92,1861
"70",2019-08-01 17:11:00,10.93,10.94,10.93,10.93,2668
"71",2019-08-01 17:12:00,10.93,10.93,10.92,10.92,2314
"72",2019-08-01 17:13:00,10.92,10.94,10.92,10.94,1323
"73",2019-08-01 17:14:00,10.94,10.94,10.92,10.92,6119
"74",2019-08-01 17:15:00,10.93,10.94,10.93,10.93,6191
"75",2019-08-01 17:16:00,10.93,10.96,10.93,10.94,12011
"76",2019-08-01 17:17:00,10.94,10.95,10.93,10.93,2576
"77",2019-08-01 17:18:00,10.93,10.93,10.92,10.92,10700
"78",2019-08-01 17:19:00,10.92,10.94,10.92,10.94,8591
"79",2019-08-01 17:20:00,10.94,10.94,10.94,10.94,900
"80",2019-08-01 17:21:00,10.94,10.95,10.94,10.95,302
"81",2019-08-01 17:22:00,10.95,10.95,10.95,10.95,3868
"82",2019-08-01 17:23:00,10.96,10.97,10.96,10.97,2491
"83",2019-08-01 17:24:00,10.97,10.98,10.96,10.96,29903
"84",2019-08-01 17:25:00,10.96,10.96,10.96,10.96,200
"85",2019-08-01 17:26:00,10.96,10.96,10.95,10.95,1612
"86",2019-08-01 17:28:00,10.95,10.95,10.94,10.94,8673
"87",2019-08-01 17:29:00,10.95,10.95,10.95,10.95,2500
"88",2019-08-01 17:30:00,10.95,10.95,10.95,10.95,400
"89",2019-08-01 17:32:00,10.96,10.96,10.96,10.96,7016
"90",2019-08-01 17:33:00,10.96,10.97,10.96,10.97,802
"91",2019-08-01 17:34:00,10.97,10.98,10.96,10.98,9200
"92",2019-08-01 17:35:00,10.98,10.98,10.98,10.98,1943
"93",2019-08-01 17:36:00,10.98,10.98,10.96,10.97,13795
"94",2019-08-01 17:38:00,10.98,10.98,10.98,10.98,1400
"95",2019-08-01 17:39:00,10.98,10.99,10.98,10.99,7083
"96",2019-08-01 17:40:00,11,11,11,11,3076
"97",2019-08-01 17:41:00,10.99,10.99,10.99,10.99,687
"98",2019-08-01 17:42:00,11,11,11,11,17
"99",2019-08-01 17:43:00,10.99,11,10.99,11,7095
"100",2019-08-01 17:44:00,11.01,11.02,11.01,11.02,2730
