"","time","open","high","low","close","volume"
"1",2019-08-01 09:31:00,10.35,10.355,10.33,10.33,15294
"2",2019-08-01 09:32:00,10.33,10.38,10.33,10.36,7409
"3",2019-08-01 09:33:00,10.35,10.36,10.31,10.36,3200
"4",2019-08-01 09:34:00,10.36,10.39,10.36,10.39,4626
"5",2019-08-01 09:35:00,10.39,10.42,10.39,10.42,23350
"6",2019-08-01 09:36:00,10.42,10.42,10.4,10.4,4400
"7",2019-08-01 09:37:00,10.4,10.42,10.39,10.42,8374
"8",2019-08-01 09:38:00,10.415,10.43,10.415,10.43,15574
"9",2019-08-01 09:39:00,10.44,10.48,10.44,10.47,24617
"10",2019-08-01 09:40:00,10.47,10.47,10.45,10.45,8654
"11",2019-08-01 09:41:00,10.43,10.43,10.365,10.39,29960
"12",2019-08-01 09:42:00,10.4,10.43,10.4,10.42,8312
"13",2019-08-01 09:43:00,10.42,10.44,10.42,10.42,7886
"14",2019-08-01 09:44:00,10.41,10.42,10.41,10.42,800
"15",2019-08-01 09:45:00,10.405,10.41,10.4,10.4,8680
"16",2019-08-01 09:46:00,10.405,10.42,10.39,10.42,11193
"17",2019-08-01 09:47:00,10.43,10.43,10.43,10.43,2666
"18",2019-08-01 09:48:00,10.44,10.455,10.44,10.45,3955
"19",2019-08-01 09:49:00,10.45,10.46,10.44,10.44,1837
"20",2019-08-01 09:50:00,10.445,10.45,10.43,10.45,7348
"21",2019-08-01 09:51:00,10.445,10.455,10.44,10.44,19006
"22",2019-08-01 09:52:00,10.445,10.45,10.435,10.45,15996
"23",2019-08-01 09:53:00,10.45,10.46,10.45,10.46,4190
"24",2019-08-01 09:54:00,10.46,10.46,10.445,10.45,2200
"25",2019-08-01 09:55:00,10.44,10.465,10.44,10.465,48850
"26",2019-08-01 09:56:00,10.46,10.46,10.445,10.445,800
"27",2019-08-01 09:57:00,10.435,10.44,10.435,10.44,3400
"28",2019-08-01 09:59:00,10.445,10.45,10.44,10.45,2200
"29",2019-08-01 10:00:00,10.445,10.445,10.44,10.44,9226
"30",2019-08-01 10:01:00,10.44,10.44,10.435,10.435,1448
"31",2019-08-01 10:02:00,10.435,10.44,10.425,10.43,1600
"32",2019-08-01 10:03:00,10.42,10.43,10.42,10.43,1800
"33",2019-08-01 10:05:00,10.43,10.43,10.43,10.43,3000
"34",2019-08-01 10:06:00,10.44,10.45,10.39,10.41,51453
"35",2019-08-01 10:07:00,10.405,10.42,10.405,10.42,6567
"36",2019-08-01 10:08:00,10.42,10.43,10.42,10.43,4898
"37",2019-08-01 10:09:00,10.425,10.44,10.425,10.44,15300
"38",2019-08-01 10:10:00,10.44,10.44,10.435,10.44,4404
"39",2019-08-01 10:11:00,10.44,10.45,10.44,10.45,4396
"40",2019-08-01 10:12:00,10.455,10.455,10.445,10.445,7550
"41",2019-08-01 10:13:00,10.445,10.45,10.445,10.45,2025
"42",2019-08-01 10:14:00,10.445,10.445,10.435,10.435,3127
"43",2019-08-01 10:15:00,10.44,10.44,10.43,10.43,6000
"44",2019-08-01 10:17:00,10.43,10.435,10.43,10.435,7762
"45",2019-08-01 10:18:00,10.44,10.44,10.43,10.43,9169
"46",2019-08-01 10:19:00,10.43,10.435,10.43,10.435,2390
"47",2019-08-01 10:20:00,10.435,10.435,10.42,10.42,700
"48",2019-08-01 10:21:00,10.41,10.41,10.39,10.39,4902
"49",2019-08-01 10:22:00,10.37,10.37,10.355,10.355,8000
"50",2019-08-01 10:23:00,10.36,10.38,10.355,10.37,12150
"51",2019-08-01 10:24:00,10.365,10.365,10.365,10.365,600
"52",2019-08-01 10:25:00,10.36,10.36,10.355,10.36,3500
"53",2019-08-01 10:26:00,10.36,10.36,10.355,10.355,990
"54",2019-08-01 10:27:00,10.355,10.37,10.355,10.365,19080
"55",2019-08-01 10:28:00,10.37,10.37,10.37,10.37,1900
"56",2019-08-01 10:29:00,10.375,10.375,10.37,10.37,11912
"57",2019-08-01 10:30:00,10.38,10.385,10.38,10.38,4734
"58",2019-08-01 10:31:00,10.375,10.38,10.375,10.38,900
"59",2019-08-01 10:32:00,10.38,10.385,10.38,10.385,2820
"60",2019-08-01 10:33:00,10.38,10.39,10.38,10.38,3300
"61",2019-08-01 10:34:00,10.375,10.38,10.37,10.38,5662
"62",2019-08-01 10:35:00,10.38,10.38,10.36,10.36,5600
"63",2019-08-01 10:36:00,10.36,10.36,10.355,10.355,9335
"64",2019-08-01 10:37:00,10.36,10.36,10.355,10.355,14083
"65",2019-08-01 10:38:00,10.355,10.355,10.355,10.355,900
"66",2019-08-01 10:39:00,10.355,10.355,10.34,10.345,7977
"67",2019-08-01 10:41:00,10.345,10.35,10.345,10.35,5794
"68",2019-08-01 10:43:00,10.355,10.355,10.355,10.355,100
"69",2019-08-01 10:44:00,10.36,10.36,10.355,10.355,6800
"70",2019-08-01 10:45:00,10.35,10.35,10.35,10.35,10850
"71",2019-08-01 10:46:00,10.33,10.33,10.32,10.32,1200
"72",2019-08-01 10:47:00,10.33,10.33,10.325,10.33,12458
"73",2019-08-01 10:48:00,10.33,10.33,10.325,10.325,4000
"74",2019-08-01 10:49:00,10.33,10.34,10.33,10.34,1443
"75",2019-08-01 10:50:00,10.33,10.33,10.33,10.33,800
"76",2019-08-01 10:51:00,10.335,10.35,10.335,10.35,2986
"77",2019-08-01 10:53:00,10.34,10.34,10.34,10.34,200
"78",2019-08-01 10:54:00,10.34,10.345,10.34,10.345,2272
"79",2019-08-01 10:55:00,10.355,10.355,10.355,10.355,1244
"80",2019-08-01 10:56:00,10.355,10.355,10.355,10.355,609
"81",2019-08-01 10:57:00,10.355,10.355,10.355,10.355,631
"82",2019-08-01 10:58:00,10.34,10.34,10.335,10.335,2805
"83",2019-08-01 10:59:00,10.335,10.355,10.335,10.355,1720
"84",2019-08-01 11:00:00,10.355,10.36,10.35,10.35,8000
"85",2019-08-01 11:01:00,10.355,10.355,10.355,10.355,204
"86",2019-08-01 11:02:00,10.355,10.355,10.355,10.355,781
"87",2019-08-01 11:03:00,10.35,10.36,10.345,10.36,14646
"88",2019-08-01 11:04:00,10.36,10.36,10.36,10.36,6041
"89",2019-08-01 11:05:00,10.36,10.365,10.355,10.36,28134
"90",2019-08-01 11:06:00,10.36,10.36,10.36,10.36,100
"91",2019-08-01 11:08:00,10.37,10.37,10.37,10.37,200
"92",2019-08-01 11:10:00,10.365,10.365,10.365,10.365,100
"93",2019-08-01 11:12:00,10.365,10.365,10.365,10.365,100
"94",2019-08-01 11:13:00,10.365,10.365,10.36,10.36,800
"95",2019-08-01 11:14:00,10.36,10.36,10.36,10.36,900
"96",2019-08-01 11:15:00,10.365,10.365,10.36,10.36,11900
"97",2019-08-01 11:16:00,10.35,10.355,10.345,10.355,12000
"98",2019-08-01 11:18:00,10.35,10.35,10.34,10.34,1200
"99",2019-08-01 11:19:00,10.34,10.34,10.34,10.34,2600
"100",2019-08-01 11:20:00,10.33,10.33,10.33,10.33,200
"101",2019-08-01 11:21:00,10.335,10.335,10.33,10.33,400
"102",2019-08-01 11:23:00,10.335,10.335,10.33,10.33,900
"103",2019-08-01 11:24:00,10.325,10.325,10.325,10.325,400
"104",2019-08-01 11:25:00,10.315,10.315,10.315,10.315,700
"105",2019-08-01 11:27:00,10.31,10.315,10.31,10.315,1968
"106",2019-08-01 11:28:00,10.31,10.31,10.305,10.305,6320
