"","time","open","high","low","close","volume"
"1",2019-08-01 00:01:00,69.59,69.62,69.59,69.62,63
"2",2019-08-01 00:02:00,69.64,69.64,69.64,69.64,10
"3",2019-08-01 00:03:00,69.56,69.56,69.56,69.56,1
"4",2019-08-01 00:04:00,69.55,69.55,68.86,68.86,14575
"5",2019-08-01 00:05:00,69.28,69.28,68.85,68.85,2447
"6",2019-08-01 00:06:00,69,69,68.85,68.87,556
"7",2019-08-01 00:07:00,68.9,68.98,68.9,68.98,101
"8",2019-08-01 00:08:00,69,69,68.9,68.9,145
"9",2019-08-01 00:09:00,69.56,69.56,68.85,68.85,507
"10",2019-08-01 00:10:00,68.85,68.85,68.5,68.5,3781
"11",2019-08-01 00:11:00,68.87,68.87,68.87,68.87,35
"12",2019-08-01 00:12:00,68.87,69,68.82,69,2330
"13",2019-08-01 00:13:00,68.9,69.02,68.9,69.02,105
"14",2019-08-01 00:16:00,69.35,69.5,69.35,69.5,4650
"15",2019-08-01 00:17:00,69.35,69.5,69.28,69.28,958
"16",2019-08-01 00:18:00,69.2,69.2,69.2,69.2,10
"17",2019-08-01 00:19:00,69.35,69.35,69.35,69.35,4
"18",2019-08-01 00:21:00,69.3,69.3,69.3,69.3,8
"19",2019-08-01 00:22:00,69.28,69.32,69.28,69.32,212
"20",2019-08-01 00:23:00,69.31,69.38,69.23,69.38,145
"21",2019-08-01 00:24:00,69.21,69.38,69.21,69.38,52
"22",2019-08-01 00:25:00,69,69,68.9,68.9,547
"23",2019-08-01 00:26:00,69.35,69.35,69.35,69.35,2
"24",2019-08-01 00:27:00,69.35,69.5,69.35,69.5,293
"25",2019-08-01 00:28:00,69.5,69.5,69.4,69.4,200
"26",2019-08-01 00:29:00,69.4,69.4,69.38,69.38,406
"27",2019-08-01 00:30:00,69.5,69.5,69.4,69.4,1162
"28",2019-08-01 00:31:00,69.35,69.43,69.35,69.43,609
"29",2019-08-01 00:32:00,69.51,69.6,69.51,69.6,800
"30",2019-08-01 00:34:00,69.54,70,69.54,70,2
"31",2019-08-01 00:35:00,69.54,69.54,69.54,69.54,11
"32",2019-08-01 00:36:00,69.54,69.54,69.52,69.52,455
"33",2019-08-01 00:37:00,69.52,69.52,69.52,69.52,900
"34",2019-08-01 00:38:00,69.6,69.6,69.6,69.6,107
"35",2019-08-01 00:39:00,69.52,69.52,69.52,69.52,915
"36",2019-08-01 00:40:00,69.6,69.6,69.52,69.52,123
"37",2019-08-01 00:41:00,69.52,69.56,69.52,69.56,745
"38",2019-08-01 00:42:00,69.62,69.63,69.62,69.63,900
"39",2019-08-01 00:44:00,69.63,69.63,69.63,69.63,100
"40",2019-08-01 00:45:00,69.52,69.53,69.52,69.53,613
"41",2019-08-01 00:47:00,69.73,69.73,69.73,69.73,100
"42",2019-08-01 00:48:00,69.56,69.56,69.56,69.56,79
"43",2019-08-01 00:51:00,69.53,69.53,69.53,69.53,100
"44",2019-08-01 00:52:00,69.72,69.72,69.72,69.72,10
"45",2019-08-01 00:54:00,69.65,69.65,69.65,69.65,124
"46",2019-08-01 00:55:00,69.53,69.53,69.52,69.52,1300
"47",2019-08-01 00:56:00,69.52,69.65,69.52,69.65,407
"48",2019-08-01 00:57:00,69.62,69.62,69.62,69.62,1
"49",2019-08-01 00:58:00,69.7,69.7,69.7,69.7,1
"50",2019-08-01 00:59:00,69.69,69.69,69.69,69.69,1
"51",2019-08-01 01:01:00,69.71,69.71,69.62,69.62,108
"52",2019-08-01 01:02:00,69.62,69.62,69.6,69.6,354
"53",2019-08-01 01:03:00,69.6,69.6,69.6,69.6,800
"54",2019-08-01 01:06:00,69.6,69.6,69.6,69.6,35
"55",2019-08-01 01:16:00,69.6,69.6,69.6,69.6,1
"56",2019-08-01 01:17:00,69.6,69.6,69.6,69.6,111
