"","time","open","high","low","close","volume"
"1",2019-08-01 00:06:00,241.43,241.43,241.43,241.43,5
"2",2019-08-01 00:07:00,241.4,241.5,241.4,241.5,5
"3",2019-08-01 00:09:00,241.5,241.5,241.5,241.5,1
"4",2019-08-01 00:10:00,241.36,241.36,241.36,241.36,2
"5",2019-08-01 00:12:00,241.37,241.37,241.36,241.36,176
"6",2019-08-01 00:14:00,241.28,241.28,241.28,241.28,21
"7",2019-08-01 00:15:00,241.28,241.28,241.28,241.28,150
"8",2019-08-01 00:17:00,241.34,241.34,241.34,241.34,20
"9",2019-08-01 00:19:00,241.36,241.36,241.36,241.36,236
"10",2019-08-01 00:21:00,241.38,241.38,241.38,241.38,7
"11",2019-08-01 00:23:00,241.38,241.38,241.38,241.38,103
"12",2019-08-01 00:24:00,241.38,241.38,241.38,241.38,150
"13",2019-08-01 00:25:00,241.39,241.39,241.39,241.39,100
"14",2019-08-01 00:29:00,241.6,241.6,241.6,241.6,29
"15",2019-08-01 00:31:00,241.42,241.42,241.42,241.42,2
"16",2019-08-01 00:33:00,241.5,241.5,241.5,241.5,2
"17",2019-08-01 00:35:00,241.6,241.61,241.6,241.61,337
"18",2019-08-01 00:36:00,241.5,241.56,241.5,241.5,51
"19",2019-08-01 00:38:00,241.59,241.59,241.59,241.59,1
"20",2019-08-01 00:39:00,242,242.07,242,242.07,27
"21",2019-08-01 00:40:00,242.07,242.07,242.07,242.07,13
"22",2019-08-01 00:42:00,241.98,241.98,241.98,241.98,2
"23",2019-08-01 00:43:00,241.97,241.97,241.97,241.97,5
"24",2019-08-01 00:58:00,241.42,241.42,241.42,241.42,100
"25",2019-08-01 00:59:00,241.42,241.61,241.42,241.61,26
"26",2019-08-01 01:00:00,241.41,241.41,241.4,241.4,100
"27",2019-08-01 01:01:00,241.4,241.4,241.4,241.4,935
"28",2019-08-01 01:03:00,241.25,241.25,241.25,241.25,1
"29",2019-08-01 01:05:00,241.11,241.11,241.1,241.1,200
"30",2019-08-01 01:07:00,241.06,241.06,241,241,365
"31",2019-08-01 01:08:00,241,241,241,241,15
"32",2019-08-01 01:09:00,241.03,241.03,241.03,241.03,85
"33",2019-08-01 01:19:00,240.72,240.72,240.72,240.72,285
"34",2019-08-01 01:20:00,240.72,240.72,240.72,240.72,200
"35",2019-08-01 01:21:00,240.73,240.73,240.73,240.73,20
"36",2019-08-01 01:27:00,240.83,240.83,240.83,240.83,1
"37",2019-08-01 01:33:00,241.48,241.48,241.48,241.48,1
"38",2019-08-01 01:40:00,241.1,241.1,241.1,241.1,100
