"","time","open","high","low","close","volume"
"1",2020-08-03 09:31:00,83.98,84.74,83.98,84.72,3025
"2",2020-08-03 09:32:00,84.74,84.79,84.25,84.32,4378
"3",2020-08-03 09:33:00,84.44,84.44,84.17,84.17,4124
"4",2020-08-03 09:34:00,84.2,84.46,84.01,84.39,6104
"5",2020-08-03 09:35:00,84.26,84.37,84.14,84.3,2736
"6",2020-08-03 09:36:00,84.27,84.58,84.27,84.41,6300
"7",2020-08-03 09:37:00,84.44,84.73,84.39,84.39,3746
"8",2020-08-03 09:38:00,84.48,84.74,84.46,84.6,4500
"9",2020-08-03 09:39:00,84.6,84.69,84.42,84.49,1800
"10",2020-08-03 09:40:00,84.47,84.56,84.3,84.56,2300
"11",2020-08-03 09:41:00,84.54,84.63,84.4,84.43,2900
"12",2020-08-03 09:42:00,84.37,84.46,84.31,84.46,900
"13",2020-08-03 09:43:00,84.42,84.48,84.4,84.46,2500
"14",2020-08-03 09:44:00,84.4,84.4,84.18,84.18,1100
"15",2020-08-03 09:45:00,84.16,84.23,84.15,84.23,1100
"16",2020-08-03 09:46:00,84.27,84.27,84.15,84.15,1600
"17",2020-08-03 09:47:00,84.12,84.24,84.1,84.1,2000
"18",2020-08-03 09:48:00,84.09,84.34,84.09,84.34,1500
"19",2020-08-03 09:49:00,84.465,84.56,84.42,84.53,3184
"20",2020-08-03 09:50:00,84.54,84.54,84.405,84.405,1479
"21",2020-08-03 09:51:00,84.37,84.51,84.36,84.51,800
"22",2020-08-03 09:52:00,84.485,84.52,84.39,84.485,1600
"23",2020-08-03 09:53:00,84.455,84.49,84.41,84.45,3212
"24",2020-08-03 09:54:00,84.48,84.75,84.48,84.73,5122
"25",2020-08-03 09:55:00,84.83,84.83,84.68,84.68,600
"26",2020-08-03 09:56:00,84.74,84.79,84.67,84.67,1700
"27",2020-08-03 09:57:00,84.5,84.59,84.5,84.59,5199
"28",2020-08-03 09:58:00,84.61,84.67,84.59,84.67,1400
"29",2020-08-03 09:59:00,84.71,84.72,84.62,84.62,700
"30",2020-08-03 10:00:00,84.5,84.63,84.5,84.62,11357
"31",2020-08-03 10:01:00,84.55,84.72,84.55,84.72,1400
"32",2020-08-03 10:02:00,84.72,84.87,84.7,84.87,1393
"33",2020-08-03 10:03:00,84.89,84.95,84.89,84.89,600
"34",2020-08-03 10:04:00,84.79,84.89,84.79,84.83,528
"35",2020-08-03 10:05:00,84.72,84.86,84.72,84.83,500
"36",2020-08-03 10:06:00,84.86,85.06,84.85,85.04,2100
"37",2020-08-03 10:07:00,85.14,85.14,84.92,84.94,1905
"38",2020-08-03 10:08:00,84.93,84.98,84.88,84.94,1657
"39",2020-08-03 10:09:00,84.9,84.97,84.84,84.92,5139
"40",2020-08-03 10:10:00,84.83,84.845,84.73,84.845,1000
"41",2020-08-03 10:11:00,84.86,84.89,84.83,84.83,900
"42",2020-08-03 10:12:00,84.82,84.82,84.7,84.74,2400
"43",2020-08-03 10:13:00,84.74,84.79,84.71,84.73,900
"44",2020-08-03 10:14:00,84.74,84.82,84.74,84.8,1400
"45",2020-08-03 10:15:00,84.82,84.88,84.8,84.87,1400
"46",2020-08-03 10:16:00,84.9,84.94,84.9,84.94,600
"47",2020-08-03 10:17:00,84.96,85.01,84.96,84.96,1600
"48",2020-08-03 10:18:00,84.95,85.08,84.95,85.08,2931
