"","time","open","high","low","close","volume"
"1",2020-08-01 00:02:00,63.96,63.96,63.96,63.96,1
"2",2020-08-01 00:04:00,63.97,63.97,63.97,63.97,1
"3",2020-08-01 00:05:00,63.95,63.96,63.85,63.96,16
"4",2020-08-01 00:06:00,63.96,63.96,63.96,63.96,10
"5",2020-08-01 00:08:00,63.96,63.96,63.96,63.96,1
"6",2020-08-01 00:13:00,63.96,63.96,63.96,63.96,4
"7",2020-08-01 00:19:00,63.96,63.96,63.96,63.96,30
"8",2020-08-01 00:20:00,63.89,63.89,63.89,63.89,1
"9",2020-08-01 00:21:00,63.92,63.92,63.92,63.92,300
"10",2020-08-01 00:25:00,63.96,63.96,63.96,63.96,2
"11",2020-08-01 00:26:00,63.96,63.96,63.96,63.96,2
"12",2020-08-01 00:28:00,63.96,63.96,63.96,63.96,1
"13",2020-08-01 00:37:00,63.96,63.96,63.96,63.96,3
"14",2020-08-01 01:01:00,63.95,63.95,63.85,63.85,6
"15",2020-08-01 01:02:00,63.85,63.85,63.85,63.85,2
"16",2020-08-01 01:14:00,63.95,63.95,63.95,63.95,45
"17",2020-08-01 01:15:00,63.89,63.89,63.89,63.89,1
"18",2020-08-01 01:20:00,63.8,63.8,63.8,63.8,31
"19",2020-08-01 01:21:00,63.86,63.86,63.85,63.85,9
"20",2020-08-01 01:27:00,63.89,63.89,63.89,63.89,5
"21",2020-08-01 01:31:00,63.9,63.9,63.9,63.9,20
"22",2020-08-01 01:38:00,63.85,63.85,63.83,63.83,123
"23",2020-08-01 01:42:00,63.8,63.8,63.8,63.8,100
"24",2020-08-03 10:01:00,63.97,63.97,63.97,63.97,1
"25",2020-08-03 10:04:00,63.91,63.91,63.47,63.47,45
"26",2020-08-03 10:05:00,63.47,63.47,63.47,63.47,2
"27",2020-08-03 10:06:00,63.5,63.91,63.5,63.91,11
"28",2020-08-03 10:07:00,63.5,63.96,63.5,63.96,2
"29",2020-08-03 10:08:00,63.94,63.94,63.94,63.94,1
"30",2020-08-03 10:10:00,63.52,63.52,63.48,63.48,45
"31",2020-08-03 10:11:00,63.92,63.95,63.92,63.95,200
"32",2020-08-03 10:12:00,63.94,63.94,63.94,63.94,20
