"","time","open","high","low","close","volume"
"1",2020-08-03 09:31:00,211.55,212,210.75,210.77,37783
"2",2020-08-03 09:32:00,210.77,211.61,210.45,211.44,18942
"3",2020-08-03 09:33:00,211.52,213.2,211.36,213.125,49239
"4",2020-08-03 09:34:00,213.17,213.88,213.14,213.88,32475
"5",2020-08-03 09:35:00,213.88,214.2,213.51,214,35485
"6",2020-08-03 09:36:00,214.03,214.58,213.9,214.17,35015
"7",2020-08-03 09:37:00,214.2,214.28,213.89,214.15,24490
"8",2020-08-03 09:38:00,214.12,214.16,213.93,214.15,24013
"9",2020-08-03 09:39:00,214.12,214.49,213.975,214,28172
"10",2020-08-03 09:40:00,214.01,214.01,213.06,213.16,19366
"11",2020-08-03 09:41:00,213.17,213.99,213.17,213.86,11076
"12",2020-08-03 09:42:00,213.86,214.05,213.69,214.04,16946
"13",2020-08-03 09:43:00,214.06,214.44,214.06,214.44,13763
"14",2020-08-03 09:44:00,214.36,214.55,214.15,214.465,16154
"15",2020-08-03 09:45:00,214.49,214.99,214.48,214.99,22049
"16",2020-08-03 09:46:00,215,215.16,214.44,214.5,40691
"17",2020-08-03 09:47:00,214.61,214.89,214.61,214.78,20942
"18",2020-08-03 09:48:00,214.81,214.94,214.66,214.66,11377
"19",2020-08-03 09:49:00,214.66,214.66,214.08,214.21,12716
"20",2020-08-03 09:50:00,214.22,214.32,213.72,213.89,14350
"21",2020-08-03 09:51:00,213.81,214.15,213.81,213.89,18397
"22",2020-08-03 09:52:00,214,214,213.69,213.79,14119
"23",2020-08-03 09:53:00,213.88,213.88,213.14,213.14,10794
"24",2020-08-03 09:54:00,213.13,213.36,212.4,212.4,15306
"25",2020-08-03 09:55:00,212.39,212.64,212.22,212.58,11958
"26",2020-08-03 09:56:00,212.58,213.13,212.58,213.12,11885
"27",2020-08-03 09:57:00,213.18,213.45,213.18,213.43,8529
"28",2020-08-03 09:58:00,213.43,213.43,213.06,213.06,6427
"29",2020-08-03 09:59:00,213.04,213.05,212.6,212.81,16471
"30",2020-08-03 10:00:00,212.84,213,212.84,212.98,4608
"31",2020-08-03 10:01:00,213.01,213.41,212.98,213.21,17897
"32",2020-08-03 10:02:00,213.17,213.59,213.17,213.59,6510
"33",2020-08-03 10:03:00,213.58,214.02,213.58,213.66,15412
"34",2020-08-03 10:04:00,213.67,213.67,212.99,213.19,16063
"35",2020-08-03 10:05:00,213.2,213.27,213.02,213.18,7106
"36",2020-08-03 10:06:00,213.18,213.18,212.89,212.93,12562
"37",2020-08-03 10:07:00,212.96,212.99,212.57,212.74,13365
"38",2020-08-03 10:08:00,212.79,212.92,212.66,212.66,8243
"39",2020-08-03 10:09:00,212.66,212.86,212.52,212.55,7722
"40",2020-08-03 10:10:00,212.54,213.01,212.37,212.96,13807
"41",2020-08-03 10:11:00,213,213.04,212.74,212.97,5397
"42",2020-08-03 10:12:00,213,213.05,212.77,212.86,5552
"43",2020-08-03 10:13:00,212.84,212.87,212.6,212.62,4461
"44",2020-08-03 10:14:00,212.63,212.82,212.59,212.71,6929
"45",2020-08-03 10:15:00,212.67,212.74,212.55,212.74,5180
"46",2020-08-03 10:16:00,212.77,212.77,212.58,212.59,5532
"47",2020-08-03 10:17:00,212.6,212.75,212.52,212.52,4066
"48",2020-08-03 10:18:00,212.5,212.84,212.46,212.67,10939
"49",2020-08-03 10:19:00,212.66,212.87,212.57,212.85,11922
"50",2020-08-03 10:20:00,212.83,213,212.76,213,8794
"51",2020-08-03 10:21:00,212.98,213.02,212.81,212.95,7571
"52",2020-08-03 10:22:00,213.01,213.03,212.89,212.98,5565
"53",2020-08-03 10:23:00,212.99,212.99,212.73,212.85,7017
"54",2020-08-03 10:24:00,212.75,212.75,212.54,212.68,2909
"55",2020-08-03 10:25:00,212.64,212.75,212.59,212.74,3785
"56",2020-08-03 10:26:00,212.76,212.77,212.62,212.71,2850
"57",2020-08-03 10:27:00,212.7,212.89,212.65,212.88,3808
"58",2020-08-03 10:28:00,212.86,213.3,212.86,213.3,10381
"59",2020-08-03 10:29:00,213.32,213.51,213.16,213.51,14665
"60",2020-08-03 10:30:00,213.47,213.48,213.2,213.22,5073
"61",2020-08-03 10:31:00,213.34,213.65,213.22,213.65,11600
"62",2020-08-03 10:32:00,213.63,213.67,213.51,213.63,4155
"63",2020-08-03 10:33:00,213.6,213.63,213.48,213.51,4898
"64",2020-08-03 10:34:00,213.53,213.62,213.4,213.52,5931
"65",2020-08-03 10:35:00,213.545,213.72,213.52,213.64,6304
"66",2020-08-03 10:36:00,213.63,213.63,213.5,213.52,7315
"67",2020-08-03 10:37:00,213.46,213.46,213.07,213.14,10122
"68",2020-08-03 10:38:00,213.08,213.11,212.69,213.11,13376
"69",2020-08-03 10:39:00,213.12,213.29,212.85,212.85,7894
"70",2020-08-03 10:40:00,212.875,212.89,212.7,212.76,7699
"71",2020-08-03 10:41:00,212.76,212.93,212.72,212.93,5472
"72",2020-08-03 10:42:00,212.87,213,212.76,212.8,7182
"73",2020-08-03 10:43:00,212.76,212.79,212.58,212.58,3958
"74",2020-08-03 10:44:00,212.56,212.59,212.22,212.22,6583
"75",2020-08-03 10:45:00,212.17,212.21,211.84,211.88,15561
"76",2020-08-03 10:46:00,211.92,212.14,211.84,211.9,15042
"77",2020-08-03 10:47:00,211.93,212.02,211.55,211.56,6300
"78",2020-08-03 10:48:00,211.53,211.68,211.43,211.43,5022
"79",2020-08-03 10:49:00,211.44,211.7,211.44,211.69,8067
"80",2020-08-03 10:50:00,211.67,212,211.67,211.8,6137
"81",2020-08-03 10:51:00,211.83,212.4,211.82,212.37,5972
"82",2020-08-03 10:52:00,212.44,212.44,212,212.11,7536
"83",2020-08-03 10:53:00,212.07,212.07,211.87,211.87,2294
"84",2020-08-03 10:54:00,211.97,212,211.78,211.94,3140
"85",2020-08-03 10:55:00,211.96,212.01,211.89,211.99,2900
"86",2020-08-03 10:56:00,211.97,212.26,211.93,212.24,3292
"87",2020-08-03 10:57:00,212.25,212.25,212.1,212.25,1999
"88",2020-08-03 10:58:00,212.3,212.35,212.25,212.34,1826
"89",2020-08-03 10:59:00,212.3,212.38,212.28,212.37,1700
"90",2020-08-03 11:00:00,212.36,212.49,212.26,212.47,2784
"91",2020-08-03 11:01:00,212.44,212.59,212.29,212.57,4400
"92",2020-08-03 11:02:00,212.555,212.73,212.555,212.66,3465
"93",2020-08-03 11:03:00,212.645,212.91,212.62,212.88,3012
"94",2020-08-03 11:04:00,212.92,212.94,212.8,212.92,2970
"95",2020-08-03 11:05:00,212.93,213.02,212.93,212.98,7663
"96",2020-08-03 11:06:00,212.98,213.01,212.91,212.91,1298
"97",2020-08-03 11:07:00,212.87,212.9,212.82,212.9,1400
"98",2020-08-03 11:08:00,212.89,212.99,212.77,212.99,2300
"99",2020-08-03 11:09:00,212.99,213.29,212.99,213.25,7106
"100",2020-08-03 11:10:00,213.25,213.47,213.25,213.47,3862
"101",2020-08-03 11:11:00,213.48,213.48,213.31,213.33,5084
"102",2020-08-03 11:12:00,213.3,213.33,213.12,213.17,2512
"103",2020-08-03 11:13:00,213.24,213.37,213.24,213.29,1800
"104",2020-08-03 11:14:00,213.31,213.42,213.18,213.41,3522
"105",2020-08-03 11:15:00,213.45,213.52,213.25,213.27,4187
"106",2020-08-03 11:16:00,213.29,213.37,213.11,213.12,4485
"107",2020-08-03 11:17:00,213.12,213.18,212.93,212.97,11360
"108",2020-08-03 11:18:00,212.89,212.9,212.76,212.81,4400
"109",2020-08-03 11:19:00,212.85,213.07,212.85,213.06,5425
"110",2020-08-03 11:20:00,213.03,213.07,212.96,212.99,2728
"111",2020-08-03 11:21:00,213,213.32,213,213.32,5146
"112",2020-08-03 11:22:00,213.315,213.425,213.315,213.37,4579
"113",2020-08-03 11:23:00,213.36,213.36,213.26,213.31,3436
"114",2020-08-03 11:24:00,213.36,213.38,213.16,213.25,4492
"115",2020-08-03 11:25:00,213.25,213.26,213.21,213.21,2000
"116",2020-08-03 11:26:00,213.21,213.32,213.21,213.27,3066
"117",2020-08-03 11:27:00,213.25,213.29,213.17,213.2,5101
"118",2020-08-03 11:28:00,213.24,213.47,213.24,213.43,7217
"119",2020-08-03 11:29:00,213.47,213.54,213.43,213.51,3590
"120",2020-08-03 11:30:00,213.44,213.48,213.38,213.48,1700
"121",2020-08-03 11:31:00,213.47,213.52,213.46,213.51,2472
"122",2020-08-03 11:32:00,213.52,213.65,213.52,213.65,5564
"123",2020-08-03 11:33:00,213.6,213.62,213.48,213.53,3068
"124",2020-08-03 11:34:00,213.53,213.7,213.53,213.69,3489
"125",2020-08-03 11:35:00,213.72,213.72,213.5,213.57,4636
"126",2020-08-03 11:36:00,213.54,213.54,213.425,213.51,2100
"127",2020-08-03 11:37:00,213.54,213.63,213.53,213.58,3600
"128",2020-08-03 11:38:00,213.56,213.68,213.56,213.68,4800
"129",2020-08-03 11:39:00,213.64,213.8,213.63,213.8,8769
"130",2020-08-03 11:40:00,213.78,214,213.77,213.99,15162
"131",2020-08-03 11:41:00,213.98,213.98,213.92,213.98,4375
"132",2020-08-03 11:42:00,213.98,213.99,213.72,213.84,5942
"133",2020-08-03 11:43:00,213.82,213.82,213.6,213.655,2100
"134",2020-08-03 11:44:00,213.63,213.63,213.41,213.46,6646
"135",2020-08-03 11:45:00,213.46,213.49,213.3,213.3,3205
"136",2020-08-03 11:46:00,213.28,213.39,213.25,213.39,3305
"137",2020-08-03 11:47:00,213.36,213.47,213.33,213.46,3208
"138",2020-08-03 11:48:00,213.41,213.55,213.38,213.49,1200
"139",2020-08-03 11:49:00,213.5,213.52,213.45,213.45,1500
"140",2020-08-03 11:50:00,213.51,213.51,213.43,213.44,1800
