"","time","open","high","low","close","volume"
"1",2020-08-03 10:17:00,33.2,33.2,33.2,33.2,1
"2",2020-08-03 12:50:00,33.09,33.09,33.08,33.08,2
"3",2020-08-03 13:57:00,33.42,33.42,33.42,33.42,4
"4",2020-08-03 14:12:00,33.4,33.4,33.4,33.4,1
"5",2020-08-03 15:01:00,33.3,33.3,33.14,33.14,5
"6",2020-08-03 15:02:00,33.14,33.14,33.14,33.14,5
"7",2020-08-03 15:15:00,33.46,33.52,33.46,33.52,1301
"8",2020-08-03 15:22:00,33.25,33.25,33.25,33.25,1
"9",2020-08-03 15:25:00,33.25,33.25,33.25,33.25,1
"10",2020-08-03 16:17:00,33.31,33.31,33.31,33.31,100
"11",2020-08-03 16:18:00,33.31,33.31,33.31,33.31,1
"12",2020-08-03 16:27:00,33.35,33.35,33.35,33.35,4
"13",2020-08-03 16:28:00,33.35,33.35,33.31,33.31,152
"14",2020-08-03 16:29:00,33.3,33.3,33.3,33.3,105
"15",2020-08-03 16:30:00,33.2,33.21,33.1,33.1,2570
"16",2020-08-03 16:31:00,33.21,33.21,33.02,33.13,25237
"17",2020-08-03 16:32:00,33.11,33.13,32.94,32.99,18842
"18",2020-08-03 16:33:00,33,33.02,32.9,32.96,8588
"19",2020-08-03 16:34:00,32.98,33.02,32.93,32.96,9313
"20",2020-08-03 16:35:00,32.97,33.01,32.95,32.98,4388
"21",2020-08-03 16:36:00,32.98,33.02,32.96,32.98,7064
"22",2020-08-03 16:37:00,32.99,33,32.9,32.9,2378
"23",2020-08-03 16:38:00,32.9,32.92,32.88,32.89,3393
"24",2020-08-03 16:39:00,32.9,32.96,32.89,32.96,1978
"25",2020-08-03 16:40:00,32.96,32.96,32.88,32.88,5604
"26",2020-08-03 16:41:00,32.89,32.9,32.81,32.83,7388
"27",2020-08-03 16:42:00,32.83,32.85,32.82,32.85,3225
"28",2020-08-03 16:43:00,32.85,32.91,32.85,32.86,5851
"29",2020-08-03 16:44:00,32.87,32.88,32.85,32.88,2773
"30",2020-08-03 16:45:00,32.85,32.87,32.79,32.82,4286
"31",2020-08-03 16:46:00,32.82,32.92,32.82,32.89,9662
"32",2020-08-03 16:47:00,32.88,32.98,32.88,32.95,9508
"33",2020-08-03 16:48:00,32.95,33,32.91,32.99,5634
"34",2020-08-03 16:49:00,33,33.08,33,33.08,4995
"35",2020-08-03 16:50:00,33.07,33.09,33.03,33.09,2830
"36",2020-08-03 16:51:00,33.09,33.14,33.09,33.12,2950
"37",2020-08-03 16:52:00,33.12,33.13,33.09,33.13,2475
"38",2020-08-03 16:53:00,33.13,33.14,33.13,33.13,2034
"39",2020-08-03 16:54:00,33.13,33.18,33.13,33.18,3679
"40",2020-08-03 16:55:00,33.19,33.23,33.17,33.23,2192
"41",2020-08-03 16:56:00,33.22,33.22,33.18,33.18,2564
"42",2020-08-03 16:57:00,33.17,33.17,33.16,33.16,2190
"43",2020-08-03 16:58:00,33.17,33.21,33.16,33.21,2011
