<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.F,1,01/03/22,09:31,21.2700000,21.4600000,21.2700000,21.4200000,46743
US1.F,1,01/03/22,09:32,21.3800000,21.3900000,21.2800000,21.2800000,35648
US1.F,1,01/03/22,09:33,21.2800000,21.2800000,21.1600000,21.2500000,138319
US1.F,1,01/03/22,09:34,21.2400000,21.2500000,21.1100000,21.1900000,59711
US1.F,1,01/03/22,09:35,21.1900000,21.1900000,21.0700000,21.1200000,41185
US1.F,1,01/03/22,09:36,21.1200000,21.1700000,21.0800000,21.1700000,28479
US1.F,1,01/03/22,09:37,21.1700000,21.2800000,21.1600000,21.2800000,59185
US1.F,1,01/03/22,09:38,21.2700000,21.3000000,21.2300000,21.2300000,28154
US1.F,1,01/03/22,09:39,21.2300000,21.2600000,21.2200000,21.2400000,12854
US1.F,1,01/03/22,09:40,21.2400000,21.3100000,21.2400000,21.3000000,46473
US1.F,1,01/03/22,09:41,21.2800000,21.3500000,21.2800000,21.3400000,21750
US1.F,1,01/03/22,09:42,21.3400000,21.3400000,21.2900000,21.3200000,8319
US1.F,1,01/03/22,09:43,21.3400000,21.3950000,21.3400000,21.3600000,14074
US1.F,1,01/03/22,09:44,21.3500000,21.4050000,21.3500000,21.3500000,19660
US1.F,1,01/03/22,09:45,21.3400000,21.3500000,21.3000000,21.3100000,11900
US1.F,1,01/03/22,09:46,21.3200000,21.3600000,21.3000000,21.3100000,17962
US1.F,1,01/03/22,09:47,21.3100000,21.3500000,21.3100000,21.3200000,4400
US1.F,1,01/03/22,09:48,21.3200000,21.3700000,21.2900000,21.3000000,21464
US1.F,1,01/03/22,09:49,21.3000000,21.3000000,21.2200000,21.2200000,11685
US1.F,1,01/03/22,09:50,21.2200000,21.2200000,21.1100000,21.1500000,19350
US1.F,1,01/03/22,09:51,21.1600000,21.1700000,21.0800000,21.1300000,14970
US1.F,1,01/03/22,09:52,21.1400000,21.1900000,21.1300000,21.1900000,13079
US1.F,1,01/03/22,09:53,21.1900000,21.2150000,21.1300000,21.1500000,5978
US1.F,1,01/03/22,09:54,21.1600000,21.1700000,21.1500000,21.1600000,4683
US1.F,1,01/03/22,09:55,21.1500000,21.1600000,21.1000000,21.1100000,32728
US1.F,1,01/03/22,09:56,21.1400000,21.1500000,21.1000000,21.1500000,19442
US1.F,1,01/03/22,09:57,21.1600000,21.1900000,21.1600000,21.1900000,10964
