<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.FB,1,01/03/22,09:31,338.3000000,338.4800000,337.4600000,337.4600000,8126
US1.FB,1,01/03/22,09:32,337.3900000,338.6000000,337.2000000,338.5500000,7574
US1.FB,1,01/03/22,09:33,338.5400000,339.4400000,338.2600000,339.4400000,7142
US1.FB,1,01/03/22,09:34,339.4800000,339.9300000,339.3800000,339.8800000,6898
US1.FB,1,01/03/22,09:35,339.9600000,340.4700000,339.9600000,340.0300000,7983
US1.FB,1,01/03/22,09:36,340.0400000,340.0400000,339.0000000,339.1500000,2700
US1.FB,1,01/03/22,09:37,339.1600000,339.9100000,339.0500000,339.6800000,3680
US1.FB,1,01/03/22,09:38,339.5300000,340.2800000,339.5300000,340.2800000,1000
US1.FB,1,01/03/22,09:39,340.3900000,340.4300000,339.8300000,339.8500000,2123
US1.FB,1,01/03/22,09:40,339.8500000,340.3000000,339.8000000,340.0600000,4154
US1.FB,1,01/03/22,09:41,340.2000000,340.2000000,339.1700000,339.1700000,2095
US1.FB,1,01/03/22,09:42,339.1500000,340.0000000,339.1500000,340.0000000,1383
US1.FB,1,01/03/22,09:43,339.9700000,340.1500000,339.6800000,339.8300000,3247
US1.FB,1,01/03/22,09:44,339.8100000,339.8100000,339.5600000,339.5600000,861
US1.FB,1,01/03/22,09:45,339.5500000,340.0300000,339.2900000,340.0300000,2278
US1.FB,1,01/03/22,09:46,339.7600000,339.7600000,339.2500000,339.2500000,1144
US1.FB,1,01/03/22,09:47,339.2600000,339.3300000,338.8800000,338.8800000,1800
US1.FB,1,01/03/22,09:48,338.4500000,338.9900000,338.4400000,338.8000000,1978
US1.FB,1,01/03/22,09:49,338.7700000,338.7700000,338.4100000,338.5100000,5251
US1.FB,1,01/03/22,09:50,338.4800000,338.9900000,338.2500000,338.9000000,2528
US1.FB,1,01/03/22,09:51,338.8600000,338.9100000,338.1800000,338.5000000,6437
US1.FB,1,01/03/22,09:52,338.6000000,338.7600000,338.5100000,338.6400000,1421
US1.FB,1,01/03/22,09:53,338.6950000,339.3250000,338.3300000,338.5300000,2580
US1.FB,1,01/03/22,09:54,338.4100000,338.6800000,338.4100000,338.6800000,650
US1.FB,1,01/03/22,09:55,339.0500000,339.0500000,338.7600000,338.7600000,726
US1.FB,1,01/03/22,09:56,338.5600000,338.5600000,337.9800000,338.1300000,1800
US1.FB,1,01/03/22,09:57,337.9900000,338.3250000,337.9400000,338.0700000,1455
US1.FB,1,01/03/22,09:58,337.9400000,338.6200000,337.9400000,338.6200000,698
US1.FB,1,01/03/22,09:59,338.7400000,338.8300000,338.0800000,338.0800000,1700
US1.FB,1,01/03/22,10:00,338.0500000,338.2700000,338.0500000,338.2700000,856
US1.FB,1,01/03/22,10:01,337.7700000,339.0600000,337.7700000,339.0600000,3332
US1.FB,1,01/03/22,10:02,339.3400000,339.6900000,339.2500000,339.5300000,2188
US1.FB,1,01/03/22,10:03,339.9400000,340.2500000,339.8600000,340.2500000,3683
US1.FB,1,01/03/22,10:04,340.3100000,340.5600000,340.1700000,340.4700000,2079
US1.FB,1,01/03/22,10:05,340.5400000,340.8400000,340.5300000,340.5300000,1196
US1.FB,1,01/03/22,10:06,340.3600000,340.3600000,339.8400000,339.9200000,1682
US1.FB,1,01/03/22,10:07,340.2700000,340.4000000,339.9900000,340.0600000,3678
US1.FB,1,01/03/22,10:08,340.0300000,340.0300000,339.7300000,339.8200000,1378
US1.FB,1,01/03/22,10:09,339.6600000,340.0900000,339.5400000,340.0000000,1600
US1.FB,1,01/03/22,10:10,339.9200000,339.9200000,339.5100000,339.8200000,800
US1.FB,1,01/03/22,10:11,340.1000000,340.2450000,339.7300000,340.2000000,1734
US1.FB,1,01/03/22,10:12,340.2100000,340.2100000,339.4700000,339.5300000,1500
US1.FB,1,01/03/22,10:13,339.5900000,339.6300000,339.4900000,339.5000000,628
US1.FB,1,01/03/22,10:14,339.7000000,339.8800000,339.7000000,339.8800000,287
US1.FB,1,01/03/22,10:15,340.0000000,340.1500000,339.9100000,340.0300000,1458
US1.FB,1,01/03/22,10:16,339.8400000,339.9750000,339.7350000,339.7800000,800
US1.FB,1,01/03/22,10:17,339.9150000,340.1300000,339.8200000,339.8200000,1300
US1.FB,1,01/03/22,10:18,339.8500000,339.9700000,339.8500000,339.9700000,440
US1.FB,1,01/03/22,10:19,339.9800000,340.0900000,339.8700000,339.8700000,1459
US1.FB,1,01/03/22,10:20,339.6500000,339.6800000,339.3100000,339.4500000,1304
US1.FB,1,01/03/22,10:21,339.2900000,339.3900000,339.1800000,339.3100000,3269
US1.FB,1,01/03/22,10:22,339.6400000,340.0200000,339.6400000,339.7000000,2000
US1.FB,1,01/03/22,10:23,339.6300000,340.0200000,339.6300000,339.8300000,1600
US1.FB,1,01/03/22,10:24,339.9300000,340.1200000,339.9000000,340.1200000,3042
US1.FB,1,01/03/22,10:25,340.2700000,340.2700000,340.0100000,340.1500000,1400
US1.FB,1,01/03/22,10:26,340.1900000,340.4700000,339.9300000,340.3900000,4375
US1.FB,1,01/03/22,10:27,340.3600000,340.3600000,340.1300000,340.1400000,611
US1.FB,1,01/03/22,10:28,340.2700000,340.7100000,340.2700000,340.7100000,1700
US1.FB,1,01/03/22,10:29,340.6200000,341.0400000,340.6200000,340.9800000,7101
US1.FB,1,01/03/22,10:30,340.9300000,340.9300000,340.2400000,340.2700000,1442
US1.FB,1,01/03/22,10:31,340.3100000,340.3700000,339.9200000,340.3700000,2387
US1.FB,1,01/03/22,10:32,340.5900000,340.5900000,340.3200000,340.4800000,1876
US1.FB,1,01/03/22,10:33,340.3200000,340.4000000,340.1800000,340.3400000,3216
US1.FB,1,01/03/22,10:34,340.0550000,340.0550000,339.9400000,340.0100000,1000
US1.FB,1,01/03/22,10:35,340.0000000,340.3000000,340.0000000,340.2500000,2734
US1.FB,1,01/03/22,10:36,340.2600000,340.5800000,340.2600000,340.3150000,3200
US1.FB,1,01/03/22,10:37,340.2800000,340.3200000,340.0900000,340.1600000,900
US1.FB,1,01/03/22,10:38,340.1900000,340.2100000,340.0250000,340.0250000,800
US1.FB,1,01/03/22,10:39,339.9500000,340.1500000,339.7500000,339.7500000,1863
US1.FB,1,01/03/22,10:40,339.8200000,339.8200000,339.8200000,339.8200000,100
US1.FB,1,01/03/22,10:41,339.9200000,340.0000000,339.7800000,339.8800000,700
US1.FB,1,01/03/22,10:42,340.0000000,340.0200000,339.8900000,339.9600000,1343
US1.FB,1,01/03/22,10:43,340.0300000,340.0800000,339.8400000,339.9050000,3185
US1.FB,1,01/03/22,10:44,339.7200000,339.7700000,339.6400000,339.6400000,700
US1.FB,1,01/03/22,10:45,339.6100000,339.7500000,339.5100000,339.5100000,861
US1.FB,1,01/03/22,10:46,339.5900000,339.8700000,339.4700000,339.8700000,600
US1.FB,1,01/03/22,10:47,339.9200000,340.1000000,339.7600000,340.1000000,1855
US1.FB,1,01/03/22,10:48,339.8900000,339.9200000,339.5500000,339.6600000,939
US1.FB,1,01/03/22,10:49,339.7700000,339.7700000,339.4700000,339.4700000,900
US1.FB,1,01/03/22,10:50,339.4800000,339.4800000,339.4200000,339.4200000,487
US1.FB,1,01/03/22,10:51,339.3700000,339.5500000,339.3400000,339.5500000,1216
US1.FB,1,01/03/22,10:52,339.5500000,340.1000000,339.5500000,340.0000000,1511
