<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GE,1,01/03/22,09:31,95.0100000,95.3800000,94.9900000,95.3800000,400
US1.GE,1,01/03/22,09:33,95.3300000,95.3300000,95.3300000,95.3300000,100
US1.GE,1,01/03/22,09:34,95.5100000,95.6400000,95.5100000,95.6400000,800
US1.GE,1,01/03/22,09:35,95.5600000,95.6600000,95.5600000,95.6600000,200
US1.GE,1,01/03/22,09:36,95.8600000,96.0800000,95.8600000,96.0800000,1278
US1.GE,1,01/03/22,09:37,96.1400000,96.2300000,96.1100000,96.1100000,400
US1.GE,1,01/03/22,09:38,96.1400000,96.1500000,96.1100000,96.1100000,900
US1.GE,1,01/03/22,09:39,96.1800000,96.2800000,96.1800000,96.2800000,200
US1.GE,1,01/03/22,09:40,96.1300000,96.3200000,96.1300000,96.3200000,1900
US1.GE,1,01/03/22,09:41,96.3900000,96.4800000,96.3900000,96.4600000,300
US1.GE,1,01/03/22,09:42,96.3600000,96.3600000,96.3500000,96.3500000,200
US1.GE,1,01/03/22,09:43,96.4200000,96.4400000,96.4200000,96.4400000,200
US1.GE,1,01/03/22,09:44,96.4800000,96.4800000,96.4800000,96.4800000,100
US1.GE,1,01/03/22,09:45,96.5600000,96.7100000,96.5600000,96.7100000,400
US1.GE,1,01/03/22,09:46,96.6200000,96.6200000,96.4300000,96.4900000,400
US1.GE,1,01/03/22,09:47,96.4200000,96.4200000,96.3500000,96.3500000,300
US1.GE,1,01/03/22,09:48,96.2900000,96.3300000,96.2700000,96.2800000,600
US1.GE,1,01/03/22,09:49,96.1100000,96.1700000,96.1000000,96.1700000,600
US1.GE,1,01/03/22,09:50,96.1800000,96.1800000,96.1200000,96.1200000,200
US1.GE,1,01/03/22,09:51,95.9700000,95.9700000,95.9700000,95.9700000,100
US1.GE,1,01/03/22,09:52,95.8600000,96.2500000,95.8300000,96.2300000,1200
US1.GE,1,01/03/22,09:53,96.4400000,96.4500000,96.3300000,96.3300000,1483
US1.GE,1,01/03/22,09:54,96.4100000,96.5700000,96.4100000,96.5700000,200
US1.GE,1,01/03/22,09:55,96.6200000,96.6900000,96.6200000,96.6600000,300
US1.GE,1,01/03/22,09:56,96.5800000,96.5800000,96.5300000,96.5300000,600
US1.GE,1,01/03/22,09:57,96.5600000,96.5650000,96.5350000,96.5500000,1213
US1.GE,1,01/03/22,09:58,96.5300000,96.5300000,96.5300000,96.5300000,200
US1.GE,1,01/03/22,09:59,96.4800000,96.4800000,96.4400000,96.4400000,200
US1.GE,1,01/03/22,10:00,96.3300000,96.3900000,96.3300000,96.3500000,1225
US1.GE,1,01/03/22,10:01,96.5000000,96.6000000,96.5000000,96.6000000,300
US1.GE,1,01/03/22,10:02,96.5700000,96.5700000,96.5500000,96.5500000,200
US1.GE,1,01/03/22,10:03,96.4500000,96.4500000,96.2900000,96.2900000,300
US1.GE,1,01/03/22,10:04,96.1500000,96.1500000,96.1500000,96.1500000,200
US1.GE,1,01/03/22,10:05,96.2400000,96.2400000,96.2200000,96.2200000,500
US1.GE,1,01/03/22,10:06,96.3000000,96.3000000,96.3000000,96.3000000,110
US1.GE,1,01/03/22,10:07,96.2700000,96.3000000,96.2300000,96.2300000,500
US1.GE,1,01/03/22,10:08,96.2200000,96.2200000,96.2200000,96.2200000,200
US1.GE,1,01/03/22,10:09,96.1700000,96.1700000,96.1700000,96.1700000,100
US1.GE,1,01/03/22,10:10,96.0000000,96.0000000,95.9700000,95.9700000,798
US1.GE,1,01/03/22,10:11,96.1600000,96.1800000,96.1600000,96.1800000,478
US1.GE,1,01/03/22,10:12,96.3700000,96.5300000,96.3700000,96.5000000,300
US1.GE,1,01/03/22,10:15,96.6400000,96.6400000,96.6000000,96.6000000,300
US1.GE,1,01/03/22,10:16,96.5700000,96.7000000,96.5700000,96.6800000,767
US1.GE,1,01/03/22,10:17,96.6700000,96.7200000,96.6500000,96.7200000,1300
US1.GE,1,01/03/22,10:18,96.7500000,96.8000000,96.7500000,96.8000000,500
US1.GE,1,01/03/22,10:19,96.8400000,96.8900000,96.8300000,96.8800000,1850
US1.GE,1,01/03/22,10:20,96.8600000,96.9100000,96.8200000,96.8200000,1812
US1.GE,1,01/03/22,10:21,96.8600000,96.9100000,96.8600000,96.9100000,300
US1.GE,1,01/03/22,10:22,96.9600000,96.9900000,96.9600000,96.9900000,400
US1.GE,1,01/03/22,10:23,96.9800000,97.0600000,96.9800000,97.0100000,1653
US1.GE,1,01/03/22,10:24,97.1200000,97.1500000,97.1100000,97.1500000,775
US1.GE,1,01/03/22,10:25,97.1000000,97.2100000,97.1000000,97.2100000,600
US1.GE,1,01/03/22,10:26,97.2100000,97.3200000,97.2100000,97.3200000,200
US1.GE,1,01/03/22,10:27,97.3500000,97.3500000,97.3500000,97.3500000,100
US1.GE,1,01/03/22,10:28,97.2600000,97.3000000,97.2600000,97.3000000,200
US1.GE,1,01/03/22,10:30,97.3000000,97.3400000,97.3000000,97.3300000,635
US1.GE,1,01/03/22,10:31,97.2600000,97.2700000,97.2600000,97.2700000,925
US1.GE,1,01/03/22,10:32,97.2850000,97.2850000,97.2300000,97.2300000,200
US1.GE,1,01/03/22,10:33,97.1800000,97.1900000,97.0100000,97.0300000,600
US1.GE,1,01/03/22,10:34,96.9900000,96.9900000,96.8400000,96.8400000,3110
US1.GE,1,01/03/22,10:35,96.9000000,96.9000000,96.9000000,96.9000000,200
US1.GE,1,01/03/22,10:36,97.0100000,97.0100000,97.0100000,97.0100000,100
US1.GE,1,01/03/22,10:37,97.0600000,97.0600000,97.0600000,97.0600000,100
US1.GE,1,01/03/22,10:38,96.9900000,96.9900000,96.9900000,96.9900000,100
US1.GE,1,01/03/22,10:40,96.9700000,96.9700000,96.9400000,96.9400000,300
US1.GE,1,01/03/22,10:42,96.8500000,96.8500000,96.8500000,96.8500000,700
US1.GE,1,01/03/22,10:43,96.9400000,96.9400000,96.9400000,96.9400000,100
US1.GE,1,01/03/22,10:44,96.9100000,96.9100000,96.9100000,96.9100000,100
US1.GE,1,01/03/22,10:47,96.9400000,96.9400000,96.9400000,96.9400000,100
US1.GE,1,01/03/22,10:48,96.8700000,96.8900000,96.8700000,96.8900000,200
US1.GE,1,01/03/22,10:50,96.9500000,96.9500000,96.9150000,96.9150000,200
US1.GE,1,01/03/22,10:52,96.8500000,96.8500000,96.8500000,96.8500000,100
US1.GE,1,01/03/22,10:53,96.8000000,96.8100000,96.8000000,96.8100000,400
US1.GE,1,01/03/22,10:54,96.7400000,96.7700000,96.7400000,96.7700000,200
US1.GE,1,01/03/22,10:55,96.6700000,96.6800000,96.6500000,96.6600000,550
US1.GE,1,01/03/22,10:56,96.6700000,96.6700000,96.6700000,96.6700000,100
US1.GE,1,01/03/22,10:57,96.7100000,96.7100000,96.6500000,96.6500000,300
US1.GE,1,01/03/22,10:58,96.6300000,96.6300000,96.6300000,96.6300000,200
US1.GE,1,01/03/22,10:59,96.5800000,96.5800000,96.5800000,96.5800000,100
US1.GE,1,01/03/22,11:00,96.6400000,96.6400000,96.6400000,96.6400000,100
US1.GE,1,01/03/22,11:01,96.7300000,96.7700000,96.7300000,96.7700000,200
US1.GE,1,01/03/22,11:02,96.7900000,96.9500000,96.7900000,96.9500000,300
US1.GE,1,01/03/22,11:03,96.9100000,96.9200000,96.8500000,96.8600000,800
US1.GE,1,01/03/22,11:04,96.9400000,97.0000000,96.9400000,97.0000000,300
US1.GE,1,01/03/22,11:05,97.0000000,97.0800000,97.0000000,97.0800000,900
US1.GE,1,01/03/22,11:06,97.0600000,97.0600000,97.0400000,97.0600000,474
US1.GE,1,01/03/22,11:07,97.0800000,97.1000000,97.0300000,97.0300000,600
US1.GE,1,01/03/22,11:08,96.9300000,96.9400000,96.8900000,96.8900000,300
US1.GE,1,01/03/22,11:10,96.7300000,96.7300000,96.7300000,96.7300000,100
US1.GE,1,01/03/22,11:11,96.6600000,96.6600000,96.6500000,96.6500000,200
US1.GE,1,01/03/22,11:12,96.6400000,96.6400000,96.6400000,96.6400000,100
US1.GE,1,01/03/22,11:15,96.5700000,96.6100000,96.5700000,96.6100000,300
US1.GE,1,01/03/22,11:17,96.6600000,96.7300000,96.6600000,96.7300000,200
US1.GE,1,01/03/22,11:18,96.6900000,96.6900000,96.6900000,96.6900000,100
US1.GE,1,01/03/22,11:20,96.6100000,96.6100000,96.6100000,96.6100000,100
US1.GE,1,01/03/22,11:22,96.7000000,96.7000000,96.7000000,96.7000000,300
US1.GE,1,01/03/22,11:23,96.6900000,96.6900000,96.6900000,96.6900000,100
US1.GE,1,01/03/22,11:25,96.8200000,96.8200000,96.8200000,96.8200000,200
US1.GE,1,01/03/22,11:26,96.7100000,96.7100000,96.7100000,96.7100000,100
US1.GE,1,01/03/22,11:27,96.6100000,96.6100000,96.6100000,96.6100000,100
US1.GE,1,01/03/22,11:28,96.5800000,96.6000000,96.5800000,96.5900000,400
