<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.KO,1,01/03/22,09:31,58.8800000,58.8900000,58.7700000,58.8100000,5478
US1.KO,1,01/03/22,09:32,58.8000000,58.8200000,58.7100000,58.7500000,3320
US1.KO,1,01/03/22,09:33,58.7400000,58.7500000,58.6700000,58.6700000,2603
US1.KO,1,01/03/22,09:34,58.6200000,58.6300000,58.5800000,58.6200000,2150
US1.KO,1,01/03/22,09:35,58.6500000,58.6550000,58.5600000,58.5900000,3102
US1.KO,1,01/03/22,09:36,58.6200000,58.7900000,58.6200000,58.7900000,2100
US1.KO,1,01/03/22,09:37,58.7900000,58.8200000,58.7800000,58.8100000,2200
US1.KO,1,01/03/22,09:38,58.8400000,58.8600000,58.8200000,58.8300000,2900
US1.KO,1,01/03/22,09:39,58.8100000,58.8100000,58.7300000,58.7400000,1900
US1.KO,1,01/03/22,09:40,58.7400000,58.7600000,58.7100000,58.7400000,3400
US1.KO,1,01/03/22,09:41,58.7400000,58.7700000,58.7300000,58.7400000,1243
US1.KO,1,01/03/22,09:42,58.7600000,58.7800000,58.7500000,58.7650000,1420
US1.KO,1,01/03/22,09:43,58.7700000,58.7700000,58.7200000,58.7200000,2196
US1.KO,1,01/03/22,09:44,58.7500000,58.7700000,58.7500000,58.7700000,427
US1.KO,1,01/03/22,09:45,58.7800000,58.7800000,58.7600000,58.7800000,3193
US1.KO,1,01/03/22,09:46,58.7700000,58.7800000,58.7500000,58.7600000,2400
US1.KO,1,01/03/22,09:47,58.7400000,58.7400000,58.6900000,58.6900000,600
US1.KO,1,01/03/22,09:48,58.6800000,58.6800000,58.6100000,58.6100000,3200
US1.KO,1,01/03/22,09:49,58.5900000,58.5950000,58.5300000,58.5950000,1900
US1.KO,1,01/03/22,09:50,58.6050000,58.6050000,58.5700000,58.5700000,1400
US1.KO,1,01/03/22,09:51,58.5600000,58.5700000,58.5400000,58.5500000,2704
