"","time","open","high","low","close","volume"
"1",2016-08-01 18:45:00,92.8,92.8,92.8,92.8,20
"2",2016-08-01 19:34:00,93.11,93.11,93.11,93.11,8
"3",2016-08-01 19:43:00,93.3,93.3,93.3,93.3,2
"4",2016-08-01 19:44:00,93.29,93.37,93.29,93.37,98
"5",2016-08-01 19:50:00,93.17,93.17,93.17,93.17,8
"6",2016-08-01 20:11:00,93.16,93.16,93.16,93.16,100
"7",2016-08-01 20:12:00,93.18,93.18,93.18,93.18,34
"8",2016-08-02 12:42:00,93.59,93.59,93.59,93.59,6
"9",2016-08-02 20:54:00,93.18,93.18,93.18,93.18,50
"10",2016-08-02 22:40:00,93.8,93.8,93.8,93.8,95
"11",2016-08-02 22:41:00,93.79,93.79,93.79,93.79,95
"12",2016-08-02 22:42:00,93.77,93.77,93.77,93.77,95
"13",2016-08-03 10:24:00,93.11,93.11,93.11,93.11,2
"14",2016-08-03 16:40:00,94.12,94.17,94.08,94.08,187
"15",2016-08-03 16:41:00,94.04,94.04,94.04,94.04,1
"16",2016-08-03 16:50:00,94.08,94.1,94.08,94.1,190
"17",2016-08-03 18:01:00,92.88,92.88,92.88,92.88,190
"18",2016-08-04 16:43:00,92.61,92.63,92.61,92.63,150
"19",2016-08-05 15:35:00,93.6,93.6,93.6,93.6,3
"20",2016-08-05 17:35:00,96.66,96.66,96.66,96.66,50
"21",2016-08-05 19:22:00,95,95,95,95,1
"22",2016-08-05 19:23:00,94.98,94.98,94.98,94.98,3
"23",2016-08-05 19:25:00,97.3,97.3,97.3,97.3,3
"24",2016-08-05 19:37:00,97,97,97,97,10
"25",2016-08-05 20:23:00,97.2,97.2,97.2,97.2,1
"26",2016-08-05 20:24:00,97.33,97.33,97.33,97.33,4
"27",2016-08-05 20:29:00,97.27,97.3,97.27,97.3,9
"28",2016-08-05 20:31:00,97.31,97.31,97.31,97.31,3
"29",2016-08-09 16:48:00,94.52,94.65,94.52,94.59,285
"30",2016-08-09 18:09:00,94.46,94.52,94.46,94.52,190
"31",2016-08-09 22:02:00,94,94,94,94,25
"32",2016-08-09 22:34:00,94.06,94.06,94.06,94.06,2
"33",2016-08-10 18:46:00,93.09,93.11,93.09,93.09,285
"34",2016-08-11 18:42:00,95.96,95.96,95.96,95.96,1
"35",2016-08-11 18:43:00,95.95,95.95,95.95,95.95,1
"36",2016-08-15 16:12:00,96.88,96.88,96.88,96.88,5
"37",2016-08-15 17:13:00,95.97,95.97,95.97,95.97,1
"38",2016-08-15 17:57:00,95.88,95.88,95.88,95.88,5
"39",2016-08-15 18:39:00,95.79,95.79,95.78,95.78,190
"40",2016-08-15 18:42:00,95.72,95.72,95.72,95.72,95
"41",2016-08-15 20:31:00,95.76,95.76,95.76,95.76,95
"42",2016-08-15 20:56:00,95.85,95.85,95.84,95.84,6
"43",2016-08-16 15:18:00,95.47,95.47,95.47,95.47,2
"44",2016-08-17 17:50:00,96.03,96.03,96.03,96.03,1
"45",2016-08-17 19:50:00,96.5,96.5,96.46,96.46,190
"46",2016-08-18 18:41:00,97.2,97.2,97.2,97.2,5
"47",2016-08-18 19:24:00,96.96,96.96,96.96,96.96,20
"48",2016-08-18 22:33:00,96.27,96.27,96.27,96.27,95
"49",2016-08-19 18:46:00,96.2,96.21,96.2,96.21,6
"50",2016-08-19 18:47:00,96.22,96.26,96.22,96.26,34
"51",2016-08-19 18:48:00,96.26,96.27,96.24,96.27,32
"52",2016-08-19 18:49:00,96.27,96.27,96.25,96.25,37
"53",2016-08-19 18:50:00,96.26,96.27,96.26,96.26,24
"54",2016-08-19 18:51:00,96.25,96.25,96.23,96.24,44
"55",2016-08-19 18:53:00,96.28,96.28,96.28,96.28,8
"56",2016-08-22 16:31:00,95.68,95.68,95.68,95.68,5
"57",2016-08-22 16:50:00,95.94,95.94,95.94,95.94,2
"58",2016-08-24 17:02:00,95.54,95.54,95.54,95.54,1
"59",2016-08-24 19:03:00,95.45,95.48,95.45,95.48,3
"60",2016-08-25 17:51:00,97.3,97.3,97.3,97.3,2
"61",2016-08-26 19:05:00,96.91,96.91,96.91,96.91,7
"62",2016-08-26 19:06:00,96.88,96.88,96.88,96.88,10
"63",2016-08-26 19:53:00,97.25,97.29,97.25,97.26,252
"64",2016-08-29 17:26:00,96.95,96.95,96.94,96.94,140
"65",2016-08-29 17:46:00,98.01,98.01,98.01,98.01,3
"66",2016-08-30 11:04:00,97.09,97.09,97.09,97.09,1
"67",2016-08-30 16:41:00,97.91,97.91,97.91,97.91,1
"68",2016-08-30 17:08:00,98.64,98.64,98.64,98.64,1
"69",2016-08-30 17:09:00,98.55,98.55,98.55,98.55,1
"70",2016-09-01 16:59:00,97.76,97.76,97.76,97.76,5
"71",2016-09-01 18:36:00,97.19,97.19,97.19,97.19,10
"72",2016-09-02 10:42:00,97.26,97.26,97.26,97.26,1
"73",2016-09-02 20:23:00,97.41,97.41,97.41,97.41,2
"74",2016-09-02 20:24:00,97.42,97.42,97.42,97.42,1
"75",2016-09-06 20:17:00,99.92,99.94,99.92,99.94,110
"76",2016-09-06 20:19:00,99.96,99.96,99.96,99.96,110
"77",2016-09-07 20:52:00,98.82,98.83,98.82,98.83,200
"78",2016-09-09 18:25:00,98.1,98.1,98.1,98.1,27
"79",2016-09-13 18:09:00,95.63,95.63,95.63,95.63,55
"80",2016-09-13 18:10:00,95.59,95.61,95.59,95.61,165
"81",2016-09-14 17:18:00,98,98,98,98,4
"82",2016-09-21 16:34:00,95.29,95.29,95.29,95.29,20
"83",2016-09-21 16:56:00,94.47,94.47,94.47,94.47,20
"84",2016-09-22 16:36:00,95.24,95.24,95.24,95.24,55
"85",2016-09-22 16:37:00,95.36,95.36,95.36,95.36,20
"86",2016-09-22 16:45:00,95.12,95.12,95.12,95.12,75
"87",2016-09-22 16:55:00,94.91,94.91,94.91,94.91,100
"88",2016-09-22 16:57:00,94.96,94.96,94.93,94.93,100
"89",2016-09-22 16:58:00,94.87,94.87,94.87,94.87,50
"90",2016-09-22 17:18:00,94.39,94.39,94.39,94.39,55
"91",2016-09-22 17:20:00,94.41,94.41,94.41,94.41,55
"92",2016-09-22 17:32:00,94.88,94.88,94.87,94.87,100
